Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-06-19, préliminaires par la suite
Station:        052401         Bayonne - à Saint-Félix-de-Valois                                                                                                              
Bassin versant: 194 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 9' 26" // -73° 23' 27"

Date de création du fichier: 2019-11-25 19:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052401         2009/11/24          1.336          J
052401         2009/11/25          1.365          MJ
052401         2009/11/26          2.056          MJ
052401         2009/11/27          2.199          MJ
052401         2009/11/28          2.168          MJ
052401         2009/11/29          1.867          MJ
052401         2009/11/30          1.774          MJ
052401         2009/12/01          1.676          MJ
052401         2009/12/02          1.567          MJ
052401         2009/12/03          9.148          MJ
052401         2009/12/04          8.094          MJ
052401         2009/12/05          4.593          MJ
052401         2009/12/06          3.263          MJ
052401         2009/12/07          2.280          MJ
052401         2009/12/08          2.123          MJ
052401         2009/12/09          1.410          R
052401         2009/12/10          1.660          R
052401         2009/12/11          1.900          R
052401         2009/12/12          1.770          R
052401         2009/12/13          1.660          R
052401         2009/12/14          1.560          R
052401         2009/12/15          1.480          R
052401         2009/12/16          1.400          R
052401         2009/12/17          1.330          R
052401         2009/12/18          1.270          R
052401         2009/12/19          1.220          R
052401         2009/12/20          1.170          R
052401         2009/12/21          1.130          R
052401         2009/12/22          1.100          R
052401         2009/12/23          1.070          R
052401         2009/12/24          1.050          R
052401         2009/12/25          1.030          R
052401         2009/12/26          1.010          R
052401         2009/12/27          0.996          R
052401         2009/12/28          1.260          R
052401         2009/12/29          1.550          R
052401         2009/12/30          1.450          R
052401         2009/12/31          1.350          R
052401         2010/01/01          1.270          R
052401         2010/01/02          1.200          R
052401         2010/01/03          1.140          R
052401         2010/01/04          1.090          R
052401         2010/01/05          1.050          R
052401         2010/01/06          1.020          R
052401         2010/01/07          0.993          R
052401         2010/01/08          0.979          R
052401         2010/01/09          1.040          R
052401         2010/01/10          1.110          R
052401         2010/01/11          1.190          R
052401         2010/01/12          1.270          R
052401         2010/01/13          1.350          R
052401         2010/01/14          1.270          R
052401         2010/01/15          1.190          R
052401         2010/01/16          1.130          R
052401         2010/01/17          1.070          R
052401         2010/01/18          1.030          R
052401         2010/01/19          0.987          R
052401         2010/01/20          0.954          J
052401         2010/01/21          0.928          R
052401         2010/01/22          0.909          R
052401         2010/01/23          1.050          R
052401         2010/01/24          1.260          R
052401         2010/01/25          10.14          R
052401         2010/01/26          31.25          R
052401         2010/01/27          14.25          R
052401         2010/01/28          8.480          R
052401         2010/01/29          4.930          R
052401         2010/01/30          4.340          R
052401         2010/01/31          3.860          R
