Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-09-30, préliminaires par la suite
Station:        052601         Maskinongé - en amont du pont de chemin de fer près de Sainte-Ursule                                                                           
Bassin versant: 1017 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 18' 4" // -73° 5' 46"

Date de création du fichier: 2019-11-25 21:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052601         1925/03/04          14.90          R
052601         1925/03/05          14.90          R
052601         1925/03/06          14.90          R
052601         1925/03/07          14.90          R
052601         1925/03/08          14.90          R
052601         1925/03/09          14.90          R
052601         1925/03/10          14.90          R
052601         1925/03/11          14.90          R
052601         1925/03/12          14.90          R
052601         1925/03/13          14.90          R
052601         1925/03/14          14.90          R
052601         1925/03/15          14.90          R
052601         1925/03/16          14.90          R
052601         1925/03/17          14.90          R
052601         1925/03/18          14.90          R
052601         1925/03/19          14.90          R
052601         1925/03/20          14.90          R
052601         1925/03/21          14.90          R
052601         1925/03/22          14.90          R
052601         1925/03/23          14.90          R
052601         1925/03/24          14.90          R
052601         1925/03/25          14.90          R
052601         1925/03/26          14.90          R
052601         1925/03/27          14.90          R
052601         1925/03/28          14.90          R
052601         1925/03/29          14.90          R
052601         1925/03/30          14.90          R
052601         1925/03/31          14.90          R
052601         1925/04/01          93.40          MC
052601         1925/04/02          100.0          MC
052601         1925/04/03          101.0          MC
052601         1925/04/04          102.0          MC
052601         1925/04/05          98.30          MC
052601         1925/04/06          97.40          MC
052601         1925/04/07          91.70          MC
052601         1925/04/08          89.80          MC
052601         1925/04/09          86.10          MC
052601         1925/04/10          84.10          MC
052601         1925/04/11          82.40          MC
052601         1925/04/12          82.40          MC
052601         1925/04/13          78.70          MC
052601         1925/04/14          76.70          MC
052601         1925/04/15          75.90          MC
052601         1925/04/16          78.70          MC
052601         1925/04/17          73.10          MC
