Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-09-30, préliminaires par la suite
Station:        052606         Mastigouche - à 0,1 km en aval du lac Sainte-Rose                                                                                              
Bassin versant: 205 km²        Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 26' 30" // -73° 27' 43"

Date de création du fichier: 2019-11-26 04:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052606         1995/06/21          1.127          J
052606         1995/06/22          1.069          MC
052606         1995/06/23          0.920          MC
052606         1995/06/24          0.818          MC
052606         1995/06/25          0.789          MC
052606         1995/06/26          0.866          MC
052606         1995/06/27          0.725          MC
052606         1995/06/28          0.602          MC
052606         1995/06/29          0.520          MC
052606         1995/06/30          0.457          MC
052606         1995/07/01          0.467          MC
052606         1995/07/02          0.513          MC
052606         1995/07/03          0.459          MC
052606         1995/07/04          0.391          MC
052606         1995/07/05          0.352          MC
052606         1995/07/06          0.349          MC
052606         1995/07/07          0.368          MC
052606         1995/07/08          0.387          MC
052606         1995/07/09          0.377          MC
052606         1995/07/10          0.343          MC
052606         1995/07/11          0.308          MC
052606         1995/07/12          0.276          MC
052606         1995/07/13          0.253          MC
052606         1995/07/14          0.274          MC
052606         1995/07/15          0.279          MC
052606         1995/07/16          0.241          MC
052606         1995/07/17          0.273          MC
052606         1995/07/18          0.321          MC
052606         1995/07/19          0.378          MC
052606         1995/07/20          0.388          MC
052606         1995/07/21          0.406          MC
052606         1995/07/22          0.403          MC
052606         1995/07/23          0.412          MC
052606         1995/07/24          0.459          MC
052606         1995/07/25          0.445          MC
052606         1995/07/26          0.431          MC
052606         1995/07/27          0.431          MC
052606         1995/07/28          0.415          MC
052606         1995/07/29          0.390          MC
052606         1995/07/30          0.345          MC
052606         1995/07/31          0.289          MC
052606         1995/08/01          0.259          MC
052606         1995/08/02          0.235          MC
052606         1995/08/03          0.209          MC
052606         1995/08/04          0.258          MC
052606         1995/08/05          0.347          MC
052606         1995/08/06          0.390          MC
052606         1995/08/07          0.390          MC
052606         1995/08/08          0.347          MC
052606         1995/08/09          0.299          MC
052606         1995/08/10          0.251          MC
052606         1995/08/11          0.219          MC
052606         1995/08/12          0.268          MC
052606         1995/08/13          0.277          MC
052606         1995/08/14          0.264          MC
052606         1995/08/15          0.253          MC
052606         1995/08/16          0.252          MC
052606         1995/08/17          0.229          MC
052606         1995/08/18          0.200          MC
052606         1995/08/19          0.175          MC
052606         1995/08/20          0.148          MC
052606         1995/08/21          0.136          MC
052606         1995/08/22          0.113          MC
052606         1995/08/23          0.100          J
052606         1995/08/24          0.129          MC
052606         1995/08/25          0.109          MC
052606         1995/08/26          0.106          MC
052606         1995/08/27          0.102          MC
052606         1995/08/28          0.092          MC
052606         1995/08/29          0.088          MC
052606         1995/08/30          0.077          MC
052606         1995/08/31          0.072          J
052606         1995/09/01          0.074          MC
052606         1995/09/02          0.068          MC
052606         1995/09/03          0.061          MC
052606         1995/09/04          0.061          MC
052606         1995/09/05          0.061          MC
052606         1995/09/06          0.055          MC
052606         1995/09/07          0.062          MC
052606         1995/09/08          0.067          MC
052606         1995/09/09          0.065          MC
052606         1995/09/10          0.067          MC
052606         1995/09/11          0.058          MC
052606         1995/09/12          0.057          MC
052606         1995/09/13          0.053          MC
052606         1995/09/14          0.095          MC
052606         1995/09/15          0.103          MC
052606         1995/09/16          0.106          MC
052606         1995/09/17          0.118          MC
052606         1995/09/18          0.132          MC
052606         1995/09/19          0.127          MC
052606         1995/09/20          0.123          MC
052606         1995/09/21          0.126          MC
052606         1995/09/22          0.164          MC
052606         1995/09/23          0.221          MC
052606         1995/09/24          0.224          MC
052606         1995/09/25          0.226          MC
052606         1995/09/26          0.240          MC
052606         1995/09/27          0.255          MC
052606         1995/09/28          0.257          MC
052606         1995/09/29          0.233          MC
052606         1995/09/30          0.223          MC
052606         1995/10/01          0.219          MC
052606         1995/10/02          0.217          MC
052606         1995/10/03          0.211          MC
052606         1995/10/04          0.207          MC
052606         1995/10/05          0.208          MC
052606         1995/10/06          0.228          MC
052606         1995/10/07          0.364          MC
052606         1995/10/08          0.582          MC
052606         1995/10/09          0.698          MC
052606         1995/10/10          0.732          MC
052606         1995/10/11          0.769          MC
052606         1995/10/12          0.719          MC
052606         1995/10/13          0.706          MC
052606         1995/10/14          0.755          MC
052606         1995/10/15          0.907          MC
052606         1995/10/16          0.981          MC
052606         1995/10/17          0.947          MC
052606         1995/10/18          0.907          MC
052606         1995/10/19          0.855          MC
052606         1995/10/20          0.776          MC
052606         1995/10/21          0.765          MC
052606         1995/10/22          3.875          MC
052606         1995/10/23          8.737          MC
052606         1995/10/24          7.861          MC
052606         1995/10/25          6.297          MC
052606         1995/10/26          5.057          MC
052606         1995/10/27          4.025          MC
052606         1995/10/28          3.614          MC
052606         1995/10/29          4.563          MC
052606         1995/10/30          5.061          MC
052606         1995/10/31          4.837          MC
052606         1995/11/01          4.209          MC
052606         1995/11/02          3.783          MC
052606         1995/11/03          4.801          MC
052606         1995/11/04          6.846          MC
052606         1995/11/05          6.844          MC
052606         1995/11/06          5.801          MC
052606         1995/11/07          4.880          MC
052606         1995/11/08          4.298          MC
052606         1995/11/09          3.707          MC
052606         1995/11/10          3.143          J
052606         1995/11/11          2.987          MC
052606         1995/11/12          13.82          MC
052606         1995/11/13          25.64          J
052606         1995/11/14          19.56          MC
052606         1995/11/15          14.03          MC
052606         1995/11/16          11.75          MC
052606         1995/11/17          9.254          MC
052606         1995/11/18          7.227          MC
052606         1995/11/19          6.073          MC
052606         1995/11/20          5.230          MC
052606         1995/11/21          4.762          MC
052606         1995/11/22          4.404          MC
052606         1995/11/23          3.987          MC
052606         1995/11/24          3.629          MC
052606         1995/11/25          3.173          MC
052606         1995/11/26          3.073          MC
052606         1995/11/27          2.859          MC
052606         1995/11/28          2.745          MC
052606         1995/11/29          2.560          MC
052606         1995/11/30          2.416          MC
052606         1995/12/01          2.356          MC
052606         1995/12/02          2.365          MC
052606         1995/12/03          2.248          MC
052606         1995/12/04          2.249          MC
052606         1995/12/05          2.186          MC
052606         1995/12/06          2.170          MC
052606         1995/12/07          2.113          MC
052606         1995/12/08          2.039          MC
052606         1995/12/09          1.908          MC
052606         1995/12/10          1.931          MC
052606         1995/12/11          1.881          MC
