Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1997-08-22
Station:        052804         Lac Sacacomie - au lac Sacacomie à Saint-Alexis-des-Monts                                                                                      
Bassin versant: 53.2 km²       Régime: Influencé                                         
Coordonnées:    (NAD83) 46° 30' 46" // -73° 12' 44"
Constante géodésique: 243.84 m
Date de création du fichier: 2012-06-22 01:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
052804         1965/10/28          28.59          PL
052804         1965/10/29          28.59          PL
052804         1965/10/30          28.57          PL
052804         1965/10/31          28.54          PL
052804         1965/11/01          28.54          PL
052804         1965/11/02          28.54          PL
052804         1965/11/03          28.52          PL
052804         1965/11/04          
052804         1965/11/05          28.49          PL
052804         1965/11/06          28.48          PL
052804         1965/11/07          28.47          PL
052804         1965/11/08          28.45          PL
052804         1965/11/09          28.45          PL
052804         1965/11/10          28.43          PL
052804         1965/11/11          28.42          PL
052804         1965/11/12          28.41          PL
052804         1965/11/13          28.39          PL
052804         1965/11/14          28.39          PL
052804         1965/11/15          28.39          PL
052804         1965/11/16          28.38          PL
052804         1965/11/17          28.38          PL
052804         1965/11/18          
052804         1965/11/19          28.38          PL
052804         1965/11/20          28.37          PL
052804         1965/11/21          28.36          PL
052804         1965/11/22          28.35          PL
052804         1965/11/23          28.35          PL
052804         1965/11/24          28.33          PL
052804         1965/11/25          28.33          PL
052804         1965/11/26          28.33          PL
052804         1965/11/27          28.33          PL
052804         1965/11/28          28.35          PL
052804         1965/11/29          28.35          PL
052804         1965/11/30          28.34          PL
052804         1965/12/01          28.33          PL
052804         1965/12/02          28.33          PL
052804         1965/12/03          28.33          PL
052804         1965/12/04          28.33          PL
052804         1965/12/05          28.34          PL
052804         1965/12/06          28.34          PL
052804         1965/12/07          28.33          PL
052804         1965/12/08          28.33          PL
052804         1965/12/09          28.33          PL
052804         1965/12/10          28.31          PL
052804         1965/12/11          28.31          PL
052804         1965/12/12          28.31          PL
052804         1965/12/13          28.31          PL
052804         1965/12/14          28.32          PL
052804         1965/12/15          28.32          PL
052804         1965/12/16          28.32          PL
052804         1965/12/17          28.32          PL
052804         1965/12/18          28.31          PL
052804         1965/12/19          28.31          PL
052804         1965/12/20          28.30          PL
052804         1965/12/21          28.30          PL
052804         1965/12/22          28.30          PL
052804         1965/12/23          28.30          PL
052804         1965/12/24          28.30          PL
052804         1965/12/25          28.30          PL
052804         1965/12/26          28.30          PL
052804         1965/12/27          28.30          PL
052804         1965/12/28          28.30          PL
052804         1965/12/29          28.29          PL
052804         1965/12/30          28.29          PL
052804         1965/12/31          28.29          PL
052804         1966/01/01          28.30          PL
052804         1966/01/02          28.30          PL
052804         1966/01/03          28.30          PL
052804         1966/01/04          28.31          PL
052804         1966/01/05          28.30          PL
052804         1966/01/06          28.31          PL
052804         1966/01/07          28.32          PL
052804         1966/01/08          28.30          PL
052804         1966/01/09          28.30          PL
052804         1966/01/10          28.30          PL
052804         1966/01/11          28.30          PL
052804         1966/01/12          28.30          PL
052804         1966/01/13          28.29          PL
052804         1966/01/14          28.30          PL
052804         1966/01/15          28.29          PL
052804         1966/01/16          28.29          PL
052804         1966/01/17          28.29          PL
052804         1966/01/18          28.29          PL
052804         1966/01/19          28.29          PL
052804         1966/01/20          28.28          PL
052804         1966/01/21          28.27          PL
052804         1966/01/22          28.27          PL
052804         1966/01/23          28.27          PL
052804         1966/01/24          28.28          PL
052804         1966/01/25          28.30          PL
052804         1966/01/26          28.29          PL
052804         1966/01/27          28.29          PL
052804         1966/01/28          28.29          PL
052804         1966/01/29          28.29          PL
052804         1966/01/30          28.29          PL
052804         1966/01/31          28.32          PL
052804         1966/02/01          28.32          PL
052804         1966/02/02          28.32          PL
052804         1966/02/03          28.31          PL
052804         1966/02/04          28.31          PL
052804         1966/02/05          28.31          PL
052804         1966/02/06          28.30          PL
052804         1966/02/07          28.30          PL
052804         1966/02/08          28.30          PL
052804         1966/02/09          28.29          PL
052804         1966/02/10          28.29          PL
052804         1966/02/11          28.29          PL
052804         1966/02/12          28.29          PL
052804         1966/02/13          28.29          PL
052804         1966/02/14          28.29          PL
052804         1966/02/15          28.29          PL
052804         1966/02/16          28.28          PL
052804         1966/02/17          28.29          PL
052804         1966/02/18          28.28          PL
052804         1966/02/19          28.28          PL
052804         1966/02/20          28.28          PL
052804         1966/02/21          28.28          PL
052804         1966/02/22          28.28          PL
052804         1966/02/23          28.27          PL
052804         1966/02/24          28.27          PL
052804         1966/02/25          28.26          PL
052804         1966/02/26          28.26          PL
052804         1966/02/27          28.26          PL
052804         1966/02/28          28.26          PL
052804         1966/03/01          28.26          PL
052804         1966/03/02          28.28          PL
052804         1966/03/03          28.28          PL
052804         1966/03/04          28.28          PL
052804         1966/03/05          28.28          PL
052804         1966/03/06          28.33          PL
052804         1966/03/07          28.33          PL
052804         1966/03/08          28.33          PL
052804         1966/03/09          28.33          PL
052804         1966/03/10          28.33          PL
052804         1966/03/11          28.32          PL
052804         1966/03/12          28.32          PL
052804         1966/03/13          28.32          PL
052804         1966/03/14          28.32          PL
052804         1966/03/15          28.32          PL
052804         1966/03/16          28.32          PL
052804         1966/03/17          28.31          PL
052804         1966/03/18          28.30          PL
052804         1966/03/19          28.30          PL
052804         1966/03/20          28.29          PL
052804         1966/03/21          28.28          PL
052804         1966/03/22          28.28          PL
052804         1966/03/23          28.28          PL
052804         1966/03/24          28.28          PL
052804         1966/03/25          28.28          PL
052804         1966/03/26          28.28          PL
052804         1966/03/27          28.28          PL
052804         1966/03/28          28.28          PL
052804         1966/03/29          28.28          PL
052804         1966/03/30          28.28          PL
052804         1966/03/31          28.28          PL
052804         1966/04/01          28.28          PL
052804         1966/04/02          28.28          PL
052804         1966/04/03          28.27          PL
052804         1966/04/04          28.27          PL
052804         1966/04/05          28.26          PL
052804         1966/04/06          28.26          PL
052804         1966/04/07          28.26          PL
052804         1966/04/08          28.25          PL
052804         1966/04/09          28.26          PL
052804         1966/04/10          28.26          PL
052804         1966/04/11          28.27          PL
052804         1966/04/12          28.28          PL
052804         1966/04/13          28.28          PL
052804         1966/04/14          28.30          PL
052804         1966/04/15          28.31          PL
052804         1966/04/16          28.33          PL
052804         1966/04/17          28.35          PL
052804         1966/04/18          28.37          PL
