Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1997-06-14
Station:        052806         Cours d'eau no 05282005 - à la décharge du lac Sacacomie, en amont du lac Rouge                                                                
Bassin versant: 52.8 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 29' 52" // -73° 14' 25"

Date de création du fichier: 2012-06-24 06:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052806         1969/08/15          0.001          MC
052806         1969/08/16          0.002          MC
052806         1969/08/17          0.003          MC
052806         1969/08/18          0.003          MC
052806         1969/08/19          0.003          MC
052806         1969/08/20          0.003          MC
052806         1969/08/21          0.003          MC
052806         1969/08/22          0.110          MC
052806         1969/08/23          0.210          MC
052806         1969/08/24          0.210          MC
052806         1969/08/25          0.210          MC
052806         1969/08/26          0.210          MC
052806         1969/08/27          0.210          MC
052806         1969/08/28          0.210          MC
052806         1969/08/29          0.110          MC
052806         1969/08/30          0.004          MC
052806         1969/08/31          0.004          MC
052806         1969/09/01          0.004          MC
052806         1969/09/02          0.004          MC
052806         1969/09/03          0.004          MC
052806         1969/09/04          0.004          MC
052806         1969/09/05          0.004          MC
052806         1969/09/06          0.140          MC
052806         1969/09/07          0.200          MC
052806         1969/09/08          0.200          MC
052806         1969/09/09          0.190          MC
052806         1969/09/10          0.004          MC
052806         1969/09/11          0.004          MC
052806         1969/09/12          0.004          MC
052806         1969/09/13          0.004          MC
052806         1969/09/14          0.004          MC
052806         1969/09/15          0.004          MC
052806         1969/09/16          0.004          MC
052806         1969/09/17          0.063          MC
052806         1969/09/18          0.180          MC
052806         1969/09/19          0.180          MC
052806         1969/09/20          0.180          MC
052806         1969/09/21          0.120          MC
052806         1969/09/22          0.016          MC
052806         1969/09/23          0.016          MC
052806         1969/09/24          0.018          MC
052806         1969/09/25          0.019          MC
052806         1969/09/26          0.018          MC
052806         1969/09/27          0.018          MC
052806         1969/09/28          0.018          MC
052806         1969/09/29          0.017          MC
052806         1969/09/30          0.016          MC
052806         1969/10/01          0.015          MC
052806         1969/10/02          0.015          MC
052806         1969/10/03          0.015          MC
052806         1969/10/04          0.013          MC
052806         1969/10/05          0.013          MC
052806         1969/10/06          0.013          MC
052806         1969/10/07          0.013          MC
052806         1969/10/08          0.012          MC
052806         1969/10/09          0.012          MC
052806         1969/10/10          0.011          MC
052806         1969/10/11          0.011          MC
052806         1969/10/12          0.011          MC
052806         1969/10/13          0.011          MC
052806         1969/10/14          0.011          MC
052806         1969/10/15          0.010          MC
052806         1969/10/16          0.008          MC
052806         1969/10/17          0.007          MC
052806         1969/10/18          0.007          MC
052806         1969/10/19          0.007          MC
052806         1969/10/20          0.007          MC
052806         1969/10/21          0.007          MC
052806         1969/10/22          0.007          MC
052806         1969/10/23          0.007          MC
052806         1969/10/24          0.007          MC
052806         1969/10/25          0.027          MC
052806         1969/10/26          0.140          MC
052806         1969/10/27          0.130          MC
052806         1969/10/28          0.130          MC
052806         1969/10/29          0.130          MC
052806         1969/10/30          0.130          MC
052806         1969/10/31          0.130          MC
052806         1969/11/01          0.120          MC
052806         1969/11/02          0.120          MC
052806         1969/11/03          0.120          MC
052806         1969/11/04          0.130          MC
052806         1969/11/05          0.100          MC
052806         1969/11/06          0.024          MC
052806         1969/11/07          0.024          MC
052806         1969/11/08          0.024          MC
052806         1969/11/09          0.024          MC
052806         1969/11/10          0.024          MC
052806         1969/11/11          0.023          MC
052806         1969/11/12          0.022          MC
052806         1969/11/13          0.024          MC
