Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1979-07-13
Station:        053901         Du Cap Rouge - à 2,6 km de l'embouchure                                                                                                        
Bassin versant: 70.7 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 45' 51" // -71° 21' 27"

Date de création du fichier: 2012-06-24 06:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
053901         1974/11/29          0.500          R
053901         1974/11/30          0.480          R
053901         1974/12/01          0.450          R
053901         1974/12/02          0.640          R
053901         1974/12/03          0.720          R
053901         1974/12/04          0.420          R
053901         1974/12/05          0.380          R
053901         1974/12/06          0.440          R
053901         1974/12/07          0.490          R
053901         1974/12/08          2.550          R
053901         1974/12/09          11.70          R
053901         1974/12/10          6.230          R
053901         1974/12/11          3.340          R
053901         1974/12/12          2.390          R
053901         1974/12/13          1.730          R
053901         1974/12/14          1.060          R
053901         1974/12/15          0.720          R
053901         1974/12/16          0.780          R
053901         1974/12/17          0.940          R
053901         1974/12/18          0.860          R
053901         1974/12/19          0.500          R
053901         1974/12/20          0.370          R
053901         1974/12/21          0.400          R
053901         1974/12/22          0.450          R
053901         1974/12/23          0.370          R
053901         1974/12/24          0.390          R
053901         1974/12/25          0.320          R
053901         1974/12/26          0.240          R
053901         1974/12/27          0.350          R
053901         1974/12/28          0.280          R
053901         1974/12/29          0.320          R
053901         1974/12/30          0.350          R
053901         1974/12/31          0.260          R
053901         1975/01/01          0.350          R
053901         1975/01/02          0.250          R
053901         1975/01/03          0.290          R
053901         1975/01/04          0.370          R
053901         1975/01/05          0.250          R
053901         1975/01/06          0.260          R
053901         1975/01/07          0.280          R
053901         1975/01/08          0.270          R
053901         1975/01/09          0.280          R
053901         1975/01/10          0.300          R
053901         1975/01/11          0.530          R
053901         1975/01/12          0.710          R
053901         1975/01/13          0.810          R
053901         1975/01/14          0.600          R
053901         1975/01/15          0.470          R
053901         1975/01/16          0.390          R
053901         1975/01/17          0.360          R
053901         1975/01/18          0.340          R
053901         1975/01/19          0.320          R
053901         1975/01/20          0.300          R
053901         1975/01/21          0.280          R
053901         1975/01/22          0.250          R
053901         1975/01/23          0.300          R
053901         1975/01/24          0.290          R
053901         1975/01/25          0.290          R
053901         1975/01/26          0.270          R
053901         1975/01/27          0.250          R
053901         1975/01/28          0.250          R
053901         1975/01/29          0.290          R
053901         1975/01/30          0.240          R
053901         1975/01/31          0.220          R
053901         1975/02/01          0.240          R
053901         1975/02/02          0.230          R
053901         1975/02/03          0.230          R
053901         1975/02/04          0.220          R
053901         1975/02/05          0.240          R
053901         1975/02/06          0.250          R
053901         1975/02/07          0.250          R
053901         1975/02/08          0.230          R
053901         1975/02/09          0.210          R
053901         1975/02/10          0.220          R
053901         1975/02/11          0.220          R
053901         1975/02/12          0.220          R
053901         1975/02/13          0.220          R
053901         1975/02/14          0.220          R
053901         1975/02/15          0.200          R
053901         1975/02/16          0.200          R
053901         1975/02/17          0.210          R
053901         1975/02/18          0.210          R
053901         1975/02/19          0.220          R
053901         1975/02/20          0.210          R
053901         1975/02/21          0.210          R
053901         1975/02/22          0.220          R
053901         1975/02/23          0.200          R
053901         1975/02/24          0.220          R
053901         1975/02/25          0.330          R
053901         1975/02/26          0.330          R
053901         1975/02/27          0.250          R
053901         1975/02/28          0.260          R
053901         1975/03/01          0.260          R
053901         1975/03/02          0.250          R
053901         1975/03/03          0.280          R
053901         1975/03/04          0.250          R
053901         1975/03/05          0.230          R
053901         1975/03/06          0.210          R
053901         1975/03/07          0.240          R
053901         1975/03/08          0.260          R
053901         1975/03/09          0.210          R
053901         1975/03/10          0.230          R
053901         1975/03/11          0.240          R
053901         1975/03/12          0.240          R
053901         1975/03/13          0.380          R
053901         1975/03/14          0.280          R
053901         1975/03/15          0.280          R
053901         1975/03/16          0.280          R
053901         1975/03/17          0.350          R
053901         1975/03/18          0.400          R
053901         1975/03/19          0.410          R
053901         1975/03/20          2.490          R
053901         1975/03/21          5.520          R
053901         1975/03/22          5.750          R
053901         1975/03/23          4.560          R
053901         1975/03/24          3.450          R
053901         1975/03/25          3.000          R
053901         1975/03/26          2.140          R
053901         1975/03/27          1.530          R
053901         1975/03/28          1.390          R
053901         1975/03/29          1.420          R
053901         1975/03/30          1.660          R
053901         1975/03/31          1.230          R
053901         1975/04/01          0.970          R
053901         1975/04/02          0.930          R
053901         1975/04/03          0.990          R
053901         1975/04/04          0.830          R
053901         1975/04/05          0.570          R
053901         1975/04/06          0.690          R
053901         1975/04/07          0.990          R
053901         1975/04/08          1.100          R
053901         1975/04/09          1.100          R
053901         1975/04/10          1.390          R
053901         1975/04/11          1.790          R
053901         1975/04/12          3.850          MC
053901         1975/04/13          5.610          MC
053901         1975/04/14          7.450          MC
053901         1975/04/15          9.370          MC
053901         1975/04/16          10.70          MC
053901         1975/04/17          11.80          MC
053901         1975/04/18          12.10          MC
053901         1975/04/19          16.50          MC
053901         1975/04/20          30.30          MC
053901         1975/04/21          12.50          MC
053901         1975/04/22          7.500          MC
053901         1975/04/23          9.370          MC
053901         1975/04/24          11.40          MC
053901         1975/04/25          11.70          MC
053901         1975/04/26          6.910          MC
053901         1975/04/27          5.010          MC
053901         1975/04/28          3.570          MC
053901         1975/04/29          3.710          MC
053901         1975/04/30          4.530          MC
053901         1975/05/01          5.130          MC
053901         1975/05/02          4.870          MC
053901         1975/05/03          3.940          MC
053901         1975/05/04          3.790          MC
053901         1975/05/05          3.740          MC
053901         1975/05/06          2.920          MC
053901         1975/05/07          2.130          MC
053901         1975/05/08          1.760          MC
053901         1975/05/09          1.620          MC
053901         1975/05/10          1.560          MC
053901         1975/05/11          1.420          MC
053901         1975/05/12          1.140          MC
053901         1975/05/13          0.980          MC
053901         1975/05/14          0.790          MC
053901         1975/05/15          0.710          MC
053901         1975/05/16          1.130          MC
053901         1975/05/17          1.000          MC
053901         1975/05/18          0.840          MC
053901         1975/05/19          0.810          MC
053901         1975/05/20          0.610          MC
053901         1975/05/21          0.570          MC
053901         1975/05/22          0.470          MC
053901         1975/05/23          0.560          MC
053901         1975/05/24          0.410          MC
053901         1975/05/25          0.330          MC
053901         1975/05/26          0.370          MC
053901         1975/05/27          0.720          MC
053901         1975/05/28          1.110          MC
053901         1975/05/29          0.760          MC
053901         1975/05/30          0.550          J
053901         1975/05/31          3.770          MC
053901         1975/06/01          6.820          MC
053901         1975/06/02          3.600          MC
053901         1975/06/03          1.550          MC
053901         1975/06/04          1.120          MC
053901         1975/06/05          0.910          MC
053901         1975/06/06          0.900          MC
053901         1975/06/07          2.330          MC
053901         1975/06/08          1.650          MC
053901         1975/06/09          1.000          MC
053901         1975/06/10          0.770          MC
053901         1975/06/11          0.530          MC
053901         1975/06/12          0.430          J
053901         1975/06/13          8.550          MC
053901         1975/06/14          11.60          MC
053901         1975/06/15          4.760          MC
053901         1975/06/16          2.810          MC
053901         1975/06/17          1.810          MC
053901         1975/06/18          1.530          MC
053901         1975/06/19          2.410          MC
053901         1975/06/20          1.610          MC
053901         1975/06/21          0.910          MC
053901         1975/06/22          0.680          MC
053901         1975/06/23          0.610          J
053901         1975/06/24          0.560          MC
053901         1975/06/25          0.410          MC
053901         1975/06/26          0.290          MC
053901         1975/06/27          0.260          MC
053901         1975/06/28          0.200          MC
053901         1975/06/29          0.150          MC
053901         1975/06/30          0.160          MC
053901         1975/07/01          0.120          MC
053901         1975/07/02          0.140          MC
053901         1975/07/03          0.150          MC
053901         1975/07/04          0.140          MC
053901         1975/07/05          0.110          MC
053901         1975/07/06          0.093          MC
053901         1975/07/07          0.086          MC
053901         1975/07/08          0.100          MC
053901         1975/07/09          0.160          MC
053901         1975/07/10          0.091          MC
053901         1975/07/11          0.390          MC
053901         1975/07/12          0.210          MC
053901         1975/07/13          0.110          MC
053901         1975/07/14          1.330          MC
053901         1975/07/15          2.830          MC
053901         1975/07/16          1.550          MC
053901         1975/07/17          0.610          MC
053901         1975/07/18          0.360          J
053901         1975/07/19          0.520          MC
053901         1975/07/20          0.550          MC
053901         1975/07/21          0.430          MC
053901         1975/07/22          0.390          MC
053901         1975/07/23          0.240          MC
053901         1975/07/24          0.870          MC
053901         1975/07/25          2.020          J
053901         1975/07/26          0.650          MC
053901         1975/07/27          0.350          MC
053901         1975/07/28          0.960          MC
053901         1975/07/29          1.590          MC
053901         1975/07/30          0.710          MC
053901         1975/07/31          0.390          MC
053901         1975/08/01          0.220          MC
053901         1975/08/02          0.200          MC
053901         1975/08/03          0.130          MC
053901         1975/08/04          0.260          MC
053901         1975/08/05          0.960          MC
053901         1975/08/06          0.350          MC
053901         1975/08/07          0.200          MC
053901         1975/08/08          0.190          MC
053901         1975/08/09          0.170          MC
053901         1975/08/10          0.140          MC
053901         1975/08/11          0.140          MC
053901         1975/08/12          0.150          MC
053901         1975/08/13          0.140          MC
053901         1975/08/14          0.150          MC
053901         1975/08/15          0.110          MC
053901         1975/08/16          0.096          MC
053901         1975/08/17          0.100          MC
053901         1975/08/18          0.150          MC
053901         1975/08/19          0.075          MC
053901         1975/08/20          0.064          MC
053901         1975/08/21          0.050          MC
053901         1975/08/22          0.130          MC
053901         1975/08/23          0.072          MC
053901         1975/08/24          0.049          MC
053901         1975/08/25          0.047          MC
053901         1975/08/26          0.059          MC
053901         1975/08/27          0.250          MC
053901         1975/08/28          0.085          MC
053901         1975/08/29          0.055          MC
053901         1975/08/30          0.047          MC
053901         1975/08/31          0.042          MC
053901         1975/09/01          0.052          MC
053901         1975/09/02          0.610          MC
053901         1975/09/03          0.630          MC
053901         1975/09/04          0.220          MC
053901         1975/09/05          0.089          MC
053901         1975/09/06          0.190          MC
053901         1975/09/07          0.260          MC
053901         1975/09/08          0.150          MC
053901         1975/09/09          0.140          MC
053901         1975/09/10          0.120          MC
053901         1975/09/11          0.087          MC
053901         1975/09/12          2.750          MC
053901         1975/09/13          1.090          MC
053901         1975/09/14          0.480          MC
053901         1975/09/15          0.350          MC
053901         1975/09/16          0.320          MC
053901         1975/09/17          0.280          MC
053901         1975/09/18          0.270          MC
053901         1975/09/19          0.330          MC
053901         1975/09/20          0.870          MC
053901         1975/09/21          1.100          MC
053901         1975/09/22          0.720          MC
053901         1975/09/23          0.500          MC
053901         1975/09/24          0.250          MC
053901         1975/09/25          0.190          MC
053901         1975/09/26          1.720          MC
053901         1975/09/27          2.790          MC
053901         1975/09/28          1.500          MC
053901         1975/09/29          0.940          MC
053901         1975/09/30          0.820          MC
053901         1975/10/01          0.930          MC
053901         1975/10/02          2.440          MC
053901         1975/10/03          1.070          MC
053901         1975/10/04          0.720          MC
053901         1975/10/05          0.610          MC
053901         1975/10/06          0.850          MC
053901         1975/10/07          0.600          MC
053901         1975/10/08          0.460          MC
053901         1975/10/09          0.340          MC
053901         1975/10/10          0.270          MC
053901         1975/10/11          0.250          MC
053901         1975/10/12          0.320          MC
053901         1975/10/13          0.340          MC
053901         1975/10/14          0.310          MC
053901         1975/10/15          0.240          MC
053901         1975/10/16          0.300          MC
053901         1975/10/17          0.360          MC
053901         1975/10/18          0.430          MC
053901         1975/10/19          0.460          MC
053901         1975/10/20          1.670          MC
053901         1975/10/21          3.030          MC
053901         1975/10/22          1.570          MC
053901         1975/10/23          0.990          MC
053901         1975/10/24          0.770          MC
053901         1975/10/25          0.650          MC
053901         1975/10/26          0.760          MC
053901         1975/10/27          0.620          MC
053901         1975/10/28          0.520          MC
053901         1975/10/29          0.480          MC
053901         1975/10/30          0.360          MC
053901         1975/10/31          0.300          MC
053901         1975/11/01          0.660          MC
053901         1975/11/02          4.500          MC
053901         1975/11/03          1.880          MC
053901         1975/11/04          1.360          MC
053901         1975/11/05          0.930          MC
053901         1975/11/06          0.680          MC
053901         1975/11/07          0.640          MC
053901         1975/11/08          0.870          MC
053901         1975/11/09          1.000          MC
053901         1975/11/10          1.160          MC
053901         1975/11/11          5.640          MC
053901         1975/11/12          1.720          MC
053901         1975/11/13          5.320          MC
053901         1975/11/14          12.50          MC
053901         1975/11/15          8.070          MC
053901         1975/11/16          2.470          MC
053901         1975/11/17          1.990          MC
053901         1975/11/18          1.810          MC
053901         1975/11/19          1.430          MC
053901         1975/11/20          1.260          MC
053901         1975/11/21          1.190          MC
053901         1975/11/22          1.800          MC
053901         1975/11/23          1.150          MC
053901         1975/11/24          1.210          MC
