Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-09-30, préliminaires par la suite
Station:        054001         Beauport - à 100 mètres en aval de la chute du Parc des Cascades secteur Beauport à Québec                                                     
Bassin versant: 23.9 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 51' 51" // -71° 12' 22"

Date de création du fichier: 2019-11-28 20:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
054001         2006/06/02          0.2947         MJ
054001         2006/06/03          0.3651         MJ
054001         2006/06/04          0.2939         MJ
054001         2006/06/05          0.2604         MJ
054001         2006/06/06          0.2495         MJ
054001         2006/06/07          0.2385         MJ
054001         2006/06/08          0.2397         MJ
054001         2006/06/09          0.3085         MJ
054001         2006/06/10          0.7149         MJ
054001         2006/06/11          0.5414         MJ
054001         2006/06/12          0.3802         MJ
054001         2006/06/13          0.3133         MJ
054001         2006/06/14          0.276          J
054001         2006/06/15          0.2622         MJ
054001         2006/06/16          0.248          MJ
054001         2006/06/17          0.2913         MJ
054001         2006/06/18          0.2444         MJ
054001         2006/06/19          0.3099         MJ
054001         2006/06/20          1.038          MJ
054001         2006/06/21          0.3188         MJ
054001         2006/06/22          0.3027         MJ
054001         2006/06/23          0.2707         MJ
054001         2006/06/24          0.2238         MJ
054001         2006/06/25          0.2065         MJ
054001         2006/06/26          0.2298         MJ
054001         2006/06/27          1.268          MJ
054001         2006/06/28          0.5885         MJ
054001         2006/06/29          0.7348         MJ
054001         2006/06/30          0.6705         MJ
054001         2006/07/01          0.5699         MJ
054001         2006/07/02          0.7467         MJ
054001         2006/07/03          0.4011         MJ
054001         2006/07/04          0.7096         MJ
054001         2006/07/05          0.5463         MJ
054001         2006/07/06          0.3512         MJ
054001         2006/07/07          0.2971         MJ
054001         2006/07/08          0.2638         MJ
054001         2006/07/09          0.2495         MJ
054001         2006/07/10          0.2139         MJ
054001         2006/07/11          0.2083         MJ
054001         2006/07/12          0.2023         MJ
054001         2006/07/13          0.191          MJ
054001         2006/07/14          0.1795         MJ
054001         2006/07/15          0.2743         MJ
054001         2006/07/16          0.1716         MJ
054001         2006/07/17          0.9107         MJ
054001         2006/07/18          2.134          MJ
054001         2006/07/19          0.4341         MJ
054001         2006/07/20          0.2721         MJ
054001         2006/07/21          0.4527         MJ
054001         2006/07/22          0.290          MJ
054001         2006/07/23          0.2776         MJ
054001         2006/07/24          0.4179         MJ
054001         2006/07/25          0.4776         MJ
054001         2006/07/26          0.339          MJ
054001         2006/07/27          1.334          MJ
054001         2006/07/28          1.060          MJ
054001         2006/07/29          0.3688         MJ
054001         2006/07/30          0.3003         MJ
054001         2006/07/31          0.3117         MJ
054001         2006/08/01          0.9511         MJ
054001         2006/08/02          0.5057         MJ
054001         2006/08/03          0.281          MJ
054001         2006/08/04          0.3456         MJ
054001         2006/08/05          0.2713         MJ
054001         2006/08/06          0.2272         MJ
054001         2006/08/07          0.2235         MJ
054001         2006/08/08          0.1878         MJ
054001         2006/08/09          0.1744         MJ
054001         2006/08/10          0.733          MJ
054001         2006/08/11          0.2708         MJ
054001         2006/08/12          0.1893         MJ
054001         2006/08/13          0.1767         MJ
054001         2006/08/14          0.1892         MJ
054001         2006/08/15          0.4959         MJ
054001         2006/08/16          0.2451         MJ
054001         2006/08/17          0.1706         MJ
054001         2006/08/18          0.1564         MJ
054001         2006/08/19          0.1583         MJ
054001         2006/08/20          0.2948         MJ
054001         2006/08/21          0.3218         MJ
054001         2006/08/22          0.5626         MJ
054001         2006/08/23          0.2791         MJ
054001         2006/08/24          0.1665         MJ
054001         2006/08/25          0.1413         MJ
054001         2006/08/26          0.1308         MJ
054001         2006/08/27          0.6052         MJ
054001         2006/08/28          0.2833         MJ
054001         2006/08/29          0.1617         MJ
054001         2006/08/30          0.1397         MJ
054001         2006/08/31          0.1272         MJ
054001         2006/09/01          0.1254         MJ
054001         2006/09/02          0.1214         MJ
054001         2006/09/03          0.2922         MJ
054001         2006/09/04          0.3108         MJ
054001         2006/09/05          0.1785         MJ
054001         2006/09/06          0.1843         MJ
054001         2006/09/07          0.1356         MJ
054001         2006/09/08          0.7812         MJ
054001         2006/09/09          1.656          MJ
054001         2006/09/10          0.3519         MJ
054001         2006/09/11          0.2358         MJ
054001         2006/09/12          0.1786         MJ
054001         2006/09/13          0.1636         MJ
054001         2006/09/14          0.1888         MJ
054001         2006/09/15          0.1658         MJ
054001         2006/09/16          0.1509         MJ
054001         2006/09/17          0.1464         MJ
054001         2006/09/18          0.1924         MJ
054001         2006/09/19          0.415          MJ
054001         2006/09/20          0.2647         MJ
054001         2006/09/21          0.182          MJ
054001         2006/09/22          0.168          MJ
054001         2006/09/23          0.1869         MJ
054001         2006/09/24          1.985          MJ
054001         2006/09/25          0.5506         MJ
054001         2006/09/26          0.4802         MJ
054001         2006/09/27          0.3474         MJ
054001         2006/09/28          0.4922         MJ
054001         2006/09/29          3.075          MJ
054001         2006/09/30          0.9377         MJ
054001         2006/10/01          1.298          MJ
054001         2006/10/02          0.7004         MJ
054001         2006/10/03          0.5439         MJ
054001         2006/10/04          2.138          MJ
054001         2006/10/05          1.145          MJ
054001         2006/10/06          0.7651         MJ
054001         2006/10/07          0.8024         MJ
054001         2006/10/08          0.7436         MJ
054001         2006/10/09          0.7091         MJ
054001         2006/10/10          0.5589         MJ
054001         2006/10/11          0.4411         MJ
054001         2006/10/12          3.995          MJ
054001         2006/10/13          1.748          MJ
054001         2006/10/14          0.9329         MJ
054001         2006/10/15          0.6877         MJ
054001         2006/10/16          0.6093         MJ
054001         2006/10/17          0.6791         MJ
054001         2006/10/18          2.194          MJ
