Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1999-09-30
Station:        060602         Ha! Ha! - en amont du barrage de la Stone-Consolidated Bathurst                                                                                
Bassin versant: 606.9 km²      Régime: Influencé                                         
Coordonnées:    (NAD83) 48° 18' 20" // -70° 52' 23"
Constante géodésique: aucune
Date de création du fichier: 2012-06-22 02:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
060602         1998/10/14          47.97          MJ
060602         1998/10/15          47.96          MJ
060602         1998/10/16          47.96          MJ
060602         1998/10/17          47.95          MJ
060602         1998/10/18          47.95          MJ
060602         1998/10/19          47.95          MJ
060602         1998/10/20          47.95          MJ
060602         1998/10/21          47.85          MJ
060602         1998/10/22          47.78          MJ
060602         1998/10/23          47.77          MJ
060602         1998/10/24          47.75          MJ
060602         1998/10/25          47.73          MJ
060602         1998/10/26          47.82          MJ
060602         1998/10/27          48.01          MJ
060602         1998/10/28          47.95          MJ
060602         1998/10/29          47.97          MJ
060602         1998/10/30          47.97          MJ
060602         1998/10/31          47.98          MJ
060602         1998/11/01          47.99          MJ
060602         1998/11/02          48.00          MJ
060602         1998/11/03          48.01          MJ
060602         1998/11/04          48.01          MJ
060602         1998/11/05          48.00          MJ
060602         1998/11/06          48.00          MJ
060602         1998/11/07          47.99          MJ
060602         1998/11/08          47.98          MJ
060602         1998/11/09          47.98          MJ
060602         1998/11/10          47.97          MJ
060602         1998/11/11          47.97          MJ
060602         1998/11/12          47.97          MJ
060602         1998/11/13          47.96          MJ
060602         1998/11/14          47.95          MJ
060602         1998/11/15          47.95          MJ
060602         1998/11/16          47.94          MJ
060602         1998/11/17          47.94          MJ
060602         1998/11/18          47.93          MJ
060602         1998/11/19          47.93          MJ
060602         1998/11/20          47.94          MJ
060602         1998/11/21          47.93          MJ
060602         1998/11/22          47.92          MJ
