Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1997-09-25
Station:        061012         Lac no 91411 - en aval de la digue Creek-Outlet-1 située sur le Lac Kénogami                                                                   
Bassin versant: 3990 km²       Régime: Influencé                                         
Coordonnées:    (NAD83) 48° 21' 18" // -71° 15' 10"
Constante géodésique: 129.04 m
Date de création du fichier: 2012-06-21 21:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
061012         1983/11/04          28.74          PL
061012         1983/11/05          28.75          PL
061012         1983/11/06          28.75          PL
061012         1983/11/07          28.75          PL
061012         1983/11/08          28.76          PL
061012         1983/11/09          28.74          PL
061012         1983/11/10          28.73          PL
061012         1983/11/11          28.73          PL
061012         1983/11/12          28.75          PL
061012         1983/11/13          28.73          PL
061012         1983/11/14          28.72          PL
061012         1983/11/15          28.71          PL
061012         1983/11/16          28.71          PL
061012         1983/11/17          28.71          PL
061012         1983/11/18          28.71          PL
061012         1983/11/19          28.70          PL
061012         1983/11/20          28.70          PL
061012         1983/11/21          28.71          PL
061012         1983/11/22          28.71          PL
061012         1983/11/23          28.71          PL
061012         1983/11/24          28.71          PL
061012         1983/11/25          28.72          PL
061012         1983/11/26          28.76          PL
061012         1983/11/27          28.76          PL
061012         1983/11/28          28.76          PL
061012         1983/11/29          28.75          PL
061012         1983/11/30          28.74          PL
061012         1983/12/01          28.73          PL
061012         1983/12/02          28.71          PL
061012         1983/12/03          28.71          PL
061012         1983/12/04          28.69          PL
061012         1983/12/05          28.70          PL
061012         1983/12/06          28.70          PL
061012         1983/12/07          28.72          PL
061012         1983/12/08          28.72          PL
061012         1983/12/09          28.72          PL
061012         1983/12/10          28.71          PL
061012         1983/12/11          28.70          PL
061012         1983/12/12          28.70          PL
061012         1983/12/13          28.70          PL
061012         1983/12/14          28.70          PL
061012         1983/12/15          28.71          PL
061012         1983/12/16          28.70          PL
061012         1983/12/17          28.68          PL
061012         1983/12/18          28.67          PL
