Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2005-09-30
Station:        061304         Lac à Louis - au lac à Louis                                                                                                                   
Bassin versant: 3.2 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 21' 46" // -71° 34' 37"
Constante géodésique: 0 m
Date de création du fichier: 2012-06-21 21:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
061304         1976/11/24          145.88         PL
061304         1976/11/25          145.89         PL
061304         1976/11/26          145.91         PL
061304         1976/11/27          145.90         PL
061304         1976/11/28          145.91         PL
061304         1976/11/29          145.90         PL
061304         1976/11/30          145.91         PL
061304         1976/12/01          145.90         PL
061304         1976/12/02          145.90         PL
061304         1976/12/03          145.90         PL
061304         1976/12/04          145.90         PL
061304         1976/12/05          145.90         PL
061304         1976/12/06          145.89         PL
061304         1976/12/07          145.89         PL
061304         1976/12/08          145.89         PL
061304         1976/12/09          145.88         PL
061304         1976/12/10          145.87         PL
061304         1976/12/11          145.88         PL
061304         1976/12/12          145.87         PL
061304         1976/12/13          145.87         PL
061304         1976/12/14          145.86         PL
061304         1976/12/15          145.86         PL
061304         1976/12/16          145.86         PL
061304         1976/12/17          145.86         PL
061304         1976/12/18          145.86         PL
061304         1976/12/19          145.86         PL
061304         1976/12/20          145.86         PL
061304         1976/12/21          145.87         PL
061304         1976/12/22          145.87         PL
061304         1976/12/23          145.87         PL
061304         1976/12/24          145.86         PL
061304         1976/12/25          145.85         PL
061304         1976/12/26          145.85         PL
061304         1976/12/27          145.86         PL
061304         1976/12/28          145.87         PL
061304         1976/12/29          145.87         PL
061304         1976/12/30          145.86         PL
061304         1976/12/31          145.86         PL
061304         1977/01/01          145.87         PL
061304         1977/01/02          145.86         PL
061304         1977/01/03          145.85         PL
061304         1977/01/04          145.85         PL
061304         1977/01/05          145.85         PL
061304         1977/01/06          145.84         PL
061304         1977/01/07          145.84         PL
061304         1977/01/08          145.84         PL
061304         1977/01/09          145.84         PL
061304         1977/01/10          145.84         PL
061304         1977/01/11          145.86         PL
061304         1977/01/12          145.85         PL
061304         1977/01/13          145.84         PL
061304         1977/01/14          145.84         PL
061304         1977/01/15          145.84         PL
061304         1977/01/16          145.84         PL
061304         1977/01/17          145.84         PL
061304         1977/01/18          145.84         PL
061304         1977/01/19          145.84         PL
061304         1977/01/20          145.84         PL
061304         1977/01/21          145.83         PL
061304         1977/01/22          145.83         PL
061304         1977/01/23          145.83         PL
061304         1977/01/24          145.83         PL
061304         1977/01/25          145.83         PL
061304         1977/01/26          145.83         PL
061304         1977/01/27          145.83         PL
061304         1977/01/28          145.83         PL
061304         1977/01/29          145.83         PL
061304         1977/01/30          145.83         PL
061304         1977/01/31          145.83         PL
061304         1977/02/01          145.83         PL
061304         1977/02/02          145.83         PL
061304         1977/02/03          145.83         PL
061304         1977/02/04          145.83         PL
061304         1977/02/05          145.83         PL
061304         1977/02/06          145.83         PL
061304         1977/02/07          145.83         PL
061304         1977/02/08          145.83         PL
061304         1977/02/09          145.82         PL
061304         1977/02/10          145.82         PL
061304         1977/02/11          145.83         PL
061304         1977/02/12          145.82         PL
061304         1977/02/13          145.82         PL
061304         1977/02/14          145.82         PL
061304         1977/02/15          145.83         PL
061304         1977/02/16          145.83         PL
061304         1977/02/17          145.82         PL
061304         1977/02/18          145.82         PL
061304         1977/02/19          145.82         PL
061304         1977/02/20          145.82         PL
061304         1977/02/21          145.82         PL
061304         1977/02/22          145.82         PL
061304         1977/02/23          145.82         PL
061304         1977/02/24          145.82         PL
061304         1977/02/25          145.82         PL
061304         1977/02/26          145.82         PL
061304         1977/02/27          145.81         PL
061304         1977/02/28          145.81         PL
061304         1977/03/01          145.81         PL
061304         1977/03/02          145.81         PL
061304         1977/03/03          145.81         PL
061304         1977/03/04          145.80         PL
061304         1977/03/05          145.80         PL
061304         1977/03/06          145.81         PL
061304         1977/03/07          145.80         PL
061304         1977/03/08          145.80         PL
061304         1977/03/09          145.79         PL
061304         1977/03/10          145.81         PL
061304         1977/03/11          145.81         PL
061304         1977/03/12          145.81         PL
061304         1977/03/13          145.81         PL
061304         1977/03/14          145.80         PL
061304         1977/03/15          145.80         PL
061304         1977/03/16          145.81         PL
061304         1977/03/17          145.82         PL
061304         1977/03/18          145.82         PL
061304         1977/03/19          145.82         PL
061304         1977/03/20          145.80         PL
061304         1977/03/21          145.80         PL
061304         1977/03/22          145.79         PL
061304         1977/03/23          145.79         PL
061304         1977/03/24          145.79         PL
061304         1977/03/25          145.79         PL
061304         1977/03/26          145.79         PL
061304         1977/03/27          145.79         PL
061304         1977/03/28          145.79         PL
061304         1977/03/29          145.79         PL
061304         1977/03/30          145.79         PL
061304         1977/03/31          145.82         PL
061304         1977/04/01          145.84         PL
061304         1977/04/02          145.84         PL
061304         1977/04/03          145.84         PL
061304         1977/04/04          145.84         PL
061304         1977/04/05          145.83         PL
061304         1977/04/06          145.84         PL
061304         1977/04/07          145.82         PL
061304         1977/04/08          145.81         PL
061304         1977/04/09          145.81         PL
061304         1977/04/10          145.80         PL
061304         1977/04/11          145.79         PL
061304         1977/04/12          145.80         PL
061304         1977/04/13          145.81         PL
061304         1977/04/14          145.83         PL
061304         1977/04/15          145.82         PL
061304         1977/04/16          145.81         PL
061304         1977/04/17          145.81         PL
061304         1977/04/18          145.82         PL
061304         1977/04/19          145.82         PL
061304         1977/04/20          145.87         PL
061304         1977/04/21          145.92         PL
