Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1985-05-24
Station:        061305         Lac Rond - au lac Rond à Hébertville                                                                                                           
Bassin versant: 0.3 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 21' 57" // -71° 34' 36"
Constante géodésique: 0 m
Date de création du fichier: 2012-06-21 22:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
061305         1976/11/24          152.21         PL
061305         1976/11/25          152.24         PL
061305         1976/11/26          152.23         PL
061305         1976/11/27          152.24         PL
061305         1976/11/28          152.26         PL
061305         1976/11/29          152.26         PL
061305         1976/11/30          152.26         PL
061305         1976/12/01          152.26         PL
061305         1976/12/02          152.26         PL
061305         1976/12/03          152.26         PL
061305         1976/12/04          152.26         PL
061305         1976/12/05          152.26         PL
061305         1976/12/06          152.25         PL
061305         1976/12/07          152.25         PL
061305         1976/12/08          152.25         PL
061305         1976/12/09          152.25         PL
061305         1976/12/10          152.23         PL
061305         1976/12/11          152.24         PL
061305         1976/12/12          152.25         PL
061305         1976/12/13          152.25         PL
061305         1976/12/14          152.25         PL
061305         1976/12/15          152.26         PL
061305         1976/12/16          152.25         PL
061305         1976/12/17          152.25         PL
061305         1976/12/18          152.25         PL
061305         1976/12/19          152.25         PL
061305         1976/12/20          152.24         PL
061305         1976/12/21          152.24         PL
061305         1976/12/22          152.25         PL
061305         1976/12/23          152.25         PL
061305         1976/12/24          152.25         PL
061305         1976/12/25          152.25         PL
061305         1976/12/26          152.25         PL
061305         1976/12/27          152.25         PL
061305         1976/12/28          152.25         PL
061305         1976/12/29          152.25         PL
061305         1976/12/30          152.25         PL
061305         1976/12/31          152.26         PL
061305         1977/01/01          152.27         PL
061305         1977/01/02          152.28         PL
061305         1977/01/03          152.27         PL
061305         1977/01/04          152.26         PL
061305         1977/01/05          152.26         PL
061305         1977/01/06          152.25         PL
061305         1977/01/07          152.25         PL
061305         1977/01/08          152.25         PL
061305         1977/01/09          152.25         PL
061305         1977/01/10          152.24         PL
061305         1977/01/11          152.26         PL
061305         1977/01/12          152.26         PL
061305         1977/01/13          152.26         PL
061305         1977/01/14          152.25         PL
061305         1977/01/15          152.25         PL
061305         1977/01/16          152.25         PL
061305         1977/01/17          152.25         PL
061305         1977/01/18          152.26         PL
061305         1977/01/19          152.26         PL
061305         1977/01/20          152.26         PL
061305         1977/01/21          152.26         PL
061305         1977/01/22          152.25         PL
061305         1977/01/23          152.25         PL
061305         1977/01/24          152.25         PL
061305         1977/01/25          152.24         PL
061305         1977/01/26          152.24         PL
061305         1977/01/27          152.24         PL
061305         1977/01/28          152.25         PL
061305         1977/01/29          152.25         PL
061305         1977/01/30          152.24         PL
061305         1977/01/31          152.24         PL
061305         1977/02/01          152.24         PL
061305         1977/02/02          152.24         PL
061305         1977/02/03          152.24         PL
061305         1977/02/04          152.24         PL
061305         1977/02/05          152.24         PL
061305         1977/02/06          152.24         PL
061305         1977/02/07          152.24         PL
061305         1977/02/08          152.23         PL
061305         1977/02/09          152.23         PL
061305         1977/02/10          152.22         PL
061305         1977/02/11          152.23         PL
061305         1977/02/12          152.21         PL
061305         1977/02/13          152.21         PL
061305         1977/02/14          152.23         PL
061305         1977/02/15          152.23         PL
061305         1977/02/16          152.23         PL
061305         1977/02/17          152.23         PL
061305         1977/02/18          152.23         PL
061305         1977/02/19          152.23         PL
061305         1977/02/20          152.23         PL
061305         1977/02/21          152.23         PL
061305         1977/02/22          152.22         PL
061305         1977/02/23          152.23         PL
061305         1977/02/24          152.22         PL
061305         1977/02/25          152.21         PL
061305         1977/02/26          152.22         PL
061305         1977/02/27          152.20         PL
061305         1977/02/28          152.20         PL
061305         1977/03/01          152.22         PL
061305         1977/03/02          152.22         PL
061305         1977/03/03          152.21         PL
061305         1977/03/04          152.20         PL
061305         1977/03/05          152.20         PL
061305         1977/03/06          152.20         PL
061305         1977/03/07          152.20         PL
061305         1977/03/08          152.20         PL
061305         1977/03/09          152.20         PL
061305         1977/03/10          152.21         PL
061305         1977/03/11          152.22         PL
061305         1977/03/12          152.20         PL
061305         1977/03/13          152.20         PL
061305         1977/03/14          152.20         PL
061305         1977/03/15          152.20         PL
061305         1977/03/16          152.23         PL
061305         1977/03/17          152.23         PL
061305         1977/03/18          152.24         PL
061305         1977/03/19          152.24         PL
061305         1977/03/20          152.24         PL
061305         1977/03/21          152.24         PL
061305         1977/03/22          152.24         PL
061305         1977/03/23          152.24         PL
061305         1977/03/24          152.24         PL
061305         1977/03/25          152.24         PL
061305         1977/03/26          152.23         PL
061305         1977/03/27          152.23         PL
061305         1977/03/28          152.23         PL
061305         1977/03/29          152.23         PL
061305         1977/03/30          152.23         PL
061305         1977/03/31          152.25         PL
061305         1977/04/01          152.28         PL
061305         1977/04/02          152.29         PL
061305         1977/04/03          152.32         PL
061305         1977/04/04          152.32         PL
061305         1977/04/05          152.32         PL
061305         1977/04/06          152.33         PL
061305         1977/04/07          152.33         PL
061305         1977/04/08          152.33         PL
061305         1977/04/09          152.32         PL
061305         1977/04/10          152.32         PL
061305         1977/04/11          152.32         PL
061305         1977/04/12          152.33         PL
061305         1977/04/13          152.33         PL
061305         1977/04/14          152.35         PL
061305         1977/04/15          152.36         PL
061305         1977/04/16          152.36         PL
