Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1991-09-30
Station:        061603         Lac Bouchette - au lac Bouchette                                                                                                               
Bassin versant: 624 km²        Régime: Influencé                                         
Coordonnées:    (NAD83) 48° 15' 44" // -72° 11' 38"
Constante géodésique: 304.8 m
Date de création du fichier: 2012-06-21 22:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
061603         1977/07/23          4.77           PL
061603         1977/07/24          4.77           PL
061603         1977/07/25          4.77           PL
061603         1977/07/26          4.80           PL
061603         1977/07/27          4.86           PL
061603         1977/07/28          4.91           PL
061603         1977/07/29          4.95           PL
061603         1977/07/30          4.98           PL
061603         1977/07/31          4.99           PL
061603         1977/08/01          5.02           PL
061603         1977/08/02          5.03           PL
061603         1977/08/03          5.04           PL
061603         1977/08/04          5.04           PL
061603         1977/08/05          5.04           PL
061603         1977/08/06          5.04           PL
061603         1977/08/07          5.04           PL
061603         1977/08/08          5.04           PL
061603         1977/08/09          5.04           PL
061603         1977/08/10          5.05           PL
061603         1977/08/11          5.05           PL
061603         1977/08/12          5.05           PL
061603         1977/08/13          5.04           PL
061603         1977/08/14          5.04           PL
061603         1977/08/15          5.03           PL
061603         1977/08/16          5.01           PL
061603         1977/08/17          4.99           PL
061603         1977/08/18          4.96           PL
061603         1977/08/19          4.91           PL
061603         1977/08/20          4.87           PL
061603         1977/08/21          4.86           PL
061603         1977/08/22          4.84           PL
061603         1977/08/23          4.83           PL
061603         1977/08/24          4.83           PL
061603         1977/08/25          4.82           PL
061603         1977/08/26          4.81           PL
061603         1977/08/27          4.80           PL
061603         1977/08/28          4.79           PL
061603         1977/08/29          4.79           PL
061603         1977/08/30          4.79           PL
061603         1977/08/31          4.80           PL
061603         1977/09/01          4.81           PL
061603         1977/09/02          4.81           PL
061603         1977/09/03          4.80           PL
061603         1977/09/04          4.79           PL
061603         1977/09/05          4.79           PL
061603         1977/09/06          4.79           PL
061603         1977/09/07          4.71           PL
061603         1977/09/08          4.70           PL
061603         1977/09/09          4.70           PL
061603         1977/09/10          4.70           PL
061603         1977/09/11          4.69           PL
061603         1977/09/12          4.68           PL
061603         1977/09/13          4.67           PL
061603         1977/09/14          4.66           PL
061603         1977/09/15          4.66           PL
061603         1977/09/16          4.65           PL
061603         1977/09/17          4.65           PL
061603         1977/09/18          4.64           PL
061603         1977/09/19          4.64           PL
061603         1977/09/20          4.63           PL
061603         1977/09/21          4.62           PL
061603         1977/09/22          4.61           PL
061603         1977/09/23          4.61           PL
061603         1977/09/24          4.61           PL
061603         1977/09/25          4.60           PL
061603         1977/09/26          4.60           PL
061603         1977/09/27          4.61           PL
061603         1977/09/28          4.62           PL
061603         1977/09/29          4.63           PL
061603         1977/09/30          4.64           PL
061603         1977/10/01          4.65           PL
061603         1977/10/02          4.65           PL
061603         1977/10/03          4.65           PL
061603         1977/10/04          4.70           PL
061603         1977/10/05          4.77           PL
061603         1977/10/06          4.81           PL
061603         1977/10/07          4.83           PL
061603         1977/10/08          4.86           PL
061603         1977/10/09          4.88           PL
061603         1977/10/10          4.89           PL
061603         1977/10/11          4.90           PL
061603         1977/10/12          4.91           PL
061603         1977/10/13          4.93           PL
061603         1977/10/14          4.96           PL
061603         1977/10/15          4.99           PL
061603         1977/10/16          5.00           PL
061603         1977/10/17          5.04           PL
061603         1977/10/18          5.08           PL
061603         1977/10/19          5.12           PL
061603         1977/10/20          5.13           PL
061603         1977/10/21          5.17           PL
061603         1977/10/22          5.18           PL
061603         1977/10/23          5.19           PL
061603         1977/10/24          5.20           PL
061603         1977/10/25          5.20           PL
061603         1977/10/26          5.20           PL
061603         1977/10/27          5.18           PL
061603         1977/10/28          5.16           PL
061603         1977/10/29          5.13           PL
061603         1977/10/30          5.09           PL
061603         1977/10/31          5.04           PL
061603         1977/11/01          4.98           PL
061603         1977/11/02          4.93           PL
061603         1977/11/03          4.90           PL
061603         1977/11/04          4.86           PL
061603         1977/11/05          4.84           PL
061603         1977/11/06          4.82           PL
061603         1977/11/07          4.80           PL
061603         1977/11/08          4.78           PL
061603         1977/11/09          4.78           PL
061603         1977/11/10          4.78           PL
061603         1977/11/11          4.77           PL
061603         1977/11/12          4.77           PL
061603         1977/11/13          4.76           PL
061603         1977/11/14          4.76           PL
061603         1977/11/15          4.77           PL
061603         1977/11/16          4.76           PL
061603         1977/11/17          4.76           PL
061603         1977/11/18          4.76           PL
061603         1977/11/19          4.76           PL
061603         1977/11/20          4.75           PL
061603         1977/11/21          4.75           PL
061603         1977/11/22          4.75           PL
061603         1977/11/23          4.74           PL
061603         1977/11/24          4.75           PL
061603         1977/11/25          4.75           PL
061603         1977/11/26          4.75           PL
061603         1977/11/27          4.78           PL
061603         1977/11/28          4.76           PL
061603         1977/11/29          4.76           PL
061603         1977/11/30          4.75           PL
061603         1977/12/01          4.76           PL
061603         1977/12/02          4.78           PL
061603         1977/12/03          4.78           PL
061603         1977/12/04          4.78           PL
061603         1977/12/05          4.77           PL
061603         1977/12/06          4.76           PL
061603         1977/12/07          4.77           PL
061603         1977/12/08          4.76           PL
061603         1977/12/09          4.76           PL
061603         1977/12/10          4.77           PL
061603         1977/12/11          4.76           PL
061603         1977/12/12          4.75           PL
061603         1977/12/13          4.75           PL
061603         1977/12/14          4.75           PL
061603         1977/12/15          4.76           PL
061603         1977/12/16          4.76           PL
061603         1977/12/17          4.76           PL
061603         1977/12/18          4.75           PL
061603         1977/12/19          4.75           PL
061603         1977/12/20          4.76           PL
061603         1977/12/21          4.75           PL
061603         1977/12/22          4.78           PL
061603         1977/12/23          4.78           PL
061603         1977/12/24          4.77           PL
061603         1977/12/25          4.77           PL
061603         1977/12/26          4.78           PL
061603         1977/12/27          4.77           PL
061603         1977/12/28          4.76           PL
061603         1977/12/29          4.77           PL
061603         1977/12/30          4.84           PL
061603         1977/12/31          4.87           PL
061603         1978/01/01          4.91           PL
061603         1978/01/02          4.94           PL
061603         1978/01/03          4.97           PL
061603         1978/01/04          4.98           PL
061603         1978/01/05          4.98           PL
061603         1978/01/06          4.98           PL
061603         1978/01/07          4.99           PL
061603         1978/01/08          4.99           PL
061603         1978/01/09          5.02           PL
061603         1978/01/10          5.06           PL
061603         1978/01/11          5.05           PL
061603         1978/01/12          5.04           PL
061603         1978/01/13          5.04           PL
061603         1978/01/14          5.04           PL
061603         1978/01/15          5.05           PL
061603         1978/01/16          5.05           PL
061603         1978/01/17          5.03           PL
061603         1978/01/18          5.09           PL
061603         1978/01/19          5.16           PL
061603         1978/01/20          5.17           PL
061603         1978/01/21          5.20           PL
061603         1978/01/22          5.25           PL
061603         1978/01/23          5.27           PL
061603         1978/01/24          5.27           PL
061603         1978/01/25          5.27           PL
061603         1978/01/26          5.28           PL
061603         1978/01/27          5.31           PL
061603         1978/01/28          5.31           PL
061603         1978/01/29          5.30           PL
061603         1978/01/30          5.29           PL
061603         1978/01/31          5.28           PL
061603         1978/02/01          5.34           PL
061603         1978/02/02          5.39           PL
061603         1978/02/03          5.41           PL
061603         1978/02/04          5.43           PL
061603         1978/02/05          5.44           PL
061603         1978/02/06          5.44           PL
061603         1978/02/07          5.44           PL
061603         1978/02/08          5.45           PL
061603         1978/02/09          5.45           PL
061603         1978/02/10          5.45           PL
061603         1978/02/11          5.45           PL
061603         1978/02/12          5.45           PL
061603         1978/02/13          5.44           PL
061603         1978/02/14          5.42           PL
061603         1978/02/15          5.42           PL
061603         1978/02/16          5.41           PL
061603         1978/02/17          5.40           PL
061603         1978/02/18          5.40           PL
061603         1978/02/19          5.40           PL
061603         1978/02/20          5.38           PL
061603         1978/02/21          5.37           PL
061603         1978/02/22          5.37           PL
061603         1978/02/23          5.36           PL
061603         1978/02/24          5.35           PL
061603         1978/02/25          5.34           PL
061603         1978/02/26          5.33           PL
061603         1978/02/27          5.32           PL
061603         1978/02/28          5.31           PL
061603         1978/03/01          5.29           PL
061603         1978/03/02          5.28           PL
061603         1978/03/03          5.19           PL
061603         1978/03/04          5.11           PL
061603         1978/03/05          5.04           PL
061603         1978/03/06          5.00           PL
061603         1978/03/07          4.95           PL
061603         1978/03/08          4.92           PL
061603         1978/03/09          4.91           PL
061603         1978/03/10          4.89           PL
061603         1978/03/11          4.88           PL
061603         1978/03/12          4.86           PL
061603         1978/03/13          4.85           PL
061603         1978/03/14          4.92           PL
061603         1978/03/15          4.92           PL
061603         1978/03/16          4.92           PL
061603         1978/03/17          4.91           PL
061603         1978/03/18          4.91           PL
061603         1978/03/19          4.91           PL
061603         1978/03/20          4.90           PL
061603         1978/03/21          4.89           PL
061603         1978/03/22          4.90           PL
061603         1978/03/23          4.89           PL
061603         1978/03/24          4.89           PL
061603         1978/03/25          4.88           PL
061603         1978/03/26          4.88           PL
061603         1978/03/27          4.88           PL
061603         1978/03/28          4.90           PL
061603         1978/03/29          4.91           PL
061603         1978/03/30          4.89           PL
061603         1978/03/31          4.89           PL
061603         1978/04/01          4.80           PL
061603         1978/04/02          4.82           PL
061603         1978/04/03          4.80           PL
061603         1978/04/04          4.80           PL
061603         1978/04/05          4.80           PL
061603         1978/04/06          4.82           PL
061603         1978/04/07          4.84           PL
061603         1978/04/08          4.87           PL
061603         1978/04/09          4.87           PL
061603         1978/04/10          4.88           PL
061603         1978/04/11          4.89           PL
061603         1978/04/12          4.92           PL
061603         1978/04/13          4.92           PL
061603         1978/04/14          4.92           PL
061603         1978/04/15          4.93           PL
061603         1978/04/16          4.94           PL
061603         1978/04/17          4.95           PL
061603         1978/04/18          4.96           PL
061603         1978/04/19          4.97           PL
061603         1978/04/20          4.98           PL
061603         1978/04/21          5.02           PL
061603         1978/04/22          5.02           PL
061603         1978/04/23          5.03           PL
061603         1978/04/24          5.06           PL
061603         1978/04/25          5.07           PL
061603         1978/04/26          5.11           PL
061603         1978/04/27          5.14           PL
061603         1978/04/28          5.16           PL
061603         1978/04/29          5.20           PL
061603         1978/04/30          5.25           PL
061603         1978/05/01          5.26           PL
061603         1978/05/02          5.26           PL
061603         1978/05/03          5.25           PL
061603         1978/05/04          5.24           PL
061603         1978/05/05          5.22           PL
061603         1978/05/06          5.23           PL
061603         1978/05/07          5.26           PL
061603         1978/05/08          5.30           PL
061603         1978/05/09          5.34           PL
061603         1978/05/10          5.39           PL
