Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1979-09-10
Station:        062109         Ouasiemsca - à 0,3 km en aval de la Micosas                                                                                                    
Bassin versant: 3320 km²       Régime: Influencé                                         
Coordonnées:    (NAD83) 49° 6' 9" // -72° 43' 55"
Constante géodésique: aucune
Date de création du fichier: 2012-06-21 22:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
062109         1965/11/04          30.54          PL
062109         1965/11/05          30.55          PL
062109         1965/11/06          30.47          PL
062109         1965/11/07          30.44          PL
062109         1965/11/08          30.44          PL
062109         1965/11/09          30.37          PL
062109         1965/11/10          30.37          PL
062109         1965/11/11          30.39          PL
062109         1965/11/12          30.47          PL
062109         1965/11/13          30.61          PL
062109         1965/11/14          30.82          PL
062109         1965/11/15          30.97          PL
062109         1965/11/16          30.94          PL
062109         1965/11/17          30.89          PL
062109         1965/11/18          30.80          PL
062109         1965/11/19          30.67          PL
062109         1965/11/20          30.67          PL
062109         1965/11/21          30.66          PL
062109         1965/11/22          30.72          PL
062109         1965/11/23          30.75          PL
062109         1965/11/24          30.91          PL
062109         1965/11/25          30.94          PL
062109         1965/11/26          31.00          PL
062109         1965/11/27          31.00          PL
062109         1965/11/28          30.95          PL
062109         1965/11/29          30.94          PL
062109         1965/11/30          30.92          PL
062109         1965/12/01          31.00          PL
062109         1965/12/02          31.02          PL
062109         1965/12/03          31.03          PL
062109         1965/12/04          31.02          PL
062109         1965/12/05          31.02          PL
062109         1965/12/06          31.02          PL
062109         1965/12/07          31.03          PL
062109         1965/12/08          31.02          PL
062109         1965/12/09          31.02          PL
062109         1965/12/10          30.99          PL
062109         1965/12/11          31.00          PL
062109         1965/12/12          30.96          PL
062109         1965/12/13          30.93          PL
062109         1965/12/14          30.87          PL
062109         1965/12/15          30.86          PL
062109         1965/12/16          30.86          PL
062109         1965/12/17          30.86          PL
062109         1965/12/18          30.86          PL
062109         1965/12/19          30.86          PL
062109         1965/12/20          30.85          PL
062109         1965/12/21          30.84          PL
062109         1965/12/22          30.83          PL
062109         1965/12/23          30.83          PL
062109         1965/12/24          30.82          PL
062109         1965/12/25          30.82          PL
062109         1965/12/26          30.77          PL
062109         1965/12/27          30.76          PL
062109         1965/12/28          30.77          PL
062109         1965/12/29          30.75          PL
062109         1965/12/30          30.73          PL
062109         1965/12/31          30.69          PL
062109         1966/01/01          30.68          PL
062109         1966/01/02          30.70          PL
062109         1966/01/03          30.69          PL
062109         1966/01/04          30.67          PL
062109         1966/01/05          30.68          PL
062109         1966/01/06          30.68          PL
062109         1966/01/07          30.67          PL
062109         1966/01/08          30.67          PL
062109         1966/01/09          30.67          PL
062109         1966/01/10          30.65          PL
062109         1966/01/11          30.64          PL
062109         1966/01/12          30.66          PL
062109         1966/01/13          30.66          PL
062109         1966/01/14          30.66          PL
062109         1966/01/15          30.60          PL
062109         1966/01/16          30.65          PL
062109         1966/01/17          30.60          PL
062109         1966/01/18          30.60          PL
062109         1966/01/19          30.60          PL
062109         1966/01/20          30.60          PL
062109         1966/01/21          30.60          PL
062109         1966/01/22          30.60          PL
062109         1966/01/23          30.59          PL
062109         1966/01/24          30.59          PL
062109         1966/01/25          30.61          PL
062109         1966/01/26          30.59          PL
062109         1966/01/27          30.59          PL
062109         1966/01/28          30.59          PL
062109         1966/01/29          30.58          PL
062109         1966/01/30          30.58          PL
062109         1966/01/31          30.57          PL
062109         1966/02/01          30.57          PL
062109         1966/02/02          30.59          PL
062109         1966/02/03          30.59          PL
062109         1966/02/04          30.56          PL
062109         1966/02/05          30.59          PL
062109         1966/02/06          30.58          PL
062109         1966/02/07          30.60          PL
062109         1966/02/08          30.59          PL
062109         1966/02/09          30.58          PL
062109         1966/02/10          30.64          PL
062109         1966/02/11          30.68          PL
062109         1966/02/12          30.73          PL
062109         1966/02/13          30.78          PL
062109         1966/02/14          30.78          PL
062109         1966/02/15          30.83          PL
062109         1966/02/16          30.84          PL
062109         1966/02/17          30.85          PL
062109         1966/02/18          30.94          PL
062109         1966/02/19          30.96          PL
062109         1966/02/20          30.97          PL
062109         1966/02/21          30.96          PL
062109         1966/02/22          30.93          PL
062109         1966/02/23          30.93          PL
062109         1966/02/24          30.91          PL
062109         1966/02/25          30.85          PL
062109         1966/02/26          30.83          PL
062109         1966/02/27          30.81          PL
062109         1966/02/28          30.76          PL
062109         1966/03/01          30.75          PL
062109         1966/03/02          30.75          PL
062109         1966/03/03          30.74          PL
062109         1966/03/04          30.72          PL
062109         1966/03/05          30.72          PL
062109         1966/03/06          30.72          PL
062109         1966/03/07          30.72          PL
062109         1966/03/08          30.72          PL
062109         1966/03/09          30.71          PL
062109         1966/03/10          30.71          PL
062109         1966/03/11          30.72          PL
062109         1966/03/12          30.72          PL
062109         1966/03/13          30.69          PL
062109         1966/03/14          30.70          PL
062109         1966/03/15          30.70          PL
062109         1966/03/16          30.69          PL
062109         1966/03/17          30.70          PL
062109         1966/03/18          30.68          PL
062109         1966/03/19          30.67          PL
062109         1966/03/20          30.67          PL
062109         1966/03/21          30.67          PL
062109         1966/03/22          30.68          PL
062109         1966/03/23          30.71          PL
062109         1966/03/24          30.71          PL
062109         1966/03/25          30.76          PL
062109         1966/03/26          30.80          PL
062109         1966/03/27          30.85          PL
062109         1966/03/28          30.90          PL
062109         1966/03/29          30.94          PL
062109         1966/03/30          30.97          PL
062109         1966/03/31          30.98          PL
062109         1966/04/01          31.01          PL
062109         1966/04/02          31.03          PL
062109         1966/04/03          31.03          PL
062109         1966/04/04          31.03          PL
062109         1966/04/05          30.99          PL
062109         1966/04/06          30.93          PL
062109         1966/04/07          30.86          PL
062109         1966/04/08          30.76          PL
062109         1966/04/09          30.66          PL
062109         1966/04/10          30.61          PL
062109         1966/04/11          30.60          PL
062109         1966/04/12          30.60          PL
062109         1966/04/13          30.60          PL
062109         1966/04/14          30.60          PL
062109         1966/04/15          30.76          PL
062109         1966/04/16          30.87          PL
062109         1966/04/17          30.91          PL
062109         1966/04/18          30.95          PL
062109         1966/04/19          30.98          PL
062109         1966/04/20          31.50          PL
062109         1966/04/21          31.98          PL
062109         1966/04/22          31.95          PL
062109         1966/04/23          31.80          PL
062109         1966/04/24          31.79          PL
062109         1966/04/25          31.87          PL
062109         1966/04/26          31.99          PL
062109         1966/04/27          31.99          PL
062109         1966/04/28          31.96          PL
062109         1966/04/29          31.94          PL
062109         1966/04/30          31.89          PL
062109         1966/05/01          31.85          PL
062109         1966/05/02          31.85          PL
062109         1966/05/03          32.14          PL
062109         1966/05/04          31.95          PL
062109         1966/05/05          31.85          PL
062109         1966/05/06          31.80          PL
062109         1966/05/07          31.85          PL
062109         1966/05/08          31.77          PL
062109         1966/05/09          31.69          PL
062109         1966/05/10          31.67          PL
062109         1966/05/11          31.62          PL
062109         1966/05/12          31.58          PL
062109         1966/05/13          31.53          PL
062109         1966/05/14          31.51          PL
062109         1966/05/15          31.56          PL
062109         1966/05/16          31.65          PL
062109         1966/05/17          31.79          PL
062109         1966/05/18          31.99          PL
062109         1966/05/19          32.26          PL
062109         1966/05/20          32.88          PL
062109         1966/05/21          33.17          PL
062109         1966/05/22          33.33          PL
062109         1966/05/23          33.30          PL
062109         1966/05/24          33.20          PL
062109         1966/05/25          
062109         1966/05/26          
062109         1966/05/27          
062109         1966/05/28          
062109         1966/05/29          
