Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1993-08-27
Station:        070202         À Cassette - à 0,8 km de la rivière des Escoumins                                                                                              
Bassin versant: 40.7 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 24' 30" // -69° 31' 23"

Date de création du fichier: 2012-06-30 02:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
070202         1983/10/15          0.222          MC
070202         1983/10/16          0.220          MC
070202         1983/10/17          0.211          MC
070202         1983/10/18          0.206          MC
070202         1983/10/19          0.196          MC
070202         1983/10/20          0.186          MC
070202         1983/10/21          0.178          MC
070202         1983/10/22          0.170          MC
070202         1983/10/23          0.165          MC
070202         1983/10/24          0.163          MC
070202         1983/10/25          0.151          MC
070202         1983/10/26          0.148          MC
070202         1983/10/27          0.147          MC
070202         1983/10/28          0.143          MC
070202         1983/10/29          0.145          MC
070202         1983/10/30          0.141          MC
070202         1983/10/31          0.145          J
070202         1983/11/01          0.140          MC
070202         1983/11/02          0.142          MC
070202         1983/11/03          0.147          MC
070202         1983/11/04          0.151          MC
070202         1983/11/05          0.167          MC
070202         1983/11/06          0.222          MC
070202         1983/11/07          0.228          MC
070202         1983/11/08          0.211          MC
070202         1983/11/09          0.205          MC
070202         1983/11/10          0.192          MC
070202         1983/11/11          0.204          MC
070202         1983/11/12          0.275          MC
070202         1983/11/13          0.296          MC
070202         1983/11/14          0.268          MC
070202         1983/11/15          0.248          MC
070202         1983/11/16          0.272          MC
070202         1983/11/17          0.508          MC
070202         1983/11/18          0.453          MC
070202         1983/11/19          0.366          MC
070202         1983/11/20          0.306          MC
070202         1983/11/21          0.294          MC
