Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        070204         Des Escoumins - à 9,0 km de son embouchure                                                                                                     
Bassin versant: 768 km²        Régime: Influencé journellement                           
Coordonnées:    (NAD83) 48° 22' 17" // -69° 28' 25"

Date de création du fichier: 2019-11-29 07:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
070204         1992/10/09          8.258          MC
070204         1992/10/10          8.977          MC
070204         1992/10/11          10.04          MC
070204         1992/10/12          9.696          MC
070204         1992/10/13          9.717          MC
070204         1992/10/14          9.987          MC
070204         1992/10/15          9.855          MC
070204         1992/10/16          9.594          MC
070204         1992/10/17          18.46          MC
070204         1992/10/18          22.95          MC
070204         1992/10/19          17.84          MC
070204         1992/10/20          15.51          MC
070204         1992/10/21          12.65          MC
070204         1992/10/22          12.04          MC
070204         1992/10/23          12.21          MC
070204         1992/10/24          14.19          MC
070204         1992/10/25          14.46          MC
070204         1992/10/26          14.96          MC
070204         1992/10/27          21.44          MC
070204         1992/10/28          23.60          MC
070204         1992/10/29          19.08          MC
070204         1992/10/30          16.60          MC
070204         1992/10/31          14.89          MC
070204         1992/11/01          14.05          MC
070204         1992/11/02          13.60          MC
070204         1992/11/03          13.23          J
070204         1992/11/04          13.88          MC
070204         1992/11/05          14.60          MC
070204         1992/11/06          15.00          MC
070204         1992/11/07          13.80          MC
070204         1992/11/08          12.30          MC
070204         1992/11/09          12.11          MC
