Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1994-09-30
Station:        070401         Portneuf - à l'amont des chutes Philias                                                                                                        
Bassin versant: 3085 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 38' 54" // -69° 10' 55"

Date de création du fichier: 2012-06-30 02:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
070401         1973/08/17          86.60          J
070401         1973/08/18          79.90          MC
070401         1973/08/19          73.30          MC
070401         1973/08/20          68.80          MC
070401         1973/08/21          65.10          MC
070401         1973/08/22          63.70          MC
070401         1973/08/23          63.70          MC
070401         1973/08/24          62.00          MC
070401         1973/08/25          59.20          MC
070401         1973/08/26          56.40          MC
070401         1973/08/27          56.40          MC
070401         1973/08/28          54.90          MC
070401         1973/08/29          54.70          MC
070401         1973/08/30          52.70          MC
070401         1973/08/31          50.10          MC
070401         1973/09/01          47.60          MC
070401         1973/09/02          45.60          MC
070401         1973/09/03          43.60          MC
070401         1973/09/04          41.90          MC
070401         1973/09/05          40.50          MC
070401         1973/09/06          42.80          MC
070401         1973/09/07          49.80          MC
070401         1973/09/08          50.10          MC
070401         1973/09/09          46.40          MC
070401         1973/09/10          43.90          MC
070401         1973/09/11          42.20          J
070401         1973/09/12          41.30          MC
070401         1973/09/13          40.80          MC
070401         1973/09/14          40.20          MC
070401         1973/09/15          39.40          MC
070401         1973/09/16          39.40          MC
070401         1973/09/17          39.40          MC
070401         1973/09/18          39.40          MC
070401         1973/09/19          38.20          MC
070401         1973/09/20          37.70          MC
070401         1973/09/21          37.10          MC
070401         1973/09/22          37.40          MC
070401         1973/09/23          36.80          MC
070401         1973/09/24          36.50          MC
070401         1973/09/25          36.50          MC
070401         1973/09/26          36.00          MC
070401         1973/09/27          35.40          MC
070401         1973/09/28          34.80          MC
070401         1973/09/29          34.80          MC
070401         1973/09/30          34.30          MC
070401         1973/10/01          33.70          MC
070401         1973/10/02          33.10          MC
070401         1973/10/03          32.60          MC
070401         1973/10/04          31.70          MC
070401         1973/10/05          31.10          MC
070401         1973/10/06          34.00          MC
070401         1973/10/07          38.50          MC
070401         1973/10/08          37.70          MC
070401         1973/10/09          35.40          MC
070401         1973/10/10          34.00          MC
070401         1973/10/11          33.10          MC
070401         1973/10/12          32.30          MC
070401         1973/10/13          32.00          MC
070401         1973/10/14          33.40          MC
070401         1973/10/15          39.40          MC
070401         1973/10/16          41.60          MC
070401         1973/10/17          40.20          MC
070401         1973/10/18          38.50          MC
070401         1973/10/19          37.70          MC
070401         1973/10/20          36.80          MC
070401         1973/10/21          36.80          MC
070401         1973/10/22          36.20          J
070401         1973/10/23          36.20          MC
070401         1973/10/24          36.20          MC
070401         1973/10/25          36.80          MC
070401         1973/10/26          36.50          MC
070401         1973/10/27          36.50          MC
070401         1973/10/28          36.00          MC
070401         1973/10/29          35.10          MC
070401         1973/10/30          34.30          MC
070401         1973/10/31          43.90          MC
070401         1973/11/01          52.10          MC
070401         1973/11/02          51.50          MC
070401         1973/11/03          48.10          MC
070401         1973/11/04          45.00          MC
070401         1973/11/05          40.80          MC
070401         1973/11/06          34.50          MC
070401         1973/11/07          36.80          MC
070401         1973/11/08          37.40          MC
070401         1973/11/09          37.90          MC
070401         1973/11/10          36.00          MC
070401         1973/11/11          34.30          MC
070401         1973/11/12          31.40          MC
070401         1973/11/13          35.40          MC
070401         1973/11/14          31.40          MC
070401         1973/11/15          32.00          MC
070401         1973/11/16          29.70          MC
070401         1973/11/17          28.90          R
070401         1973/11/18          27.80          R
070401         1973/11/19          26.60          R
070401         1973/11/20          25.80          R
070401         1973/11/21          24.60          R
070401         1973/11/22          23.80          R
070401         1973/11/23          22.90          R
070401         1973/11/24          22.10          R
070401         1973/11/25          21.20          R
070401         1973/11/26          20.50          R
070401         1973/11/27          20.40          R
070401         1973/11/28          21.20          R
070401         1973/11/29          23.80          R
070401         1973/11/30          22.70          R
070401         1973/12/01          20.70          R
070401         1973/12/02          18.70          R
070401         1973/12/03          17.80          R
070401         1973/12/04          17.80          R
070401         1973/12/05          19.30          R
070401         1973/12/06          21.20          R
070401         1973/12/07          29.70          R
070401         1973/12/08          33.40          R
070401         1973/12/09          34.50          R
070401         1973/12/10          36.80          R
070401         1973/12/11          35.40          R
070401         1973/12/12          33.40          R
070401         1973/12/13          31.70          R
070401         1973/12/14          29.70          R
070401         1973/12/15          28.30          R
070401         1973/12/16          28.30          R
070401         1973/12/17          28.90          R
070401         1973/12/18          30.90          R
070401         1973/12/19          33.70          R
070401         1973/12/20          36.20          R
070401         1973/12/21          40.20          R
070401         1973/12/22          43.30          R
070401         1973/12/23          35.40          R
070401         1973/12/24          32.00          R
070401         1973/12/25          34.50          R
070401         1973/12/26          36.00          R
070401         1973/12/27          36.20          R
070401         1973/12/28          34.50          R
070401         1973/12/29          32.80          R
070401         1973/12/30          31.10          R
070401         1973/12/31          30.30          R
070401         1974/01/01          28.90          R
070401         1974/01/02          28.30          R
070401         1974/01/03          26.60          R
070401         1974/01/04          25.50          R
070401         1974/01/05          24.90          R
070401         1974/01/06          24.10          R
070401         1974/01/07          23.20          R
070401         1974/01/08          22.40          R
070401         1974/01/09          21.50          J
070401         1974/01/10          21.00          R
070401         1974/01/11          20.40          R
070401         1974/01/12          19.50          R
070401         1974/01/13          19.00          R
070401         1974/01/14          18.40          R
070401         1974/01/15          17.80          R
070401         1974/01/16          17.60          R
070401         1974/01/17          17.00          R
070401         1974/01/18          16.70          R
070401         1974/01/19          16.10          R
070401         1974/01/20          15.90          R
070401         1974/01/21          15.90          R
070401         1974/01/22          17.00          R
070401         1974/01/23          16.70          R
070401         1974/01/24          16.40          R
070401         1974/01/25          16.10          R
070401         1974/01/26          16.10          R
070401         1974/01/27          17.00          R
070401         1974/01/28          19.80          R
070401         1974/01/29          22.70          R
070401         1974/01/30          22.40          R
070401         1974/01/31          21.80          R
070401         1974/02/01          21.00          R
070401         1974/02/02          20.40          R
070401         1974/02/03          19.50          R
070401         1974/02/04          19.00          R
070401         1974/02/05          18.10          R
070401         1974/02/06          17.60          R
070401         1974/02/07          17.00          R
070401         1974/02/08          16.10          R
070401         1974/02/09          15.30          R
070401         1974/02/10          14.40          R
070401         1974/02/11          13.60          R
070401         1974/02/12          12.70          J
070401         1974/02/13          12.20          R
070401         1974/02/14          11.30          R
070401         1974/02/15          10.50          R
070401         1974/02/16          9.910          R
070401         1974/02/17          9.340          R
070401         1974/02/18          8.780          R
070401         1974/02/19          8.210          R
070401         1974/02/20          7.650          R
070401         1974/02/21          7.500          R
070401         1974/02/22          7.360          R
070401         1974/02/23          7.360          R
070401         1974/02/24          7.500          R
070401         1974/02/25          7.930          R
070401         1974/02/26          8.210          R
070401         1974/02/27          8.350          R
070401         1974/02/28          8.500          R
070401         1974/03/01          8.500          R
070401         1974/03/02          8.500          R
070401         1974/03/03          8.500          R
070401         1974/03/04          8.640          R
070401         1974/03/05          9.060          R
070401         1974/03/06          9.910          R
070401         1974/03/07          10.80          R
070401         1974/03/08          11.30          R
070401         1974/03/09          11.90          R
070401         1974/03/10          12.20          R
070401         1974/03/11          11.30          R
070401         1974/03/12          10.50          R
070401         1974/03/13          9.200          R
070401         1974/03/14          8.780          R
070401         1974/03/15          8.070          R
070401         1974/03/16          7.500          R
070401         1974/03/17          6.940          R
070401         1974/03/18          6.510          R
070401         1974/03/19          6.650          J
070401         1974/03/20          7.080          R
070401         1974/03/21          7.930          R
070401         1974/03/22          8.070          R
070401         1974/03/23          8.210          R
070401         1974/03/24          8.210          R
070401         1974/03/25          8.070          R
070401         1974/03/26          8.070          R
070401         1974/03/27          7.930          R
070401         1974/03/28          7.790          R
070401         1974/03/29          7.500          R
070401         1974/03/30          7.360          R
070401         1974/03/31          7.080          R
070401         1974/04/01          7.020          R
070401         1974/04/02          6.850          R
070401         1974/04/03          6.940          R
070401         1974/04/04          7.080          R
070401         1974/04/05          8.210          R
070401         1974/04/06          9.910          R
070401         1974/04/07          13.00          R
070401         1974/04/08          16.40          R
