Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1956-09-30
Station:        070704         Betsiamites - à la tête de la première chute à 72,4 km de l'embouchure                                                                         
Bassin versant: 16100 km²      Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 49° 10' 58" // -69° 14' 45"

Date de création du fichier: 2012-06-30 02:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
070704         1951/05/16          912.0          MC
070704         1951/05/17          954.0          MC
070704         1951/05/18          968.0          MC
070704         1951/05/19          985.0          MC
070704         1951/05/20          1030           MC
070704         1951/05/21          1080           MC
070704         1951/05/22          1130           MC
070704         1951/05/23          1220           MC
070704         1951/05/24          1300           MC
070704         1951/05/25          1320           MC
070704         1951/05/26          1330           MC
070704         1951/05/27          1350           MC
070704         1951/05/28          1350           MC
070704         1951/05/29          1360           MC
070704         1951/05/30          1340           MC
070704         1951/05/31          1310           MC
070704         1951/06/01          1290           MC
070704         1951/06/02          1250           MC
070704         1951/06/03          1220           MC
070704         1951/06/04          1190           MC
070704         1951/06/05          1150           MC
070704         1951/06/06          1110           MC
070704         1951/06/07          1070           MC
070704         1951/06/08          1030           MC
070704         1951/06/09          983.0          MC
070704         1951/06/10          940.0          MC
070704         1951/06/11          895.0          MC
070704         1951/06/12          850.0          MC
070704         1951/06/13          810.0          MC
070704         1951/06/14          767.0          MC
070704         1951/06/15          725.0          MC
070704         1951/06/16          691.0          MC
070704         1951/06/17          651.0          MC
070704         1951/06/18          620.0          MC
070704         1951/06/19          595.0          MC
070704         1951/06/20          564.0          MC
070704         1951/06/21          547.0          MC
070704         1951/06/22          538.0          MC
070704         1951/06/23          510.0          MC
070704         1951/06/24          493.0          MC
070704         1951/06/25          476.0          MC
070704         1951/06/26          467.0          MC
070704         1951/06/27          450.0          MC
070704         1951/06/28          428.0          MC
070704         1951/06/29          405.0          MC
070704         1951/06/30          391.0          MC
070704         1951/07/01          382.0          MC
070704         1951/07/02          377.0          MC
070704         1951/07/03          365.0          MC
070704         1951/07/04          354.0          MC
070704         1951/07/05          348.0          MC
070704         1951/07/06          334.0          MC
070704         1951/07/07          323.0          MC
070704         1951/07/08          306.0          MC
070704         1951/07/09          297.0          MC
070704         1951/07/10          300.0          MC
070704         1951/07/11          297.0          MC
070704         1951/07/12          286.0          MC
070704         1951/07/13          279.0          MC
070704         1951/07/14          274.0          MC
070704         1951/07/15          268.0          MC
070704         1951/07/16          259.0          MC
070704         1951/07/17          254.0          MC
070704         1951/07/18          245.0          MC
070704         1951/07/19          240.0          MC
070704         1951/07/20          237.0          MC
070704         1951/07/21          234.0          MC
070704         1951/07/22          229.0          MC
070704         1951/07/23          224.0          MC
070704         1951/07/24          216.0          MC
070704         1951/07/25          213.0          MC
070704         1951/07/26          213.0          MC
070704         1951/07/27          218.0          MC
070704         1951/07/28          218.0          MC
070704         1951/07/29          213.0          MC
070704         1951/07/30          213.0          MC
070704         1951/07/31          216.0          MC
070704         1951/08/01          234.0          MC
070704         1951/08/02          240.0          MC
070704         1951/08/03          240.0          MC
070704         1951/08/04          240.0          MC
070704         1951/08/05          240.0          MC
070704         1951/08/06          240.0          MC
070704         1951/08/07          237.0          MC
070704         1951/08/08          234.0          MC
070704         1951/08/09          229.0          MC
070704         1951/08/10          229.0          MC
070704         1951/08/11          226.0          MC
070704         1951/08/12          224.0          MC
070704         1951/08/13          224.0          MC
070704         1951/08/14          218.0          MC
070704         1951/08/15          213.0          MC
070704         1951/08/16          213.0          MC
070704         1951/08/17          208.0          MC
070704         1951/08/18          203.0          MC
070704         1951/08/19          203.0          MC
070704         1951/08/20          203.0          MC
070704         1951/08/21          203.0          MC
070704         1951/08/22          198.0          MC
070704         1951/08/23          203.0          MC
070704         1951/08/24          203.0          MC
070704         1951/08/25          203.0          MC
070704         1951/08/26          201.0          MC
070704         1951/08/27          198.0          MC
070704         1951/08/28          198.0          MC
070704         1951/08/29          198.0          MC
070704         1951/08/30          198.0          MC
070704         1951/08/31          193.0          MC
070704         1951/09/01          191.0          MC
070704         1951/09/02          188.0          MC
070704         1951/09/03          183.0          MC
070704         1951/09/04          178.0          MC
070704         1951/09/05          178.0          MC
070704         1951/09/06          176.0          MC
070704         1951/09/07          174.0          MC
070704         1951/09/08          176.0          MC
070704         1951/09/09          174.0          MC
070704         1951/09/10          169.0          MC
070704         1951/09/11          164.0          MC
070704         1951/09/12          164.0          MC
070704         1951/09/13          164.0          MC
070704         1951/09/14          164.0          MC
070704         1951/09/15          178.0          MC
070704         1951/09/16          198.0          MC
070704         1951/09/17          191.0          MC
070704         1951/09/18          188.0          MC
070704         1951/09/19          186.0          MC
070704         1951/09/20          183.0          MC
070704         1951/09/21          183.0          MC
070704         1951/09/22          183.0          MC
070704         1951/09/23          188.0          MC
070704         1951/09/24          191.0          MC
070704         1951/09/25          193.0          MC
070704         1951/09/26          198.0          MC
070704         1951/09/27          206.0          MC
070704         1951/09/28          224.0          MC
070704         1951/09/29          243.0          MC
070704         1951/09/30          251.0          MC
070704         1951/10/01          254.0          MC
070704         1951/10/02          259.0          MC
070704         1951/10/03          265.0          MC
070704         1951/10/04          268.0          MC
070704         1951/10/05          274.0          MC
070704         1951/10/06          279.0          MC
070704         1951/10/07          283.0          MC
070704         1951/10/08          286.0          MC
070704         1951/10/09          294.0          MC
070704         1951/10/10          303.0          MC
070704         1951/10/11          306.0          MC
070704         1951/10/12          306.0          MC
070704         1951/10/13          309.0          MC
070704         1951/10/14          306.0          MC
070704         1951/10/15          303.0          MC
070704         1951/10/16          303.0          MC
070704         1951/10/17          300.0          MC
070704         1951/10/18          300.0          MC
070704         1951/10/19          294.0          MC
070704         1951/10/20          292.0          MC
070704         1951/10/21          294.0          MC
070704         1951/10/22          292.0          MC
070704         1951/10/23          289.0          MC
070704         1951/10/24          286.0          MC
070704         1951/10/25          289.0          MC
070704         1951/10/26          306.0          MC
070704         1951/10/27          317.0          MC
070704         1951/10/28          323.0          MC
070704         1951/10/29          317.0          MC
070704         1951/10/30          317.0          MC
070704         1951/10/31          317.0          MC
070704         1951/11/01          317.0          MC
070704         1951/11/02          311.0          MC
070704         1951/11/03          309.0          MC
070704         1951/11/04          337.0          MC
070704         1951/11/05          351.0          MC
070704         1951/11/06          337.0          MC
070704         1951/11/07          331.0          MC
070704         1951/11/08          343.0          MC
070704         1951/11/09          348.0          MC
070704         1951/11/10          345.0          MC
070704         1951/11/11          337.0          MC
070704         1951/11/12          334.0          MC
070704         1951/11/13          326.0          MC
