Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-05, préliminaires par la suite
Station:        071203         Aux Anglais - à la décharge du lac Inconnu à Baie-Comeau                                                                                       
Bassin versant: 431 km²        Régime: Influencé                                         
Coordonnées:    (NAD83) 49° 19' 22" // -68° 9' 26"

Date de création du fichier: 2019-11-28 19:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
071203         2008/10/16          6.373          MJ
071203         2008/10/17          6.291          J
071203         2008/10/18          6.051          MJ
071203         2008/10/19          5.835          MJ
071203         2008/10/20          5.647          MJ
071203         2008/10/21          5.589          MJ
071203         2008/10/22          5.570          MJ
071203         2008/10/23          5.554          MJ
071203         2008/10/24          5.490          MJ
071203         2008/10/25          5.359          MJ
071203         2008/10/26          5.949          MJ
071203         2008/10/27          6.851          MJ
071203         2008/10/28          7.990          MJ
071203         2008/10/29          9.633          MJ
071203         2008/10/30          11.53          MJ
071203         2008/10/31          13.20          MJ
071203         2008/11/01          13.94          MJ
071203         2008/11/02          13.64          MJ
071203         2008/11/03          12.99          MJ
071203         2008/11/04          12.19          MJ
071203         2008/11/05          11.39          MJ
071203         2008/11/06          10.61          MJ
071203         2008/11/07          9.861          MJ
071203         2008/11/08          9.330          MJ
071203         2008/11/09          9.566          MJ
071203         2008/11/10          10.27          MJ
071203         2008/11/11          11.11          MJ
071203         2008/11/12          16.00          MJ
071203         2008/11/13          22.46          MJ
071203         2008/11/14          17.21          MJ
071203         2008/11/15          14.26          MJ
071203         2008/11/16          16.37          MJ
071203         2008/11/17          27.73          MJ
071203         2008/11/18          35.33          MJ
071203         2008/11/19          34.43          MJ
