Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        071801         Riverin - à environ 6.3 km de l'embouchure                                                                                                     
Bassin versant: 219.5 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 49' 7" // -67° 9' 51"

Date de création du fichier: 2019-11-29 23:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
071801         2014/10/15          6.316          MJ
071801         2014/10/16          6.310          MJ
071801         2014/10/17          14.18          MJ
071801         2014/10/18          35.78          MJ
071801         2014/10/19          20.69          MJ
071801         2014/10/20          15.50          MJ
071801         2014/10/21          11.67          MJ
071801         2014/10/22          9.121          MJ
071801         2014/10/23          7.510          MJ
071801         2014/10/24          6.391          MJ
071801         2014/10/25          5.545          MJ
071801         2014/10/26          6.427          MJ
071801         2014/10/27          8.726          MJ
071801         2014/10/28          9.325          MJ
071801         2014/10/29          8.677          MJ
071801         2014/10/30          9.564          MJ
071801         2014/10/31          9.147          MJ
071801         2014/11/01          7.244          MJ
071801         2014/11/02          5.948          MJ
071801         2014/11/03          5.392          MJ
071801         2014/11/04          4.674          MJ
071801         2014/11/05          4.347          MJ
071801         2014/11/06          4.636          MJ
071801         2014/11/07          4.759          MJ
071801         2014/11/08          4.533          MJ
071801         2014/11/09          3.921          MJ
071801         2014/11/10          3.459          MJ
071801         2014/11/11          2.971          MJ
071801         2014/11/12          2.893          MJ
071801         2014/11/13          2.855          MJ
071801         2014/11/14          2.671          MJ
071801         2014/11/15          2.423          MJ
071801         2014/11/16          2.144          MJ
071801         2014/11/17          2.115          MJ
071801         2014/11/18          2.208          MJ
071801         2014/11/19          2.280          MJ
071801         2014/11/20          2.010          MJ
071801         2014/11/21          1.920          MJ
071801         2014/11/22          1.822          MJ
071801         2014/11/23          1.782          MJ
071801         2014/11/24          1.797          MJ
071801         2014/11/25          3.040          MJ
071801         2014/11/26          6.887          MJ
071801         2014/11/27          6.744          MJ
071801         2014/11/28          4.975          MJ
071801         2014/11/29          3.988          MJ
071801         2014/11/30          3.320          R
071801         2014/12/01          2.810          R
071801         2014/12/02          2.500          R
071801         2014/12/03          2.320          R
071801         2014/12/04          2.190          R
071801         2014/12/05          2.070          R
071801         2014/12/06          1.980          R
071801         2014/12/07          1.920          R
071801         2014/12/08          1.870          R
071801         2014/12/09          1.840          R
071801         2014/12/10          1.830          R
071801         2014/12/11          2.270          R
071801         2014/12/12          2.940          R
071801         2014/12/13          3.850          R
071801         2014/12/14          4.970          R
071801         2014/12/15          6.190          R
071801         2014/12/16          5.370          R
071801         2014/12/17          4.690          R
071801         2014/12/18          4.120          R
071801         2014/12/19          3.650          R
071801         2014/12/20          3.280          R
071801         2014/12/21          2.990          R
071801         2014/12/22          2.770          R
071801         2014/12/23          2.610          R
071801         2014/12/24          2.520          R
071801         2014/12/25          3.800          R
071801         2014/12/26          5.690          R
071801         2014/12/27          5.930          R
071801         2014/12/28          4.800          R
071801         2014/12/29          4.040          R
071801         2014/12/30          3.510          R
071801         2014/12/31          3.110          R
071801         2015/01/01          2.800          R
071801         2015/01/02          2.540          R
071801         2015/01/03          2.360          R
071801         2015/01/04          2.210          R
071801         2015/01/05          2.070          R
071801         2015/01/06          1.950          R
071801         2015/01/07          1.840          R
071801         2015/01/08          1.740          R
071801         2015/01/09          1.650          R
071801         2015/01/10          1.570          R
071801         2015/01/11          1.500          R
071801         2015/01/12          1.430          R
071801         2015/01/13          1.370          R
071801         2015/01/14          1.320          R
071801         2015/01/15          1.260          R
071801         2015/01/16          1.210          R
071801         2015/01/17          1.170          R
071801         2015/01/18          1.120          R
071801         2015/01/19          1.350          R
071801         2015/01/20          2.030          R
071801         2015/01/21          2.710          R
071801         2015/01/22          2.790          R
071801         2015/01/23          2.310          R
071801         2015/01/24          1.980          R
071801         2015/01/25          1.740          R
071801         2015/01/26          1.570          R
071801         2015/01/27          1.450          J
071801         2015/01/28          1.360          R
071801         2015/01/29          1.280          R
071801         2015/01/30          1.210          R
071801         2015/01/31          1.140          R
071801         2015/02/01          1.090          R
071801         2015/02/02          1.030          R
071801         2015/02/03          0.986          R
071801         2015/02/04          0.943          R
071801         2015/02/05          0.904          R
071801         2015/02/06          0.869          R
071801         2015/02/07          0.838          R
071801         2015/02/08          0.809          R
071801         2015/02/09          0.783          R
071801         2015/02/10          0.759          R
071801         2015/02/11          0.737          R
071801         2015/02/12          0.717          R
071801         2015/02/13          0.699          R
071801         2015/02/14          0.683          R
071801         2015/02/15          0.668          R
071801         2015/02/16          0.654          R
071801         2015/02/17          0.642          R
071801         2015/02/18          0.630          R
071801         2015/02/19          0.620          R
071801         2015/02/20          0.610          R
071801         2015/02/21          0.601          R
071801         2015/02/22          0.592          R
071801         2015/02/23          0.584          R
071801         2015/02/24          0.575          R
071801         2015/02/25          0.567          R
071801         2015/02/26          0.559          R
071801         2015/02/27          0.552          R
071801         2015/02/28          0.544          R
071801         2015/03/01          0.530          R
071801         2015/03/02          0.523          R
071801         2015/03/03          0.517          J
071801         2015/03/04          0.510          R
071801         2015/03/05          0.504          R
071801         2015/03/06          0.498          R
071801         2015/03/07          0.493          R
071801         2015/03/08          0.487          R
071801         2015/03/09          0.482          R
071801         2015/03/10          0.477          R
071801         2015/03/11          0.472          R
071801         2015/03/12          0.467          R
071801         2015/03/13          0.462          R
071801         2015/03/14          0.458          R
071801         2015/03/15          0.453          R
071801         2015/03/16          0.449          R
071801         2015/03/17          0.445          R
071801         2015/03/18          0.441          R
071801         2015/03/19          0.438          R
071801         2015/03/20          0.434          R
071801         2015/03/21          0.431          R
071801         2015/03/22          0.428          R
071801         2015/03/23          0.425          R
071801         2015/03/24          0.422          R
071801         2015/03/25          0.419          R
071801         2015/03/26          0.416          R
071801         2015/03/27          0.414          R
071801         2015/03/28          0.412          R
071801         2015/03/29          0.409          R
071801         2015/03/30          0.407          R
071801         2015/03/31          0.405          R
071801         2015/04/01          0.404          R
071801         2015/04/02          0.402          R
071801         2015/04/03          0.400          R
071801         2015/04/04          0.399          R
071801         2015/04/05          0.398          R
071801         2015/04/06          0.397          R
071801         2015/04/07          0.396          R
071801         2015/04/08          0.395          R
071801         2015/04/09          0.394          R
071801         2015/04/10          0.393          R
071801         2015/04/11          0.398          R
071801         2015/04/12          0.435          R
071801         2015/04/13          0.509          R
071801         2015/04/14          0.635          R
071801         2015/04/15          0.839          R
071801         2015/04/16          1.170          R
071801         2015/04/17          1.700          R
071801         2015/04/18          2.580          R
071801         2015/04/19          2.970          R
071801         2015/04/20          3.440          R
071801         2015/04/21          3.800          R
071801         2015/04/22          3.470          R
071801         2015/04/23          3.760          R
071801         2015/04/24          3.230          R
071801         2015/04/25          3.610          R
071801         2015/04/26          5.760          R
071801         2015/04/27          13.29          R
071801         2015/04/28          33.37          MJ
071801         2015/04/29          59.55          MJ
071801         2015/04/30          59.33          MJ
071801         2015/05/01          45.27          MJ
071801         2015/05/02          36.51          MJ
071801         2015/05/03          33.92          MJ
