Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1983-06-08
Station:        072201         Des Rapides - à 3,1 km de l'embouchure                                                                                                         
Bassin versant: 557 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 50° 17' 7" // -66° 27' 7"

Date de création du fichier: 2012-06-30 03:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
072201         1947/07/16          6.600          MC
072201         1947/07/17          6.400          MC
072201         1947/07/18          5.690          MC
072201         1947/07/19          5.010          MC
072201         1947/07/20          5.240          MC
072201         1947/07/21          5.470          MC
072201         1947/07/22          6.480          MC
072201         1947/07/23          7.500          MC
072201         1947/07/24          9.570          MC
072201         1947/07/25          11.70          MC
072201         1947/07/26          13.30          MC
072201         1947/07/27          15.00          MC
072201         1947/07/28          15.20          MC
072201         1947/07/29          15.50          MC
072201         1947/07/30          15.50          MC
072201         1947/07/31          15.50          MC
072201         1947/08/01          13.70          MC
072201         1947/08/02          12.00          MC
072201         1947/08/03          11.20          MC
072201         1947/08/04          10.40          MC
072201         1947/08/05          9.540          MC
072201         1947/08/06          8.660          MC
072201         1947/08/07          7.670          MC
072201         1947/08/08          6.710          MC
072201         1947/08/09          6.140          MC
072201         1947/08/10          5.550          MC
072201         1947/08/11          5.350          MC
072201         1947/08/12          5.180          MC
072201         1947/08/13          4.900          MC
072201         1947/08/14          4.620          MC
072201         1947/08/15          5.660          MC
072201         1947/08/16          6.710          MC
072201         1947/08/17          7.050          MC
072201         1947/08/18          7.390          MC
072201         1947/08/19          7.390          MC
072201         1947/08/20          7.390          MC
072201         1947/08/21          6.600          MC
072201         1947/08/22          5.800          MC
072201         1947/08/23          5.580          MC
072201         1947/08/24          5.350          MC
072201         1947/08/25          5.580          MC
072201         1947/08/26          5.800          MC
072201         1947/08/27          5.580          MC
072201         1947/08/28          5.350          MC
072201         1947/08/29          5.580          MC
072201         1947/08/30          5.800          MC
072201         1947/08/31          6.060          MC
072201         1947/09/01          6.310          MC
072201         1947/09/02          6.850          MC
072201         1947/09/03          7.390          MC
072201         1947/09/04          9.850          MC
072201         1947/09/05          12.30          MC
072201         1947/09/06          12.70          MC
072201         1947/09/07          13.10          MC
072201         1947/09/08          11.90          MC
072201         1947/09/09          10.70          MC
072201         1947/09/10          10.00          MC
072201         1947/09/11          9.340          MC
072201         1947/09/12          9.000          MC
072201         1947/09/13          8.660          MC
072201         1947/09/14          8.660          MC
072201         1947/09/15          8.660          MC
072201         1947/09/16          9.340          MC
072201         1947/09/17          10.00          MC
072201         1947/09/18          10.80          MC
072201         1947/09/19          11.50          MC
072201         1947/09/20          10.80          MC
072201         1947/09/21          10.00          MC
072201         1947/09/22          8.950          MC
072201         1947/09/23          8.660          MC
072201         1947/09/24          8.660          MC
072201         1947/09/25          8.660          MC
072201         1947/09/26          8.660          MC
072201         1947/09/27          8.660          MC
072201         1947/09/28          8.330          MC
072201         1947/09/29          7.990          MC
072201         1947/09/30          7.080          MC
072201         1947/10/01          6.200          MC
072201         1947/10/02          6.200          MC
072201         1947/10/03          6.200          MC
072201         1947/10/04          5.950          MC
072201         1947/10/05          5.720          MC
072201         1947/10/06          5.490          MC
072201         1947/10/07          5.270          MC
072201         1947/10/08          5.070          MC
072201         1947/10/09          4.840          MC
072201         1947/10/10          4.810          MC
072201         1947/10/11          4.790          MC
072201         1947/10/12          4.450          MC
072201         1947/10/13          4.110          MC
072201         1947/10/14          3.940          MC
072201         1947/10/15          3.770          MC
072201         1947/10/16          3.940          MC
072201         1947/10/17          4.110          MC
072201         1947/10/18          3.940          MC
072201         1947/10/19          3.770          MC
072201         1947/10/20          4.300          MC
072201         1947/10/21          4.840          MC
072201         1947/10/22          5.750          MC
072201         1947/10/23          6.680          MC
072201         1947/10/24          6.680          MC
072201         1947/10/25          6.680          MC
072201         1947/10/26          6.460          MC
072201         1947/10/27          6.200          MC
072201         1947/10/28          5.950          MC
072201         1947/10/29          5.720          MC
072201         1947/10/30          5.490          MC
072201         1947/10/31          5.270          MC
072201         1947/11/01          4.810          MC
072201         1947/11/02          4.390          MC
072201         1947/11/03          4.220          MC
072201         1947/11/04          4.020          MC
072201         1947/11/05          3.850          MC
072201         1947/11/06          3.710          MC
072201         1947/11/07          3.570          MC
072201         1947/11/08          3.400          MC
072201         1947/11/09          3.540          MC
072201         1947/11/10          3.710          MC
072201         1947/11/11          3.880          MC
072201         1947/11/12          4.020          MC
072201         1947/11/13          3.850          MC
072201         1947/11/14          3.710          MC
072201         1947/11/15          3.710          MC
072201         1947/11/16          3.710          MC
072201         1947/11/17          4.450          MC
072201         1947/11/18          5.180          MC
072201         1947/11/19          7.790          MC
072201         1947/11/20          10.40          MC
072201         1947/11/21          10.40          MC
072201         1947/11/22          10.40          MC
072201         1947/11/23          9.400          MC
072201         1947/11/24          8.380          MC
072201         1947/11/25          8.070          MC
072201         1947/11/26          7.760          MC
072201         1947/11/27          
072201         1947/11/28          
072201         1947/11/29          
072201         1947/11/30          
072201         1947/12/01          
072201         1947/12/02          
072201         1947/12/03          
072201         1947/12/04          
072201         1947/12/05          
072201         1947/12/06          
072201         1947/12/07          
072201         1947/12/08          
072201         1947/12/09          
072201         1947/12/10          
072201         1947/12/11          
072201         1947/12/12          
072201         1947/12/13          
072201         1947/12/14          
072201         1947/12/15          
072201         1947/12/16          
072201         1947/12/17          
072201         1947/12/18          
072201         1947/12/19          
072201         1947/12/20          
072201         1947/12/21          
072201         1947/12/22          
072201         1947/12/23          
072201         1947/12/24          
072201         1947/12/25          
072201         1947/12/26          
072201         1947/12/27          
072201         1947/12/28          
072201         1947/12/29          
072201         1947/12/30          
072201         1947/12/31          
072201         1948/01/01          
072201         1948/01/02          
072201         1948/01/03          
072201         1948/01/04          
072201         1948/01/05          
072201         1948/01/06          
072201         1948/01/07          
072201         1948/01/08          
072201         1948/01/09          
072201         1948/01/10          
072201         1948/01/11          
072201         1948/01/12          
072201         1948/01/13          
072201         1948/01/14          
072201         1948/01/15          
072201         1948/01/16          
072201         1948/01/17          
072201         1948/01/18          
072201         1948/01/19          
072201         1948/01/20          
072201         1948/01/21          
072201         1948/01/22          
072201         1948/01/23          
072201         1948/01/24          
072201         1948/01/25          
072201         1948/01/26          
072201         1948/01/27          
072201         1948/01/28          
072201         1948/01/29          
072201         1948/01/30          
072201         1948/01/31          
072201         1948/02/01          
072201         1948/02/02          
072201         1948/02/03          
072201         1948/02/04          
072201         1948/02/05          
072201         1948/02/06          
072201         1948/02/07          
072201         1948/02/08          
072201         1948/02/09          
072201         1948/02/10          
072201         1948/02/11          
072201         1948/02/12          
072201         1948/02/13          
072201         1948/02/14          
072201         1948/02/15          
072201         1948/02/16          
072201         1948/02/17          
072201         1948/02/18          
072201         1948/02/19          
072201         1948/02/20          
072201         1948/02/21          
072201         1948/02/22          
072201         1948/02/23          
072201         1948/02/24          
072201         1948/02/25          
072201         1948/02/26          
072201         1948/02/27          
072201         1948/02/28          
072201         1948/02/29          
072201         1948/03/01          
072201         1948/03/02          
072201         1948/03/03          
072201         1948/03/04          
072201         1948/03/05          
072201         1948/03/06          
072201         1948/03/07          
072201         1948/03/08          
072201         1948/03/09          
072201         1948/03/10          
072201         1948/03/11          
072201         1948/03/12          
072201         1948/03/13          
072201         1948/03/14          
072201         1948/03/15          
072201         1948/03/16          
072201         1948/03/17          
072201         1948/03/18          
072201         1948/03/19          
072201         1948/03/20          
072201         1948/03/21          
072201         1948/03/22          
072201         1948/03/23          
072201         1948/03/24          
072201         1948/03/25          
072201         1948/03/26          
072201         1948/03/27          
072201         1948/03/28          
072201         1948/03/29          
072201         1948/03/30          
072201         1948/03/31          
072201         1948/04/01          
072201         1948/04/02          
072201         1948/04/03          
072201         1948/04/04          
072201         1948/04/05          
072201         1948/04/06          
072201         1948/04/07          
072201         1948/04/08          
072201         1948/04/09          
072201         1948/04/10          
072201         1948/04/11          
072201         1948/04/12          
072201         1948/04/13          
072201         1948/04/14          
072201         1948/04/15          
072201         1948/04/16          
072201         1948/04/17          
072201         1948/04/18          
072201         1948/04/19          
072201         1948/04/20          
072201         1948/04/21          
072201         1948/04/22          
072201         1948/04/23          
072201         1948/04/24          
072201         1948/04/25          
072201         1948/04/26          2.940          MC
072201         1948/04/27          2.940          MC
072201         1948/04/28          2.970          MC
072201         1948/04/29          3.230          MC
072201         1948/04/30          3.450          MC
072201         1948/05/01          3.960          MC
072201         1948/05/02          4.470          MC
072201         1948/05/03          9.540          MC
072201         1948/05/04          14.60          MC
072201         1948/05/05          20.90          MC
072201         1948/05/06          27.10          MC
072201         1948/05/07          40.50          MC
072201         1948/05/08          54.10          MC
072201         1948/05/09          77.30          MC
072201         1948/05/10          100.0          MC
072201         1948/05/11          118.0          MC
072201         1948/05/12          135.0          MC
072201         1948/05/13          116.0          MC
072201         1948/05/14          97.70          MC
072201         1948/05/15          88.90          MC
072201         1948/05/16          79.90          MC
072201         1948/05/17          74.50          MC
072201         1948/05/18          69.10          MC
072201         1948/05/19          93.40          MC
072201         1948/05/20          118.0          MC
072201         1948/05/21          104.0          MC
072201         1948/05/22          90.00          MC
072201         1948/05/23          150.0          MC
072201         1948/05/24          210.0          MC
072201         1948/05/25          176.0          MC
072201         1948/05/26          142.0          MC
072201         1948/05/27          122.0          MC
072201         1948/05/28          103.0          MC
072201         1948/05/29          82.40          MC
072201         1948/05/30          62.00          MC
072201         1948/05/31          52.10          MC
072201         1948/06/01          42.20          MC
072201         1948/06/02          36.00          MC
072201         1948/06/03          29.70          MC
072201         1948/06/04          27.30          MC
072201         1948/06/05          24.90          MC
072201         1948/06/06          21.40          MC
072201         1948/06/07          17.80          MC
072201         1948/06/08          14.50          MC
072201         1948/06/09          13.60          MC
072201         1948/06/10          12.00          MC
072201         1948/06/11          10.40          MC
072201         1948/06/12          9.740          MC
072201         1948/06/13          9.060          MC
072201         1948/06/14          8.410          MC
072201         1948/06/15          7.760          MC
072201         1948/06/16          9.170          MC
072201         1948/06/17          10.60          MC
072201         1948/06/18          10.90          MC
072201         1948/06/19          11.20          MC
072201         1948/06/20          10.20          MC
072201         1948/06/21          9.200          MC
072201         1948/06/22          8.500          MC
072201         1948/06/23          7.760          MC
072201         1948/06/24          7.160          MC
072201         1948/06/25          6.600          MC
072201         1948/06/26          7.190          MC
072201         1948/06/27          7.760          MC
072201         1948/06/28          7.760          MC
072201         1948/06/29          7.760          MC
072201         1948/06/30          8.550          MC
