Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1986-07-21
Station:        072502         Matamec - à la sortie du lac Matamec                                                                                                           
Bassin versant: 458 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 50° 20' 30" // -65° 56' 16"

Date de création du fichier: 2012-06-30 03:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
072502         1974/06/12          57.80          J
072502         1974/06/13          55.20          MC
072502         1974/06/14          50.70          MC
072502         1974/06/15          46.40          MC
072502         1974/06/16          42.20          MC
072502         1974/06/17          38.20          MC
072502         1974/06/18          37.70          MC
072502         1974/06/19          46.20          MC
072502         1974/06/20          52.10          MC
072502         1974/06/21          51.50          MC
072502         1974/06/22          47.90          MC
072502         1974/06/23          43.60          MC
072502         1974/06/24          39.60          MC
072502         1974/06/25          36.00          MC
072502         1974/06/26          32.60          MC
072502         1974/06/27          28.90          MC
072502         1974/06/28          26.10          MC
072502         1974/06/29          23.40          MC
072502         1974/06/30          21.10          MC
072502         1974/07/01          19.00          MC
072502         1974/07/02          17.40          MC
072502         1974/07/03          16.20          MC
072502         1974/07/04          15.10          MC
072502         1974/07/05          13.90          MC
072502         1974/07/06          13.10          MC
072502         1974/07/07          12.10          MC
072502         1974/07/08          11.30          MC
072502         1974/07/09          10.60          MC
072502         1974/07/10          10.70          MC
072502         1974/07/11          10.80          MC
072502         1974/07/12          10.80          MC
072502         1974/07/13          10.50          MC
072502         1974/07/14          10.30          MC
072502         1974/07/15          9.910          MC
072502         1974/07/16          9.430          MC
072502         1974/07/17          8.860          MC
072502         1974/07/18          8.350          MC
072502         1974/07/19          8.270          MC
072502         1974/07/20          7.900          MC
072502         1974/07/21          7.620          MC
