Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1986-07-08
Station:        072503         Matamec - à 0,8 km en aval de la rivière aux Rats Musqués                                                                                      
Bassin versant: 679 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 50° 17' 36" // -65° 57' 45"

Date de création du fichier: 2012-06-30 03:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
072503         1975/05/27          50.10          MC
072503         1975/05/28          48.40          MC
072503         1975/05/29          45.00          J
072503         1975/05/30          41.60          MC
072503         1975/05/31          40.20          MC
072503         1975/06/01          38.50          MC
072503         1975/06/02          88.10          MC
072503         1975/06/03          107.0          MC
072503         1975/06/04          88.90          MC
072503         1975/06/05          77.60          MC
072503         1975/06/06          68.20          MC
072503         1975/06/07          60.00          MC
072503         1975/06/08          53.00          MC
072503         1975/06/09          47.30          MC
072503         1975/06/10          42.80          MC
072503         1975/06/11          38.20          MC
072503         1975/06/12          34.80          MC
072503         1975/06/13          33.10          MC
072503         1975/06/14          54.90          MC
072503         1975/06/15          71.40          MC
072503         1975/06/16          72.80          MC
072503         1975/06/17          81.60          MC
072503         1975/06/18          78.40          MC
072503         1975/06/19          91.70          MC
072503         1975/06/20          90.60          MC
072503         1975/06/21          78.20          MC
072503         1975/06/22          69.40          MC
072503         1975/06/23          63.10          MC
072503         1975/06/24          60.90          MC
072503         1975/06/25          57.50          MC
072503         1975/06/26          52.40          MC
072503         1975/06/27          47.60          MC
072503         1975/06/28          42.80          MC
072503         1975/06/29          38.50          MC
072503         1975/06/30          35.40          MC
072503         1975/07/01          25.00          E
072503         1975/07/02          22.70          E
072503         1975/07/03          20.90          E
072503         1975/07/04          18.80          E
072503         1975/07/05          17.20          E
072503         1975/07/06          15.70          E
072503         1975/07/07          14.30          E
072503         1975/07/08          13.50          E
072503         1975/07/09          12.50          E
072503         1975/07/10          12.10          E
072503         1975/07/11          12.20          E
072503         1975/07/12          12.90          E
072503         1975/07/13          13.20          E
072503         1975/07/14          12.40          E
072503         1975/07/15          11.20          J
072503         1975/07/16          10.70          MC
072503         1975/07/17          12.50          MC
072503         1975/07/18          15.90          MC
072503         1975/07/19          16.10          MC
072503         1975/07/20          15.10          MC
072503         1975/07/21          17.80          MC
072503         1975/07/22          52.10          MC
072503         1975/07/23          50.40          MC
072503         1975/07/24          41.30          MC
072503         1975/07/25          39.40          MC
072503         1975/07/26          36.50          MC
072503         1975/07/27          33.40          MC
072503         1975/07/28          30.90          MC
072503         1975/07/29          28.60          MC
072503         1975/07/30          27.30          MC
072503         1975/07/31          25.70          MC
072503         1975/08/01          22.80          MC
072503         1975/08/02          20.70          MC
072503         1975/08/03          18.20          MC
072503         1975/08/04          17.10          MC
072503         1975/08/05          15.80          MC
072503         1975/08/06          16.00          MC
072503         1975/08/07          14.40          MC
072503         1975/08/08          13.40          MC
072503         1975/08/09          12.50          MC
072503         1975/08/10          11.90          MC
072503         1975/08/11          10.40          MC
072503         1975/08/12          9.430          MC
072503         1975/08/13          8.830          MC
072503         1975/08/14          8.410          MC
072503         1975/08/15          8.520          MC
072503         1975/08/16          8.130          MC
072503         1975/08/17          7.650          MC
072503         1975/08/18          7.960          MC
072503         1975/08/19          7.930          MC
072503         1975/08/20          7.670          MC
072503         1975/08/21          7.330          MC
072503         1975/08/22          7.420          E
072503         1975/08/23          6.910          E
072503         1975/08/24          6.630          E
072503         1975/08/25          6.340          E
072503         1975/08/26          5.780          J
072503         1975/08/27          5.690          MC
072503         1975/08/28          6.800          MC
072503         1975/08/29          8.010          MC
072503         1975/08/30          7.050          MC
072503         1975/08/31          6.120          MC
072503         1975/09/01          5.720          MC
072503         1975/09/02          5.470          MC
072503         1975/09/03          5.470          MC
072503         1975/09/04          5.320          MC
072503         1975/09/05          4.810          MC
072503         1975/09/06          4.280          MC
072503         1975/09/07          3.790          MC
072503         1975/09/08          3.740          MC
072503         1975/09/09          4.470          MC
072503         1975/09/10          5.130          MC
072503         1975/09/11          5.610          MC
072503         1975/09/12          7.990          MC
072503         1975/09/13          19.30          MC
072503         1975/09/14          19.30          MC
072503         1975/09/15          17.80          MC
072503         1975/09/16          20.20          MC
072503         1975/09/17          20.50          MC
072503         1975/09/18          20.50          MC
072503         1975/09/19          19.70          MC
072503         1975/09/20          19.10          MC
072503         1975/09/21          18.90          MC
072503         1975/09/22          17.60          MC
072503         1975/09/23          18.40          MC
072503         1975/09/24          18.20          MC
072503         1975/09/25          18.70          MC
072503         1975/09/26          17.80          E
072503         1975/09/27          18.20          E
072503         1975/09/28          20.40          E
072503         1975/09/29          21.30          E
072503         1975/09/30          20.70          E
072503         1975/10/01          23.40          E
072503         1975/10/02          28.10          E
072503         1975/10/03          28.60          E
072503         1975/10/04          27.00          E
072503         1975/10/05          25.20          E
072503         1975/10/06          23.70          E
072503         1975/10/07          22.00          E
072503         1975/10/08          20.10          E
072503         1975/10/09          18.40          E
072503         1975/10/10          16.90          E
072503         1975/10/11          15.40          E
072503         1975/10/12          14.30          E
072503         1975/10/13          13.50          E
072503         1975/10/14          12.70          E
072503         1975/10/15          11.70          E
072503         1975/10/16          11.00          E
072503         1975/10/17          10.20          E
072503         1975/10/18          9.430          E
072503         1975/10/19          8.890          E
072503         1975/10/20          8.500          E
072503         1975/10/21          8.580          J
072503         1975/10/22          9.910          MC
072503         1975/10/23          10.20          MC
072503         1975/10/24          8.780          MC
072503         1975/10/25          8.610          MC
072503         1975/10/26          8.610          MC
072503         1975/10/27          8.610          MC
072503         1975/10/28          8.830          MC
072503         1975/10/29          8.950          MC
072503         1975/10/30          8.950          MC
072503         1975/10/31          8.980          MC
072503         1975/11/01          8.980          MC
072503         1975/11/02          8.980          MC
072503         1975/11/03          8.980          MC
072503         1975/11/04          10.40          MC
072503         1975/11/05          12.40          MC
072503         1975/11/06          12.50          MC
072503         1975/11/07          12.50          MC
072503         1975/11/08          12.50          MC
072503         1975/11/09          12.50          MC
072503         1975/11/10          12.50          MC
072503         1975/11/11          12.50          MC
072503         1975/11/12          12.50          MC
072503         1975/11/13          13.50          MC
072503         1975/11/14          17.10          MC
072503         1975/11/15          22.50          MC
072503         1975/11/16          28.30          MC
072503         1975/11/17          25.80          MC
072503         1975/11/18          23.20          MC
072503         1975/11/19          21.20          MC
072503         1975/11/20          18.90          MC
072503         1975/11/21          16.70          MC
072503         1975/11/22          17.00          MC
072503         1975/11/23          15.10          MC
072503         1975/11/24          12.40          R
072503         1975/11/25          11.30          R
072503         1975/11/26          10.40          R
072503         1975/11/27          9.770          R
072503         1975/11/28          9.200          R
072503         1975/11/29          8.780          R
072503         1975/11/30          8.810          R
072503         1975/12/01          9.200          R
072503         1975/12/02          9.460          R
072503         1975/12/03          9.260          R
072503         1975/12/04          8.860          R
072503         1975/12/05          8.440          R
072503         1975/12/06          8.070          R
072503         1975/12/07          7.730          R
072503         1975/12/08          7.450          R
072503         1975/12/09          7.160          R
072503         1975/12/10          7.110          R
072503         1975/12/11          7.360          R
072503         1975/12/12          6.650          R
072503         1975/12/13          6.090          R
072503         1975/12/14          6.230          R
072503         1975/12/15          6.600          R
072503         1975/12/16          6.460          R
072503         1975/12/17          6.200          R
072503         1975/12/18          5.950          R
072503         1975/12/19          5.690          R
072503         1975/12/20          5.580          R
072503         1975/12/21          5.490          R
072503         1975/12/22          5.380          R
072503         1975/12/23          5.240          R
072503         1975/12/24          5.150          R
072503         1975/12/25          5.010          R
072503         1975/12/26          4.900          R
072503         1975/12/27          4.810          R
072503         1975/12/28          4.790          R
072503         1975/12/29          4.730          R
072503         1975/12/30          4.500          R
072503         1975/12/31          4.330          R
072503         1976/01/01          4.110          R
072503         1976/01/02          3.960          R
072503         1976/01/03          3.770          R
072503         1976/01/04          3.680          R
072503         1976/01/05          3.600          R
072503         1976/01/06          3.570          R
072503         1976/01/07          3.510          R
072503         1976/01/08          3.450          R
072503         1976/01/09          3.430          R
072503         1976/01/10          3.370          R
072503         1976/01/11          3.310          R
072503         1976/01/12          3.260          R
072503         1976/01/13          3.200          R
072503         1976/01/14          3.170          R
072503         1976/01/15          3.090          R
072503         1976/01/16          3.060          R
072503         1976/01/17          3.000          R
072503         1976/01/18          2.940          R
072503         1976/01/19          2.920          R
072503         1976/01/20          2.890          R
072503         1976/01/21          2.780          R
072503         1976/01/22          2.270          R
072503         1976/01/23          2.120          R
072503         1976/01/24          1.980          R
072503         1976/01/25          2.120          R
072503         1976/01/26          2.830          R
072503         1976/01/27          3.060          R
072503         1976/01/28          3.340          R
072503         1976/01/29          3.430          R
072503         1976/01/30          3.340          R
072503         1976/01/31          3.260          R
072503         1976/02/01          3.400          R
072503         1976/02/02          3.770          R
072503         1976/02/03          4.250          R
072503         1976/02/04          4.390          R
072503         1976/02/05          4.300          R
072503         1976/02/06          4.190          R
072503         1976/02/07          4.110          R
072503         1976/02/08          4.020          R
072503         1976/02/09          3.910          R
072503         1976/02/10          3.820          R
072503         1976/02/11          3.740          R
072503         1976/02/12          3.650          R
072503         1976/02/13          3.600          R
072503         1976/02/14          3.510          R
072503         1976/02/15          3.450          R
072503         1976/02/16          3.400          R
072503         1976/02/17          3.340          R
072503         1976/02/18          3.280          R
072503         1976/02/19          3.230          R
072503         1976/02/20          3.200          R
072503         1976/02/21          3.140          R
072503         1976/02/22          3.060          R
072503         1976/02/23          3.030          R
072503         1976/02/24          3.000          R
072503         1976/02/25          2.940          R
072503         1976/02/26          2.920          R
072503         1976/02/27          2.890          R
072503         1976/02/28          2.860          R
072503         1976/02/29          2.830          R
072503         1976/03/01          2.780          R
072503         1976/03/02          2.730          R
072503         1976/03/03          2.720          R
072503         1976/03/04          2.680          R
072503         1976/03/05          2.650          R
072503         1976/03/06          2.610          R
072503         1976/03/07          2.590          R
072503         1976/03/08          2.550          R
072503         1976/03/09          2.550          R
072503         1976/03/10          2.540          J
072503         1976/03/11          2.510          R
072503         1976/03/12          2.480          R
072503         1976/03/13          2.440          R
072503         1976/03/14          2.420          R
072503         1976/03/15          2.410          R
072503         1976/03/16          2.400          R
072503         1976/03/17          2.380          R
072503         1976/03/18          2.380          R
072503         1976/03/19          2.380          R
072503         1976/03/20          2.390          R
072503         1976/03/21          2.420          R
072503         1976/03/22          2.460          R
072503         1976/03/23          2.530          R
072503         1976/03/24          2.610          R
072503         1976/03/25          2.690          R
072503         1976/03/26          2.800          R
072503         1976/03/27          2.920          R
072503         1976/03/28          3.060          R
072503         1976/03/29          3.260          R
072503         1976/03/30          3.600          R
072503         1976/03/31          4.020          R
072503         1976/04/01          4.930          MC
072503         1976/04/02          6.820          MC
072503         1976/04/03          10.00          MC
072503         1976/04/04          24.10          MC
