Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        073503         Magpie - à la décharge du lac Magpie                                                                                                           
Bassin versant: 7201 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 50° 41' 8" // -64° 34' 43"

Date de création du fichier: 2019-11-29 20:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
073503         1978/10/01          148.0          E
073503         1978/10/02          159.0          E
073503         1978/10/03          173.0          E
073503         1978/10/04          172.0          J
073503         1978/10/05          171.0          MC
073503         1978/10/06          171.0          MC
073503         1978/10/07          176.0          MC
073503         1978/10/08          185.0          MC
073503         1978/10/09          193.0          MC
073503         1978/10/10          203.0          MC
073503         1978/10/11          208.0          MC
073503         1978/10/12          209.0          MC
073503         1978/10/13          210.0          MC
073503         1978/10/14          213.0          MC
073503         1978/10/15          237.0          MC
073503         1978/10/16          280.0          MC
073503         1978/10/17          300.0          MC
073503         1978/10/18          307.0          MC
073503         1978/10/19          307.0          MC
073503         1978/10/20          299.0          MC
073503         1978/10/21          292.0          MC
073503         1978/10/22          281.0          MC
073503         1978/10/23          272.0          MC
073503         1978/10/24          261.0          MC
073503         1978/10/25          238.0          MC
073503         1978/10/26          224.0          MC
073503         1978/10/27          215.0          MC
073503         1978/10/28          204.0          MC
073503         1978/10/29          195.0          MC
073503         1978/10/30          181.0          MC
073503         1978/10/31          175.0          MC
073503         1978/11/01          166.0          MC
073503         1978/11/02          158.0          MC
073503         1978/11/03          156.0          MC
073503         1978/11/04          147.0          MC
073503         1978/11/05          145.0          MC
073503         1978/11/06          137.0          MC
073503         1978/11/07          134.0          MC
073503         1978/11/08          127.0          MC
073503         1978/11/09          119.0          MC
073503         1978/11/10          118.0          MC
073503         1978/11/11          114.0          MC
073503         1978/11/12          111.0          MC
073503         1978/11/13          104.0          MC
073503         1978/11/14          100.0          MC
073503         1978/11/15          98.60          MC
073503         1978/11/16          95.60          MC
073503         1978/11/17          92.00          MC
073503         1978/11/18          90.60          MC
073503         1978/11/19          93.50          MC
073503         1978/11/20          89.10          MC
073503         1978/11/21          84.50          MC
073503         1978/11/22          81.70          MC
073503         1978/11/23          79.40          MC
073503         1978/11/24          78.40          MC
073503         1978/11/25          77.60          MC
073503         1978/11/26          80.30          MC
073503         1978/11/27          74.20          MC
073503         1978/11/28          69.80          MC
073503         1978/11/29          68.90          MC
073503         1978/11/30          65.80          MC
073503         1978/12/01          65.40          MC
073503         1978/12/02          63.90          MC
073503         1978/12/03          63.70          MC
