Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2014-06-10
Station:        073801         Romaine - à 16.4 km. de l'embouchure en amont du pont chemin de fer                                                                            
Bassin versant: 12922 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 50° 18' 29" // -63° 37' 19"

Date de création du fichier: 2017-05-01 23:02
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
073801         1956/10/01          337.0          E
073801         1956/10/02          337.0          E
073801         1956/10/03          337.0          E
073801         1956/10/04          337.0          E
073801         1956/10/05          337.0          E
073801         1956/10/06          337.0          E
073801         1956/10/07          337.0          E
073801         1956/10/08          300.0          MC
073801         1956/10/09          300.0          MC
073801         1956/10/10          314.0          MC
073801         1956/10/11          300.0          MC
073801         1956/10/12          283.0          MC
073801         1956/10/13          289.0          MC
073801         1956/10/14          274.0          MC
073801         1956/10/15          263.0          MC
073801         1956/10/16          262.0          MC
073801         1956/10/17          247.0          MC
073801         1956/10/18          238.0          MC
073801         1956/10/19          234.0          MC
073801         1956/10/20          231.0          MC
073801         1956/10/21          229.0          MC
073801         1956/10/22          214.0          MC
073801         1956/10/23          211.0          MC
073801         1956/10/24          214.0          MC
073801         1956/10/25          236.0          MC
073801         1956/10/26          240.0          MC
073801         1956/10/27          238.0          MC
073801         1956/10/28          219.0          MC
073801         1956/10/29          219.0          MC
073801         1956/10/30          218.0          MC
073801         1956/10/31          216.0          MC
073801         1956/11/01          205.0          MC
073801         1956/11/02          199.0          MC
073801         1956/11/03          196.0          MC
073801         1956/11/04          193.0          MC
073801         1956/11/05          192.0          MC
073801         1956/11/06          187.0          MC
073801         1956/11/07          184.0          MC
073801         1956/11/08          181.0          MC
073801         1956/11/09          180.0          MC
073801         1956/11/10          178.0          MC
073801         1956/11/11          178.0          R
073801         1956/11/12          176.0          R
073801         1956/11/13          172.0          R
073801         1956/11/14          172.0          R
073801         1956/11/15          195.0          R
073801         1956/11/16          181.0          R
073801         1956/11/17          181.0          R
073801         1956/11/18          181.0          R
073801         1956/11/19          182.0          R
073801         1956/11/20          228.0          R
073801         1956/11/21          202.0          R
073801         1956/11/22          188.0          R
073801         1956/11/23          167.0          R
073801         1956/11/24          178.0          R
073801         1956/11/25          177.0          R
073801         1956/11/26          174.0          R
073801         1956/11/27          174.0          R
073801         1956/11/28          173.0          R
073801         1956/11/29          172.0          R
073801         1956/11/30          172.0          R
073801         1956/12/01          172.0          R
073801         1956/12/02          174.0          R
073801         1956/12/03          173.0          R
073801         1956/12/04          172.0          R
073801         1956/12/05          172.0          R
073801         1956/12/06          172.0          R
073801         1956/12/07          172.0          R
073801         1956/12/08          171.0          R
073801         1956/12/09          171.0          R
073801         1956/12/10          170.0          R
073801         1956/12/11          170.0          R
073801         1956/12/12          170.0          R
073801         1956/12/13          170.0          R
073801         1956/12/14          170.0          R
073801         1956/12/15          170.0          R
073801         1956/12/16          170.0          R
073801         1956/12/17          170.0          R
073801         1956/12/18          170.0          R
073801         1956/12/19          170.0          R
073801         1956/12/20          130.0          R
073801         1956/12/21          130.0          R
073801         1956/12/22          130.0          R
073801         1956/12/23          130.0          R
073801         1956/12/24          130.0          R
073801         1956/12/25          130.0          R
073801         1956/12/26          130.0          R
073801         1956/12/27          130.0          R
073801         1956/12/28          130.0          R
073801         1956/12/29          130.0          R
073801         1956/12/30          130.0          R
073801         1956/12/31          130.0          R
073801         1957/01/01          92.90          R
073801         1957/01/02          92.90          R
073801         1957/01/03          92.90          R
073801         1957/01/04          92.90          R
073801         1957/01/05          92.90          R
073801         1957/01/06          92.90          R
073801         1957/01/07          92.90          R
073801         1957/01/08          92.90          R
073801         1957/01/09          88.10          J
073801         1957/01/10          88.90          R
073801         1957/01/11          90.00          R
073801         1957/01/12          88.90          R
073801         1957/01/13          88.60          R
