Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-06-19
Station:        073802         Romaine - à 18,5 km en aval de la rivière aux Sauterelles                                                                                      
Bassin versant: 6550 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 51° 46' 2" // -63° 43' 3"

Date de création du fichier: 2012-06-30 04:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
073802         1972/01/01          47.60          R
073802         1972/01/02          47.30          R
073802         1972/01/03          47.00          R
073802         1972/01/04          46.40          R
073802         1972/01/05          46.20          R
073802         1972/01/06          45.60          R
073802         1972/01/07          45.30          R
073802         1972/01/08          44.70          R
073802         1972/01/09          44.50          R
073802         1972/01/10          44.20          R
073802         1972/01/11          43.90          R
073802         1972/01/12          43.30          R
073802         1972/01/13          43.00          R
073802         1972/01/14          42.80          R
073802         1972/01/15          42.50          R
073802         1972/01/16          42.20          R
073802         1972/01/17          41.90          R
073802         1972/01/18          41.60          R
073802         1972/01/19          41.30          R
073802         1972/01/20          41.10          R
073802         1972/01/21          41.10          R
073802         1972/01/22          40.80          R
073802         1972/01/23          40.50          R
073802         1972/01/24          40.20          R
073802         1972/01/25          39.90          R
073802         1972/01/26          39.60          R
073802         1972/01/27          39.40          R
073802         1972/01/28          39.40          R
073802         1972/01/29          39.10          R
073802         1972/01/30          38.80          R
073802         1972/01/31          38.80          R
073802         1972/02/01          38.50          E
073802         1972/02/02          38.20          E
073802         1972/02/03          37.90          E
073802         1972/02/04          37.90          E
073802         1972/02/05          37.70          E
073802         1972/02/06          37.40          E
073802         1972/02/07          37.40          E
073802         1972/02/08          37.10          E
073802         1972/02/09          37.10          E
073802         1972/02/10          36.80          E
073802         1972/02/11          36.50          E
073802         1972/02/12          36.50          E
073802         1972/02/13          36.20          E
073802         1972/02/14          36.20          E
073802         1972/02/15          36.00          E
073802         1972/02/16          35.70          E
073802         1972/02/17          35.70          E
073802         1972/02/18          35.40          E
073802         1972/02/19          35.10          E
073802         1972/02/20          35.10          E
073802         1972/02/21          34.80          E
073802         1972/02/22          34.80          E
073802         1972/02/23          34.50          E
073802         1972/02/24          34.50          E
073802         1972/02/25          34.50          E
073802         1972/02/26          34.50          E
073802         1972/02/27          34.30          E
073802         1972/02/28          34.30          E
073802         1972/02/29          34.00          E
073802         1972/03/01          34.00          E
073802         1972/03/02          34.00          E
073802         1972/03/03          34.00          E
073802         1972/03/04          34.00          E
073802         1972/03/05          34.00          E
073802         1972/03/06          33.70          E
073802         1972/03/07          33.70          E
073802         1972/03/08          33.70          E
073802         1972/03/09          33.70          E
073802         1972/03/10          33.40          E
073802         1972/03/11          33.40          E
073802         1972/03/12          33.40          E
073802         1972/03/13          33.40          E
073802         1972/03/14          33.10          E
073802         1972/03/15          33.10          E
073802         1972/03/16          33.40          E
073802         1972/03/17          34.50          E
073802         1972/03/18          35.40          E
073802         1972/03/19          36.20          E
073802         1972/03/20          37.40          E
073802         1972/03/21          37.90          E
073802         1972/03/22          38.20          E
073802         1972/03/23          38.20          E
073802         1972/03/24          37.90          E
073802         1972/03/25          37.70          E
073802         1972/03/26          37.70          E
073802         1972/03/27          37.40          E
073802         1972/03/28          37.10          E
073802         1972/03/29          36.80          E
073802         1972/03/30          36.80          E
073802         1972/03/31          36.50          E
073802         1972/04/01          36.20          R
073802         1972/04/02          36.00          R
073802         1972/04/03          35.70          R
073802         1972/04/04          35.70          R
073802         1972/04/05          35.40          R
