Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1971-12-31
Station:        074901         Natashquan - à 20,1 km de l'embouchure                                                                                                         
Bassin versant: 16000 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 50° 11' 30" // -61° 35' 32"

Date de création du fichier: 2012-06-30 05:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
074901         1962/05/13          507.0          MC
074901         1962/05/14          524.0          MC
074901         1962/05/15          580.0          MC
074901         1962/05/16          660.0          MC
074901         1962/05/17          762.0          MC
074901         1962/05/18          909.0          MC
074901         1962/05/19          1030           MC
074901         1962/05/20          1250           MC
074901         1962/05/21          1360           MC
074901         1962/05/22          1360           MC
074901         1962/05/23          1330           MC
074901         1962/05/24          1260           MC
074901         1962/05/25          1180           MC
074901         1962/05/26          1140           MC
074901         1962/05/27          1170           MC
074901         1962/05/28          1240           MC
074901         1962/05/29          1290           MC
074901         1962/05/30          1350           MC
074901         1962/05/31          1490           MC
074901         1962/06/01          1640           E
074901         1962/06/02          1540           E
074901         1962/06/03          1420           MC
074901         1962/06/04          1350           MC
074901         1962/06/05          1300           MC
074901         1962/06/06          1270           MC
074901         1962/06/07          1230           MC
074901         1962/06/08          1170           MC
074901         1962/06/09          1110           MC
074901         1962/06/10          1040           MC
074901         1962/06/11          991.0          MC
074901         1962/06/12          937.0          MC
074901         1962/06/13          883.0          MC
074901         1962/06/14          830.0          MC
074901         1962/06/15          782.0          MC
074901         1962/06/16          742.0          MC
074901         1962/06/17          705.0          MC
074901         1962/06/18          682.0          MC
074901         1962/06/19          674.0          MC
074901         1962/06/20          705.0          MC
074901         1962/06/21          680.0          MC
074901         1962/06/22          623.0          MC
074901         1962/06/23          578.0          MC
074901         1962/06/24          544.0          MC
074901         1962/06/25          538.0          MC
074901         1962/06/26          561.0          MC
074901         1962/06/27          561.0          MC
074901         1962/06/28          583.0          MC
074901         1962/06/29          609.0          MC
074901         1962/06/30          600.0          MC
074901         1962/07/01          566.0          MC
074901         1962/07/02          541.0          MC
074901         1962/07/03          518.0          MC
074901         1962/07/04          507.0          MC
074901         1962/07/05          510.0          MC
074901         1962/07/06          518.0          MC
074901         1962/07/07          507.0          MC
074901         1962/07/08          490.0          MC
074901         1962/07/09          456.0          MC
074901         1962/07/10          428.0          MC
074901         1962/07/11          405.0          MC
074901         1962/07/12          382.0          MC
074901         1962/07/13          365.0          MC
074901         1962/07/14          345.0          MC
074901         1962/07/15          328.0          MC
074901         1962/07/16          311.0          MC
074901         1962/07/17          297.0          MC
074901         1962/07/18          289.0          MC
074901         1962/07/19          270.0          MC
074901         1962/07/20          269.0          MC
074901         1962/07/21          264.0          MC
074901         1962/07/22          263.0          MC
074901         1962/07/23          263.0          MC
074901         1962/07/24          263.0          MC
074901         1962/07/25          269.0          MC
074901         1962/07/26          283.0          MC
074901         1962/07/27          281.0          MC
074901         1962/07/28          281.0          MC
074901         1962/07/29          286.0          MC
074901         1962/07/30          289.0          MC
074901         1962/07/31          300.0          MC
074901         1962/08/01          309.0          MC
074901         1962/08/02          306.0          MC
074901         1962/08/03          303.0          MC
074901         1962/08/04          292.0          E
074901         1962/08/05          279.0          MC
074901         1962/08/06          269.0          E
074901         1962/08/07          262.0          MC
074901         1962/08/08          262.0          MC
074901         1962/08/09          262.0          MC
074901         1962/08/10          260.0          MC
074901         1962/08/11          251.0          MC
074901         1962/08/12          242.0          MC
074901         1962/08/13          235.0          MC
074901         1962/08/14          232.0          MC
074901         1962/08/15          233.0          MC
074901         1962/08/16          229.0          MC
074901         1962/08/17          222.0          MC
074901         1962/08/18          215.0          E
074901         1962/08/19          210.0          E
074901         1962/08/20          205.0          E
074901         1962/08/21          203.0          E
074901         1962/08/22          200.0          E
074901         1962/08/23          198.0          E
074901         1962/08/24          196.0          E
074901         1962/08/25          194.0          E
074901         1962/08/26          193.0          E
074901         1962/08/27          193.0          E
074901         1962/08/28          187.0          E
074901         1962/08/29          185.0          E
074901         1962/08/30          182.0          E
074901         1962/08/31          180.0          E
074901         1962/09/01          176.0          E
074901         1962/09/02          177.0          E
074901         1962/09/03          181.0          E
074901         1962/09/04          173.0          E
074901         1962/09/05          169.0          E
074901         1962/09/06          165.0          E
074901         1962/09/07          159.0          E
074901         1962/09/08          159.0          E
074901         1962/09/09          161.0          E
074901         1962/09/10          159.0          E
074901         1962/09/11          153.0          E
074901         1962/09/12          150.0          E
074901         1962/09/13          153.0          E
074901         1962/09/14          160.0          E
074901         1962/09/15          170.0          E
074901         1962/09/16          180.0          E
074901         1962/09/17          180.0          E
074901         1962/09/18          193.0          E
074901         1962/09/19          283.0          E
074901         1962/09/20          396.0          E
074901         1962/09/21          368.0          E
074901         1962/09/22          337.0          MC
074901         1962/09/23          317.0          MC
074901         1962/09/24          294.0          MC
074901         1962/09/25          271.0          MC
074901         1962/09/26          249.0          MC
074901         1962/09/27          230.0          MC
074901         1962/09/28          216.0          MC
074901         1962/09/29          204.0          MC
074901         1962/09/30          193.0          MC
074901         1962/10/01          180.0          MC
074901         1962/10/02          174.0          MC
074901         1962/10/03          167.0          MC
074901         1962/10/04          163.0          MC
074901         1962/10/05          163.0          MC
074901         1962/10/06          159.0          MC
074901         1962/10/07          150.0          MC
074901         1962/10/08          147.0          MC
074901         1962/10/09          144.0          MC
074901         1962/10/10          140.0          MC
074901         1962/10/11          135.0          MC
074901         1962/10/12          133.0          MC
074901         1962/10/13          125.0          MC
074901         1962/10/14          125.0          MC
074901         1962/10/15          121.0          MC
074901         1962/10/16          119.0          MC
074901         1962/10/17          119.0          MC
074901         1962/10/18          119.0          MC
074901         1962/10/19          117.0          MC
074901         1962/10/20          112.0          MC
074901         1962/10/21          114.0          MC
074901         1962/10/22          119.0          MC
074901         1962/10/23          119.0          MC
074901         1962/10/24          119.0          MC
074901         1962/10/25          122.0          MC
074901         1962/10/26          139.0          MC
074901         1962/10/27          166.0          MC
074901         1962/10/28          177.0          MC
074901         1962/10/29          177.0          MC
074901         1962/10/30          167.0          MC
074901         1962/10/31          151.0          MC
074901         1962/11/01          140.0          MC
074901         1962/11/02          206.0          MC
074901         1962/11/03          314.0          MC
074901         1962/11/04          368.0          MC
074901         1962/11/05          382.0          MC
074901         1962/11/06          362.0          MC
074901         1962/11/07          328.0          MC
074901         1962/11/08          300.0          MC
074901         1962/11/09          286.0          MC
074901         1962/11/10          272.0          MC
074901         1962/11/11          261.0          MC
074901         1962/11/12          276.0          MC
074901         1962/11/13          221.0          MC
074901         1962/11/14          206.0          MC
074901         1962/11/15          201.0          MC
074901         1962/11/16          223.0          MC
074901         1962/11/17          246.0          MC
074901         1962/11/18          266.0          MC
074901         1962/11/19          251.0          R
074901         1962/11/20          204.0          R
074901         1962/11/21          191.0          R
074901         1962/11/22          168.0          R
074901         1962/11/23          211.0          R
