Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1983-06-13
Station:        074902         Natashquan - à 25,7 km en aval de la Natashquan Est                                                                                            
Bassin versant: 11600 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 51° 8' 30" // -61° 36' 37"

Date de création du fichier: 2012-06-30 05:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
074902         1966/09/28          294.0          MC
074902         1966/09/29          269.0          MC
074902         1966/09/30          253.0          MC
074902         1966/10/01          242.0          MC
074902         1966/10/02          246.0          MC
074902         1966/10/03          271.0          MC
074902         1966/10/04          306.0          MC
074902         1966/10/05          331.0          MC
074902         1966/10/06          351.0          MC
074902         1966/10/07          362.0          MC
074902         1966/10/08          351.0          MC
074902         1966/10/09          340.0          MC
074902         1966/10/10          317.0          MC
074902         1966/10/11          294.0          MC
074902         1966/10/12          309.0          MC
074902         1966/10/13          507.0          MC
074902         1966/10/14          527.0          MC
074902         1966/10/15          481.0          MC
074902         1966/10/16          439.0          MC
074902         1966/10/17          436.0          MC
074902         1966/10/18          518.0          MC
074902         1966/10/19          597.0          MC
074902         1966/10/20          578.0          MC
074902         1966/10/21          606.0          MC
074902         1966/10/22          906.0          MC
074902         1966/10/23          847.0          MC
074902         1966/10/24          742.0          MC
074902         1966/10/25          665.0          MC
074902         1966/10/26          609.0          MC
074902         1966/10/27          575.0          MC
074902         1966/10/28          538.0          MC
074902         1966/10/29          504.0          MC
074902         1966/10/30          518.0          MC
074902         1966/10/31          728.0          MC
074902         1966/11/01          688.0          MC
074902         1966/11/02          600.0          MC
074902         1966/11/03          549.0          MC
074902         1966/11/04          564.0          MC
074902         1966/11/05          748.0          MC
074902         1966/11/06          742.0          MC
074902         1966/11/07          677.0          MC
074902         1966/11/08          586.0          MC
074902         1966/11/09          538.0          MC
074902         1966/11/10          507.0          MC
074902         1966/11/11          470.0          MC
074902         1966/11/12          450.0          MC
074902         1966/11/13          445.0          MC
074902         1966/11/14          419.0          MC
074902         1966/11/15          379.0          MC
074902         1966/11/16          354.0          MC
074902         1966/11/17          309.0          MC
074902         1966/11/18          277.0          MC
074902         1966/11/19          273.0          MC
074902         1966/11/20          252.0          MC
074902         1966/11/21          268.0          MC
074902         1966/11/22          263.0          MC
074902         1966/11/23          278.0          MC
074902         1966/11/24          294.0          MC
074902         1966/11/25          306.0          MC
074902         1966/11/26          294.0          MC
074902         1966/11/27          280.0          MC
074902         1966/11/28          277.0          MC
074902         1966/11/29          277.0          MC
074902         1966/11/30          277.0          MC
074902         1966/12/01          467.0          MC
074902         1966/12/02          835.0          MC
074902         1966/12/03          770.0          MC
074902         1966/12/04          564.0          MC
074902         1966/12/05          470.0          MC
074902         1966/12/06          430.0          MC
074902         1966/12/07          433.0          MC
074902         1966/12/08          422.0          MC
074902         1966/12/09          394.0          MC
074902         1966/12/10          413.0          MC
074902         1966/12/11          385.0          MC
074902         1966/12/12          334.0          MC
074902         1966/12/13          306.0          MC
074902         1966/12/14          297.0          MC
074902         1966/12/15          249.0          MC
074902         1966/12/16          211.0          MC
074902         1966/12/17          203.0          MC
074902         1966/12/18          197.0          R
074902         1966/12/19          190.0          R
074902         1966/12/20          187.0          R
074902         1966/12/21          182.0          R
074902         1966/12/22          176.0          R
074902         1966/12/23          170.0          R
074902         1966/12/24          168.0          R
074902         1966/12/25          164.0          R
074902         1966/12/26          161.0          R
074902         1966/12/27          158.0          R
074902         1966/12/28          156.0          R
074902         1966/12/29          155.0          R
074902         1966/12/30          150.0          R
074902         1966/12/31          147.0          R
074902         1967/01/01          144.0          R
074902         1967/01/02          142.0          R
074902         1967/01/03          139.0          R
074902         1967/01/04          137.0          R
074902         1967/01/05          136.0          R
074902         1967/01/06          133.0          R
074902         1967/01/07          130.0          R
074902         1967/01/08          129.0          R
074902         1967/01/09          127.0          R
074902         1967/01/10          125.0          R
074902         1967/01/11          123.0          R
074902         1967/01/12          120.0          R
074902         1967/01/13          119.0          R
074902         1967/01/14          118.0          R
074902         1967/01/15          115.0          R
074902         1967/01/16          113.0          R
074902         1967/01/17          112.0          R
074902         1967/01/18          110.0          R
074902         1967/01/19          109.0          R
074902         1967/01/20          108.0          R
074902         1967/01/21          106.0          R
074902         1967/01/22          105.0          R
074902         1967/01/23          104.0          R
074902         1967/01/24          103.0          R
074902         1967/01/25          102.0          R
074902         1967/01/26          100.0          R
074902         1967/01/27          99.10          R
074902         1967/01/28          98.00          R
074902         1967/01/29          96.80          R
074902         1967/01/30          96.00          R
074902         1967/01/31          94.90          R
074902         1967/02/01          93.70          R
074902         1967/02/02          92.90          R
074902         1967/02/03          92.30          R
074902         1967/02/04          91.50          R
074902         1967/02/05          90.90          R
074902         1967/02/06          90.00          R
074902         1967/02/07          89.20          R
074902         1967/02/08          88.10          R
074902         1967/02/09          87.20          R
074902         1967/02/10          86.40          R
074902         1967/02/11          85.00          R
074902         1967/02/12          84.70          R
074902         1967/02/13          83.50          R
074902         1967/02/14          83.00          R
074902         1967/02/15          82.40          R
074902         1967/02/16          81.60          R
074902         1967/02/17          81.00          R
074902         1967/02/18          80.40          R
074902         1967/02/19          79.60          R
074902         1967/02/20          79.30          R
074902         1967/02/21          78.70          R
074902         1967/02/22          77.90          R
074902         1967/02/23          77.00          R
074902         1967/02/24          75.90          R
074902         1967/02/25          75.30          R
074902         1967/02/26          74.50          R
074902         1967/02/27          73.90          R
074902         1967/02/28          73.60          R
074902         1967/03/01          72.20          R
074902         1967/03/02          71.10          R
074902         1967/03/03          70.80          R
074902         1967/03/04          70.20          R
074902         1967/03/05          69.90          R
074902         1967/03/06          69.10          R
074902         1967/03/07          68.50          R
074902         1967/03/08          68.20          R
074902         1967/03/09          67.70          R
074902         1967/03/10          67.40          R
074902         1967/03/11          66.50          R
074902         1967/03/12          66.00          R
074902         1967/03/13          65.40          R
074902         1967/03/14          65.10          R
074902         1967/03/15          64.80          R
074902         1967/03/16          64.60          R
074902         1967/03/17          64.00          R
074902         1967/03/18          63.40          R
074902         1967/03/19          63.10          R
074902         1967/03/20          62.90          R
074902         1967/03/21          62.30          R
