Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        074903         Natashquan - à 0,6 km en aval de la décharge du lac Alieste                                                                                    
Bassin versant: 15693 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 50° 25' 39" // -61° 42' 44"

Date de création du fichier: 2019-11-29 20:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
074903         1980/06/08          1740           J
074903         1980/06/09          
074903         1980/06/10          
074903         1980/06/11          
074903         1980/06/12          
074903         1980/06/13          
074903         1980/06/14          
074903         1980/06/15          
074903         1980/06/16          
074903         1980/06/17          
074903         1980/06/18          
074903         1980/06/19          
074903         1980/06/20          
074903         1980/06/21          
074903         1980/06/22          
074903         1980/06/23          
074903         1980/06/24          
074903         1980/06/25          
074903         1980/06/26          
074903         1980/06/27          
074903         1980/06/28          
074903         1980/06/29          
074903         1980/06/30          
074903         1980/07/01          
074903         1980/07/02          
074903         1980/07/03          
074903         1980/07/04          
074903         1980/07/05          
074903         1980/07/06          
074903         1980/07/07          
074903         1980/07/08          
074903         1980/07/09          
074903         1980/07/10          
074903         1980/07/11          
074903         1980/07/12          
074903         1980/07/13          
074903         1980/07/14          
074903         1980/07/15          
074903         1980/07/16          
074903         1980/07/17          
074903         1980/07/18          
074903         1980/07/19          
074903         1980/07/20          
074903         1980/07/21          
074903         1980/07/22          
074903         1980/07/23          
074903         1980/07/24          
074903         1980/07/25          
074903         1980/07/26          
074903         1980/07/27          
074903         1980/07/28          
074903         1980/07/29          
074903         1980/07/30          
074903         1980/07/31          
074903         1980/08/01          
074903         1980/08/02          
074903         1980/08/03          
074903         1980/08/04          
074903         1980/08/05          
074903         1980/08/06          
074903         1980/08/07          
074903         1980/08/08          
074903         1980/08/09          
074903         1980/08/10          
074903         1980/08/11          
074903         1980/08/12          
074903         1980/08/13          
074903         1980/08/14          
074903         1980/08/15          481.0          J
074903         1980/08/16          
074903         1980/08/17          
074903         1980/08/18          
074903         1980/08/19          
074903         1980/08/20          
074903         1980/08/21          
074903         1980/08/22          
074903         1980/08/23          
074903         1980/08/24          
074903         1980/08/25          
