Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1980-09-30
Station:        075701         Du Petit Mécatina - à 5,1 km en amont de la Nétagamiou                                                                                         
Bassin versant: 19100 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 50° 42' 7" // -59° 35' 53"

Date de création du fichier: 2012-06-30 05:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
075701         1965/07/31          651.0          MC
075701         1965/08/01          660.0          MC
075701         1965/08/02          680.0          MC
075701         1965/08/03          682.0          MC
075701         1965/08/04          668.0          MC
075701         1965/08/05          651.0          MC
075701         1965/08/06          631.0          MC
075701         1965/08/07          617.0          MC
075701         1965/08/08          586.0          MC
075701         1965/08/09          564.0          MC
075701         1965/08/10          530.0          MC
075701         1965/08/11          510.0          MC
075701         1965/08/12          493.0          MC
075701         1965/08/13          467.0          MC
075701         1965/08/14          445.0          MC
075701         1965/08/15          428.0          MC
075701         1965/08/16          408.0          MC
075701         1965/08/17          402.0          MC
075701         1965/08/18          402.0          MC
075701         1965/08/19          399.0          MC
075701         1965/08/20          413.0          MC
075701         1965/08/21          476.0          MC
075701         1965/08/22          521.0          MC
075701         1965/08/23          544.0          MC
075701         1965/08/24          549.0          MC
075701         1965/08/25          549.0          MC
075701         1965/08/26          549.0          MC
075701         1965/08/27          538.0          MC
075701         1965/08/28          524.0          MC
075701         1965/08/29          521.0          MC
075701         1965/08/30          521.0          MC
075701         1965/08/31          521.0          MC
075701         1965/09/01          521.0          MC
075701         1965/09/02          515.0          MC
075701         1965/09/03          507.0          MC
075701         1965/09/04          530.0          MC
075701         1965/09/05          552.0          MC
075701         1965/09/06          564.0          MC
075701         1965/09/07          569.0          MC
075701         1965/09/08          561.0          MC
075701         1965/09/09          538.0          MC
075701         1965/09/10          518.0          MC
075701         1965/09/11          493.0          MC
075701         1965/09/12          462.0          MC
075701         1965/09/13          433.0          MC
075701         1965/09/14          413.0          MC
075701         1965/09/15          394.0          MC
075701         1965/09/16          368.0          MC
075701         1965/09/17          365.0          MC
075701         1965/09/18          368.0          MC
075701         1965/09/19          382.0          MC
075701         1965/09/20          385.0          MC
075701         1965/09/21          396.0          MC
075701         1965/09/22          425.0          MC
075701         1965/09/23          453.0          MC
075701         1965/09/24          473.0          MC
075701         1965/09/25          484.0          MC
075701         1965/09/26          493.0          MC
075701         1965/09/27          493.0          MC
075701         1965/09/28          484.0          MC
075701         1965/09/29          456.0          MC
075701         1965/09/30          428.0          MC
075701         1965/10/01          402.0          MC
075701         1965/10/02          394.0          MC
075701         1965/10/03          388.0          MC
075701         1965/10/04          391.0          MC
075701         1965/10/05          408.0          MC
075701         1965/10/06          425.0          MC
075701         1965/10/07          450.0          MC
075701         1965/10/08          467.0          MC
075701         1965/10/09          481.0          MC
075701         1965/10/10          484.0          MC
075701         1965/10/11          498.0          MC
075701         1965/10/12          501.0          MC
075701         1965/10/13          501.0          MC
075701         1965/10/14          498.0          MC
