Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        075705         Du Petit Mécatina - à 1,0 km en amont de la Nétagamiou                                                                                         
Bassin versant: 19191 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 50° 40' 51" // -59° 36' 7"

Date de création du fichier: 2019-11-29 21:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
075705         1994/08/04          452.9          MC
075705         1994/08/05          439.9          MC
075705         1994/08/06          435.8          MC
075705         1994/08/07          425.5          MC
075705         1994/08/08          416.1          MC
075705         1994/08/09          407.0          MC
075705         1994/08/10          402.3          MC
075705         1994/08/11          402.0          MC
075705         1994/08/12          412.1          MC
075705         1994/08/13          417.0          MC
075705         1994/08/14          414.3          MC
075705         1994/08/15          406.6          MC
075705         1994/08/16          399.9          MC
075705         1994/08/17          397.9          MC
075705         1994/08/18          406.5          MC
075705         1994/08/19          399.7          MC
075705         1994/08/20          392.1          MC
075705         1994/08/21          384.2          MC
075705         1994/08/22          387.0          MC
075705         1994/08/23          391.6          MC
075705         1994/08/24          401.4          MC
075705         1994/08/25          410.3          MC
075705         1994/08/26          422.3          MC
075705         1994/08/27          433.5          MC
075705         1994/08/28          446.1          MC
075705         1994/08/29          457.9          MC
075705         1994/08/30          476.0          MC
075705         1994/08/31          475.4          MC
075705         1994/09/01          480.9          MC
075705         1994/09/02          487.5          MC
075705         1994/09/03          478.9          MC
075705         1994/09/04          475.6          MC
075705         1994/09/05          467.3          MC
075705         1994/09/06          455.9          MC
075705         1994/09/07          441.2          MC
075705         1994/09/08          430.0          MC
075705         1994/09/09          421.1          MC
075705         1994/09/10          418.6          MC
075705         1994/09/11          422.7          MC
075705         1994/09/12          447.3          MC
075705         1994/09/13          473.4          MC
075705         1994/09/14          515.3          MC
075705         1994/09/15          577.3          MC
075705         1994/09/16          629.4          MC
075705         1994/09/17          648.8          MC
075705         1994/09/18          647.1          MC
075705         1994/09/19          637.2          MC
075705         1994/09/20          621.2          MC
075705         1994/09/21          599.2          MC
075705         1994/09/22          572.1          MC
075705         1994/09/23          545.4          MC
075705         1994/09/24          517.1          MC
075705         1994/09/25          492.7          MC
075705         1994/09/26          469.5          MC
075705         1994/09/27          446.0          MC
075705         1994/09/28          423.1          MC
075705         1994/09/29          399.1          MC
075705         1994/09/30          377.2          MC
075705         1994/10/01          362.9          MC
075705         1994/10/02          351.0          MC
075705         1994/10/03          357.1          MC
075705         1994/10/04          366.2          MC
075705         1994/10/05          381.2          MC
075705         1994/10/06          400.3          MC
075705         1994/10/07          416.7          MC
075705         1994/10/08          434.3          MC
075705         1994/10/09          449.4          MC
075705         1994/10/10          456.3          MC
075705         1994/10/11          456.7          MC
075705         1994/10/12          450.8          MC
075705         1994/10/13          440.7          MC
075705         1994/10/14          423.2          MC
075705         1994/10/15          415.4          MC
075705         1994/10/16          410.0          MC
075705         1994/10/17          397.5          MC
075705         1994/10/18          368.9          MC
075705         1994/10/19          340.4          MC
075705         1994/10/20          323.2          MC
075705         1994/10/21          315.0          MC
075705         1994/10/22          306.9          MC
075705         1994/10/23          304.7          MC
075705         1994/10/24          310.8          MC
075705         1994/10/25          320.3          MC
075705         1994/10/26          330.0          MC
075705         1994/10/27          338.7          MC
075705         1994/10/28          342.8          MC
075705         1994/10/29          344.7          MC
075705         1994/10/30          345.6          MC
075705         1994/10/31          342.3          MC
075705         1994/11/01          344.1          MC
075705         1994/11/02          349.1          MC
075705         1994/11/03          369.4          MC
075705         1994/11/04          386.2          MC
075705         1994/11/05          416.4          MC
075705         1994/11/06          441.1          MC
075705         1994/11/07          476.8          MC
075705         1994/11/08          566.6          MC
075705         1994/11/09          608.7          MC
075705         1994/11/10          632.0          MC
075705         1994/11/11          632.7          MC
075705         1994/11/12          623.7          MC
075705         1994/11/13          609.5          MC
075705         1994/11/14          585.0          MC
075705         1994/11/15          559.5          MC
075705         1994/11/16          543.4          MC
075705         1994/11/17          537.8          MC
075705         1994/11/18          520.7          MC
075705         1994/11/19          482.3          MC
075705         1994/11/20          468.9          MC
075705         1994/11/21          430.4          MC
075705         1994/11/22          357.1          MC
075705         1994/11/23          366.8          MC
075705         1994/11/24          454.6          MC
075705         1994/11/25          395.5          MC
075705         1994/11/26          416.1          MC
075705         1994/11/27          329.0          MC
075705         1994/11/28          329.9          MC
075705         1994/11/29          323.8          MC
075705         1994/11/30          330.7          MC
075705         1994/12/01          336.4          MC
075705         1994/12/02          325.0          MC
075705         1994/12/03          315.9          MC
075705         1994/12/04          313.0          R
075705         1994/12/05          307.0          R
075705         1994/12/06          300.0          R
075705         1994/12/07          291.0          R
075705         1994/12/08          285.0          R
075705         1994/12/09          276.0          R
075705         1994/12/10          269.0          R
075705         1994/12/11          262.0          R
075705         1994/12/12          256.0          R
075705         1994/12/13          250.0          R
075705         1994/12/14          245.0          R
075705         1994/12/15          238.0          R
075705         1994/12/16          231.0          R
075705         1994/12/17          226.0          R
075705         1994/12/18          221.0          R
075705         1994/12/19          217.0          R
075705         1994/12/20          213.0          R
075705         1994/12/21          208.0          R
075705         1994/12/22          204.0          R
075705         1994/12/23          199.0          R
075705         1994/12/24          194.0          R
075705         1994/12/25          190.0          R
075705         1994/12/26          187.0          R
075705         1994/12/27          183.0          R
075705         1994/12/28          178.0          R
075705         1994/12/29          174.0          R
075705         1994/12/30          170.0          R
075705         1994/12/31          167.0          R
075705         1995/01/01          163.0          R
075705         1995/01/02          159.0          R
075705         1995/01/03          156.0          R
075705         1995/01/04          152.0          R
075705         1995/01/05          150.0          R
075705         1995/01/06          147.0          R
075705         1995/01/07          144.0          R
075705         1995/01/08          142.0          R
075705         1995/01/09          139.0          R
