Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1993-08-08
Station:        076201         Coxipi - à la sortie du lac Coxipi                                                                                                             
Bassin versant: 1060 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 51° 30' 8" // -58° 23' 42"

Date de création du fichier: 2012-06-30 06:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
076201         1980/06/08          102.0          J
076201         1980/06/09          
076201         1980/06/10          
076201         1980/06/11          
076201         1980/06/12          
076201         1980/06/13          
076201         1980/06/14          
076201         1980/06/15          
076201         1980/06/16          
076201         1980/06/17          
076201         1980/06/18          
076201         1980/06/19          
076201         1980/06/20          
076201         1980/06/21          
076201         1980/06/22          
076201         1980/06/23          
076201         1980/06/24          
076201         1980/06/25          
076201         1980/06/26          
076201         1980/06/27          
076201         1980/06/28          
076201         1980/06/29          
076201         1980/06/30          
076201         1980/07/01          
076201         1980/07/02          
076201         1980/07/03          
076201         1980/07/04          
076201         1980/07/05          
076201         1980/07/06          
076201         1980/07/07          
076201         1980/07/08          
076201         1980/07/09          
076201         1980/07/10          
076201         1980/07/11          
076201         1980/07/12          
076201         1980/07/13          
076201         1980/07/14          
076201         1980/07/15          
076201         1980/07/16          
076201         1980/07/17          
076201         1980/07/18          
076201         1980/07/19          
076201         1980/07/20          
076201         1980/07/21          
076201         1980/07/22          
076201         1980/07/23          
076201         1980/07/24          
076201         1980/07/25          
076201         1980/07/26          
076201         1980/07/27          
076201         1980/07/28          
076201         1980/07/29          
076201         1980/07/30          
076201         1980/07/31          
076201         1980/08/01          
076201         1980/08/02          
076201         1980/08/03          
076201         1980/08/04          
076201         1980/08/05          
076201         1980/08/06          
076201         1980/08/07          
076201         1980/08/08          
076201         1980/08/09          
076201         1980/08/10          
076201         1980/08/11          
076201         1980/08/12          
076201         1980/08/13          68.00          J
076201         1980/08/14          
076201         1980/08/15          
076201         1980/08/16          
076201         1980/08/17          
076201         1980/08/18          
076201         1980/08/19          
076201         1980/08/20          
076201         1980/08/21          
076201         1980/08/22          
076201         1980/08/23          
076201         1980/08/24          
076201         1980/08/25          
076201         1980/08/26          
076201         1980/08/27          
076201         1980/08/28          
076201         1980/08/29          
076201         1980/08/30          
076201         1980/08/31          
076201         1980/09/01          
076201         1980/09/02          
076201         1980/09/03          
076201         1980/09/04          
076201         1980/09/05          
076201         1980/09/06          
076201         1980/09/07          
076201         1980/09/08          
076201         1980/09/09          
076201         1980/09/10          
076201         1980/09/11          
076201         1980/09/12          
076201         1980/09/13          
076201         1980/09/14          
076201         1980/09/15          
076201         1980/09/16          
076201         1980/09/17          
076201         1980/09/18          
076201         1980/09/19          
076201         1980/09/20          
076201         1980/09/21          
076201         1980/09/22          
076201         1980/09/23          
076201         1980/09/24          
076201         1980/09/25          
076201         1980/09/26          
076201         1980/09/27          
076201         1980/09/28          
076201         1980/09/29          
076201         1980/09/30          
076201         1980/10/01          
076201         1980/10/02          
076201         1980/10/03          
076201         1980/10/04          
076201         1980/10/05          
076201         1980/10/06          
076201         1980/10/07          
076201         1980/10/08          
076201         1980/10/09          
076201         1980/10/10          
076201         1980/10/11          
076201         1980/10/12          
076201         1980/10/13          
076201         1980/10/14          45.40          J
076201         1980/10/15          50.30          MC
076201         1980/10/16          55.20          MC
076201         1980/10/17          60.10          MC
076201         1980/10/18          62.50          MC
076201         1980/10/19          63.50          MC
076201         1980/10/20          62.40          MC
076201         1980/10/21          60.40          MC
076201         1980/10/22          57.50          MC
076201         1980/10/23          54.40          MC
076201         1980/10/24          51.80          MC
076201         1980/10/25          48.50          MC
076201         1980/10/26          46.00          MC
076201         1980/10/27          45.00          MC
076201         1980/10/28          43.30          MC
076201         1980/10/29          41.90          MC
076201         1980/10/30          40.80          MC
076201         1980/10/31          39.40          MC
076201         1980/11/01          38.30          MC
076201         1980/11/02          36.90          MC
076201         1980/11/03          34.90          MC
076201         1980/11/04          33.20          MC
076201         1980/11/05          33.00          MC
076201         1980/11/06          33.00          MC
076201         1980/11/07          33.80          MC
076201         1980/11/08          35.30          MC
076201         1980/11/09          38.30          MC
076201         1980/11/10          46.10          MC
076201         1980/11/11          58.10          MC
076201         1980/11/12          69.00          MC
076201         1980/11/13          77.10          MC
076201         1980/11/14          80.90          MC
076201         1980/11/15          81.20          MC
076201         1980/11/16          80.90          MC
076201         1980/11/17          78.80          MC
076201         1980/11/18          75.30          MC
076201         1980/11/19          71.40          MC
076201         1980/11/20          66.10          MC
076201         1980/11/21          60.90          MC
076201         1980/11/22          56.60          MC
076201         1980/11/23          52.20          MC
076201         1980/11/24          48.00          MC
076201         1980/11/25          44.40          MC
076201         1980/11/26          41.80          MC
076201         1980/11/27          40.20          MC
076201         1980/11/28          37.60          MC
076201         1980/11/29          36.00          MC
076201         1980/11/30          35.40          MC
076201         1980/12/01          33.70          MC
076201         1980/12/02          32.20          MC
076201         1980/12/03          31.30          MC
076201         1980/12/04          30.30          MC
076201         1980/12/05          29.40          MC
076201         1980/12/06          28.30          MC
076201         1980/12/07          27.10          MC
076201         1980/12/08          26.00          MC
076201         1980/12/09          25.30          MC
076201         1980/12/10          24.20          MC
076201         1980/12/11          23.10          MC
076201         1980/12/12          21.50          MC
076201         1980/12/13          20.40          MC
076201         1980/12/14          19.80          MC
076201         1980/12/15          19.10          MC
076201         1980/12/16          18.40          MC
076201         1980/12/17          18.00          MC
076201         1980/12/18          17.60          MC
076201         1980/12/19          17.20          MC
076201         1980/12/20          16.80          MC
076201         1980/12/21          16.50          MC
076201         1980/12/22          16.00          MC
076201         1980/12/23          15.60          MC
076201         1980/12/24          15.60          MC
076201         1980/12/25          15.60          MC
076201         1980/12/26          15.30          MC
076201         1980/12/27          14.90          MC
076201         1980/12/28          14.80          MC
076201         1980/12/29          14.60          MC
076201         1980/12/30          14.50          MC
076201         1980/12/31          15.30          MC
076201         1981/01/01          
076201         1981/01/02          
076201         1981/01/03          
076201         1981/01/04          
076201         1981/01/05          
076201         1981/01/06          
076201         1981/01/07          
076201         1981/01/08          
076201         1981/01/09          
076201         1981/01/10          
076201         1981/01/11          
076201         1981/01/12          
076201         1981/01/13          
076201         1981/01/14          
076201         1981/01/15          
076201         1981/01/16          
076201         1981/01/17          
076201         1981/01/18          
076201         1981/01/19          
076201         1981/01/20          15.30          MC
076201         1981/01/21          15.00          MC
076201         1981/01/22          14.80          MC
076201         1981/01/23          14.60          MC
076201         1981/01/24          14.20          MC
076201         1981/01/25          13.90          MC
076201         1981/01/26          13.60          MC
076201         1981/01/27          13.60          MC
076201         1981/01/28          13.40          MC
076201         1981/01/29          13.30          MC
076201         1981/01/30          13.10          MC
076201         1981/01/31          12.90          MC
076201         1981/02/01          12.80          MC
076201         1981/02/02          12.80          MC
076201         1981/02/03          13.30          MC
076201         1981/02/04          
076201         1981/02/05          
076201         1981/02/06          
076201         1981/02/07          
076201         1981/02/08          
076201         1981/02/09          
076201         1981/02/10          
076201         1981/02/11          
076201         1981/02/12          
076201         1981/02/13          
076201         1981/02/14          
076201         1981/02/15          
076201         1981/02/16          
076201         1981/02/17          
076201         1981/02/18          
076201         1981/02/19          
076201         1981/02/20          
076201         1981/02/21          
076201         1981/02/22          
076201         1981/02/23          
076201         1981/02/24          
076201         1981/02/25          
076201         1981/02/26          
076201         1981/02/27          
076201         1981/02/28          
076201         1981/03/01          
076201         1981/03/02          
076201         1981/03/03          
076201         1981/03/04          
076201         1981/03/05          
076201         1981/03/06          
076201         1981/03/07          
076201         1981/03/08          
076201         1981/03/09          
076201         1981/03/10          
076201         1981/03/11          
076201         1981/03/12          
076201         1981/03/13          
076201         1981/03/14          
076201         1981/03/15          
076201         1981/03/16          
076201         1981/03/17          
076201         1981/03/18          
076201         1981/03/19          
076201         1981/03/20          
076201         1981/03/21          
076201         1981/03/22          
076201         1981/03/23          
076201         1981/03/24          14.50          MC
076201         1981/03/25          
076201         1981/03/26          
076201         1981/03/27          
076201         1981/03/28          
076201         1981/03/29          
076201         1981/03/30          
076201         1981/03/31          
076201         1981/04/01          
076201         1981/04/02          
076201         1981/04/03          
076201         1981/04/04          
076201         1981/04/05          
076201         1981/04/06          
076201         1981/04/07          
076201         1981/04/08          
076201         1981/04/09          
076201         1981/04/10          
076201         1981/04/11          
076201         1981/04/12          
076201         1981/04/13          
076201         1981/04/14          
076201         1981/04/15          
076201         1981/04/16          
076201         1981/04/17          
076201         1981/04/18          
076201         1981/04/19          
076201         1981/04/20          
076201         1981/04/21          
076201         1981/04/22          
076201         1981/04/23          
