Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-09-30, préliminaires par la suite
Station:        080101         Harricana - à 3,1 km en aval du pont-route 111 à Amos                                                                                          
Bassin versant: 3724 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 35' 52" // -78° 6' 37"

Date de création du fichier: 2019-11-29 21:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
080101         1933/08/01          47.90          MC
080101         1933/08/02          45.30          MC
080101         1933/08/03          47.90          MC
080101         1933/08/04          47.90          MC
080101         1933/08/05          45.30          MC
080101         1933/08/06          50.40          MC
080101         1933/08/07          47.90          MC
080101         1933/08/08          42.80          MC
080101         1933/08/09          41.30          MC
080101         1933/08/10          40.20          MC
080101         1933/08/11          40.20          MC
080101         1933/08/12          41.30          MC
080101         1933/08/13          37.90          MC
080101         1933/08/14          39.10          MC
080101         1933/08/15          40.20          MC
080101         1933/08/16          39.10          MC
080101         1933/08/17          40.20          MC
080101         1933/08/18          32.80          MC
080101         1933/08/19          32.80          MC
080101         1933/08/20          32.80          MC
080101         1933/08/21          34.00          MC
080101         1933/08/22          32.80          MC
080101         1933/08/23          30.60          MC
080101         1933/08/24          29.70          MC
080101         1933/08/25          29.70          MC
080101         1933/08/26          30.60          MC
080101         1933/08/27          27.40          MC
080101         1933/08/28          26.30          MC
080101         1933/08/29          26.30          MC
080101         1933/08/30          26.30          MC
080101         1933/08/31          25.60          J
080101         1933/09/01          25.20          J
080101         1933/09/02          25.20          MC
080101         1933/09/03          25.20          MC
080101         1933/09/04          24.50          J
080101         1933/09/05          24.00          MC
080101         1933/09/06          22.90          MC
080101         1933/09/07          17.60          MC
080101         1933/09/08          21.90          MC
080101         1933/09/09          19.70          MC
080101         1933/09/10          12.60          MC
080101         1933/09/11          17.60          MC
080101         1933/09/12          15.60          MC
080101         1933/09/13          16.60          MC
080101         1933/09/14          15.60          MC
080101         1933/09/15          16.60          MC
080101         1933/09/16          17.60          MC
080101         1933/09/17          19.70          MC
080101         1933/09/18          16.60          MC
080101         1933/09/19          15.60          MC
080101         1933/09/20          17.60          MC
080101         1933/09/21          16.60          MC
080101         1933/09/22          16.60          MC
080101         1933/09/23          19.70          MC
080101         1933/09/24          20.80          MC
080101         1933/09/25          20.80          MC
080101         1933/09/26          21.90          MC
080101         1933/09/27          19.70          MC
080101         1933/09/28          25.20          MC
080101         1933/09/29          18.70          MC
080101         1933/09/30          21.90          MC
080101         1933/10/01          22.00          MC
080101         1933/10/02          20.40          MC
080101         1933/10/03          20.40          MC
080101         1933/10/04          19.00          MC
080101         1933/10/05          19.00          MC
080101         1933/10/06          20.40          MC
080101         1933/10/07          20.40          MC
080101         1933/10/08          19.00          MC
080101         1933/10/09          22.00          MC
080101         1933/10/10          21.20          MC
080101         1933/10/11          23.90          MC
080101         1933/10/12          25.00          MC
080101         1933/10/13          20.40          MC
080101         1933/10/14          29.40          MC
080101         1933/10/15          27.30          MC
080101         1933/10/16          28.30          MC
080101         1933/10/17          35.40          MC
080101         1933/10/18          26.20          MC
080101         1933/10/19          28.30          MC
080101         1933/10/20          26.20          MC
080101         1933/10/21          29.40          MC
080101         1933/10/22          31.70          MC
080101         1933/10/23          28.30          MC
080101         1933/10/24          28.30          MC
