Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2004-11-29
Station:        080104         Turgeon - à 14,3 km en amont de la rivière Harricana                                                                                           
Bassin versant: 11200 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 59' 7" // -79° 5' 42"

Date de création du fichier: 2017-05-01 22:02
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
080104         1968/01/31          12.50          J
080104         1968/02/01          
080104         1968/02/02          
080104         1968/02/03          
080104         1968/02/04          
080104         1968/02/05          
080104         1968/02/06          
080104         1968/02/07          
080104         1968/02/08          
080104         1968/02/09          
080104         1968/02/10          
080104         1968/02/11          
080104         1968/02/12          
080104         1968/02/13          
080104         1968/02/14          
080104         1968/02/15          
080104         1968/02/16          
080104         1968/02/17          
080104         1968/02/18          
080104         1968/02/19          
080104         1968/02/20          
080104         1968/02/21          
080104         1968/02/22          
080104         1968/02/23          
080104         1968/02/24          
080104         1968/02/25          
080104         1968/02/26          
080104         1968/02/27          
080104         1968/02/28          
080104         1968/02/29          
080104         1968/03/01          
080104         1968/03/02          
080104         1968/03/03          
080104         1968/03/04          
080104         1968/03/05          
080104         1968/03/06          
080104         1968/03/07          
080104         1968/03/08          11.30          J
080104         1968/03/09          
080104         1968/03/10          
080104         1968/03/11          
080104         1968/03/12          
080104         1968/03/13          
080104         1968/03/14          
080104         1968/03/15          
080104         1968/03/16          
080104         1968/03/17          
080104         1968/03/18          
080104         1968/03/19          
080104         1968/03/20          
080104         1968/03/21          
080104         1968/03/22          
080104         1968/03/23          
080104         1968/03/24          
080104         1968/03/25          
080104         1968/03/26          
080104         1968/03/27          
080104         1968/03/28          
080104         1968/03/29          
080104         1968/03/30          
080104         1968/03/31          
080104         1968/04/01          
080104         1968/04/02          
080104         1968/04/03          
080104         1968/04/04          
080104         1968/04/05          
080104         1968/04/06          
080104         1968/04/07          111.0          J
080104         1968/04/08          
080104         1968/04/09          
080104         1968/04/10          
080104         1968/04/11          
080104         1968/04/12          
080104         1968/04/13          
080104         1968/04/14          
080104         1968/04/15          
080104         1968/04/16          
080104         1968/04/17          
080104         1968/04/18          
080104         1968/04/19          
080104         1968/04/20          
080104         1968/04/21          
080104         1968/04/22          
080104         1968/04/23          
080104         1968/04/24          
080104         1968/04/25          
080104         1968/04/26          
080104         1968/04/27          
080104         1968/04/28          
080104         1968/04/29          
080104         1968/04/30          
080104         1968/05/01          
080104         1968/05/02          
080104         1968/05/03          
080104         1968/05/04          
080104         1968/05/05          
080104         1968/05/06          
080104         1968/05/07          
080104         1968/05/08          
080104         1968/05/09          
080104         1968/05/10          
080104         1968/05/11          
080104         1968/05/12          
080104         1968/05/13          
080104         1968/05/14          
080104         1968/05/15          
080104         1968/05/16          
080104         1968/05/17          
080104         1968/05/18          
080104         1968/05/19          
080104         1968/05/20          
080104         1968/05/21          
080104         1968/05/22          
080104         1968/05/23          
080104         1968/05/24          
080104         1968/05/25          
080104         1968/05/26          
080104         1968/05/27          
080104         1968/05/28          
080104         1968/05/29          
080104         1968/05/30          
080104         1968/05/31          
080104         1968/06/01          
080104         1968/06/02          
080104         1968/06/03          
080104         1968/06/04          
080104         1968/06/05          
080104         1968/06/06          
080104         1968/06/07          
080104         1968/06/08          104.0          J
080104         1968/06/09          
080104         1968/06/10          
080104         1968/06/11          
080104         1968/06/12          
080104         1968/06/13          
080104         1968/06/14          
080104         1968/06/15          
080104         1968/06/16          
080104         1968/06/17          
080104         1968/06/18          
080104         1968/06/19          
080104         1968/06/20          
080104         1968/06/21          
080104         1968/06/22          
080104         1968/06/23          
080104         1968/06/24          
080104         1968/06/25          
080104         1968/06/26          
080104         1968/06/27          
080104         1968/06/28          
080104         1968/06/29          
080104         1968/06/30          
080104         1968/07/01          
080104         1968/07/02          
080104         1968/07/03          
080104         1968/07/04          
080104         1968/07/05          
080104         1968/07/06          
080104         1968/07/07          
080104         1968/07/08          
080104         1968/07/09          
080104         1968/07/10          
080104         1968/07/11          
080104         1968/07/12          
080104         1968/07/13          
080104         1968/07/14          
080104         1968/07/15          
080104         1968/07/16          
080104         1968/07/17          
080104         1968/07/18          
080104         1968/07/19          
080104         1968/07/20          
080104         1968/07/21          
080104         1968/07/22          
080104         1968/07/23          
080104         1968/07/24          
080104         1968/07/25          
080104         1968/07/26          
080104         1968/07/27          
080104         1968/07/28          
080104         1968/07/29          
080104         1968/07/30          
080104         1968/07/31          
080104         1968/08/01          
080104         1968/08/02          
080104         1968/08/03          
080104         1968/08/04          
080104         1968/08/05          362.0          J
080104         1968/08/06          331.0          MC
080104         1968/08/07          292.0          MC
080104         1968/08/08          261.0          MC
080104         1968/08/09          229.0          MC
080104         1968/08/10          198.0          MC
080104         1968/08/11          177.0          MC
080104         1968/08/12          168.0          MC
080104         1968/08/13          165.0          MC
080104         1968/08/14          167.0          MC
080104         1968/08/15          166.0          MC
080104         1968/08/16          153.0          MC
080104         1968/08/17          150.0          MC
080104         1968/08/18          150.0          MC
080104         1968/08/19          150.0          MC
080104         1968/08/20          147.0          MC
080104         1968/08/21          153.0          MC
080104         1968/08/22          228.0          MC
080104         1968/08/23          297.0          MC
080104         1968/08/24          276.0          MC
080104         1968/08/25          289.0          MC
080104         1968/08/26          413.0          MC
080104         1968/08/27          515.0          MC
080104         1968/08/28          504.0          MC
080104         1968/08/29          442.0          MC
080104         1968/08/30          379.0          MC
080104         1968/08/31          320.0          MC
080104         1968/09/01          273.0          MC
080104         1968/09/02          241.0          MC
080104         1968/09/03          212.0          MC
080104         1968/09/04          184.0          MC
080104         1968/09/05          163.0          MC
080104         1968/09/06          
080104         1968/09/07          
080104         1968/09/08          
080104         1968/09/09          
080104         1968/09/10          
080104         1968/09/11          
080104         1968/09/12          
080104         1968/09/13          
080104         1968/09/14          
080104         1968/09/15          
080104         1968/09/16          
080104         1968/09/17          
080104         1968/09/18          
080104         1968/09/19          
080104         1968/09/20          
080104         1968/09/21          
080104         1968/09/22          
080104         1968/09/23          
