Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-09-30, préliminaires par la suite
Station:        080106         Bourlamaque - à 1.1 km. en amont du pont de la route 117                                                                                       
Bassin versant: 365 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 5' 22" // -77° 40' 13"

Date de création du fichier: 2019-12-01 07:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
080106         2009/11/11          7.202          MJ
080106         2009/11/12          6.755          MJ
080106         2009/11/13          6.135          MJ
080106         2009/11/14          5.610          MJ
080106         2009/11/15          5.252          MJ
080106         2009/11/16          4.975          MJ
080106         2009/11/17          4.597          MJ
080106         2009/11/18          4.300          MJ
080106         2009/11/19          4.073          MJ
080106         2009/11/20          4.481          MJ
080106         2009/11/21          5.097          MJ
080106         2009/11/22          5.232          MJ
080106         2009/11/23          5.199          MJ
080106         2009/11/24          5.047          MJ
080106         2009/11/25          5.010          MJ
080106         2009/11/26          6.762          MJ
080106         2009/11/27          8.299          MJ
080106         2009/11/28          8.343          MJ
080106         2009/11/29          7.878          MJ
080106         2009/11/30          7.190          MJ
080106         2009/12/01          6.626          MJ
080106         2009/12/02          6.021          MJ
080106         2009/12/03          5.677          MJ
080106         2009/12/04          5.110          MJ
080106         2009/12/05          4.930          R
080106         2009/12/06          4.500          R
080106         2009/12/07          4.110          R
080106         2009/12/08          3.840          R
080106         2009/12/09          3.740          R
080106         2009/12/10          3.590          R
080106         2009/12/11          3.450          R
080106         2009/12/12          3.320          R
080106         2009/12/13          3.210          R
080106         2009/12/14          3.100          R
080106         2009/12/15          3.010          R
080106         2009/12/16          2.920          R
080106         2009/12/17          2.840          R
080106         2009/12/18          2.760          R
080106         2009/12/19          2.690          R
080106         2009/12/20          2.630          R
080106         2009/12/21          2.570          R
080106         2009/12/22          2.520          R
080106         2009/12/23          2.470          R
080106         2009/12/24          2.430          R
080106         2009/12/25          2.390          R
080106         2009/12/26          2.350          R
080106         2009/12/27          2.320          R
080106         2009/12/28          2.290          R
080106         2009/12/29          2.260          R
080106         2009/12/30          2.230          R
080106         2009/12/31          2.210          R
080106         2010/01/01          2.190          R
080106         2010/01/02          2.170          R
080106         2010/01/03          2.150          R
080106         2010/01/04          2.140          R
080106         2010/01/05          2.120          R
080106         2010/01/06          2.110          R
080106         2010/01/07          2.100          R
080106         2010/01/08          2.090          R
080106         2010/01/09          2.080          R
080106         2010/01/10          2.070          R
080106         2010/01/11          2.060          R
080106         2010/01/12          2.050          R
080106         2010/01/13          2.040          R
080106         2010/01/14          2.040          R
080106         2010/01/15          2.030          R
080106         2010/01/16          2.020          R
080106         2010/01/17          2.020          R
080106         2010/01/18          2.010          R
080106         2010/01/19          2.000          R
080106         2010/01/20          2.000          R
080106         2010/01/21          1.990          R
080106         2010/01/22          1.980          R
080106         2010/01/23          1.970          J
080106         2010/01/24          1.960          R
080106         2010/01/25          2.250          R
080106         2010/01/26          2.700          R
080106         2010/01/27          3.150          R
080106         2010/01/28          3.270          R
080106         2010/01/29          3.240          R
080106         2010/01/30          3.150          R
080106         2010/01/31          3.050          R
080106         2010/02/01          2.950          R
080106         2010/02/02          2.860          R
080106         2010/02/03          2.770          R
080106         2010/02/04          2.690          R
080106         2010/02/05          2.610          R
080106         2010/02/06          2.540          R
080106         2010/02/07          2.470          R
080106         2010/02/08          2.410          R
080106         2010/02/09          2.350          R
080106         2010/02/10          2.290          R
080106         2010/02/11          2.240          R
080106         2010/02/12          2.200          R
080106         2010/02/13          2.150          R
080106         2010/02/14          2.120          R
080106         2010/02/15          2.080          R
080106         2010/02/16          2.050          R
080106         2010/02/17          2.030          R
080106         2010/02/18          2.010          R
080106         2010/02/19          2.000          R
080106         2010/02/20          1.990          R
080106         2010/02/21          1.990          R
080106         2010/02/22          1.990          R
080106         2010/02/23          1.980          R
080106         2010/02/24          2.020          R
080106         2010/02/25          2.060          R
080106         2010/02/26          2.110          R
080106         2010/02/27          2.200          R
080106         2010/02/28          2.190          R
080106         2010/03/01          2.150          R
080106         2010/03/02          2.120          R
080106         2010/03/03          2.090          R
080106         2010/03/04          2.070          R
080106         2010/03/05          2.050          R
080106         2010/03/06          2.030          R
080106         2010/03/07          2.030          R
080106         2010/03/08          2.010          R
080106         2010/03/09          2.000          R
080106         2010/03/10          1.990          R
080106         2010/03/11          2.000          R
080106         2010/03/12          2.040          R
080106         2010/03/13          2.130          R
080106         2010/03/14          2.450          J
080106         2010/03/15          2.760          R
080106         2010/03/16          3.140          R
080106         2010/03/17          3.630          R
080106         2010/03/18          4.250          R
080106         2010/03/19          5.060          R
080106         2010/03/20          5.230          R
080106         2010/03/21          5.200          R
080106         2010/03/22          5.220          R
080106         2010/03/23          4.890          R
080106         2010/03/24          4.590          R
080106         2010/03/25          4.340          R
080106         2010/03/26          4.120          R
080106         2010/03/27          3.940          R
080106         2010/03/28          3.790          R
080106         2010/03/29          3.670          R
080106         2010/03/30          3.590          R
080106         2010/03/31          3.700          R
080106         2010/04/01          4.790          R
080106         2010/04/02          8.974          MJ
080106         2010/04/03          14.57          MJ
080106         2010/04/04          20.55          MJ
080106         2010/04/05          24.49          MJ
080106         2010/04/06          24.78          MJ
080106         2010/04/07          23.47          MJ
080106         2010/04/08          20.87          MJ
080106         2010/04/09          18.84          MJ
080106         2010/04/10          17.64          MJ
080106         2010/04/11          16.14          MJ
080106         2010/04/12          14.51          MJ
080106         2010/04/13          12.97          MJ
080106         2010/04/14          11.59          MJ
080106         2010/04/15          10.61          MJ
080106         2010/04/16          13.30          MJ
080106         2010/04/17          15.64          MJ
080106         2010/04/18          15.76          MJ
080106         2010/04/19          14.71          MJ
080106         2010/04/20          13.57          MJ
080106         2010/04/21          12.49          MJ
080106         2010/04/22          11.55          MJ
080106         2010/04/23          10.47          MJ
080106         2010/04/24          9.477          MJ
080106         2010/04/25          8.428          MJ
080106         2010/04/26          7.453          MJ
080106         2010/04/27          6.585          MJ
080106         2010/04/28          5.949          MJ
080106         2010/04/29          5.407          MJ
080106         2010/04/30          4.911          MJ
080106         2010/05/01          4.597          MJ
080106         2010/05/02          4.666          MJ
080106         2010/05/03          5.582          MJ
080106         2010/05/04          6.836          MJ
080106         2010/05/05          6.781          MJ
080106         2010/05/06          7.297          MJ
080106         2010/05/07          7.642          MJ
080106         2010/05/08          6.984          MJ
080106         2010/05/09          6.418          MJ
080106         2010/05/10          6.210          MJ
080106         2010/05/11          5.908          MJ
080106         2010/05/12          5.335          MJ
080106         2010/05/13          4.807          MJ
080106         2010/05/14          4.552          MJ
080106         2010/05/15          5.088          MJ
080106         2010/05/16          5.027          MJ
080106         2010/05/17          4.571          MJ
080106         2010/05/18          4.147          MJ
080106         2010/05/19          3.783          MJ
080106         2010/05/20          3.519          MJ
080106         2010/05/21          3.209          MJ
080106         2010/05/22          2.971          MJ
080106         2010/05/23          2.733          MJ
080106         2010/05/24          2.387          MJ
080106         2010/05/25          2.171          MJ
080106         2010/05/26          1.802          MJ
080106         2010/05/27          1.626          MJ
080106         2010/05/28          1.510          MJ
080106         2010/05/29          1.409          MJ
080106         2010/05/30          1.333          MJ
080106         2010/05/31          1.342          MJ
080106         2010/06/01          1.308          MJ
080106         2010/06/02          1.256          MJ
080106         2010/06/03          1.192          MJ
080106         2010/06/04          1.146          MJ
080106         2010/06/05          1.162          MJ
080106         2010/06/06          1.189          MJ
080106         2010/06/07          1.125          MJ
080106         2010/06/08          1.051          MJ
080106         2010/06/09          1.092          MJ
080106         2010/06/10          1.135          MJ
080106         2010/06/11          0.9705         MJ
080106         2010/06/12          0.9015         MJ
080106         2010/06/13          0.8365         MJ
080106         2010/06/14          0.8328         MJ
080106         2010/06/15          0.8197         MJ
080106         2010/06/16          0.7251         MJ
080106         2010/06/17          0.7116         MJ
080106         2010/06/18          0.7033         MJ
080106         2010/06/19          0.7482         MJ
080106         2010/06/20          1.281          MJ
080106         2010/06/21          1.619          MJ
080106         2010/06/22          1.719          MJ
080106         2010/06/23          1.936          MJ
080106         2010/06/24          2.580          MJ
080106         2010/06/25          3.182          MJ
080106         2010/06/26          3.298          MJ
080106         2010/06/27          3.001          MJ
080106         2010/06/28          2.921          MJ
080106         2010/06/29          2.970          MJ
080106         2010/06/30          3.534          MJ
080106         2010/07/01          3.891          MJ
080106         2010/07/02          3.684          MJ
080106         2010/07/03          3.426          MJ
080106         2010/07/04          3.113          MJ
080106         2010/07/05          2.665          MJ
080106         2010/07/06          2.453          MJ
080106         2010/07/07          2.005          MJ
080106         2010/07/08          1.716          MJ
080106         2010/07/09          1.658          MJ
080106         2010/07/10          1.510          MJ
080106         2010/07/11          1.300          MJ
080106         2010/07/12          1.188          J
080106         2010/07/13          1.358          MJ
080106         2010/07/14          1.144          MJ
080106         2010/07/15          1.110          MJ
080106         2010/07/16          1.345          MJ
080106         2010/07/17          1.611          MJ
080106         2010/07/18          1.565          MJ
080106         2010/07/19          1.376          MJ
080106         2010/07/20          1.089          MJ
080106         2010/07/21          0.9835         MJ
080106         2010/07/22          1.289          MJ
080106         2010/07/23          1.338          MJ
080106         2010/07/24          1.404          MJ
080106         2010/07/25          1.474          MJ
080106         2010/07/26          1.335          MJ
080106         2010/07/27          1.277          MJ
080106         2010/07/28          1.449          MJ
080106         2010/07/29          1.689          MJ
080106         2010/07/30          1.449          MJ
080106         2010/07/31          1.248          MJ
080106         2010/08/01          1.167          MJ
080106         2010/08/02          1.038          MJ
080106         2010/08/03          0.9657         MJ
080106         2010/08/04          0.9162         MJ
080106         2010/08/05          1.069          MJ
080106         2010/08/06          1.179          MJ
080106         2010/08/07          1.024          MJ
080106         2010/08/08          0.9365         MJ
080106         2010/08/09          0.8227         MJ
080106         2010/08/10          0.7585         MJ
080106         2010/08/11          0.5691         MJ
080106         2010/08/12          0.4651         MJ
080106         2010/08/13          0.8639         MJ
080106         2010/08/14          1.060          MJ
080106         2010/08/15          0.9795         MJ
080106         2010/08/16          1.140          MJ
080106         2010/08/17          1.250          MJ
080106         2010/08/18          1.174          MJ
080106         2010/08/19          1.068          MJ
080106         2010/08/20          1.954          MJ
080106         2010/08/21          2.295          MJ
080106         2010/08/22          4.917          MJ
080106         2010/08/23          8.278          MJ
080106         2010/08/24          7.461          MJ
080106         2010/08/25          5.593          MJ
080106         2010/08/26          4.574          MJ
080106         2010/08/27          4.060          MJ
080106         2010/08/28          4.674          MJ
080106         2010/08/29          4.459          MJ
080106         2010/08/30          3.598          MJ
080106         2010/08/31          2.949          MJ
080106         2010/09/01          2.654          MJ
