Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2000-04-10, préliminaires par la suite
Station:        080707         Bell - à 7,7 km en amont du lac Matagami                                                                                                       
Bassin versant: 22275 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 45' 17" // -77° 37' 1"

Date de création du fichier: 2019-11-29 18:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
080707         1962/02/01          143.0          R
080707         1962/02/02          142.0          R
080707         1962/02/03          139.0          R
080707         1962/02/04          136.0          R
080707         1962/02/05          135.0          R
080707         1962/02/06          133.0          R
080707         1962/02/07          130.0          R
080707         1962/02/08          129.0          R
080707         1962/02/09          127.0          R
080707         1962/02/10          126.0          R
080707         1962/02/11          123.0          R
080707         1962/02/12          122.0          R
080707         1962/02/13          119.0          J
080707         1962/02/14          118.0          R
080707         1962/02/15          116.0          R
080707         1962/02/16          115.0          R
080707         1962/02/17          114.0          R
080707         1962/02/18          114.0          R
080707         1962/02/19          113.0          R
080707         1962/02/20          111.0          R
080707         1962/02/21          109.0          R
080707         1962/02/22          107.0          R
080707         1962/02/23          105.0          R
080707         1962/02/24          104.0          R
080707         1962/02/25          103.0          R
080707         1962/02/26          103.0          R
080707         1962/02/27          103.0          R
080707         1962/02/28          103.0          R
080707         1962/03/01          103.0          R
080707         1962/03/02          103.0          R
080707         1962/03/03          100.0          R
080707         1962/03/04          98.80          R
080707         1962/03/05          96.80          R
080707         1962/03/06          96.00          R
080707         1962/03/07          95.70          R
080707         1962/03/08          95.70          J
080707         1962/03/09          95.10          R
080707         1962/03/10          93.40          R
080707         1962/03/11          92.00          R
080707         1962/03/12          91.20          R
080707         1962/03/13          90.60          R
080707         1962/03/14          88.90          R
080707         1962/03/15          87.80          R
080707         1962/03/16          88.30          R
080707         1962/03/17          88.10          R
080707         1962/03/18          88.30          R
080707         1962/03/19          88.30          R
080707         1962/03/20          87.80          R
