Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1967-12-31
Station:        080709         Chibougamau - au pont-route au mille 133                                                                                                       
Bassin versant: 1170 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 45' 31" // -74° 25' 32"

Date de création du fichier: 2012-06-30 07:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
080709         1964/07/23          58.30          MC
080709         1964/07/24          57.80          MC
080709         1964/07/25          56.10          MC
080709         1964/07/26          57.80          MC
080709         1964/07/27          60.00          MC
080709         1964/07/28          59.70          MC
080709         1964/07/29          59.70          MC
080709         1964/07/30          58.30          MC
080709         1964/07/31          57.80          MC
080709         1964/08/01          56.90          MC
080709         1964/08/02          56.60          MC
080709         1964/08/03          55.80          MC
080709         1964/08/04          54.10          MC
080709         1964/08/05          55.50          MC
080709         1964/08/06          54.40          MC
080709         1964/08/07          52.70          MC
080709         1964/08/08          52.70          MC
080709         1964/08/09          52.70          MC
080709         1964/08/10          52.10          MC
080709         1964/08/11          51.80          MC
080709         1964/08/12          51.50          MC
080709         1964/08/13          53.80          MC
080709         1964/08/14          55.50          MC
080709         1964/08/15          54.90          MC
080709         1964/08/16          55.50          MC
080709         1964/08/17          56.60          MC
080709         1964/08/18          56.60          MC
080709         1964/08/19          56.40          MC
080709         1964/08/20          55.80          MC
080709         1964/08/21          55.50          MC
080709         1964/08/22          55.50          MC
080709         1964/08/23          55.20          MC
080709         1964/08/24          54.70          MC
080709         1964/08/25          54.10          MC
080709         1964/08/26          54.70          MC
080709         1964/08/27          54.70          MC
080709         1964/08/28          54.40          MC
080709         1964/08/29          52.70          MC
080709         1964/08/30          53.50          MC
080709         1964/08/31          53.00          MC
080709         1964/09/01          52.70          MC
080709         1964/09/02          52.10          MC
080709         1964/09/03          51.80          MC
080709         1964/09/04          51.00          MC
080709         1964/09/05          51.00          MC
080709         1964/09/06          50.70          MC
080709         1964/09/07          50.40          MC
080709         1964/09/08          49.80          MC
080709         1964/09/09          49.80          MC
080709         1964/09/10          49.30          MC
080709         1964/09/11          49.30          MC
080709         1964/09/12          47.90          MC
080709         1964/09/13          46.20          MC
080709         1964/09/14          46.20          MC
080709         1964/09/15          46.20          MC
080709         1964/09/16          45.90          MC
080709         1964/09/17          45.30          MC
080709         1964/09/18          44.70          MC
080709         1964/09/19          44.20          MC
080709         1964/09/20          43.30          MC
080709         1964/09/21          42.50          MC
080709         1964/09/22          42.50          MC
080709         1964/09/23          43.00          MC
080709         1964/09/24          42.50          MC
080709         1964/09/25          44.20          MC
080709         1964/09/26          43.30          MC
080709         1964/09/27          42.80          MC
080709         1964/09/28          44.20          MC
080709         1964/09/29          44.50          MC
080709         1964/09/30          44.70          MC
080709         1964/10/01          44.50          MC
080709         1964/10/02          42.50          MC
080709         1964/10/03          43.00          MC
080709         1964/10/04          45.30          MC
080709         1964/10/05          44.20          MC
080709         1964/10/06          43.90          MC
080709         1964/10/07          43.60          MC
080709         1964/10/08          43.30          MC
080709         1964/10/09          43.00          MC
080709         1964/10/10          43.30          MC
080709         1964/10/11          42.50          MC
080709         1964/10/12          42.50          MC
080709         1964/10/13          43.00          MC
080709         1964/10/14          41.60          MC
080709         1964/10/15          42.20          MC
080709         1964/10/16          41.60          MC
080709         1964/10/17          41.60          MC
080709         1964/10/18          40.80          MC
080709         1964/10/19          41.30          MC
080709         1964/10/20          40.80          MC
080709         1964/10/21          40.50          MC
080709         1964/10/22          39.90          MC
080709         1964/10/23          39.60          MC
080709         1964/10/24          38.80          MC
080709         1964/10/25          39.10          MC
080709         1964/10/26          39.10          MC
080709         1964/10/27          38.20          MC
080709         1964/10/28          38.20          MC
080709         1964/10/29          38.80          MC
080709         1964/10/30          38.20          MC
080709         1964/10/31          37.90          MC
080709         1964/11/01          37.10          MC
080709         1964/11/02          37.10          MC
080709         1964/11/03          36.50          MC
080709         1964/11/04          36.00          MC
080709         1964/11/05          35.70          MC
080709         1964/11/06          36.20          MC
080709         1964/11/07          35.40          MC
080709         1964/11/08          35.10          MC
080709         1964/11/09          35.10          MC
080709         1964/11/10          34.80          MC
080709         1964/11/11          34.30          MC
080709         1964/11/12          34.30          MC
080709         1964/11/13          35.10          MC
080709         1964/11/14          35.40          MC
080709         1964/11/15          35.10          MC
080709         1964/11/16          35.10          MC
080709         1964/11/17          35.10          MC
080709         1964/11/18          35.10          MC
080709         1964/11/19          35.10          MC
080709         1964/11/20          35.10          MC
080709         1964/11/21          35.10          MC
080709         1964/11/22          35.10          E
080709         1964/11/23          35.40          E
080709         1964/11/24          35.40          E
080709         1964/11/25          35.40          E
080709         1964/11/26          35.40          MC
080709         1964/11/27          34.80          MC
080709         1964/11/28          34.50          MC
080709         1964/11/29          34.50          MC
080709         1964/11/30          34.30          MC
080709         1964/12/01          34.00          MC
080709         1964/12/02          33.70          MC
080709         1964/12/03          33.40          MC
080709         1964/12/04          33.40          MC
080709         1964/12/05          33.10          MC
080709         1964/12/06          32.80          MC
080709         1964/12/07          32.30          MC
080709         1964/12/08          32.00          MC
080709         1964/12/09          31.70          MC
080709         1964/12/10          31.70          MC
080709         1964/12/11          31.40          MC
080709         1964/12/12          31.40          MC
080709         1964/12/13          31.40          MC
080709         1964/12/14          31.40          MC
080709         1964/12/15          31.40          MC
080709         1964/12/16          31.40          MC
080709         1964/12/17          31.70          MC
080709         1964/12/18          31.40          MC
080709         1964/12/19          31.10          MC
080709         1964/12/20          30.90          MC
080709         1964/12/21          30.90          MC
080709         1964/12/22          30.60          MC
080709         1964/12/23          30.60          MC
080709         1964/12/24          30.30          MC
080709         1964/12/25          30.60          MC
080709         1964/12/26          31.70          MC
080709         1964/12/27          31.70          MC
080709         1964/12/28          31.40          MC
080709         1964/12/29          31.10          MC
080709         1964/12/30          31.10          MC
080709         1964/12/31          30.90          MC
080709         1965/01/01          30.60          MC
080709         1965/01/02          30.30          MC
080709         1965/01/03          30.00          MC
080709         1965/01/04          30.00          MC
080709         1965/01/05          29.70          MC
080709         1965/01/06          29.40          MC
080709         1965/01/07          29.40          MC
080709         1965/01/08          29.20          MC
080709         1965/01/09          28.90          MC
080709         1965/01/10          28.90          MC
080709         1965/01/11          28.60          MC
080709         1965/01/12          28.60          MC
080709         1965/01/13          28.30          MC
080709         1965/01/14          27.80          MC
080709         1965/01/15          27.60          MC
080709         1965/01/16          27.30          MC
080709         1965/01/17          27.10          MC
080709         1965/01/18          27.10          MC
080709         1965/01/19          27.10          MC
080709         1965/01/20          27.00          MC
080709         1965/01/21          26.80          MC
080709         1965/01/22          26.50          MC
080709         1965/01/23          26.20          MC
080709         1965/01/24          26.10          MC
080709         1965/01/25          26.00          MC
080709         1965/01/26          25.90          MC
080709         1965/01/27          25.80          MC
080709         1965/01/28          25.60          MC
080709         1965/01/29          25.40          MC
080709         1965/01/30          25.30          MC
080709         1965/01/31          25.30          MC
080709         1965/02/01          25.20          MC
080709         1965/02/02          25.00          MC
080709         1965/02/03          25.10          MC
080709         1965/02/04          25.00          MC
080709         1965/02/05          24.90          MC
080709         1965/02/06          24.90          MC
080709         1965/02/07          24.80          MC
080709         1965/02/08          24.80          MC
080709         1965/02/09          24.70          MC
080709         1965/02/10          24.50          MC
080709         1965/02/11          24.50          MC
080709         1965/02/12          24.40          MC
080709         1965/02/13          24.40          MC
080709         1965/02/14          24.40          MC
080709         1965/02/15          24.30          MC
080709         1965/02/16          24.00          MC
080709         1965/02/17          23.70          MC
080709         1965/02/18          23.60          MC
080709         1965/02/19          23.60          MC
080709         1965/02/20          23.40          MC
080709         1965/02/21          23.50          MC
080709         1965/02/22          23.50          MC
080709         1965/02/23          23.60          MC
080709         1965/02/24          23.60          MC
080709         1965/02/25          23.60          MC
080709         1965/02/26          23.60          MC
080709         1965/02/27          23.50          MC
080709         1965/02/28          23.40          MC
080709         1965/03/01          23.30          MC
080709         1965/03/02          23.30          MC
080709         1965/03/03          23.20          MC
080709         1965/03/04          23.10          MC
080709         1965/03/05          23.10          MC
080709         1965/03/06          23.00          MC
080709         1965/03/07          22.90          MC
080709         1965/03/08          22.40          MC
080709         1965/03/09          22.30          MC
080709         1965/03/10          22.10          MC
080709         1965/03/11          21.90          MC
080709         1965/03/12          21.60          MC
080709         1965/03/13          21.50          MC
080709         1965/03/14          21.40          MC
080709         1965/03/15          20.60          MC
080709         1965/03/16          20.20          MC
080709         1965/03/17          20.00          MC
080709         1965/03/18          20.00          MC
080709         1965/03/19          20.30          MC
080709         1965/03/20          20.40          MC
080709         1965/03/21          20.40          MC
080709         1965/03/22          20.10          MC
080709         1965/03/23          19.90          MC
080709         1965/03/24          19.60          MC
080709         1965/03/25          19.50          MC
080709         1965/03/26          19.40          MC
080709         1965/03/27          19.10          MC
080709         1965/03/28          18.90          MC
080709         1965/03/29          18.90          MC
080709         1965/03/30          18.70          MC
080709         1965/03/31          18.50          MC
080709         1965/04/01          18.30          MC
080709         1965/04/02          18.30          MC
080709         1965/04/03          17.90          MC
080709         1965/04/04          17.70          MC
080709         1965/04/05          17.50          MC
080709         1965/04/06          17.40          MC
080709         1965/04/07          17.30          MC
080709         1965/04/08          17.20          MC
080709         1965/04/09          17.00          MC
080709         1965/04/10          16.90          MC
080709         1965/04/11          16.90          MC
080709         1965/04/12          16.70          MC
080709         1965/04/13          16.50          MC
080709         1965/04/14          16.40          MC
080709         1965/04/15          16.30          MC
080709         1965/04/16          16.30          MC
080709         1965/04/17          16.20          MC
080709         1965/04/18          16.10          MC
080709         1965/04/19          16.10          MC
080709         1965/04/20          16.10          MC
080709         1965/04/21          15.90          MC
080709         1965/04/22          15.90          MC
080709         1965/04/23          15.70          MC
080709         1965/04/24          15.60          MC
080709         1965/04/25          15.50          MC
080709         1965/04/26          15.50          MC
080709         1965/04/27          15.50          MC
080709         1965/04/28          15.40          MC
080709         1965/04/29          15.50          MC
080709         1965/04/30          15.50          MC
080709         1965/05/01          15.50          MC
080709         1965/05/02          15.50          MC
080709         1965/05/03          15.50          MC
080709         1965/05/04          15.60          MC
080709         1965/05/05          15.70          MC
080709         1965/05/06          15.80          MC
080709         1965/05/07          16.00          MC
080709         1965/05/08          16.30          MC
080709         1965/05/09          16.80          MC
080709         1965/05/10          17.30          MC
080709         1965/05/11          17.80          MC
