Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1971-11-21
Station:        080711         Lac aux Dorés - en amont de la jetée de l'île Merrill                                                                                          
Bassin versant: 0 km²          Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 51' 31" // -74° 21' 15"
Constante géodésique: 346.068 m
Date de création du fichier: 2012-06-23 22:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
080711         1964/07/23          10.82          PL
080711         1964/07/24          10.81          PL
080711         1964/07/25          10.79          PL
080711         1964/07/26          10.81          PL
080711         1964/07/27          10.83          PL
080711         1964/07/28          10.82          PL
080711         1964/07/29          10.81          PL
080711         1964/07/30          10.81          PL
080711         1964/07/31          10.80          PL
080711         1964/08/01          10.77          PL
080711         1964/08/02          10.77          PL
080711         1964/08/03          10.75          PL
080711         1964/08/04          10.73          PL
080711         1964/08/05          10.76          PL
080711         1964/08/06          10.72          PL
080711         1964/08/07          10.70          PL
080711         1964/08/08          10.71          PL
080711         1964/08/09          10.69          PL
080711         1964/08/10          10.67          PL
080711         1964/08/11          10.66          PL
080711         1964/08/12          10.68          PL
080711         1964/08/13          10.72          PL
080711         1964/08/14          10.72          PL
080711         1964/08/15          10.73          PL
080711         1964/08/16          10.74          PL
080711         1964/08/17          10.75          PL
080711         1964/08/18          10.77          PL
080711         1964/08/19          10.77          PL
080711         1964/08/20          10.77          PL
080711         1964/08/21          10.76          PL
080711         1964/08/22          10.75          PL
080711         1964/08/23          10.75          PL
080711         1964/08/24          10.75          PL
080711         1964/08/25          10.74          PL
080711         1964/08/26          10.73          PL
080711         1964/08/27          10.73          PL
080711         1964/08/28          10.71          PL
080711         1964/08/29          10.70          PL
080711         1964/08/30          10.69          PL
080711         1964/08/31          10.69          PL
080711         1964/09/01          10.69          PL
080711         1964/09/02          10.68          PL
080711         1964/09/03          10.67          PL
