Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1969-02-02
Station:        080712         Lac aux Dorés - dans la baie de Bateman                                                                                                        
Bassin versant: 0 km²          Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 54' 5" // -74° 14' 38"
Constante géodésique: 351.441 m
Date de création du fichier: 2012-06-23 22:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
080712         1964/07/23          10.90          PL
080712         1964/07/24          10.89          PL
080712         1964/07/25          10.88          PL
080712         1964/07/26          10.89          PL
080712         1964/07/27          10.90          PL
080712         1964/07/28          10.89          PL
080712         1964/07/29          10.89          PL
080712         1964/07/30          10.89          PL
080712         1964/07/31          10.87          PL
080712         1964/08/01          10.86          PL
080712         1964/08/02          10.84          PL
080712         1964/08/03          10.82          PL
080712         1964/08/04          10.82          PL
080712         1964/08/05          10.79          PL
080712         1964/08/06          10.77          PL
080712         1964/08/07          10.75          PL
080712         1964/08/08          10.74          PL
080712         1964/08/09          10.74          PL
080712         1964/08/10          10.73          PL
080712         1964/08/11          10.71          PL
080712         1964/08/12          10.71          PL
080712         1964/08/13          10.72          PL
080712         1964/08/14          10.74          PL
080712         1964/08/15          10.78          PL
080712         1964/08/16          10.78          PL
080712         1964/08/17          10.82          PL
080712         1964/08/18          10.83          PL
080712         1964/08/19          10.83          PL
080712         1964/08/20          10.83          PL
080712         1964/08/21          10.80          PL
080712         1964/08/22          10.80          PL
080712         1964/08/23          10.80          PL
080712         1964/08/24          10.82          PL
080712         1964/08/25          10.80          PL
080712         1964/08/26          10.82          PL
080712         1964/08/27          10.79          PL
080712         1964/08/28          10.80          PL
080712         1964/08/29          10.79          PL
080712         1964/08/30          10.79          PL
080712         1964/08/31          10.77          PL
080712         1964/09/01          10.74          PL
080712         1964/09/02          10.73          PL
080712         1964/09/03          10.71          PL
080712         1964/09/04          10.71          PL
080712         1964/09/05          10.69          PL
