Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1969-02-02
Station:        080713         Lac Chibougamau - dans la baie du Commencement                                                                                                 
Bassin versant: 0 km²          Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 53' 58" // -74° 14' 32"
Constante géodésique: 351.441 m
Date de création du fichier: 2012-06-23 22:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
080713         1964/07/23          13.61          PL
080713         1964/07/24          13.61          PL
080713         1964/07/25          13.60          PL
080713         1964/07/26          13.61          PL
080713         1964/07/27          13.61          PL
080713         1964/07/28          13.61          PL
080713         1964/07/29          13.61          PL
080713         1964/07/30          13.61          PL
080713         1964/07/31          13.61          PL
080713         1964/08/01          13.61          PL
080713         1964/08/02          13.60          PL
080713         1964/08/03          13.57          PL
080713         1964/08/04          13.57          PL
080713         1964/08/05          13.58          PL
080713         1964/08/06          13.56          PL
080713         1964/08/07          13.54          PL
080713         1964/08/08          13.55          PL
080713         1964/08/09          13.55          PL
080713         1964/08/10          13.53          PL
080713         1964/08/11          13.53          PL
080713         1964/08/12          13.54          PL
080713         1964/08/13          13.55          PL
080713         1964/08/14          13.56          PL
080713         1964/08/15          13.55          PL
080713         1964/08/16          13.59          PL
080713         1964/08/17          13.61          PL
080713         1964/08/18          13.64          PL
080713         1964/08/19          13.64          PL
080713         1964/08/20          13.64          PL
080713         1964/08/21          13.63          PL
080713         1964/08/22          13.63          PL
080713         1964/08/23          13.63          PL
080713         1964/08/24          13.63          PL
080713         1964/08/25          13.61          PL
080713         1964/08/26          13.61          PL
080713         1964/08/27          13.63          PL
080713         1964/08/28          13.61          PL
080713         1964/08/29          13.61          PL
080713         1964/08/30          13.58          PL
080713         1964/08/31          13.57          PL
080713         1964/09/01          13.57          PL
080713         1964/09/02          13.55          PL
080713         1964/09/03          13.54          PL
080713         1964/09/04          13.54          PL
080713         1964/09/05          13.52          PL
080713         1964/09/06          13.52          PL
080713         1964/09/07          13.51          PL
080713         1964/09/08          13.50          PL
080713         1964/09/09          13.48          PL
080713         1964/09/10          13.48          PL
080713         1964/09/11          13.50          PL
080713         1964/09/12          13.48          PL
080713         1964/09/13          13.48          PL
080713         1964/09/14          13.47          PL
080713         1964/09/15          13.45          PL
080713         1964/09/16          13.42          PL
080713         1964/09/17          13.39          PL
080713         1964/09/18          13.42          PL
080713         1964/09/19          13.42          PL
080713         1964/09/20          13.39          PL
080713         1964/09/21          13.42          PL
080713         1964/09/22          13.42          PL
080713         1964/09/23          13.42          PL
080713         1964/09/24          13.42          PL
080713         1964/09/25          13.43          PL
080713         1964/09/26          13.43          PL
080713         1964/09/27          13.43          PL
080713         1964/09/28          13.43          PL
080713         1964/09/29          13.43          PL
080713         1964/09/30          13.43          PL
080713         1964/10/01          13.41          PL
080713         1964/10/02          13.41          PL
080713         1964/10/03          13.43          PL
080713         1964/10/04          13.43          PL
080713         1964/10/05          13.43          PL
080713         1964/10/06          13.43          PL
