Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1983-05-15
Station:        080717         Mégiscane - à 13,5 km en amont du lac Parent                                                                                                   
Bassin versant: 8310 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 22' 16" // -77° 7' 6"

Date de création du fichier: 2012-06-30 07:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
080717         1965/08/23          292.3          MJ
080717         1965/08/24          292.6          MJ
080717         1965/08/25          292.3          MJ
080717         1965/08/26          290.8          MJ
080717         1965/08/27          275.4          MJ
080717         1965/08/28          269.8          MJ
080717         1965/08/29          276.7          MJ
080717         1965/08/30          277.2          MJ
080717         1965/08/31          269.2          MJ
080717         1965/09/01          271.2          MJ
080717         1965/09/02          267.3          MJ
080717         1965/09/03          252.0          MJ
080717         1965/09/04          243.8          MJ
080717         1965/09/05          233.0          MJ
080717         1965/09/06          201.1          MJ
080717         1965/09/07          189.3          MJ
080717         1965/09/08          197.3          MJ
080717         1965/09/09          195.2          MJ
080717         1965/09/10          190.7          MJ
080717         1965/09/11          137.5          MJ
080717         1965/09/12          127.3          MJ
080717         1965/09/13          137.2          MJ
080717         1965/09/14          149.2          MJ
080717         1965/09/15          155.1          MJ
080717         1965/09/16          139.9          MJ
080717         1965/09/17          121.4          MJ
080717         1965/09/18          126.6          MJ
080717         1965/09/19          148.3          MJ
080717         1965/09/20          193.2          MJ
080717         1965/09/21          199.2          MJ
080717         1965/09/22          237.6          MJ
080717         1965/09/23          248.9          MJ
080717         1965/09/24          243.4          MJ
080717         1965/09/25          234.1          MJ
080717         1965/09/26          189.6          MJ
080717         1965/09/27          251.4          MJ
080717         1965/09/28          331.6          MJ
080717         1965/09/29          318.6          MJ
080717         1965/09/30          306.9          MJ
080717         1965/10/01          302.2          MJ
080717         1965/10/02          302.2          MJ
080717         1965/10/03          303.7          MJ
080717         1965/10/04          304.5          MJ
080717         1965/10/05          307.2          MJ
080717         1965/10/06          307.3          MJ
080717         1965/10/07          306.3          MJ
080717         1965/10/08          302.8          MJ
080717         1965/10/09          302.8          MJ
080717         1965/10/10          303.2          MJ
080717         1965/10/11          304.7          MJ
080717         1965/10/12          305.0          MJ
080717         1965/10/13          305.0          MJ
080717         1965/10/14          305.0          MJ
080717         1965/10/15          305.0          MJ
080717         1965/10/16          306.9          MJ
080717         1965/10/17          310.9          MJ
080717         1965/10/18          311.0          MJ
080717         1965/10/19          314.7          MJ
080717         1965/10/20          316.9          MJ
080717         1965/10/21          316.9          MJ
080717         1965/10/22          314.7          MJ
080717         1965/10/23          302.7          MJ
080717         1965/10/24          292.0          MJ
080717         1965/10/25          284.8          MJ
080717         1965/10/26          274.4          MJ
080717         1965/10/27          266.2          MJ
080717         1965/10/28          252.7          MJ
080717         1965/10/29          249.0          MJ
080717         1965/10/30          244.8          MJ
080717         1965/10/31          240.4          MJ
080717         1965/11/01          235.8          MJ
080717         1965/11/02          226.4          MJ
080717         1965/11/03          219.1          MJ
080717         1965/11/04          211.3          MJ
080717         1965/11/05          204.1          MJ
080717         1965/11/06          199.7          MJ
080717         1965/11/07          199.7          MJ
080717         1965/11/08          197.1          MJ
080717         1965/11/09          188.2          MJ
080717         1965/11/10          179.4          MJ
080717         1965/11/11          174.8          MJ
080717         1965/11/12          172.2          MJ
080717         1965/11/13          169.7          MJ
080717         1965/11/14          169.7          MJ
080717         1965/11/15          169.2          MJ
080717         1965/11/16          166.8          MJ
080717         1965/11/17          165.4          MJ
080717         1965/11/18          158.9          MJ
080717         1965/11/19          155.2          MJ
080717         1965/11/20          155.3          MJ
080717         1965/11/21          150.1          MJ
080717         1965/11/22          145.9          MJ
080717         1965/11/23          142.3          MJ
080717         1965/11/24          138.8          MJ
080717         1965/11/25          136.5          MJ
080717         1965/11/26          135.0          MJ
080717         1965/11/27          131.8          MJ
080717         1965/11/28          131.2          MJ
080717         1965/11/29          129.7          MJ
080717         1965/11/30          127.7          MJ
080717         1965/12/01          125.6          MJ
080717         1965/12/02          124.6          MJ
080717         1965/12/03          123.7          MJ
080717         1965/12/04          122.9          MJ
080717         1965/12/05          121.6          MJ
080717         1965/12/06          118.1          MJ
080717         1965/12/07          115.8          MJ
080717         1965/12/08          114.4          MJ
080717         1965/12/09          113.1          MJ
080717         1965/12/10          110.3          MJ
080717         1965/12/11          109.8          R
080717         1965/12/12          109.0          R
080717         1965/12/13          106.0          R
080717         1965/12/14          104.7          R
080717         1965/12/15          103.3          R
080717         1965/12/16          101.9          R
080717         1965/12/17          99.00          R
080717         1965/12/18          97.60          R
080717         1965/12/19          95.60          R
080717         1965/12/20          94.00          R
080717         1965/12/21          92.50          R
080717         1965/12/22          91.10          R
080717         1965/12/23          90.00          R
080717         1965/12/24          88.30          R
080717         1965/12/25          86.30          R
080717         1965/12/26          84.90          R
080717         1965/12/27          83.50          R
080717         1965/12/28          82.10          R
080717         1965/12/29          81.50          R
080717         1965/12/30          80.10          R
080717         1965/12/31          79.20          R
080717         1966/01/01          79.30          R
080717         1966/01/02          78.70          R
080717         1966/01/03          77.90          R
080717         1966/01/04          77.00          R
080717         1966/01/05          76.50          R
080717         1966/01/06          75.90          R
080717         1966/01/07          75.60          R
080717         1966/01/08          74.80          R
080717         1966/01/09          73.90          R
080717         1966/01/10          73.30          R
080717         1966/01/11          72.50          R
080717         1966/01/12          71.40          R
080717         1966/01/13          70.80          R
080717         1966/01/14          69.40          R
080717         1966/01/15          68.20          R
080717         1966/01/16          67.70          R
080717         1966/01/17          67.10          R
080717         1966/01/18          66.00          R
080717         1966/01/19          65.10          R
080717         1966/01/20          64.00          R
080717         1966/01/21          62.30          R
080717         1966/01/22          61.70          R
080717         1966/01/23          60.90          R
080717         1966/01/24          60.00          R
080717         1966/01/25          59.50          R
080717         1966/01/26          58.60          R
080717         1966/01/27          57.80          R
080717         1966/01/28          57.20          R
080717         1966/01/29          56.60          R
080717         1966/01/30          56.10          R
080717         1966/01/31          55.80          R
080717         1966/02/01          55.20          R
080717         1966/02/02          54.90          R
080717         1966/02/03          54.70          R
080717         1966/02/04          54.10          R
080717         1966/02/05          53.80          R
080717         1966/02/06          53.50          R
080717         1966/02/07          53.20          R
080717         1966/02/08          53.20          R
080717         1966/02/09          53.00          R
080717         1966/02/10          53.00          R
080717         1966/02/11          53.50          R
080717         1966/02/12          53.80          R
080717         1966/02/13          56.60          R
080717         1966/02/14          59.70          R
080717         1966/02/15          59.70          R
080717         1966/02/16          59.20          R
080717         1966/02/17          58.90          R
080717         1966/02/18          58.30          R
080717         1966/02/19          57.80          R
080717         1966/02/20          57.50          R
080717         1966/02/21          57.20          R
