Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-09-30, préliminaires par la suite
Station:        080718         Waswanipi - à la tête de la chute Rouge                                                                                                        
Bassin versant: 31964 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 51' 27" // -77° 11' 14"

Date de création du fichier: 2019-11-28 23:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
080718         1966/05/31          1490           J
080718         1966/06/01          
080718         1966/06/02          
080718         1966/06/03          
080718         1966/06/04          
080718         1966/06/05          
080718         1966/06/06          
080718         1966/06/07          
080718         1966/06/08          
080718         1966/06/09          
080718         1966/06/10          
080718         1966/06/11          
080718         1966/06/12          
080718         1966/06/13          
080718         1966/06/14          
080718         1966/06/15          
080718         1966/06/16          
080718         1966/06/17          
080718         1966/06/18          
080718         1966/06/19          
080718         1966/06/20          
080718         1966/06/21          
080718         1966/06/22          
080718         1966/06/23          
080718         1966/06/24          
080718         1966/06/25          
080718         1966/06/26          
080718         1966/06/27          
080718         1966/06/28          
080718         1966/06/29          
080718         1966/06/30          
080718         1966/07/01          
080718         1966/07/02          
080718         1966/07/03          
080718         1966/07/04          
080718         1966/07/05          
080718         1966/07/06          
080718         1966/07/07          
080718         1966/07/08          
080718         1966/07/09          
080718         1966/07/10          
080718         1966/07/11          
080718         1966/07/12          
080718         1966/07/13          
080718         1966/07/14          
080718         1966/07/15          
080718         1966/07/16          1160           MC
080718         1966/07/17          
080718         1966/07/18          
080718         1966/07/19          
080718         1966/07/20          
080718         1966/07/21          
080718         1966/07/22          
080718         1966/07/23          
080718         1966/07/24          
080718         1966/07/25          
080718         1966/07/26          
080718         1966/07/27          
080718         1966/07/28          
080718         1966/07/29          
080718         1966/07/30          
080718         1966/07/31          
080718         1966/08/01          
080718         1966/08/02          
080718         1966/08/03          
080718         1966/08/04          
080718         1966/08/05          
080718         1966/08/06          
080718         1966/08/07          
080718         1966/08/08          
080718         1966/08/09          
080718         1966/08/10          
080718         1966/08/11          
080718         1966/08/12          
080718         1966/08/13          
080718         1966/08/14          
080718         1966/08/15          
080718         1966/08/16          
080718         1966/08/17          818.0          J
080718         1966/08/18          
080718         1966/08/19          
080718         1966/08/20          
080718         1966/08/21          
080718         1966/08/22          
080718         1966/08/23          
080718         1966/08/24          
080718         1966/08/25          
080718         1966/08/26          
080718         1966/08/27          
080718         1966/08/28          
080718         1966/08/29          
080718         1966/08/30          
080718         1966/08/31          
080718         1966/09/01          
080718         1966/09/02          
080718         1966/09/03          
080718         1966/09/04          
080718         1966/09/05          
080718         1966/09/06          
080718         1966/09/07          
080718         1966/09/08          
080718         1966/09/09          
080718         1966/09/10          
080718         1966/09/11          
080718         1966/09/12          
080718         1966/09/13          
080718         1966/09/14          
080718         1966/09/15          
080718         1966/09/16          
080718         1966/09/17          
080718         1966/09/18          
080718         1966/09/19          
080718         1966/09/20          
080718         1966/09/21          
080718         1966/09/22          
080718         1966/09/23          
080718         1966/09/24          
080718         1966/09/25          
080718         1966/09/26          
080718         1966/09/27          
080718         1966/09/28          
080718         1966/09/29          
080718         1966/09/30          
080718         1966/10/01          
080718         1966/10/02          
080718         1966/10/03          
080718         1966/10/04          
080718         1966/10/05          
080718         1966/10/06          
080718         1966/10/07          
080718         1966/10/08          833.0          MC
080718         1966/10/09          
080718         1966/10/10          
