Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1922-05-22
Station:        080721         Bell - à 0,2 km en amont du pont du C.N. à Senneterre                                                                                          
Bassin versant: 2110 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 23' 15" // -77° 14' 17"

Date de création du fichier: 2012-06-30 18:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
080721         1914/10/01          5.660          MC
080721         1914/10/02          5.240          MC
080721         1914/10/03          5.240          MC
080721         1914/10/04          5.660          MC
080721         1914/10/05          5.660          MC
080721         1914/10/06          5.240          MC
080721         1914/10/07          4.960          MC
080721         1914/10/08          5.240          MC
080721         1914/10/09          4.960          MC
080721         1914/10/10          5.240          MC
080721         1914/10/11          5.660          MC
080721         1914/10/12          6.090          MC
080721         1914/10/13          5.240          MC
080721         1914/10/14          4.960          MC
080721         1914/10/15          4.960          MC
080721         1914/10/16          4.960          MC
080721         1914/10/17          5.240          MC
080721         1914/10/18          6.510          MC
080721         1914/10/19          6.090          MC
080721         1914/10/20          6.510          MC
080721         1914/10/21          6.510          MC
080721         1914/10/22          6.090          MC
080721         1914/10/23          4.960          MC
080721         1914/10/24          5.240          MC
080721         1914/10/25          4.960          MC
080721         1914/10/26          4.960          MC
080721         1914/10/27          7.330          MC
080721         1914/10/28          7.330          MC
080721         1914/10/29          7.330          MC
080721         1914/10/30          6.510          MC
080721         1914/10/31          6.510          MC
080721         1914/11/01          6.510          MC
080721         1914/11/02          6.510          MC
080721         1914/11/03          7.480          MC
080721         1914/11/04          7.480          MC
080721         1914/11/05          8.440          MC
080721         1914/11/06          8.440          MC
080721         1914/11/07          8.920          MC
080721         1914/11/08          8.920          MC
080721         1914/11/09          8.920          MC
080721         1914/11/10          9.400          MC
080721         1914/11/11          9.880          MC
080721         1914/11/12          9.880          MC
080721         1914/11/13          9.880          MC
080721         1914/11/14          9.880          MC
080721         1914/11/15          10.40          MC
080721         1914/11/16          11.30          MC
080721         1914/11/17          11.30          MC
080721         1914/11/18          11.30          MC
080721         1914/11/19          11.30          MC
080721         1914/11/20          11.30          MC
080721         1914/11/21          10.80          MC
080721         1914/11/22          10.80          MC
080721         1914/11/23          11.30          MC
080721         1914/11/24          11.30          MC
080721         1914/11/25          11.80          MC
080721         1914/11/26          12.20          MC
080721         1914/11/27          11.30          MC
080721         1914/11/28          11.30          MC
080721         1914/11/29          11.80          MC
080721         1914/11/30          11.80          MC
080721         1914/12/01          11.80          MC
080721         1914/12/02          13.60          MC
080721         1914/12/03          14.00          MC
080721         1914/12/04          14.50          MC
080721         1914/12/05          14.50          MC
080721         1914/12/06          13.60          R
080721         1914/12/07          13.60          R
080721         1914/12/08          13.60          R
080721         1914/12/09          13.10          R
080721         1914/12/10          13.10          R
080721         1914/12/11          13.10          R
080721         1914/12/12          13.10          R
080721         1914/12/13          12.70          R
080721         1914/12/14          12.70          R
080721         1914/12/15          12.70          R
080721         1914/12/16          12.70          R
080721         1914/12/17          12.70          R
080721         1914/12/18          12.70          R
080721         1914/12/19          12.20          R
080721         1914/12/20          12.20          R
080721         1914/12/21          11.80          R
080721         1914/12/22          11.80          R
080721         1914/12/23          11.80          R
080721         1914/12/24          10.80          R
080721         1914/12/25          10.80          R
080721         1914/12/26          10.80          R
080721         1914/12/27          10.40          R
080721         1914/12/28          10.40          R
080721         1914/12/29          10.40          R
080721         1914/12/30          10.40          R
080721         1914/12/31          10.40          R
080721         1915/01/01          9.400          R
080721         1915/01/02          9.880          R
080721         1915/01/03          9.400          R
080721         1915/01/04          9.400          R
080721         1915/01/05          9.880          R
080721         1915/01/06          10.80          R
080721         1915/01/07          11.30          R
080721         1915/01/08          11.30          R
080721         1915/01/09          11.30          R
080721         1915/01/10          10.80          R
080721         1915/01/11          10.80          R
080721         1915/01/12          9.880          R
080721         1915/01/13          9.880          R
080721         1915/01/14          9.880          R
080721         1915/01/15          9.880          R
080721         1915/01/16          9.400          R
080721         1915/01/17          9.400          R
080721         1915/01/18          9.400          R
080721         1915/01/19          8.920          R
080721         1915/01/20          8.920          R
080721         1915/01/21          8.440          R
080721         1915/01/22          8.440          R
080721         1915/01/23          8.440          R
080721         1915/01/24          8.440          R
080721         1915/01/25          7.960          R
080721         1915/01/26          7.960          R
080721         1915/01/27          7.960          R
080721         1915/01/28          6.990          R
080721         1915/01/29          6.990          R
080721         1915/01/30          6.990          R
080721         1915/01/31          6.990          R
080721         1915/02/01          6.990          R
080721         1915/02/02          6.990          R
080721         1915/02/03          6.990          R
080721         1915/02/04          6.510          R
080721         1915/02/05          6.510          R
080721         1915/02/06          6.510          R
080721         1915/02/07          6.510          R
080721         1915/02/08          6.510          R
080721         1915/02/09          6.510          R
080721         1915/02/10          6.510          R
080721         1915/02/11          6.510          R
080721         1915/02/12          6.510          R
080721         1915/02/13          6.510          R
080721         1915/02/14          6.510          R
080721         1915/02/15          6.510          R
080721         1915/02/16          6.510          R
080721         1915/02/17          6.510          R
080721         1915/02/18          6.230          R
080721         1915/02/19          5.950          R
080721         1915/02/20          5.950          R
080721         1915/02/21          5.660          R
080721         1915/02/22          5.380          R
080721         1915/02/23          5.380          R
080721         1915/02/24          5.380          R
080721         1915/02/25          5.380          R
080721         1915/02/26          5.380          R
080721         1915/02/27          5.380          R
080721         1915/02/28          5.380          R
080721         1915/03/01          5.380          R
080721         1915/03/02          5.380          R
080721         1915/03/03          5.660          R
080721         1915/03/04          5.660          R
080721         1915/03/05          5.660          R
080721         1915/03/06          5.660          R
080721         1915/03/07          5.660          R
080721         1915/03/08          5.660          R
080721         1915/03/09          5.950          R
080721         1915/03/10          5.950          R
080721         1915/03/11          5.950          R
080721         1915/03/12          5.950          R
080721         1915/03/13          5.950          R
080721         1915/03/14          5.950          R
080721         1915/03/15          5.950          R
080721         1915/03/16          5.950          R
080721         1915/03/17          5.660          R
080721         1915/03/18          5.660          R
080721         1915/03/19          5.660          R
080721         1915/03/20          5.950          R
080721         1915/03/21          5.950          R
080721         1915/03/22          5.950          R
080721         1915/03/23          5.950          R
080721         1915/03/24          5.950          R
080721         1915/03/25          5.950          R
080721         1915/03/26          5.950          R
080721         1915/03/27          5.950          R
080721         1915/03/28          5.950          R
080721         1915/03/29          5.950          R
080721         1915/03/30          5.950          R
080721         1915/03/31          5.950          R
080721         1915/04/01          5.380          R
080721         1915/04/02          5.380          R
080721         1915/04/03          5.100          R
080721         1915/04/04          5.100          R
080721         1915/04/05          4.530          E
080721         1915/04/06          5.660          E
080721         1915/04/07          7.650          E
080721         1915/04/08          9.400          E
080721         1915/04/09          10.40          E
080721         1915/04/10          10.80          E
080721         1915/04/11          11.80          MC
080721         1915/04/12          12.20          MC
080721         1915/04/13          13.60          MC
080721         1915/04/14          14.50          MC
080721         1915/04/15          15.90          MC
080721         1915/04/16          19.50          MC
080721         1915/04/17          19.50          MC
080721         1915/04/18          20.10          MC
080721         1915/04/19          21.40          MC
080721         1915/04/20          23.90          MC
080721         1915/04/21          25.90          MC
080721         1915/04/22          26.60          MC
080721         1915/04/23          28.60          MC
080721         1915/04/24          29.40          MC
080721         1915/04/25          30.90          MC
080721         1915/04/26          34.00          MC
080721         1915/04/27          37.10          MC
080721         1915/04/28          41.60          MC
080721         1915/04/29          50.10          MC
080721         1915/04/30          61.40          MC
080721         1915/05/01          64.80          MC
080721         1915/05/02          66.80          MC
080721         1915/05/03          66.80          MC
080721         1915/05/04          68.00          MC
080721         1915/05/05          70.50          MC
080721         1915/05/06          71.60          MC
080721         1915/05/07          71.60          MC
080721         1915/05/08          71.60          MC
080721         1915/05/09          74.20          MC
080721         1915/05/10          73.60          MC
080721         1915/05/11          73.10          MC
080721         1915/05/12          74.20          MC
080721         1915/05/13          74.20          MC
080721         1915/05/14          76.70          MC
080721         1915/05/15          76.70          MC
080721         1915/05/16          75.30          MC
080721         1915/05/17          74.20          MC
080721         1915/05/18          75.30          MC
080721         1915/05/19          75.30          MC
080721         1915/05/20          74.20          MC
080721         1915/05/21          74.20          MC
080721         1915/05/22          74.20          MC
080721         1915/05/23          75.30          MC
080721         1915/05/24          75.30          MC
080721         1915/05/25          76.70          MC
080721         1915/05/26          76.70          MC
080721         1915/05/27          76.70          MC
080721         1915/05/28          74.20          MC
080721         1915/05/29          73.10          MC
080721         1915/05/30          71.60          MC
080721         1915/05/31          71.60          MC
080721         1915/06/01          71.60          MC
080721         1915/06/02          70.50          MC
080721         1915/06/03          70.50          MC
080721         1915/06/04          70.50          MC
080721         1915/06/05          68.00          MC
080721         1915/06/06          66.80          MC
080721         1915/06/07          68.00          MC
080721         1915/06/08          65.70          MC
080721         1915/06/09          65.70          MC
080721         1915/06/10          63.70          MC
080721         1915/06/11          62.60          MC
080721         1915/06/12          61.40          MC
080721         1915/06/13          59.50          MC
080721         1915/06/14          58.30          MC
080721         1915/06/15          56.10          MC
080721         1915/06/16          54.10          MC
080721         1915/06/17          52.10          MC
080721         1915/06/18          50.10          MC
080721         1915/06/19          48.10          MC
080721         1915/06/20          46.20          MC
080721         1915/06/21          46.20          MC
080721         1915/06/22          42.50          MC
080721         1915/06/23          41.60          MC
080721         1915/06/24          40.80          MC
080721         1915/06/25          39.60          MC
080721         1915/06/26          39.60          MC
080721         1915/06/27          39.60          MC
080721         1915/06/28          37.90          MC
080721         1915/06/29          37.90          MC
080721         1915/06/30          37.10          MC
080721         1915/07/01          36.20          MC
080721         1915/07/02          35.70          MC
080721         1915/07/03          34.80          MC
080721         1915/07/04          34.80          MC
080721         1915/07/05          34.00          MC
080721         1915/07/06          35.70          MC
080721         1915/07/07          36.20          MC
080721         1915/07/08          37.10          MC
080721         1915/07/09          37.90          MC
080721         1915/07/10          37.10          MC
080721         1915/07/11          36.20          MC
080721         1915/07/12          36.20          MC
080721         1915/07/13          35.70          MC
080721         1915/07/14          34.80          MC
080721         1915/07/15          34.00          MC
080721         1915/07/16          33.10          MC
080721         1915/07/17          29.40          MC
080721         1915/07/18          30.90          MC
080721         1915/07/19          29.40          MC
080721         1915/07/20          28.00          MC
080721         1915/07/21          26.60          MC
080721         1915/07/22          25.90          MC
080721         1915/07/23          25.90          MC
080721         1915/07/24          25.30          MC
080721         1915/07/25          23.90          MC
080721         1915/07/26          23.20          MC
080721         1915/07/27          22.60          MC
080721         1915/07/28          22.00          MC
080721         1915/07/29          22.00          MC
080721         1915/07/30          21.40          MC
080721         1915/07/31          20.70          MC
080721         1915/08/01          20.10          MC
080721         1915/08/02          19.50          MC
080721         1915/08/03          18.90          MC
080721         1915/08/04          18.90          MC
080721         1915/08/05          18.20          MC
080721         1915/08/06          18.20          MC
080721         1915/08/07          18.20          MC
080721         1915/08/08          17.60          MC
080721         1915/08/09          17.60          MC
080721         1915/08/10          17.60          MC
080721         1915/08/11          17.60          MC
080721         1915/08/12          17.00          MC
080721         1915/08/13          16.40          MC
080721         1915/08/14          15.40          MC
080721         1915/08/15          15.00          MC
080721         1915/08/16          14.50          MC
080721         1915/08/17          14.00          MC
080721         1915/08/18          14.00          MC
080721         1915/08/19          13.60          MC
080721         1915/08/20          13.60          MC
080721         1915/08/21          13.10          MC
080721         1915/08/22          12.70          MC
080721         1915/08/23          13.10          MC
080721         1915/08/24          12.70          MC
080721         1915/08/25          12.20          MC
080721         1915/08/26          12.70          MC
080721         1915/08/27          12.70          MC
080721         1915/08/28          12.20          MC
080721         1915/08/29          11.80          MC
080721         1915/08/30          11.80          MC
080721         1915/08/31          12.20          MC
080721         1915/09/01          12.20          MC
080721         1915/09/02          11.80          MC
080721         1915/09/03          11.80          MC
080721         1915/09/04          11.30          MC
080721         1915/09/05          11.30          MC
080721         1915/09/06          11.80          MC
080721         1915/09/07          11.80          MC
080721         1915/09/08          11.30          MC
080721         1915/09/09          11.30          MC
080721         1915/09/10          10.80          MC
080721         1915/09/11          10.80          MC
080721         1915/09/12          10.80          MC
080721         1915/09/13          11.30          MC
080721         1915/09/14          11.30          MC
080721         1915/09/15          11.80          MC
080721         1915/09/16          12.20          MC
080721         1915/09/17          12.70          MC
080721         1915/09/18          13.10          MC
080721         1915/09/19          14.00          MC
080721         1915/09/20          15.00          MC
080721         1915/09/21          15.40          MC
