Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1988-04-20
Station:        081008         À la Marte - à 5,5 km de la rivière Rupert                                                                                                     
Bassin versant: 4490 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 51° 19' 3" // -76° 20' 20"

Date de création du fichier: 2012-06-30 19:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
081008         1979/10/09          148.0          MC
081008         1979/10/10          148.0          MC
081008         1979/10/11          151.0          MC
081008         1979/10/12          153.0          MC
081008         1979/10/13          154.0          MC
081008         1979/10/14          154.0          MC
081008         1979/10/15          154.0          MC
081008         1979/10/16          153.0          MC
081008         1979/10/17          153.0          MC
081008         1979/10/18          152.0          MC
081008         1979/10/19          151.0          MC
081008         1979/10/20          150.0          MC
081008         1979/10/21          149.0          MC
081008         1979/10/22          146.0          MC
081008         1979/10/23          145.0          MC
081008         1979/10/24          144.0          MC
081008         1979/10/25          143.0          MC
081008         1979/10/26          141.0          MC
081008         1979/10/27          139.0          MC
081008         1979/10/28          136.0          MC
081008         1979/10/29          136.0          MC
081008         1979/10/30          136.0          MC
081008         1979/10/31          136.0          MC
081008         1979/11/01          136.0          MC
081008         1979/11/02          134.0          MC
081008         1979/11/03          133.0          MC
081008         1979/11/04          133.0          MC
081008         1979/11/05          131.0          MC
081008         1979/11/06          131.0          MC
081008         1979/11/07          131.0          MC
081008         1979/11/08          131.0          MC
081008         1979/11/09          131.0          MC
081008         1979/11/10          131.0          MC
081008         1979/11/11          131.0          MC
081008         1979/11/12          129.0          MC
081008         1979/11/13          129.0          MC
081008         1979/11/14          129.0          MC
081008         1979/11/15          129.0          MC
081008         1979/11/16          129.0          MC
081008         1979/11/17          129.0          MC
081008         1979/11/18          129.0          MC
081008         1979/11/19          129.0          MC
081008         1979/11/20          129.0          MC
081008         1979/11/21          127.0          MC
081008         1979/11/22          126.0          MC
081008         1979/11/23          126.0          MC
081008         1979/11/24          126.0          MC
081008         1979/11/25          126.0          MC
081008         1979/11/26          124.0          MC
081008         1979/11/27          123.0          MC
081008         1979/11/28          122.0          MC
081008         1979/11/29          122.0          MC
081008         1979/11/30          121.0          MC
081008         1979/12/01          118.0          R
081008         1979/12/02          116.0          R
081008         1979/12/03          114.0          R
081008         1979/12/04          113.0          R
081008         1979/12/05          113.0          R
081008         1979/12/06          112.0          R
081008         1979/12/07          112.0          R
081008         1979/12/08          109.0          R
081008         1979/12/09          108.0          R
081008         1979/12/10          107.0          R
081008         1979/12/11          106.0          R
081008         1979/12/12          105.0          R
081008         1979/12/13          104.0          R
081008         1979/12/14          103.0          R
081008         1979/12/15          102.0          R
081008         1979/12/16          101.0          R
081008         1979/12/17          100.0          R
081008         1979/12/18          98.20          R
081008         1979/12/19          97.80          R
081008         1979/12/20          96.40          R
081008         1979/12/21          95.90          R
081008         1979/12/22          94.50          R
081008         1979/12/23          93.90          R
081008         1979/12/24          92.40          R
081008         1979/12/25          91.00          R
081008         1979/12/26          90.00          R
081008         1979/12/27          89.20          R
081008         1979/12/28          88.20          R
081008         1979/12/29          87.70          R
081008         1979/12/30          86.20          R
081008         1979/12/31          85.80          R
081008         1980/01/01          84.50          R
081008         1980/01/02          83.80          R
081008         1980/01/03          82.40          R
081008         1980/01/04          82.00          R
081008         1980/01/05          80.80          R
081008         1980/01/06          79.80          R
081008         1980/01/07          78.00          R
081008         1980/01/08          78.20          R
081008         1980/01/09          77.00          R
081008         1980/01/10          76.20          R
081008         1980/01/11          75.70          R
081008         1980/01/12          74.30          R
081008         1980/01/13          74.00          R
081008         1980/01/14          72.40          R
081008         1980/01/15          72.20          R
081008         1980/01/16          71.00          R
081008         1980/01/17          70.40          R
081008         1980/01/18          69.80          R
081008         1980/01/19          69.50          R
081008         1980/01/20          68.00          R
081008         1980/01/21          67.00          R
081008         1980/01/22          66.30          R
081008         1980/01/23          65.70          R
081008         1980/01/24          64.40          R
081008         1980/01/25          64.00          R
081008         1980/01/26          63.00          R
081008         1980/01/27          62.20          R
081008         1980/01/28          61.00          J
081008         1980/01/29          60.20          R
081008         1980/01/30          60.00          R
081008         1980/01/31          59.20          R
081008         1980/02/01          58.20          R
081008         1980/02/02          57.80          R
081008         1980/02/03          56.70          R
081008         1980/02/04          56.10          R
081008         1980/02/05          55.70          R
081008         1980/02/06          54.40          R
081008         1980/02/07          54.00          R
081008         1980/02/08          53.70          R
081008         1980/02/09          52.40          R
081008         1980/02/10          52.00          R
081008         1980/02/11          51.00          R
081008         1980/02/12          50.20          R
081008         1980/02/13          49.80          R
081008         1980/02/14          49.50          R
081008         1980/02/15          48.20          R
081008         1980/02/16          47.80          R
081008         1980/02/17          46.70          R
081008         1980/02/18          46.10          R
