Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2017-12-25, préliminaires par la suite
Station:        081101         Pontax - à 60,4 km de l'embouchure                                                                                                             
Bassin versant: 5970 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 51° 32' 0" // -78° 5' 47"

Date de création du fichier: 2019-11-29 22:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
081101         1975/05/30          113.0          MC
081101         1975/05/31          114.0          MC
081101         1975/06/01          120.0          MC
081101         1975/06/02          132.0          MC
081101         1975/06/03          142.0          MC
081101         1975/06/04          142.0          J
081101         1975/06/05          135.0          MC
081101         1975/06/06          128.0          MC
081101         1975/06/07          122.0          MC
081101         1975/06/08          118.0          MC
081101         1975/06/09          111.0          MC
081101         1975/06/10          102.0          MC
081101         1975/06/11          95.10          MC
081101         1975/06/12          86.60          MC
081101         1975/06/13          80.70          MC
081101         1975/06/14          78.20          MC
081101         1975/06/15          76.70          MC
081101         1975/06/16          80.70          MC
081101         1975/06/17          85.50          MC
081101         1975/06/18          90.90          MC
081101         1975/06/19          98.00          MC
081101         1975/06/20          106.0          MC
081101         1975/06/21          115.0          MC
081101         1975/06/22          111.0          MC
081101         1975/06/23          103.0          MC
081101         1975/06/24          97.40          MC
081101         1975/06/25          97.40          MC
081101         1975/06/26          95.40          MC
081101         1975/06/27          87.80          MC
081101         1975/06/28          90.30          MC
081101         1975/06/29          96.30          MC
081101         1975/06/30          94.00          MC
081101         1975/07/01          88.60          MC
081101         1975/07/02          81.30          MC
081101         1975/07/03          74.20          MC
081101         1975/07/04          67.70          MC
081101         1975/07/05          63.40          MC
081101         1975/07/06          59.50          MC
081101         1975/07/07          54.40          MC
081101         1975/07/08          51.80          MC
081101         1975/07/09          50.70          MC
081101         1975/07/10          50.10          MC
081101         1975/07/11          49.00          MC
081101         1975/07/12          47.30          MC
081101         1975/07/13          43.90          MC
081101         1975/07/14          39.90          MC
081101         1975/07/15          37.40          MC
081101         1975/07/16          35.70          MC
081101         1975/07/17          34.80          MC
081101         1975/07/18          37.70          MC
081101         1975/07/19          49.60          MC
081101         1975/07/20          57.80          MC
081101         1975/07/21          60.90          MC
081101         1975/07/22          58.90          MC
081101         1975/07/23          52.70          MC
081101         1975/07/24          47.90          MC
081101         1975/07/25          48.10          MC
081101         1975/07/26          52.70          MC
081101         1975/07/27          67.70          MC
081101         1975/07/28          92.60          MC
081101         1975/07/29          130.0          MC
081101         1975/07/30          148.0          MC
081101         1975/07/31          145.0          MC
081101         1975/08/01          131.0          MC
081101         1975/08/02          113.0          MC
081101         1975/08/03          99.40          MC
081101         1975/08/04          96.00          MC
081101         1975/08/05          115.0          MC
081101         1975/08/06          155.0          MC
081101         1975/08/07          177.0          MC
081101         1975/08/08          173.0          MC
081101         1975/08/09          158.0          MC
081101         1975/08/10          146.0          MC
081101         1975/08/11          143.0          MC
081101         1975/08/12          135.0          MC
081101         1975/08/13          127.0          MC
081101         1975/08/14          115.0          MC
081101         1975/08/15          103.0          MC
081101         1975/08/16          98.00          MC
081101         1975/08/17          102.0          MC
081101         1975/08/18          127.0          MC
081101         1975/08/19          184.0          MC
081101         1975/08/20          213.0          MC
081101         1975/08/21          211.0          MC
081101         1975/08/22          193.0          MC
081101         1975/08/23          170.0          MC
081101         1975/08/24          148.0          MC
081101         1975/08/25          129.0          MC
081101         1975/08/26          110.0          MC
081101         1975/08/27          94.30          MC
081101         1975/08/28          84.10          MC
081101         1975/08/29          76.20          MC
081101         1975/08/30          68.80          MC
081101         1975/08/31          62.30          MC
081101         1975/09/01          57.50          MC
081101         1975/09/02          53.00          MC
081101         1975/09/03          49.00          MC
081101         1975/09/04          47.00          MC
081101         1975/09/05          45.60          MC
081101         1975/09/06          43.00          MC
081101         1975/09/07          41.10          J
081101         1975/09/08          40.20          MC
081101         1975/09/09          40.20          MC
081101         1975/09/10          37.10          MC
081101         1975/09/11          37.10          MC
081101         1975/09/12          40.20          MC
081101         1975/09/13          51.80          MC
081101         1975/09/14          62.90          MC
081101         1975/09/15          69.90          MC
081101         1975/09/16          81.60          MC
081101         1975/09/17          88.30          MC
081101         1975/09/18          94.60          MC
081101         1975/09/19          90.90          MC
081101         1975/09/20          86.90          MC
081101         1975/09/21          79.30          MC
081101         1975/09/22          72.50          MC
081101         1975/09/23          71.40          MC
081101         1975/09/24          75.90          MC
081101         1975/09/25          78.20          MC
081101         1975/09/26          78.20          MC
081101         1975/09/27          78.20          MC
081101         1975/09/28          73.10          MC
081101         1975/09/29          69.10          MC
081101         1975/09/30          61.70          MC
081101         1975/10/01          59.50          MC
081101         1975/10/02          54.40          MC
081101         1975/10/03          54.70          MC
081101         1975/10/04          58.90          MC
081101         1975/10/05          65.40          MC
081101         1975/10/06          69.90          MC
081101         1975/10/07          70.80          MC
081101         1975/10/08          73.90          MC
081101         1975/10/09          74.20          MC
081101         1975/10/10          74.20          MC
081101         1975/10/11          72.80          MC
081101         1975/10/12          71.60          MC
081101         1975/10/13          77.00          MC
081101         1975/10/14          78.70          MC
081101         1975/10/15          82.70          MC
081101         1975/10/16          82.70          MC
081101         1975/10/17          78.40          MC
081101         1975/10/18          77.90          MC
081101         1975/10/19          73.10          MC
081101         1975/10/20          69.90          MC
081101         1975/10/21          69.90          MC
081101         1975/10/22          74.80          MC
081101         1975/10/23          90.60          MC
081101         1975/10/24          112.0          MC
081101         1975/10/25          116.0          MC
081101         1975/10/26          115.0          MC
081101         1975/10/27          117.0          MC
081101         1975/10/28          125.0          MC
081101         1975/10/29          125.0          MC
081101         1975/10/30          118.0          MC
081101         1975/10/31          116.0          MC
081101         1975/11/01          110.0          MC
081101         1975/11/02          106.0          MC
081101         1975/11/03          106.0          MC
081101         1975/11/04          119.0          MC
081101         1975/11/05          143.0          MC
081101         1975/11/06          163.0          MC
081101         1975/11/07          170.0          MC
081101         1975/11/08          171.0          MC
081101         1975/11/09          196.0          MC
081101         1975/11/10          240.0          MC
081101         1975/11/11          269.0          MC
081101         1975/11/12          283.0          MC
081101         1975/11/13          283.0          MC
081101         1975/11/14          264.0          MC
081101         1975/11/15          239.0          MC
081101         1975/11/16          218.0          MC
081101         1975/11/17          197.0          MC
081101         1975/11/18          176.0          MC
081101         1975/11/19          161.0          MC
081101         1975/11/20          145.0          MC
081101         1975/11/21          128.0          MC
081101         1975/11/22          127.0          MC
081101         1975/11/23          111.0          MC
081101         1975/11/24          106.0          MC
081101         1975/11/25          105.0          MC
081101         1975/11/26          96.30          MC
081101         1975/11/27          92.30          MC
081101         1975/11/28          87.80          MC
081101         1975/11/29          80.10          MC
081101         1975/11/30          81.00          MC
081101         1975/12/01          86.40          MC
081101         1975/12/02          79.60          MC
081101         1975/12/03          77.00          MC
081101         1975/12/04          70.50          MC
081101         1975/12/05          70.50          MC
081101         1975/12/06          64.80          MC
081101         1975/12/07          56.60          MC
081101         1975/12/08          54.70          MC
081101         1975/12/09          52.40          MC
081101         1975/12/10          53.80          MC
081101         1975/12/11          52.10          MC
081101         1975/12/12          47.90          MC
081101         1975/12/13          47.90          MC
081101         1975/12/14          42.50          MC
081101         1975/12/15          41.10          MC
081101         1975/12/16          39.60          R
081101         1975/12/17          38.50          R
081101         1975/12/18          37.40          R
081101         1975/12/19          36.20          R
081101         1975/12/20          35.40          R
081101         1975/12/21          34.00          R
081101         1975/12/22          33.40          R
081101         1975/12/23          32.30          R
081101         1975/12/24          31.40          R
081101         1975/12/25          30.60          R
081101         1975/12/26          30.00          R
081101         1975/12/27          29.40          R
081101         1975/12/28          28.60          R
081101         1975/12/29          28.00          R
081101         1975/12/30          27.50          R
081101         1975/12/31          26.90          R
081101         1976/01/01          26.30          R
081101         1976/01/02          25.50          R
081101         1976/01/03          25.20          R
081101         1976/01/04          24.60          R
081101         1976/01/05          24.10          R
081101         1976/01/06          23.60          R
081101         1976/01/07          23.20          R
081101         1976/01/08          22.70          R
081101         1976/01/09          22.10          R
081101         1976/01/10          21.80          R
081101         1976/01/11          21.40          R
081101         1976/01/12          21.00          R
081101         1976/01/13          20.50          R
081101         1976/01/14          20.10          R
081101         1976/01/15          19.80          R
081101         1976/01/16          19.40          R
081101         1976/01/17          19.00          R
081101         1976/01/18          18.70          R
081101         1976/01/19          18.40          R
081101         1976/01/20          18.10          R
081101         1976/01/21          17.80          R
081101         1976/01/22          17.60          R
081101         1976/01/23          17.30          R
081101         1976/01/24          17.00          R
081101         1976/01/25          16.70          R
081101         1976/01/26          16.40          R
081101         1976/01/27          16.30          R
081101         1976/01/28          16.00          R
081101         1976/01/29          15.70          R
081101         1976/01/30          15.40          R
081101         1976/01/31          15.30          R
081101         1976/02/01          15.10          R
081101         1976/02/02          15.00          R
081101         1976/02/03          14.90          R
081101         1976/02/04          14.60          R
081101         1976/02/05          14.30          R
081101         1976/02/06          14.00          R
081101         1976/02/07          13.70          R
081101         1976/02/08          13.60          R
081101         1976/02/09          13.50          R
081101         1976/02/10          13.30          R
081101         1976/02/11          13.20          R
081101         1976/02/12          13.00          R
081101         1976/02/13          12.90          R
081101         1976/02/14          12.70          R
081101         1976/02/15          12.50          R
081101         1976/02/16          12.30          R
081101         1976/02/17          12.40          R
081101         1976/02/18          11.90          R
081101         1976/02/19          11.80          R
081101         1976/02/20          11.50          R
081101         1976/02/21          11.40          R
081101         1976/02/22          11.30          R
081101         1976/02/23          11.20          R
081101         1976/02/24          11.00          R
081101         1976/02/25          10.90          R
081101         1976/02/26          10.80          R
081101         1976/02/27          10.80          R
081101         1976/02/28          10.70          R
081101         1976/02/29          10.60          R
081101         1976/03/01          10.50          R
081101         1976/03/02          10.50          R
081101         1976/03/03          10.40          R
081101         1976/03/04          10.40          R
081101         1976/03/05          10.30          R
081101         1976/03/06          10.30          R
081101         1976/03/07          10.20          R
081101         1976/03/08          10.20          R
081101         1976/03/09          10.20          R
081101         1976/03/10          10.20          R
081101         1976/03/11          10.20          R
081101         1976/03/12          10.30          R
081101         1976/03/13          10.30          J
081101         1976/03/14          10.30          MC
081101         1976/03/15          10.30          MC
081101         1976/03/16          10.20          MC
081101         1976/03/17          10.10          MC
081101         1976/03/18          10.10          MC
081101         1976/03/19          10.00          MC
081101         1976/03/20          9.970          MC
081101         1976/03/21          9.970          MC
081101         1976/03/22          10.20          MC
081101         1976/03/23          11.90          MC
