Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1974-09-30
Station:        089906         Lac Taschereau - au lac Taschereau                                                                                                             
Bassin versant: 0 km²          Régime: Influencé                                         
Coordonnées:    (NAD83) 48° 39' 49" // -78° 40' 59"
Constante géodésique: aucune
Date de création du fichier: 2012-06-24 00:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
089906         1970/06/02          30.77          PL
089906         1970/06/03          30.78          PL
089906         1970/06/04          30.75          PL
089906         1970/06/05          30.71          PL
089906         1970/06/06          30.65          PL
089906         1970/06/07          30.63          PL
089906         1970/06/08          30.60          PL
089906         1970/06/09          30.57          PL
089906         1970/06/10          30.56          PL
089906         1970/06/11          30.57          PL
089906         1970/06/12          30.57          PL
089906         1970/06/13          30.55          PL
089906         1970/06/14          30.51          PL
089906         1970/06/15          30.50          PL
089906         1970/06/16          30.50          PL
089906         1970/06/17          30.50          PL
089906         1970/06/18          30.50          PL
089906         1970/06/19          30.56          PL
089906         1970/06/20          30.60          PL
089906         1970/06/21          30.61          PL
089906         1970/06/22          30.59          PL
089906         1970/06/23          30.57          PL
089906         1970/06/24          30.58          PL
089906         1970/06/25          30.63          PL
089906         1970/06/26          30.62          PL
089906         1970/06/27          30.61          PL
089906         1970/06/28          30.57          PL
089906         1970/06/29          30.58          PL
089906         1970/06/30          30.59          PL
089906         1970/07/01          30.58          PL
089906         1970/07/02          30.56          PL
089906         1970/07/03          30.55          PL
089906         1970/07/04          30.54          PL
089906         1970/07/05          30.53          PL
089906         1970/07/06          30.51          PL
089906         1970/07/07          30.50          PL
089906         1970/07/08          30.50          PL
089906         1970/07/09          30.49          PL
089906         1970/07/10          30.47          PL
089906         1970/07/11          30.47          PL
089906         1970/07/12          30.45          PL
089906         1970/07/13          30.44          PL
089906         1970/07/14          30.43          PL
089906         1970/07/15          30.42          PL
089906         1970/07/16          30.44          PL
089906         1970/07/17          30.45          PL
089906         1970/07/18          30.45          PL
089906         1970/07/19          30.44          PL
089906         1970/07/20          30.46          PL
089906         1970/07/21          30.45          PL
089906         1970/07/22          30.45          PL
089906         1970/07/23          30.45          PL
089906         1970/07/24          30.44          PL
089906         1970/07/25          30.44          PL
089906         1970/07/26          30.44          PL
089906         1970/07/27          30.43          PL
089906         1970/07/28          30.43          PL
089906         1970/07/29          30.43          PL
089906         1970/07/30          30.42          PL
089906         1970/07/31          30.42          PL
089906         1970/08/01          30.42          PL
089906         1970/08/02          30.42          PL
089906         1970/08/03          30.42          PL
089906         1970/08/04          30.40          PL
089906         1970/08/05          30.40          PL
089906         1970/08/06          30.40          PL
089906         1970/08/07          30.39          PL
089906         1970/08/08          30.39          PL
089906         1970/08/09          30.38          PL
089906         1970/08/10          30.38          PL
089906         1970/08/11          30.37          PL
089906         1970/08/12          30.37          PL
089906         1970/08/13          30.37          PL
089906         1970/08/14          30.36          PL
089906         1970/08/15          30.36          PL
089906         1970/08/16          30.36          PL
