Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-06-08
Station:        090603         Rapin - à 1,1 km de la rivière Eastmain                                                                                                        
Bassin versant: 85.5 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 52° 20' 30" // -77° 5' 30"

Date de création du fichier: 2012-06-30 19:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
090603         1959/06/08          1.780          MC
090603         1959/06/09          1.490          MC
090603         1959/06/10          4.670          MC
090603         1959/06/11          
090603         1959/06/12          
090603         1959/06/13          
090603         1959/06/14          
090603         1959/06/15          7.110          MC
090603         1959/06/16          5.240          MC
090603         1959/06/17          3.480          MC
090603         1959/06/18          2.800          MC
090603         1959/06/19          2.290          MC
090603         1959/06/20          1.540          MC
090603         1959/06/21          1.230          MC
090603         1959/06/22          1.230          MC
090603         1959/06/23          0.990          MC
090603         1959/06/24          0.930          MC
090603         1959/06/25          0.880          MC
090603         1959/06/26          0.810          MC
090603         1959/06/27          0.760          MC
090603         1959/06/28          1.050          MC
090603         1959/06/29          2.890          MC
090603         1959/06/30          3.880          MC
090603         1959/07/01          3.600          MC
090603         1959/07/02          2.640          MC
090603         1959/07/03          2.090          MC
090603         1959/07/04          1.760          MC
090603         1959/07/05          2.700          MC
090603         1959/07/06          9.320          MC
090603         1959/07/07          8.160          MC
090603         1959/07/08          5.640          MC
090603         1959/07/09          4.220          MC
090603         1959/07/10          3.400          E
090603         1959/07/11          2.640          MC
090603         1959/07/12          2.200          MC
090603         1959/07/13          1.760          MC
090603         1959/07/14          1.400          MC
090603         1959/07/15          1.150          MC
090603         1959/07/16          1.090          MC
090603         1959/07/17          1.150          MC
090603         1959/07/18          0.930          MC
090603         1959/07/19          0.880          E
090603         1959/07/20          0.850          MC
090603         1959/07/21          0.680          MC
090603         1959/07/22          0.950          MC
090603         1959/07/23          1.830          MC
090603         1959/07/24          3.850          MC
090603         1959/07/25          4.870          MC
090603         1959/07/26          7.360          MC
090603         1959/07/27          7.990          MC
090603         1959/07/28          6.850          MC
090603         1959/07/29          5.150          MC
090603         1959/07/30          6.630          MC
090603         1959/07/31          7.820          MC
090603         1959/08/01          8.640          MC
090603         1959/08/02          9.170          MC
090603         1959/08/03          8.750          MC
090603         1959/08/04          7.050          MC
090603         1959/08/05          7.110          MC
090603         1959/08/06          6.340          MC
090603         1959/08/07          4.620          MC
090603         1959/08/08          3.140          MC
090603         1959/08/09          2.150          MC
090603         1959/08/10          1.490          MC
090603         1959/08/11          1.150          MC
090603         1959/08/12          1.730          MC
090603         1959/08/13          2.520          MC
090603         1959/08/14          2.770          MC
090603         1959/08/15          2.230          MC
090603         1959/08/16          1.780          MC
090603         1959/08/17          1.290          MC
090603         1959/08/18          1.150          MC
090603         1959/08/19          1.170          MC
090603         1959/08/20          1.090          MC
090603         1959/08/21          1.030          MC
090603         1959/08/22          0.760          MC
090603         1959/08/23          0.590          MC
090603         1959/08/24          0.670          MC
090603         1959/08/25          0.480          MC
090603         1959/08/26          0.630          MC
090603         1959/08/27          0.700          MC
090603         1959/08/28          0.730          MC
090603         1959/08/29          0.510          MC
090603         1959/08/30          0.400          MC
