Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1981-08-08
Station:        090605         À l'Eau Claire - à 1,6 km de la rivière Eastmain                                                                                               
Bassin versant: 1870 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 52° 12' 56" // -75° 52' 38"

Date de création du fichier: 2012-06-30 19:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
090605         1961/08/17          17.40          MC
090605         1961/08/18          17.40          MC
090605         1961/08/19          18.50          MC
090605         1961/08/20          18.60          MC
090605         1961/08/21          18.60          MC
090605         1961/08/22          18.60          MC
090605         1961/08/23          18.00          MC
090605         1961/08/24          17.60          MC
090605         1961/08/25          17.60          MC
090605         1961/08/26          17.60          MC
090605         1961/08/27          17.70          MC
090605         1961/08/28          17.70          MC
090605         1961/08/29          17.70          MC
090605         1961/08/30          17.70          MC
090605         1961/08/31          17.70          MC
090605         1961/09/01          17.50          MC
090605         1961/09/02          17.20          MC
090605         1961/09/03          21.90          MC
090605         1961/09/04          23.20          MC
090605         1961/09/05          23.40          MC
090605         1961/09/06          23.40          MC
090605         1961/09/07          23.40          MC
090605         1961/09/08          23.00          MC
090605         1961/09/09          22.80          MC
090605         1961/09/10          22.50          MC
090605         1961/09/11          21.70          MC
090605         1961/09/12          21.50          MC
090605         1961/09/13          20.60          MC
090605         1961/09/14          19.70          MC
090605         1961/09/15          19.20          MC
090605         1961/09/16          18.40          MC
090605         1961/09/17          18.40          MC
090605         1961/09/18          18.10          MC
090605         1961/09/19          18.10          MC
090605         1961/09/20          17.90          MC
090605         1961/09/21          17.90          MC
090605         1961/09/22          17.80          MC
090605         1961/09/23          17.60          MC
090605         1961/09/24          17.60          MC
090605         1961/09/25          17.60          MC
090605         1961/09/26          17.60          MC
090605         1961/09/27          17.90          MC
090605         1961/09/28          18.40          MC
090605         1961/09/29          18.60          MC
090605         1961/09/30          18.60          MC
090605         1961/10/01          18.90          MC
090605         1961/10/02          19.70          MC
090605         1961/10/03          19.90          MC
090605         1961/10/04          19.90          MC
090605         1961/10/05          20.10          MC
090605         1961/10/06          20.20          MC
090605         1961/10/07          20.20          MC
090605         1961/10/08          20.20          MC
090605         1961/10/09          20.90          MC
090605         1961/10/10          22.10          MC
090605         1961/10/11          22.80          MC
090605         1961/10/12          23.00          MC
090605         1961/10/13          23.10          MC
090605         1961/10/14          23.40          MC
090605         1961/10/15          23.60          MC
090605         1961/10/16          23.60          MC
090605         1961/10/17          23.60          MC
090605         1961/10/18          23.60          MC
090605         1961/10/19          23.60          MC
090605         1961/10/20          23.60          MC
090605         1961/10/21          23.60          MC
090605         1961/10/22          23.60          MC
090605         1961/10/23          23.60          MC
090605         1961/10/24          23.60          MC
090605         1961/10/25          24.00          MC
090605         1961/10/26          25.30          MC
090605         1961/10/27          27.60          MC
090605         1961/10/28          28.90          MC
090605         1961/10/29          28.90          MC
090605         1961/10/30          28.90          MC
090605         1961/10/31          28.90          MC
090605         1961/11/01          28.90          MC
090605         1961/11/02          28.30          MC
090605         1961/11/03          28.60          MC
090605         1961/11/04          33.70          MC
090605         1961/11/05          36.00          MC
090605         1961/11/06          36.80          MC
090605         1961/11/07          37.10          MC
090605         1961/11/08          37.10          MC
090605         1961/11/09          36.80          MC
090605         1961/11/10          35.70          MC
090605         1961/11/11          35.40          MC
090605         1961/11/12          35.40          MC
090605         1961/11/13          35.40          MC
090605         1961/11/14          35.10          MC
090605         1961/11/15          34.80          MC
090605         1961/11/16          34.00          MC
090605         1961/11/17          33.10          R
090605         1961/11/18          32.30          R
090605         1961/11/19          31.70          R
090605         1961/11/20          31.10          R
090605         1961/11/21          31.10          R
090605         1961/11/22          30.90          R
090605         1961/11/23          30.60          R
090605         1961/11/24          30.30          R
090605         1961/11/25          30.30          R
090605         1961/11/26          30.30          R
090605         1961/11/27          30.30          R
090605         1961/11/28          30.30          R
090605         1961/11/29          30.30          R
090605         1961/11/30          30.00          R
090605         1961/12/01          30.00          R
090605         1961/12/02          30.00          R
090605         1961/12/03          30.00          R
090605         1961/12/04          30.00          R
090605         1961/12/05          29.70          R
090605         1961/12/06          29.70          R
090605         1961/12/07          29.40          R
090605         1961/12/08          29.40          R
090605         1961/12/09          29.20          R
090605         1961/12/10          29.20          R
090605         1961/12/11          28.90          R
090605         1961/12/12          28.60          R
090605         1961/12/13          28.30          R
090605         1961/12/14          28.30          R
090605         1961/12/15          28.20          R
090605         1961/12/16          28.00          R
090605         1961/12/17          27.80          R
090605         1961/12/18          27.20          R
090605         1961/12/19          26.80          R
090605         1961/12/20          26.50          R
090605         1961/12/21          26.10          R
090605         1961/12/22          25.50          R
090605         1961/12/23          25.20          R
090605         1961/12/24          24.90          R
090605         1961/12/25          24.50          R
090605         1961/12/26          23.90          R
090605         1961/12/27          23.60          R
090605         1961/12/28          23.20          R
090605         1961/12/29          22.80          R
090605         1961/12/30          22.20          R
090605         1961/12/31          21.90          R
090605         1962/01/01          21.50          R
090605         1962/01/02          21.00          R
090605         1962/01/03          20.70          R
090605         1962/01/04          20.20          R
090605         1962/01/05          19.80          R
090605         1962/01/06          19.70          R
090605         1962/01/07          19.30          R
090605         1962/01/08          19.00          R
090605         1962/01/09          18.70          R
090605         1962/01/10          18.50          R
090605         1962/01/11          18.30          R
090605         1962/01/12          18.00          R
090605         1962/01/13          17.60          R
090605         1962/01/14          17.40          R
090605         1962/01/15          17.00          R
090605         1962/01/16          16.80          R
090605         1962/01/17          16.70          R
090605         1962/01/18          16.60          R
