Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1976-03-10
Station:        090606         Giard - à la sortie du lac Menouow                                                                                                             
Bassin versant: 1970 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 52° 46' 14" // -76° 9' 36"

Date de création du fichier: 2016-12-13 22:05
Particularité(s):
- Cette station hydrométrique se situait dans un tronçon de rivière qui a été inondé à la suite de la création du réservoir Opinaca (1980).
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
090606         1960/05/30          84.10          MC
090606         1960/05/31          77.00          MC
090606         1960/06/01          68.20          MC
090606         1960/06/02          61.70          MC
090606         1960/06/03          57.20          MC
090606         1960/06/04          53.20          MC
090606         1960/06/05          50.70          MC
090606         1960/06/06          47.30          MC
090606         1960/06/07          43.90          MC
090606         1960/06/08          41.90          MC
090606         1960/06/09          39.90          MC
090606         1960/06/10          38.80          MC
090606         1960/06/11          37.10          MC
090606         1960/06/12          36.00          MC
090606         1960/06/13          34.00          MC
090606         1960/06/14          32.60          MC
090606         1960/06/15          30.60          MC
090606         1960/06/16          30.30          MC
090606         1960/06/17          29.70          MC
090606         1960/06/18          28.60          MC
090606         1960/06/19          27.60          MC
090606         1960/06/20          26.50          MC
090606         1960/06/21          25.20          MC
090606         1960/06/22          24.40          MC
090606         1960/06/23          23.20          MC
090606         1960/06/24          22.70          MC
090606         1960/06/25          21.80          MC
090606         1960/06/26          20.50          MC
090606         1960/06/27          20.00          MC
090606         1960/06/28          20.00          MC
090606         1960/06/29          19.90          MC
090606         1960/06/30          19.70          MC
090606         1960/07/01          18.80          MC
090606         1960/07/02          18.40          MC
090606         1960/07/03          18.40          MC
090606         1960/07/04          18.10          MC
090606         1960/07/05          18.20          MC
090606         1960/07/06          18.40          MC
090606         1960/07/07          18.60          MC
090606         1960/07/08          19.00          MC
090606         1960/07/09          19.70          MC
090606         1960/07/10          20.00          MC
090606         1960/07/11          20.20          MC
090606         1960/07/12          20.20          MC
090606         1960/07/13          20.20          MC
090606         1960/07/14          20.20          MC
090606         1960/07/15          20.50          MC
090606         1960/07/16          19.90          MC
090606         1960/07/17          19.90          MC
090606         1960/07/18          19.90          MC
090606         1960/07/19          20.20          MC
090606         1960/07/20          20.20          MC
090606         1960/07/21          20.00          MC
090606         1960/07/22          20.20          MC
090606         1960/07/23          21.20          MC
090606         1960/07/24          20.50          MC
090606         1960/07/25          20.20          MC
090606         1960/07/26          20.70          MC
090606         1960/07/27          21.20          MC
090606         1960/07/28          20.90          MC
090606         1960/07/29          21.40          MC
090606         1960/07/30          22.50          MC
090606         1960/07/31          25.50          MC
090606         1960/08/01          26.80          MC
090606         1960/08/02          27.90          MC
090606         1960/08/03          29.40          MC
090606         1960/08/04          31.40          MC
090606         1960/08/05          33.10          MC
090606         1960/08/06          34.00          MC
090606         1960/08/07          33.10          MC
090606         1960/08/08          32.60          E
090606         1960/08/09          32.80          E
090606         1960/08/10          33.40          E
090606         1960/08/11          34.00          E
090606         1960/08/12          35.10          E
090606         1960/08/13          36.50          E
090606         1960/08/14          37.70          E
090606         1960/08/15          39.60          E
090606         1960/08/16          41.10          E
090606         1960/08/17          42.50          E
