Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-06-10
Station:        092701         Poutré - à 2,1 km de la Kanaaupscow                                                                                                            
Bassin versant: 154 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 53° 44' 3" // -76° 56' 52"

Date de création du fichier: 2017-01-19 01:16
Particularité(s):
- Cette station hydrométrique se situait dans un tronçon de rivière qui a été inondé à la suite de la création du réservoir Robert-Bourassa (1979).
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
092701         1960/05/27          1.880          MC
092701         1960/05/28          1.640          MC
092701         1960/05/29          1.290          MC
092701         1960/05/30          1.660          MC
092701         1960/05/31          1.510          MC
092701         1960/06/01          1.180          MC
092701         1960/06/02          1.070          MC
092701         1960/06/03          0.930          MC
092701         1960/06/04          14.20          E
092701         1960/06/05          14.10          MC
092701         1960/06/06          7.650          MC
092701         1960/06/07          5.180          MC
092701         1960/06/08          3.600          MC
092701         1960/06/09          2.680          MC
092701         1960/06/10          2.180          MC
092701         1960/06/11          1.910          MC
092701         1960/06/12          1.660          MC
092701         1960/06/13          1.430          MC
092701         1960/06/14          1.270          MC
092701         1960/06/15          1.140          MC
092701         1960/06/16          1.220          MC
092701         1960/06/17          1.800          MC
092701         1960/06/18          1.560          MC
092701         1960/06/19          1.340          MC
092701         1960/06/20          1.180          MC
092701         1960/06/21          1.070          MC
092701         1960/06/22          0.970          MC
092701         1960/06/23          0.810          MC
092701         1960/06/24          0.720          MC
092701         1960/06/25          0.610          MC
092701         1960/06/26          0.530          MC
092701         1960/06/27          1.480          MC
092701         1960/06/28          1.430          MC
092701         1960/06/29          0.950          MC
092701         1960/06/30          1.200          MC
092701         1960/07/01          1.250          MC
092701         1960/07/02          1.560          MC
092701         1960/07/03          2.310          MC
092701         1960/07/04          7.020          MC
092701         1960/07/05          4.810          MC
092701         1960/07/06          3.510          MC
092701         1960/07/07          2.610          MC
092701         1960/07/08          2.570          MC
092701         1960/07/09          2.640          MC
092701         1960/07/10          2.310          MC
092701         1960/07/11          2.820          MC
092701         1960/07/12          3.140          MC
092701         1960/07/13          2.340          MC
092701         1960/07/14          1.940          MC
092701         1960/07/15          2.710          MC
092701         1960/07/16          2.680          MC
092701         1960/07/17          2.270          MC
092701         1960/07/18          1.910          MC
092701         1960/07/19          1.560          MC
092701         1960/07/20          1.310          MC
092701         1960/07/21          1.100          MC
092701         1960/07/22          2.000          MC
092701         1960/07/23          3.400          MC
092701         1960/07/24          2.000          MC
092701         1960/07/25          1.560          MC
092701         1960/07/26          1.360          MC
092701         1960/07/27          1.180          MC
092701         1960/07/28          1.010          MC
092701         1960/07/29          0.970          MC
092701         1960/07/30          1.010          MC
092701         1960/07/31          1.510          MC
092701         1960/08/01          1.640          MC
092701         1960/08/02          2.780          MC
092701         1960/08/03          4.330          MC
092701         1960/08/04          2.890          MC
092701         1960/08/05          2.240          MC
092701         1960/08/06          1.910          MC
092701         1960/08/07          1.580          MC
092701         1960/08/08          1.360          MC
092701         1960/08/09          1.200          MC
092701         1960/08/10          1.120          MC
092701         1960/08/11          1.030          MC
092701         1960/08/12          0.920          MC
092701         1960/08/13          1.010          MC
092701         1960/08/14          1.850          MC
092701         1960/08/15          1.530          MC
092701         1960/08/16          1.610          MC
092701         1960/08/17          1.560          MC
092701         1960/08/18          1.510          MC
092701         1960/08/19          1.360          MC
092701         1960/08/20          1.180          MC
092701         1960/08/21          0.990          MC
092701         1960/08/22          0.770          MC
092701         1960/08/23          0.610          MC
092701         1960/08/24          0.530          MC
092701         1960/08/25          0.450          MC
092701         1960/08/26          0.450          MC
092701         1960/08/27          0.640          MC
092701         1960/08/28          0.640          MC
092701         1960/08/29          0.570          MC
092701         1960/08/30          0.540          MC
092701         1960/08/31          0.540          MC
092701         1960/09/01          0.480          MC
092701         1960/09/02          0.420          MC
092701         1960/09/03          0.400          MC
092701         1960/09/04          0.530          MC
092701         1960/09/05          0.500          MC
092701         1960/09/06          0.600          MC
092701         1960/09/07          0.670          MC
092701         1960/09/08          0.570          MC
092701         1960/09/09          0.500          MC
092701         1960/09/10          0.420          MC
092701         1960/09/11          2.240          MC
092701         1960/09/12          3.200          MC
092701         1960/09/13          2.340          MC
092701         1960/09/14          2.270          MC
092701         1960/09/15          2.440          MC
092701         1960/09/16          2.640          MC
092701         1960/09/17          2.180          MC
092701         1960/09/18          2.610          MC
092701         1960/09/19          2.470          MC
092701         1960/09/20          2.270          MC
092701         1960/09/21          1.910          MC
092701         1960/09/22          1.660          MC
092701         1960/09/23          1.530          MC
092701         1960/09/24          1.270          MC
092701         1960/09/25          2.920          MC
092701         1960/09/26          3.140          MC
092701         1960/09/27          2.750          MC
092701         1960/09/28          3.710          MC
092701         1960/09/29          5.380          MC
092701         1960/09/30          6.430          MC
092701         1960/10/01          
092701         1960/10/02          
092701         1960/10/03          
092701         1960/10/04          
092701         1960/10/05          
092701         1960/10/06          
092701         1960/10/07          
092701         1960/10/08          
092701         1960/10/09          
092701         1960/10/10          
092701         1960/10/11          
092701         1960/10/12          
092701         1960/10/13          
092701         1960/10/14          
092701         1960/10/15          
092701         1960/10/16          
092701         1960/10/17          
092701         1960/10/18          
092701         1960/10/19          
092701         1960/10/20          
092701         1960/10/21          
092701         1960/10/22          
092701         1960/10/23          
092701         1960/10/24          
092701         1960/10/25          
092701         1960/10/26          
092701         1960/10/27          
092701         1960/10/28          
092701         1960/10/29          
092701         1960/10/30          
092701         1960/10/31          
092701         1960/11/01          
092701         1960/11/02          
092701         1960/11/03          
092701         1960/11/04          
092701         1960/11/05          
092701         1960/11/06          
092701         1960/11/07          
092701         1960/11/08          
092701         1960/11/09          
092701         1960/11/10          
092701         1960/11/11          
092701         1960/11/12          
092701         1960/11/13          
092701         1960/11/14          
092701         1960/11/15          
092701         1960/11/16          
092701         1960/11/17          
092701         1960/11/18          
092701         1960/11/19          
092701         1960/11/20          
092701         1960/11/21          
092701         1960/11/22          
092701         1960/11/23          
092701         1960/11/24          
092701         1960/11/25          
092701         1960/11/26          
092701         1960/11/27          
092701         1960/11/28          
092701         1960/11/29          
092701         1960/11/30          
092701         1960/12/01          
092701         1960/12/02          
092701         1960/12/03          
092701         1960/12/04          
092701         1960/12/05          
092701         1960/12/06          
092701         1960/12/07          
092701         1960/12/08          
092701         1960/12/09          
092701         1960/12/10          
092701         1960/12/11          
092701         1960/12/12          
092701         1960/12/13          
092701         1960/12/14          
092701         1960/12/15          
092701         1960/12/16          
092701         1960/12/17          
092701         1960/12/18          
092701         1960/12/19          
092701         1960/12/20          
092701         1960/12/21          
092701         1960/12/22          
092701         1960/12/23          
092701         1960/12/24          
092701         1960/12/25          
092701         1960/12/26          
092701         1960/12/27          
092701         1960/12/28          
092701         1960/12/29          
092701         1960/12/30          
092701         1960/12/31          
092701         1961/01/01          
092701         1961/01/02          
092701         1961/01/03          
092701         1961/01/04          
092701         1961/01/05          
092701         1961/01/06          
092701         1961/01/07          
092701         1961/01/08          
092701         1961/01/09          
092701         1961/01/10          
092701         1961/01/11          
092701         1961/01/12          
092701         1961/01/13          
092701         1961/01/14          
092701         1961/01/15          
092701         1961/01/16          
092701         1961/01/17          
092701         1961/01/18          
092701         1961/01/19          
092701         1961/01/20          
092701         1961/01/21          
092701         1961/01/22          
092701         1961/01/23          
092701         1961/01/24          
092701         1961/01/25          
092701         1961/01/26          
092701         1961/01/27          
092701         1961/01/28          
092701         1961/01/29          
092701         1961/01/30          
092701         1961/01/31          
092701         1961/02/01          
