Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1976-03-12
Station:        092711         De Pontois - à 2,6 km en aval de la Sakami                                                                                                     
Bassin versant: 13800 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 53° 17' 4" // -74° 44' 50"

Date de création du fichier: 2012-06-30 20:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
092711         1960/06/20          300.0          MC
092711         1960/06/21          294.0          MC
092711         1960/06/22          292.0          MC
092711         1960/06/23          289.0          MC
092711         1960/06/24          283.0          MC
092711         1960/06/25          279.0          MC
092711         1960/06/26          274.0          MC
092711         1960/06/27          274.0          MC
092711         1960/06/28          269.0          MC
092711         1960/06/29          266.0          MC
092711         1960/06/30          264.0          MC
092711         1960/07/01          262.0          MC
092711         1960/07/02          259.0          MC
092711         1960/07/03          257.0          MC
092711         1960/07/04          259.0          MC
092711         1960/07/05          260.0          MC
092711         1960/07/06          263.0          MC
092711         1960/07/07          267.0          MC
092711         1960/07/08          269.0          MC
092711         1960/07/09          268.0          MC
092711         1960/07/10          269.0          MC
092711         1960/07/11          269.0          MC
092711         1960/07/12          266.0          MC
092711         1960/07/13          264.0          MC
092711         1960/07/14          263.0          MC
092711         1960/07/15          262.0          MC
092711         1960/07/16          259.0          MC
092711         1960/07/17          255.0          MC
092711         1960/07/18          251.0          MC
092711         1960/07/19          247.0          MC
092711         1960/07/20          245.0          MC
092711         1960/07/21          243.0          MC
092711         1960/07/22          240.0          MC
