Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1975-09-06
Station:        092718         De Pontois - sur le chenal Masta                                                                                                               
Bassin versant: 13800 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 53° 15' 9" // -74° 37' 43"

Date de création du fichier: 2012-06-30 21:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
092718         1966/05/01          12.00          MC
092718         1966/05/02          13.60          MC
092718         1966/05/03          16.20          MC
092718         1966/05/04          18.20          MC
092718         1966/05/05          19.00          MC
092718         1966/05/06          19.60          MC
092718         1966/05/07          21.40          MC
092718         1966/05/08          23.40          MC
092718         1966/05/09          24.00          MC
092718         1966/05/10          24.20          MC
092718         1966/05/11          24.00          MC
092718         1966/05/12          23.00          MC
092718         1966/05/13          23.20          MC
092718         1966/05/14          23.20          MC
092718         1966/05/15          22.60          MC
092718         1966/05/16          22.60          MC
092718         1966/05/17          21.80          MC
092718         1966/05/18          28.30          MC
092718         1966/05/19          34.00          MC
092718         1966/05/20          41.60          MC
092718         1966/05/21          57.20          MC
092718         1966/05/22          74.80          MC
092718         1966/05/23          91.70          MC
092718         1966/05/24          139.0          MC
092718         1966/05/25          156.0          MC
092718         1966/05/26          177.0          MC
092718         1966/05/27          206.0          MC
092718         1966/05/28          223.0          MC
092718         1966/05/29          252.0          MC
092718         1966/05/30          279.0          MC
092718         1966/05/31          300.0          MC
092718         1966/06/01          320.0          MC
092718         1966/06/02          331.0          MC
092718         1966/06/03          337.0          MC
092718         1966/06/04          337.0          MC
092718         1966/06/05          331.0          MC
092718         1966/06/06          320.0          MC
092718         1966/06/07          309.0          MC
092718         1966/06/08          289.0          MC
092718         1966/06/09          267.0          MC
092718         1966/06/10          254.0          MC
092718         1966/06/11          238.0          MC
092718         1966/06/12          223.0          MC
092718         1966/06/13          210.0          MC
092718         1966/06/14          194.0          MC
092718         1966/06/15          178.0          MC
092718         1966/06/16          174.0          MC
092718         1966/06/17          161.0          MC
092718         1966/06/18          154.0          MC
092718         1966/06/19          148.0          MC
092718         1966/06/20          144.0          MC
092718         1966/06/21          138.0          MC
092718         1966/06/22          137.0          MC
092718         1966/06/23          137.0          MC
092718         1966/06/24          136.0          MC
092718         1966/06/25          137.0          MC
092718         1966/06/26          136.0          MC
092718         1966/06/27          132.0          MC
092718         1966/06/28          127.0          MC
092718         1966/06/29          124.0          MC
092718         1966/06/30          120.0          MC
092718         1966/07/01          119.0          MC
092718         1966/07/02          118.0          MC
092718         1966/07/03          113.0          MC
092718         1966/07/04          107.0          MC
092718         1966/07/05          107.0          MC
092718         1966/07/06          107.0          MC
092718         1966/07/07          105.0          MC
092718         1966/07/08          101.0          MC
092718         1966/07/09          101.0          MC
092718         1966/07/10          100.0          MC
092718         1966/07/11          100.0          MC
092718         1966/07/12          99.70          MC
092718         1966/07/13          93.20          MC
092718         1966/07/14          88.60          MC
092718         1966/07/15          81.30          MC
092718         1966/07/16          77.30          MC
092718         1966/07/17          75.30          MC
092718         1966/07/18          71.40          MC
092718         1966/07/19          64.60          MC
092718         1966/07/20          62.30          MC
092718         1966/07/21          57.20          MC
092718         1966/07/22          56.90          MC
092718         1966/07/23          54.40          MC
092718         1966/07/24          53.20          MC
092718         1966/07/25          53.20          MC
092718         1966/07/26          53.20          MC
092718         1966/07/27          54.40          MC
092718         1966/07/28          56.40          MC
092718         1966/07/29          59.20          MC
092718         1966/07/30          62.30          MC
092718         1966/07/31          66.30          MC
092718         1966/08/01          68.00          MC
092718         1966/08/02          68.00          MC
092718         1966/08/03          68.00          MC
092718         1966/08/04          69.10          MC
092718         1966/08/05          75.00          MC
092718         1966/08/06          82.70          MC
092718         1966/08/07          93.70          MC
092718         1966/08/08          105.0          MC
092718         1966/08/09          112.0          MC
092718         1966/08/10          118.0          MC
092718         1966/08/11          124.0          MC
092718         1966/08/12          129.0          MC
092718         1966/08/13          133.0          MC
092718         1966/08/14          134.0          MC
092718         1966/08/15          130.0          MC
092718         1966/08/16          125.0          MC
092718         1966/08/17          129.0          MC
092718         1966/08/18          134.0          MC
092718         1966/08/19          128.0          MC
092718         1966/08/20          125.0          MC
092718         1966/08/21          124.0          MC
092718         1966/08/22          130.0          MC
092718         1966/08/23          137.0          MC
092718         1966/08/24          141.0          MC
092718         1966/08/25          144.0          MC
092718         1966/08/26          144.0          MC
092718         1966/08/27          141.0          MC
092718         1966/08/28          140.0          MC
092718         1966/08/29          140.0          MC
092718         1966/08/30          138.0          MC
092718         1966/08/31          142.0          MC
092718         1966/09/01          140.0          MC
092718         1966/09/02          142.0          MC
