Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1975-09-06
Station:        092719         Sakami - à 2,4 km en aval de la rivière de Pontois                                                                                             
Bassin versant: 13800 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 53° 15' 29" // -74° 47' 37"

Date de création du fichier: 2012-06-30 21:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
092719         1966/05/01          5.860          MC
092719         1966/05/02          7.050          MC
092719         1966/05/03          9.150          MC
092719         1966/05/04          10.80          MC
092719         1966/05/05          11.50          MC
092719         1966/05/06          12.00          MC
092719         1966/05/07          13.50          MC
092719         1966/05/08          15.20          MC
092719         1966/05/09          15.70          MC
092719         1966/05/10          15.90          MC
092719         1966/05/11          15.70          MC
092719         1966/05/12          14.90          MC
092719         1966/05/13          15.00          MC
092719         1966/05/14          15.00          MC
092719         1966/05/15          14.50          MC
092719         1966/05/16          14.50          MC
092719         1966/05/17          13.80          MC
092719         1966/05/18          19.50          MC
092719         1966/05/19          24.30          MC
092719         1966/05/20          30.60          MC
092719         1966/05/21          43.60          MC
092719         1966/05/22          57.80          MC
092719         1966/05/23          71.40          MC
092719         1966/05/24          107.0          MC
092719         1966/05/25          120.0          MC
092719         1966/05/26          135.0          MC
092719         1966/05/27          155.0          MC
092719         1966/05/28          166.0          MC
092719         1966/05/29          186.0          MC
092719         1966/05/30          204.0          MC
092719         1966/05/31          218.0          MC
092719         1966/06/01          230.0          MC
092719         1966/06/02          237.0          MC
092719         1966/06/03          241.0          MC
092719         1966/06/04          242.0          MC
092719         1966/06/05          236.0          MC
092719         1966/06/06          231.0          MC
092719         1966/06/07          224.0          MC
092719         1966/06/08          210.0          MC
092719         1966/06/09          196.0          MC
092719         1966/06/10          187.0          MC
092719         1966/06/11          176.0          MC
092719         1966/06/12          167.0          MC
092719         1966/06/13          158.0          MC
092719         1966/06/14          147.0          MC
092719         1966/06/15          136.0          MC
092719         1966/06/16          133.0          MC
092719         1966/06/17          123.0          MC
092719         1966/06/18          118.0          MC
092719         1966/06/19          114.0          MC
092719         1966/06/20          110.0          MC
092719         1966/06/21          106.0          MC
092719         1966/06/22          106.0          MC
092719         1966/06/23          106.0          MC
092719         1966/06/24          105.0          MC
092719         1966/06/25          106.0          MC
092719         1966/06/26          105.0          MC
092719         1966/06/27          102.0          MC
092719         1966/06/28          98.30          MC
092719         1966/06/29          96.00          MC
092719         1966/06/30          93.20          MC
092719         1966/07/01          92.30          MC
092719         1966/07/02          91.50          MC
092719         1966/07/03          88.10          MC
092719         1966/07/04          83.00          MC
092719         1966/07/05          83.00          MC
092719         1966/07/06          83.50          MC
092719         1966/07/07          81.60          MC
092719         1966/07/08          79.00          MC
092719         1966/07/09          78.20          MC
092719         1966/07/10          77.90          MC
092719         1966/07/11          77.90          MC
092719         1966/07/12          77.60          MC
092719         1966/07/13          72.50          MC
092719         1966/07/14          69.10          MC
092719         1966/07/15          63.10          MC
092719         1966/07/16          60.00          MC
092719         1966/07/17          58.30          MC
092719         1966/07/18          55.20          MC
092719         1966/07/19          49.80          MC
092719         1966/07/20          47.60          MC
092719         1966/07/21          43.60          MC
092719         1966/07/22          43.30          MC
092719         1966/07/23          41.10          MC
092719         1966/07/24          40.20          MC
092719         1966/07/25          40.20          MC
092719         1966/07/26          40.50          MC
092719         1966/07/27          41.30          MC
092719         1966/07/28          43.00          MC
092719         1966/07/29          45.30          MC
092719         1966/07/30          47.90          MC
092719         1966/07/31          51.00          MC
092719         1966/08/01          52.40          MC
092719         1966/08/02          52.40          MC
092719         1966/08/03          52.40          MC
092719         1966/08/04          53.50          MC
092719         1966/08/05          58.00          MC
092719         1966/08/06          64.00          MC
092719         1966/08/07          72.80          MC
092719         1966/08/08          81.60          MC
092719         1966/08/09          86.90          MC
092719         1966/08/10          92.00          MC
092719         1966/08/11          96.30          MC
092719         1966/08/12          99.40          MC
092719         1966/08/13          103.0          MC
092719         1966/08/14          103.0          MC
092719         1966/08/15          101.0          MC
092719         1966/08/16          97.10          MC
092719         1966/08/17          100.0          MC
092719         1966/08/18          103.0          MC
092719         1966/08/19          99.40          MC
092719         1966/08/20          96.60          MC
092719         1966/08/21          96.00          MC
092719         1966/08/22          100.0          MC
092719         1966/08/23          106.0          MC
092719         1966/08/24          109.0          MC
092719         1966/08/25          111.0          MC
092719         1966/08/26          111.0          MC
092719         1966/08/27          109.0          MC
092719         1966/08/28          108.0          MC
092719         1966/08/29          108.0          MC
092719         1966/08/30          107.0          MC
092719         1966/08/31          109.0          MC
092719         1966/09/01          108.0          MC
092719         1966/09/02          110.0          MC
092719         1966/09/03          109.0          MC
092719         1966/09/04          108.0          MC
092719         1966/09/05          105.0          MC
092719         1966/09/06          106.0          MC
092719         1966/09/07          105.0          MC
092719         1966/09/08          104.0          MC
092719         1966/09/09          95.70          MC
092719         1966/09/10          90.00          MC
092719         1966/09/11          84.70          MC
092719         1966/09/12          81.80          MC
092719         1966/09/13          81.00          MC
092719         1966/09/14          76.20          MC
092719         1966/09/15          71.40          MC
092719         1966/09/16          69.40          MC
092719         1966/09/17          66.50          MC
092719         1966/09/18          62.00          MC
092719         1966/09/19          60.00          MC
092719         1966/09/20          58.90          MC
092719         1966/09/21          57.80          MC
092719         1966/09/22          53.80          MC
092719         1966/09/23          51.80          MC
092719         1966/09/24          51.00          MC
092719         1966/09/25          49.80          MC
092719         1966/09/26          49.30          MC
092719         1966/09/27          49.80          MC
092719         1966/09/28          51.30          MC
092719         1966/09/29          53.00          MC
092719         1966/09/30          54.90          MC
092719         1966/10/01          59.70          MC
092719         1966/10/02          61.70          MC
092719         1966/10/03          63.40          MC
092719         1966/10/04          64.60          MC
092719         1966/10/05          68.00          MC
092719         1966/10/06          71.10          MC
092719         1966/10/07          72.50          MC
092719         1966/10/08          72.50          MC
092719         1966/10/09          73.30          MC
092719         1966/10/10          75.00          MC
092719         1966/10/11          74.50          MC
092719         1966/10/12          72.20          MC
092719         1966/10/13          70.20          MC
