Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1993-09-20
Station:        092723         Kanaaupscow - à 24,5 km en amont de la Griault                                                                                                 
Bassin versant: 9320 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 54° 14' 42" // -76° 10' 4"

Date de création du fichier: 2016-12-13 20:25
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
092723         1979/10/24          343.0          MC
092723         1979/10/25          331.0          MC
092723         1979/10/26          322.0          MC
092723         1979/10/27          319.0          MC
092723         1979/10/28          312.0          MC
092723         1979/10/29          310.0          MC
092723         1979/10/30          305.0          MC
092723         1979/10/31          292.0          MC
092723         1979/11/01          289.0          MC
092723         1979/11/02          285.0          MC
092723         1979/11/03          292.0          MC
092723         1979/11/04          289.0          MC
092723         1979/11/05          286.0          MC
092723         1979/11/06          283.0          MC
092723         1979/11/07          284.0          MC
092723         1979/11/08          269.0          MC
092723         1979/11/09          262.0          MC
092723         1979/11/10          255.0          MC
092723         1979/11/11          248.0          MC
092723         1979/11/12          226.0          MC
092723         1979/11/13          224.0          R
092723         1979/11/14          220.0          R
092723         1979/11/15          215.0          R
092723         1979/11/16          210.0          R
092723         1979/11/17          203.0          R
092723         1979/11/18          200.0          R
092723         1979/11/19          198.0          R
092723         1979/11/20          192.0          R
092723         1979/11/21          189.0          R
092723         1979/11/22          186.0          R
092723         1979/11/23          181.0          R
092723         1979/11/24          178.0          R
092723         1979/11/25          174.0          R
092723         1979/11/26          170.0          R
092723         1979/11/27          167.0          R
092723         1979/11/28          163.0          R
092723         1979/11/29          160.0          R
092723         1979/11/30          157.0          R
092723         1979/12/01          153.0          R
092723         1979/12/02          150.0          R
092723         1979/12/03          148.0          R
092723         1979/12/04          146.0          R
092723         1979/12/05          142.0          R
092723         1979/12/06          139.0          R
092723         1979/12/07          137.0          R
092723         1979/12/08          134.0          R
092723         1979/12/09          132.0          R
092723         1979/12/10          129.0          R
092723         1979/12/11          127.0          R
092723         1979/12/12          125.0          R
092723         1979/12/13          122.0          R
092723         1979/12/14          120.0          R
092723         1979/12/15          118.0          R
092723         1979/12/16          116.0          R
092723         1979/12/17          114.0          R
092723         1979/12/18          112.0          R
092723         1979/12/19          109.0          R
092723         1979/12/20          108.0          R
092723         1979/12/21          106.0          R
092723         1979/12/22          104.0          R
092723         1979/12/23          102.0          R
092723         1979/12/24          101.0          R
092723         1979/12/25          99.00          R
092723         1979/12/26          97.00          R
092723         1979/12/27          95.50          R
092723         1979/12/28          94.00          R
092723         1979/12/29          92.50          R
092723         1979/12/30          90.50          R
092723         1979/12/31          89.20          R
092723         1980/01/01          89.00          R
092723         1980/01/02          86.50          R
092723         1980/01/03          85.50          R
092723         1980/01/04          84.00          R
092723         1980/01/05          83.00          R
092723         1980/01/06          81.50          R
092723         1980/01/07          80.00          R
092723         1980/01/08          79.00          R
092723         1980/01/09          78.00          R
092723         1980/01/10          77.00          R
092723         1980/01/11          75.50          R
092723         1980/01/12          74.50          R
092723         1980/01/13          73.80          R
092723         1980/01/14          72.60          R
092723         1980/01/15          71.50          R
092723         1980/01/16          70.70          R
092723         1980/01/17          70.00          R
092723         1980/01/18          69.20          R
092723         1980/01/19          68.00          R
092723         1980/01/20          67.20          R
092723         1980/01/21          66.50          R
092723         1980/01/22          65.50          R
092723         1980/01/23          65.00          R
092723         1980/01/24          64.00          R
092723         1980/01/25          63.20          R
092723         1980/01/26          62.50          R
092723         1980/01/27          62.00          R
092723         1980/01/28          61.20          R
092723         1980/01/29          60.30          R
092723         1980/01/30          60.00          R
092723         1980/01/31          59.20          R
092723         1980/02/01          58.50          R
092723         1980/02/02          58.00          R
092723         1980/02/03          57.30          R
092723         1980/02/04          56.80          R
092723         1980/02/05          56.20          R
092723         1980/02/06          55.50          R
092723         1980/02/07          55.20          R
092723         1980/02/08          54.50          R
092723         1980/02/09          54.00          R
092723         1980/02/10          53.60          R
092723         1980/02/11          53.00          R
092723         1980/02/12          52.50          R
092723         1980/02/13          52.00          R
092723         1980/02/14          51.50          R
092723         1980/02/15          51.00          R
092723         1980/02/16          50.50          R
092723         1980/02/17          50.00          R
092723         1980/02/18          49.90          R
092723         1980/02/19          49.50          R
092723         1980/02/20          49.20          R
092723         1980/02/21          48.50          R
092723         1980/02/22          48.20          R
092723         1980/02/23          47.80          R
092723         1980/02/24          47.50          R
092723         1980/02/25          47.30          R
092723         1980/02/26          46.80          R
092723         1980/02/27          46.50          R
092723         1980/02/28          46.20          R
092723         1980/02/29          45.90          R
092723         1980/03/01          45.50          R
092723         1980/03/02          45.20          R
092723         1980/03/03          45.00          R
092723         1980/03/04          44.70          R
092723         1980/03/05          44.40          R
092723         1980/03/06          44.20          R
092723         1980/03/07          44.00          R
092723         1980/03/08          43.80          R
092723         1980/03/09          43.60          R
092723         1980/03/10          43.40          R
092723         1980/03/11          43.00          R
092723         1980/03/12          42.80          R
092723         1980/03/13          42.60          R
092723         1980/03/14          42.40          R
092723         1980/03/15          42.20          R
092723         1980/03/16          42.00          R
092723         1980/03/17          41.90          R
092723         1980/03/18          41.70          R
092723         1980/03/19          41.60          R
092723         1980/03/20          41.50          R
092723         1980/03/21          41.40          R
092723         1980/03/22          41.20          J
092723         1980/03/23          41.00          R
092723         1980/03/24          40.90          R
092723         1980/03/25          40.60          R
092723         1980/03/26          40.40          R
092723         1980/03/27          40.30          R
092723         1980/03/28          40.20          R
092723         1980/03/29          40.10          R
092723         1980/03/30          40.00          R
092723         1980/03/31          40.00          R
092723         1980/04/01          39.90          R
092723         1980/04/02          39.90          R
092723         1980/04/03          39.90          R
092723         1980/04/04          39.80          R
092723         1980/04/05          39.80          R
092723         1980/04/06          39.70          R
092723         1980/04/07          39.50          R
092723         1980/04/08          39.40          R
092723         1980/04/09          39.30          R
092723         1980/04/10          39.20          R
092723         1980/04/11          39.20          R
092723         1980/04/12          39.10          R
092723         1980/04/13          39.00          R
092723         1980/04/14          39.00          R
092723         1980/04/15          39.00          R
092723         1980/04/16          39.00          R
092723         1980/04/17          39.00          R
092723         1980/04/18          39.00          R
092723         1980/04/19          39.00          R
092723         1980/04/20          39.10          R
092723         1980/04/21          39.10          R
092723         1980/04/22          39.50          R
092723         1980/04/23          40.00          R
092723         1980/04/24          41.00          R
092723         1980/04/25          43.00          R
092723         1980/04/26          46.50          R
092723         1980/04/27          55.00          R
092723         1980/04/28          71.00          R
092723         1980/04/29          88.00          R
092723         1980/04/30          115.0          R
092723         1980/05/01          155.0          R
092723         1980/05/02          263.0          MC
092723         1980/05/03          344.0          MC
092723         1980/05/04          400.0          MC
092723         1980/05/05          419.0          MC
092723         1980/05/06          443.0          MC
092723         1980/05/07          451.0          MC
092723         1980/05/08          482.0          MC
092723         1980/05/09          496.0          MC
092723         1980/05/10          524.0          MC
092723         1980/05/11          573.0          MC
092723         1980/05/12          585.0          MC
092723         1980/05/13          603.0          MC
092723         1980/05/14          606.0          MC
092723         1980/05/15          588.0          MC
092723         1980/05/16          563.0          MC
092723         1980/05/17          552.0          MC
092723         1980/05/18          517.0          MC
092723         1980/05/19          488.0          MC
092723         1980/05/20          463.0          MC
092723         1980/05/21          451.0          MC
092723         1980/05/22          430.0          MC
092723         1980/05/23          410.0          MC
092723         1980/05/24          392.0          MC
092723         1980/05/25          403.0          MC
092723         1980/05/26          347.0          MC
092723         1980/05/27          329.0          MC
092723         1980/05/28          311.0          MC
092723         1980/05/29          300.0          MC
092723         1980/05/30          289.0          MC
092723         1980/05/31          287.0          MC
092723         1980/06/01          294.0          MC
092723         1980/06/02          298.0          MC
092723         1980/06/03          291.0          MC
092723         1980/06/04          272.0          MC
092723         1980/06/05          272.0          MC
092723         1980/06/06          263.0          MC
092723         1980/06/07          257.0          MC
092723         1980/06/08          246.0          MC
092723         1980/06/09          244.0          MC
092723         1980/06/10          249.0          MC
092723         1980/06/11          250.0          MC
092723         1980/06/12          256.0          MC
092723         1980/06/13          277.0          MC
092723         1980/06/14          330.0          MC
092723         1980/06/15          413.0          MC
092723         1980/06/16          423.0          MC
092723         1980/06/17          423.0          MC
092723         1980/06/18          416.0          MC
092723         1980/06/19          415.0          MC
092723         1980/06/20          406.0          MC
092723         1980/06/21          388.0          MC
092723         1980/06/22          372.0          MC
092723         1980/06/23          356.0          MC
092723         1980/06/24          341.0          MC
092723         1980/06/25          330.0          MC
092723         1980/06/26          320.0          MC
092723         1980/06/27          310.0          MC
092723         1980/06/28          300.0          MC
092723         1980/06/29          299.0          MC
092723         1980/06/30          277.0          MC
092723         1980/07/01          263.0          MC
092723         1980/07/02          259.0          MC
092723         1980/07/03          257.0          MC
092723         1980/07/04          259.0          MC
092723         1980/07/05          259.0          MC
092723         1980/07/06          251.0          MC
092723         1980/07/07          244.0          MC
092723         1980/07/08          236.0          MC
092723         1980/07/09          231.0          MC
092723         1980/07/10          226.0          MC
092723         1980/07/11          226.0          MC
092723         1980/07/12          229.0          MC
092723         1980/07/13          226.0          MC
092723         1980/07/14          224.0          MC
092723         1980/07/15          222.0          MC
092723         1980/07/16          224.0          MC
092723         1980/07/17          222.0          MC
092723         1980/07/18          219.0          MC
092723         1980/07/19          216.0          MC
092723         1980/07/20          210.0          MC
092723         1980/07/21          214.0          MC
092723         1980/07/22          223.0          MC
092723         1980/07/23          235.0          MC
092723         1980/07/24          239.0          MC
092723         1980/07/25          235.0          MC
092723         1980/07/26          236.0          MC
092723         1980/07/27          227.0          MC
092723         1980/07/28          223.0          MC
092723         1980/07/29          218.0          MC
092723         1980/07/30          213.0          MC
092723         1980/07/31          208.0          MC
092723         1980/08/01          202.0          MC
092723         1980/08/02          199.0          MC
092723         1980/08/03          198.0          MC
092723         1980/08/04          201.0          MC
092723         1980/08/05          208.0          MC
092723         1980/08/06          207.0          MC
092723         1980/08/07          211.0          MC
092723         1980/08/08          213.0          MC
092723         1980/08/09          213.0          MC
092723         1980/08/10          212.0          MC
092723         1980/08/11          210.0          MC
092723         1980/08/12          207.0          MC
092723         1980/08/13          205.0          MC
092723         1980/08/14          202.0          MC
092723         1980/08/15          199.0          MC
092723         1980/08/16          192.0          MC
092723         1980/08/17          187.0          MC
092723         1980/08/18          181.0          MC
092723         1980/08/19          175.0          MC
092723         1980/08/20          170.0          MC
092723         1980/08/21          166.0          MC
092723         1980/08/22          161.0          MC
092723         1980/08/23          156.0          MC
092723         1980/08/24          152.0          MC
092723         1980/08/25          148.0          MC
092723         1980/08/26          143.0          MC
092723         1980/08/27          140.0          MC
092723         1980/08/28          139.0          MC
092723         1980/08/29          137.0          MC
092723         1980/08/30          134.0          MC
