Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-03-27
Station:        093301         Roggan - à 8,2 km de l'embouchure                                                                                                              
Bassin versant: 9560 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 54° 25' 24" // -79° 20' 45"

Date de création du fichier: 2012-06-30 21:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
093301         1973/08/31          64.30          J
093301         1973/09/01          64.60          MC
093301         1973/09/02          62.30          MC
093301         1973/09/03          62.90          MC
093301         1973/09/04          63.10          MC
093301         1973/09/05          62.90          MC
093301         1973/09/06          60.00          MC
093301         1973/09/07          61.20          MC
093301         1973/09/08          69.90          MC
093301         1973/09/09          75.60          MC
093301         1973/09/10          82.70          MC
093301         1973/09/11          89.80          MC
093301         1973/09/12          98.30          MC
093301         1973/09/13          104.0          MC
093301         1973/09/14          107.0          MC
093301         1973/09/15          110.0          MC
093301         1973/09/16          110.0          MC
093301         1973/09/17          109.0          MC
093301         1973/09/18          109.0          MC
093301         1973/09/19          114.0          MC
093301         1973/09/20          119.0          MC
093301         1973/09/21          124.0          MC
093301         1973/09/22          133.0          MC
093301         1973/09/23          139.0          MC
093301         1973/09/24          144.0          MC
093301         1973/09/25          151.0          MC
093301         1973/09/26          155.0          MC
093301         1973/09/27          156.0          MC
093301         1973/09/28          159.0          MC
093301         1973/09/29          162.0          MC
093301         1973/09/30          169.0          MC
093301         1973/10/01          171.0          J
093301         1973/10/02          172.0          MC
093301         1973/10/03          173.0          MC
093301         1973/10/04          173.0          MC
093301         1973/10/05          172.0          MC
093301         1973/10/06          170.0          MC
093301         1973/10/07          170.0          MC
093301         1973/10/08          169.0          MC
093301         1973/10/09          168.0          MC
093301         1973/10/10          166.0          MC
093301         1973/10/11          162.0          MC
093301         1973/10/12          163.0          MC
093301         1973/10/13          164.0          MC
093301         1973/10/14          163.0          MC
093301         1973/10/15          163.0          MC
093301         1973/10/16          170.0          MC
093301         1973/10/17          176.0          MC
093301         1973/10/18          180.0          MC
093301         1973/10/19          188.0          MC
093301         1973/10/20          191.0          MC
093301         1973/10/21          192.0          MC
093301         1973/10/22          191.0          MC
093301         1973/10/23          185.0          MC
093301         1973/10/24          183.0          MC
093301         1973/10/25          189.0          MC
093301         1973/10/26          190.0          MC
093301         1973/10/27          197.0          MC
093301         1973/10/28          206.0          MC
093301         1973/10/29          209.0          MC
093301         1973/10/30          217.0          MC
093301         1973/10/31          217.0          MC
093301         1973/11/01          217.0          MC
093301         1973/11/02          215.0          MC
093301         1973/11/03          212.0          MC
093301         1973/11/04          200.0          MC
093301         1973/11/05          205.0          MC
093301         1973/11/06          241.0          MC
093301         1973/11/07          229.0          MC
093301         1973/11/08          229.0          MC
093301         1973/11/09          246.0          MC
093301         1973/11/10          270.0          MC
