Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1993-07-31
Station:        093302         Anistuwach - à la sortie du lac Pistinikw                                                                                                      
Bassin versant: 4370 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 54° 24' 55" // -78° 48' 11"

Date de création du fichier: 2012-06-30 21:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
093302         1981/06/23          235.0          MC
093302         1981/06/24          230.0          MC
093302         1981/06/25          220.0          MC
093302         1981/06/26          209.0          MC
093302         1981/06/27          202.0          MC
093302         1981/06/28          195.0          MC
093302         1981/06/29          190.0          MC
093302         1981/06/30          185.0          MC
093302         1981/07/01          176.0          MC
093302         1981/07/02          171.0          MC
093302         1981/07/03          164.0          MC
093302         1981/07/04          161.0          MC
093302         1981/07/05          157.0          MC
093302         1981/07/06          154.0          MC
093302         1981/07/07          155.0          MC
093302         1981/07/08          161.0          MC
093302         1981/07/09          165.0          MC
093302         1981/07/10          168.0          MC
093302         1981/07/11          167.0          MC
093302         1981/07/12          164.0          MC
093302         1981/07/13          160.0          MC
093302         1981/07/14          151.0          MC
093302         1981/07/15          144.0          MC
093302         1981/07/16          135.0          MC
093302         1981/07/17          127.0          MC
093302         1981/07/18          120.0          MC
093302         1981/07/19          116.0          MC
093302         1981/07/20          108.0          MC
093302         1981/07/21          102.0          MC
093302         1981/07/22          97.40          MC
093302         1981/07/23          93.30          MC
093302         1981/07/24          88.60          MC
093302         1981/07/25          84.30          MC
093302         1981/07/26          80.00          MC
093302         1981/07/27          76.40          MC
093302         1981/07/28          73.80          MC
093302         1981/07/29          71.30          MC
093302         1981/07/30          68.20          MC
093302         1981/07/31          66.40          MC
093302         1981/08/01          63.30          MC
093302         1981/08/02          60.50          MC
093302         1981/08/03          58.50          MC
093302         1981/08/04          56.40          MC
093302         1981/08/05          54.50          MC
093302         1981/08/06          52.90          MC
093302         1981/08/07          50.80          MC
