Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1993-09-21
Station:        093804         Denys - à 26,9 km de la Grande Riviere de la Baleine                                                                                           
Bassin versant: 4660 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 55° 0' 31" // -77° 3' 49"

Date de création du fichier: 2012-06-30 21:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
093804         1960/07/24          121.0          MC
093804         1960/07/25          120.0          MC
093804         1960/07/26          118.0          MC
093804         1960/07/27          115.0          MC
093804         1960/07/28          114.0          MC
093804         1960/07/29          113.0          MC
093804         1960/07/30          113.0          MC
093804         1960/07/31          111.0          MC
093804         1960/08/01          112.0          MC
093804         1960/08/02          116.0          MC
093804         1960/08/03          119.0          MC
093804         1960/08/04          121.0          MC
093804         1960/08/05          125.0          MC
093804         1960/08/06          126.0          MC
093804         1960/08/07          126.0          MC
093804         1960/08/08          127.0          MC
093804         1960/08/09          125.0          MC
093804         1960/08/10          122.0          MC
093804         1960/08/11          122.0          MC
093804         1960/08/12          120.0          MC
093804         1960/08/13          118.0          MC
093804         1960/08/14          113.0          MC
093804         1960/08/15          111.0          MC
093804         1960/08/16          110.0          MC
093804         1960/08/17          110.0          MC
093804         1960/08/18          111.0          MC
093804         1960/08/19          112.0          E
093804         1960/08/20          112.0          E
093804         1960/08/21          113.0          E
093804         1960/08/22          114.0          E
093804         1960/08/23          115.0          E
093804         1960/08/24          116.0          E
093804         1960/08/25          116.0          MC
093804         1960/08/26          117.0          MC
093804         1960/08/27          116.0          MC
093804         1960/08/28          116.0          MC
093804         1960/08/29          117.0          MC
093804         1960/08/30          116.0          MC
093804         1960/08/31          116.0          MC
093804         1960/09/01          114.0          MC
093804         1960/09/02          113.0          MC
093804         1960/09/03          112.0          MC
093804         1960/09/04          110.0          MC
093804         1960/09/05          108.0          MC
093804         1960/09/06          109.0          MC
093804         1960/09/07          107.0          MC
093804         1960/09/08          103.0          MC
093804         1960/09/09          102.0          MC
093804         1960/09/10          99.40          MC
093804         1960/09/11          95.40          MC
093804         1960/09/12          92.30          MC
093804         1960/09/13          89.50          MC
093804         1960/09/14          86.60          MC
093804         1960/09/15          85.00          MC
093804         1960/09/16          83.30          MC
093804         1960/09/17          83.30          MC
093804         1960/09/18          82.70          MC
093804         1960/09/19          82.70          MC
093804         1960/09/20          84.40          MC
093804         1960/09/21          84.10          MC
093804         1960/09/22          84.10          MC
093804         1960/09/23          86.40          MC
093804         1960/09/24          88.30          MC
093804         1960/09/25          90.30          MC
093804         1960/09/26          90.30          MC
093804         1960/09/27          90.60          MC
093804         1960/09/28          90.30          MC
093804         1960/09/29          92.90          MC
093804         1960/09/30          92.90          MC
093804         1960/10/01          91.20          MC
093804         1960/10/02          90.30          MC
093804         1960/10/03          90.30          MC
093804         1960/10/04          90.30          MC
093804         1960/10/05          90.30          MC
093804         1960/10/06          94.30          MC
093804         1960/10/07          97.10          MC
093804         1960/10/08          98.00          MC
093804         1960/10/09          100.0          MC
093804         1960/10/10          101.0          MC
093804         1960/10/11          103.0          MC
093804         1960/10/12          103.0          MC
093804         1960/10/13          103.0          MC
093804         1960/10/14          101.0          MC
093804         1960/10/15          100.0          MC
093804         1960/10/16          100.0          MC
093804         1960/10/17          98.30          MC
093804         1960/10/18          97.40          MC
093804         1960/10/19          95.40          MC
093804         1960/10/20          94.30          MC
093804         1960/10/21          94.00          MC
093804         1960/10/22          93.20          MC
093804         1960/10/23          92.00          MC
093804         1960/10/24          90.60          MC
093804         1960/10/25          90.00          MC
093804         1960/10/26          89.80          MC
093804         1960/10/27          89.80          MC
093804         1960/10/28          89.20          MC
093804         1960/10/29          87.80          MC
093804         1960/10/30          86.90          MC
093804         1960/10/31          86.10          MC
093804         1960/11/01          85.50          MC
093804         1960/11/02          85.80          MC
093804         1960/11/03          86.10          MC
093804         1960/11/04          86.60          MC
093804         1960/11/05          87.20          MC
093804         1960/11/06          86.90          MC
093804         1960/11/07          86.90          MC
093804         1960/11/08          88.60          MC
093804         1960/11/09          88.30          MC
093804         1960/11/10          83.00          MC
093804         1960/11/11          81.00          R
093804         1960/11/12          80.40          R
093804         1960/11/13          80.10          R
093804         1960/11/14          79.00          R
093804         1960/11/15          77.90          R
093804         1960/11/16          77.30          R
093804         1960/11/17          77.00          R
093804         1960/11/18          76.20          R
093804         1960/11/19          74.80          R
093804         1960/11/20          74.20          R
093804         1960/11/21          73.60          R
093804         1960/11/22          71.60          R
093804         1960/11/23          70.20          R
093804         1960/11/24          69.40          R
093804         1960/11/25          69.10          R
093804         1960/11/26          68.80          R
093804         1960/11/27          68.20          R
093804         1960/11/28          68.00          R
093804         1960/11/29          67.70          R
093804         1960/11/30          67.10          R
093804         1960/12/01          66.50          R
093804         1960/12/02          65.10          R
093804         1960/12/03          64.60          R
093804         1960/12/04          64.30          R
093804         1960/12/05          63.70          R
093804         1960/12/06          62.30          R
093804         1960/12/07          61.70          R
093804         1960/12/08          61.40          R
093804         1960/12/09          60.30          R
093804         1960/12/10          59.20          R
093804         1960/12/11          58.00          R
093804         1960/12/12          56.90          R
093804         1960/12/13          56.10          R
093804         1960/12/14          55.50          R
093804         1960/12/15          53.80          R
093804         1960/12/16          53.20          R
093804         1960/12/17          52.10          R
093804         1960/12/18          51.00          R
093804         1960/12/19          50.10          R
093804         1960/12/20          48.70          R
093804         1960/12/21          47.90          R
093804         1960/12/22          47.30          R
093804         1960/12/23          45.90          R
093804         1960/12/24          44.70          R
093804         1960/12/25          43.90          R
093804         1960/12/26          43.00          R
093804         1960/12/27          42.20          R
093804         1960/12/28          41.60          R
093804         1960/12/29          39.90          R
093804         1960/12/30          39.10          R
093804         1960/12/31          38.50          R
093804         1961/01/01          37.40          R
093804         1961/01/02          36.20          R
093804         1961/01/03          35.70          R
093804         1961/01/04          34.50          R
093804         1961/01/05          33.70          R
093804         1961/01/06          33.10          R
093804         1961/01/07          32.80          R
093804         1961/01/08          31.70          R
093804         1961/01/09          30.90          R
093804         1961/01/10          30.30          R
093804         1961/01/11          29.40          R
093804         1961/01/12          29.20          R
093804         1961/01/13          28.30          R
093804         1961/01/14          27.80          R
093804         1961/01/15          27.00          R
093804         1961/01/16          26.60          R
093804         1961/01/17          26.10          R
093804         1961/01/18          25.50          R
093804         1961/01/19          24.90          R
093804         1961/01/20          24.60          R
093804         1961/01/21          24.10          R
093804         1961/01/22          23.80          R
093804         1961/01/23          23.20          R
093804         1961/01/24          22.70          R
093804         1961/01/25          22.40          R
093804         1961/01/26          22.10          R
093804         1961/01/27          21.80          R
093804         1961/01/28          21.50          R
093804         1961/01/29          21.10          R
093804         1961/01/30          21.00          R
093804         1961/01/31          20.70          R
093804         1961/02/01          20.50          R
093804         1961/02/02          20.20          R
093804         1961/02/03          20.10          R
093804         1961/02/04          19.80          R
093804         1961/02/05          19.70          R
093804         1961/02/06          19.50          R
093804         1961/02/07          19.40          R
093804         1961/02/08          19.30          R
093804         1961/02/09          19.00          R
093804         1961/02/10          18.80          R
093804         1961/02/11          18.70          R
093804         1961/02/12          18.50          R
093804         1961/02/13          18.40          R
093804         1961/02/14          18.30          R
093804         1961/02/15          18.10          R
093804         1961/02/16          18.00          R
093804         1961/02/17          17.80          R
093804         1961/02/18          17.60          R
093804         1961/02/19          17.60          R
093804         1961/02/20          17.40          R
093804         1961/02/21          17.30          R
093804         1961/02/22          17.10          R
093804         1961/02/23          17.00          R
093804         1961/02/24          17.00          R
093804         1961/02/25          16.80          R
093804         1961/02/26          16.70          R
093804         1961/02/27          16.70          R
093804         1961/02/28          16.60          R
093804         1961/03/01          16.30          R
093804         1961/03/02          16.10          R
093804         1961/03/03          16.00          R
093804         1961/03/04          15.90          R
093804         1961/03/05          15.90          R
093804         1961/03/06          15.70          R
093804         1961/03/07          15.70          R
093804         1961/03/08          15.60          R
093804         1961/03/09          15.40          R
093804         1961/03/10          15.30          R
093804         1961/03/11          15.30          R
093804         1961/03/12          15.10          R
093804         1961/03/13          15.10          R
093804         1961/03/14          15.00          R
093804         1961/03/15          15.00          R
093804         1961/03/16          14.90          R
093804         1961/03/17          14.90          R
093804         1961/03/18          14.90          R
093804         1961/03/19          14.70          R
093804         1961/03/20          14.70          R
093804         1961/03/21          14.70          R
093804         1961/03/22          14.70          R
093804         1961/03/23          14.60          R
093804         1961/03/24          14.60          R
093804         1961/03/25          14.60          R
093804         1961/03/26          14.40          R
093804         1961/03/27          14.40          R
093804         1961/03/28          14.40          R
093804         1961/03/29          14.30          R
093804         1961/03/30          14.30          R
093804         1961/03/31          14.30          E
093804         1961/04/01          
093804         1961/04/02          
093804         1961/04/03          
093804         1961/04/04          
093804         1961/04/05          
093804         1961/04/06          
093804         1961/04/07          
093804         1961/04/08          
093804         1961/04/09          
093804         1961/04/10          
093804         1961/04/11          
093804         1961/04/12          
093804         1961/04/13          
093804         1961/04/14          
093804         1961/04/15          
093804         1961/04/16          
093804         1961/04/17          
093804         1961/04/18          
093804         1961/04/19          
093804         1961/04/20          
093804         1961/04/21          
093804         1961/04/22          
093804         1961/04/23          
093804         1961/04/24          
093804         1961/04/25          
093804         1961/04/26          
093804         1961/04/27          
093804         1961/04/28          
093804         1961/04/29          
093804         1961/04/30          
093804         1961/05/01          
093804         1961/05/02          
093804         1961/05/03          
093804         1961/05/04          
093804         1961/05/05          
093804         1961/05/06          
093804         1961/05/07          
093804         1961/05/08          
093804         1961/05/09          
093804         1961/05/10          
093804         1961/05/11          
093804         1961/05/12          
093804         1961/05/13          
093804         1961/05/14          
093804         1961/05/15          
093804         1961/05/16          
093804         1961/05/17          
093804         1961/05/18          
093804         1961/05/19          
093804         1961/05/20          
093804         1961/05/21          
093804         1961/05/22          
093804         1961/05/23          
093804         1961/05/24          
093804         1961/05/25          
093804         1961/05/26          
093804         1961/05/27          
093804         1961/05/28          
093804         1961/05/29          
093804         1961/05/30          
093804         1961/05/31          
093804         1961/06/01          90.60          E
093804         1961/06/02          87.80          E
093804         1961/06/03          82.10          E
093804         1961/06/04          76.50          E
093804         1961/06/05          72.20          MC
093804         1961/06/06          69.40          MC
093804         1961/06/07          67.70          MC
093804         1961/06/08          66.80          MC
093804         1961/06/09          63.70          MC
093804         1961/06/10          61.40          MC
093804         1961/06/11          59.70          MC
093804         1961/06/12          59.70          MC
093804         1961/06/13          58.90          MC
093804         1961/06/14          59.20          MC
093804         1961/06/15          58.90          MC
093804         1961/06/16          59.50          MC
093804         1961/06/17          56.90          MC
093804         1961/06/18          55.20          MC
093804         1961/06/19          56.40          MC
093804         1961/06/20          60.00          MC
093804         1961/06/21          64.00          MC
093804         1961/06/22          69.10          MC
093804         1961/06/23          75.30          MC
093804         1961/06/24          81.30          MC
093804         1961/06/25          85.50          MC
093804         1961/06/26          89.80          MC
093804         1961/06/27          94.00          MC
093804         1961/06/28          95.40          MC
093804         1961/06/29          96.30          MC
093804         1961/06/30          95.40          MC
093804         1961/07/01          91.70          MC
093804         1961/07/02          92.30          MC
093804         1961/07/03          92.60          MC
093804         1961/07/04          92.30          MC
093804         1961/07/05          92.90          MC
093804         1961/07/06          94.30          MC
093804         1961/07/07          93.40          MC
093804         1961/07/08          93.20          MC
093804         1961/07/09          92.30          MC
093804         1961/07/10          88.90          MC
093804         1961/07/11          85.20          MC
093804         1961/07/12          81.00          MC
093804         1961/07/13          79.60          MC
093804         1961/07/14          77.00          MC
093804         1961/07/15          74.50          MC
093804         1961/07/16          72.20          MC
093804         1961/07/17          69.10          MC
093804         1961/07/18          65.10          MC
093804         1961/07/19          62.00          MC
093804         1961/07/20          59.70          MC
093804         1961/07/21          56.90          MC
093804         1961/07/22          54.40          MC
093804         1961/07/23          52.70          MC
093804         1961/07/24          49.60          MC
093804         1961/07/25          47.90          MC
093804         1961/07/26          46.20          MC
093804         1961/07/27          44.70          MC
093804         1961/07/28          43.00          MC
093804         1961/07/29          41.30          MC
093804         1961/07/30          39.40          MC
093804         1961/07/31          37.90          MC
093804         1961/08/01          37.70          MC
093804         1961/08/02          37.70          MC
093804         1961/08/03          37.40          MC
093804         1961/08/04          36.20          MC
093804         1961/08/05          35.10          MC
093804         1961/08/06          34.80          MC
093804         1961/08/07          34.50          MC
093804         1961/08/08          32.80          MC
093804         1961/08/09          32.80          MC
093804         1961/08/10          34.80          MC
093804         1961/08/11          37.90          MC
093804         1961/08/12          37.90          MC
093804         1961/08/13          38.80          MC
093804         1961/08/14          39.10          MC
093804         1961/08/15          40.50          MC
093804         1961/08/16          41.60          MC
093804         1961/08/17          42.80          MC
093804         1961/08/18          44.50          MC
093804         1961/08/19          44.50          MC
093804         1961/08/20          44.50          MC
093804         1961/08/21          44.50          MC
093804         1961/08/22          44.50          MC
093804         1961/08/23          44.50          MC
093804         1961/08/24          44.20          MC
093804         1961/08/25          41.90          MC
093804         1961/08/26          41.30          MC
093804         1961/08/27          40.20          MC
093804         1961/08/28          39.40          MC
093804         1961/08/29          37.70          MC
093804         1961/08/30          36.50          MC
093804         1961/08/31          36.50          MC
093804         1961/09/01          36.50          MC
093804         1961/09/02          36.50          MC
093804         1961/09/03          36.50          MC
093804         1961/09/04          35.40          MC
093804         1961/09/05          34.80          MC
093804         1961/09/06          35.40          MC
093804         1961/09/07          36.50          MC
093804         1961/09/08          36.80          MC
093804         1961/09/09          36.80          MC
093804         1961/09/10          37.10          MC
093804         1961/09/11          36.50          MC
093804         1961/09/12          35.70          MC
093804         1961/09/13          36.00          MC
093804         1961/09/14          36.00          MC
093804         1961/09/15          36.20          MC
093804         1961/09/16          36.50          MC
093804         1961/09/17          38.50          MC
093804         1961/09/18          38.80          MC
093804         1961/09/19          39.10          MC
093804         1961/09/20          39.60          MC
093804         1961/09/21          42.80          MC
093804         1961/09/22          45.30          MC
093804         1961/09/23          49.00          MC
093804         1961/09/24          51.50          MC
093804         1961/09/25          57.20          MC
093804         1961/09/26          62.60          MC
093804         1961/09/27          65.70          MC
093804         1961/09/28          67.10          MC
093804         1961/09/29          72.20          MC
093804         1961/09/30          73.10          MC
093804         1961/10/01          73.30          MC
093804         1961/10/02          75.00          MC
093804         1961/10/03          76.20          MC
093804         1961/10/04          77.00          MC
093804         1961/10/05          82.40          MC
093804         1961/10/06          85.00          MC
093804         1961/10/07          87.80          MC
093804         1961/10/08          91.50          MC
093804         1961/10/09          91.50          MC
093804         1961/10/10          91.50          MC
093804         1961/10/11          91.70          MC
093804         1961/10/12          92.60          MC
093804         1961/10/13          91.50          MC
093804         1961/10/14          91.20          MC
093804         1961/10/15          88.90          MC
093804         1961/10/16          85.20          MC
093804         1961/10/17          83.00          MC
093804         1961/10/18          81.00          MC
093804         1961/10/19          80.40          MC
093804         1961/10/20          79.90          MC
093804         1961/10/21          77.90          MC
093804         1961/10/22          76.70          MC
093804         1961/10/23          76.20          MC
093804         1961/10/24          73.90          MC
093804         1961/10/25          71.40          MC
093804         1961/10/26          70.20          MC
093804         1961/10/27          69.90          MC
093804         1961/10/28          69.40          MC
093804         1961/10/29          69.10          MC
093804         1961/10/30          68.00          MC
093804         1961/10/31          64.80          MC
093804         1961/11/01          63.70          MC
093804         1961/11/02          62.60          MC
093804         1961/11/03          62.60          MC
093804         1961/11/04          62.60          MC
093804         1961/11/05          64.30          MC
093804         1961/11/06          67.40          MC
093804         1961/11/07          69.40          MC
093804         1961/11/08          70.50          MC
093804         1961/11/09          72.50          MC
093804         1961/11/10          76.20          MC
093804         1961/11/11          76.70          MC
093804         1961/11/12          76.70          MC
093804         1961/11/13          76.70          MC
093804         1961/11/14          76.70          MC
093804         1961/11/15          76.70          MC
093804         1961/11/16          76.70          MC
093804         1961/11/17          76.70          MC
