Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1983-07-22
Station:        093808         Grande riviere de la Baleine - à la sortie du lac Magne                                                                                        
Bassin versant: 7720 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 55° 15' 36" // -71° 12' 12"

Date de création du fichier: 2012-06-30 22:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
093808         1972/08/05          174.0          MC
093808         1972/08/06          175.0          MC
093808         1972/08/07          176.0          MC
093808         1972/08/08          176.0          MC
093808         1972/08/09          176.0          MC
093808         1972/08/10          178.0          MC
093808         1972/08/11          176.0          MC
093808         1972/08/12          175.0          MC
093808         1972/08/13          177.0          MC
093808         1972/08/14          175.0          MC
093808         1972/08/15          173.0          MC
093808         1972/08/16          174.0          MC
093808         1972/08/17          170.0          MC
093808         1972/08/18          170.0          MC
093808         1972/08/19          171.0          MC
093808         1972/08/20          169.0          MC
093808         1972/08/21          171.0          MC
093808         1972/08/22          180.0          MC
093808         1972/08/23          182.0          MC
093808         1972/08/24          184.0          MC
093808         1972/08/25          190.0          MC
093808         1972/08/26          193.0          MC
093808         1972/08/27          196.0          MC
093808         1972/08/28          199.0          MC
093808         1972/08/29          204.0          MC
093808         1972/08/30          198.0          MC
093808         1972/08/31          196.0          MC
093808         1972/09/01          201.0          MC
093808         1972/09/02          203.0          MC
093808         1972/09/03          199.0          MC
093808         1972/09/04          197.0          MC
093808         1972/09/05          202.0          MC
093808         1972/09/06          206.0          MC
093808         1972/09/07          206.0          MC
093808         1972/09/08          208.0          MC
093808         1972/09/09          208.0          MC
093808         1972/09/10          210.0          MC
093808         1972/09/11          212.0          MC
093808         1972/09/12          220.0          MC
093808         1972/09/13          207.0          MC
093808         1972/09/14          203.0          MC
093808         1972/09/15          203.0          MC
093808         1972/09/16          205.0          MC
093808         1972/09/17          197.0          MC
093808         1972/09/18          200.0          MC
093808         1972/09/19          199.0          MC
093808         1972/09/20          194.0          MC
093808         1972/09/21          198.0          MC
093808         1972/09/22          210.0          MC
093808         1972/09/23          215.0          MC
093808         1972/09/24          210.0          MC
093808         1972/09/25          223.0          MC
093808         1972/09/26          224.0          MC
093808         1972/09/27          225.0          MC
093808         1972/09/28          227.0          MC
093808         1972/09/29          234.0          MC
093808         1972/09/30          241.0          MC
093808         1972/10/01          242.0          MC
093808         1972/10/02          241.0          MC
093808         1972/10/03          240.0          MC
093808         1972/10/04          237.0          MC
093808         1972/10/05          238.0          MC
093808         1972/10/06          231.0          MC
093808         1972/10/07          227.0          MC
093808         1972/10/08          219.0          MC
093808         1972/10/09          229.0          MC
093808         1972/10/10          224.0          MC
093808         1972/10/11          218.0          MC
093808         1972/10/12          219.0          MC
093808         1972/10/13          215.0          MC
093808         1972/10/14          212.0          MC
093808         1972/10/15          212.0          MC
093808         1972/10/16          215.0          MC
093808         1972/10/17          215.0          MC
093808         1972/10/18          213.0          MC
093808         1972/10/19          213.0          MC
093808         1972/10/20          210.0          MC
093808         1972/10/21          210.0          MC
093808         1972/10/22          209.0          MC
093808         1972/10/23          209.0          MC
093808         1972/10/24          210.0          MC
093808         1972/10/25          210.0          MC
093808         1972/10/26          210.0          MC
093808         1972/10/27          207.0          MC
093808         1972/10/28          205.0          MC
093808         1972/10/29          201.0          MC
093808         1972/10/30          198.0          R
093808         1972/10/31          193.0          R
093808         1972/11/01          188.0          R
093808         1972/11/02          186.0          R
093808         1972/11/03          181.0          R
093808         1972/11/04          178.0          R
093808         1972/11/05          176.0          MC
093808         1972/11/06          170.0          R
093808         1972/11/07          167.0          R
093808         1972/11/08          164.0          R
093808         1972/11/09          161.0          R
093808         1972/11/10          159.0          R
093808         1972/11/11          155.0          R
093808         1972/11/12          150.0          R
093808         1972/11/13          147.0          R
093808         1972/11/14          144.0          R
093808         1972/11/15          142.0          R
093808         1972/11/16          137.0          R
093808         1972/11/17          133.0          R
093808         1972/11/18          130.0          R
093808         1972/11/19          127.0          R
093808         1972/11/20          126.0          R
093808         1972/11/21          125.0          R
093808         1972/11/22          121.0          R
093808         1972/11/23          118.0          R
093808         1972/11/24          113.0          R
093808         1972/11/25          112.0          R
093808         1972/11/26          109.0          R
093808         1972/11/27          106.0          R
093808         1972/11/28          105.0          R
093808         1972/11/29          102.0          R
093808         1972/11/30          101.0          R
093808         1972/12/01          98.00          R
093808         1972/12/02          96.30          R
093808         1972/12/03          94.30          R
093808         1972/12/04          92.90          R
093808         1972/12/05          90.60          R
093808         1972/12/06          89.20          R
093808         1972/12/07          87.80          R
093808         1972/12/08          86.10          R
093808         1972/12/09          84.40          R
093808         1972/12/10          82.70          R
093808         1972/12/11          81.60          R
093808         1972/12/12          80.10          R
093808         1972/12/13          79.30          R
093808         1972/12/14          77.60          R
093808         1972/12/15          76.50          R
093808         1972/12/16          74.50          R
093808         1972/12/17          73.10          R
093808         1972/12/18          71.40          R
093808         1972/12/19          70.20          R
093808         1972/12/20          69.10          R
093808         1972/12/21          68.00          R
093808         1972/12/22          66.50          R
093808         1972/12/23          65.10          R
093808         1972/12/24          64.30          R
093808         1972/12/25          62.90          R
093808         1972/12/26          61.70          R
093808         1972/12/27          60.90          R
093808         1972/12/28          60.00          R
093808         1972/12/29          59.20          R
093808         1972/12/30          57.80          R
093808         1972/12/31          56.60          R
093808         1973/01/01          56.60          R
093808         1973/01/02          56.10          R
093808         1973/01/03          55.50          R
093808         1973/01/04          54.70          R
093808         1973/01/05          53.80          R
093808         1973/01/06          53.20          R
093808         1973/01/07          52.10          R
093808         1973/01/08          51.30          R
093808         1973/01/09          50.40          R
093808         1973/01/10          49.80          R
093808         1973/01/11          48.70          R
093808         1973/01/12          47.90          R
093808         1973/01/13          47.00          R
093808         1973/01/14          46.20          R
093808         1973/01/15          45.30          R
093808         1973/01/16          44.70          R
093808         1973/01/17          44.20          R
093808         1973/01/18          43.30          R
093808         1973/01/19          42.50          R
093808         1973/01/20          41.90          R
093808         1973/01/21          41.30          R
093808         1973/01/22          40.80          R
093808         1973/01/23          40.20          R
093808         1973/01/24          39.10          R
093808         1973/01/25          38.50          R
093808         1973/01/26          38.20          R
093808         1973/01/27          37.40          R
093808         1973/01/28          36.80          R
093808         1973/01/29          36.20          R
093808         1973/01/30          35.70          R
093808         1973/01/31          35.40          R
093808         1973/02/01          34.80          R
093808         1973/02/02          34.50          R
093808         1973/02/03          34.00          R
093808         1973/02/04          33.70          R
093808         1973/02/05          33.40          R
093808         1973/02/06          33.10          R
093808         1973/02/07          32.80          R
093808         1973/02/08          32.60          R
093808         1973/02/09          31.70          R
093808         1973/02/10          31.10          R
093808         1973/02/11          30.90          R
093808         1973/02/12          30.60          R
093808         1973/02/13          30.30          R
093808         1973/02/14          29.70          R
093808         1973/02/15          29.40          R
093808         1973/02/16          29.20          R
093808         1973/02/17          28.90          R
093808         1973/02/18          28.60          R
093808         1973/02/19          28.30          R
093808         1973/02/20          28.00          R
093808         1973/02/21          27.80          R
093808         1973/02/22          27.50          R
093808         1973/02/23          27.20          R
093808         1973/02/24          27.10          R
093808         1973/02/25          26.90          R
093808         1973/02/26          26.60          R
093808         1973/02/27          26.30          R
093808         1973/02/28          25.80          R
093808         1973/03/01          25.50          R
093808         1973/03/02          25.50          R
093808         1973/03/03          25.30          R
093808         1973/03/04          25.20          R
093808         1973/03/05          24.90          R
093808         1973/03/06          24.90          R
093808         1973/03/07          24.60          R
093808         1973/03/08          24.40          R
093808         1973/03/09          24.30          R
093808         1973/03/10          24.10          R
093808         1973/03/11          23.90          R
093808         1973/03/12          23.80          R
093808         1973/03/13          23.60          R
093808         1973/03/14          23.50          R
093808         1973/03/15          23.50          R
093808         1973/03/16          23.50          R
093808         1973/03/17          23.50          R
093808         1973/03/18          23.40          R
093808         1973/03/19          23.40          R
093808         1973/03/20          23.20          R
093808         1973/03/21          23.10          J
093808         1973/03/22          22.90          R
093808         1973/03/23          22.70          R
093808         1973/03/24          22.70          R
093808         1973/03/25          22.70          R
093808         1973/03/26          22.60          R
093808         1973/03/27          22.60          R
093808         1973/03/28          22.50          R
093808         1973/03/29          22.40          R
093808         1973/03/30          22.40          R
093808         1973/03/31          22.40          R
093808         1973/04/01          22.20          R
093808         1973/04/02          22.10          R
093808         1973/04/03          22.10          R
093808         1973/04/04          22.10          R
093808         1973/04/05          22.10          R
093808         1973/04/06          22.10          R
093808         1973/04/07          22.00          R
093808         1973/04/08          22.00          R
093808         1973/04/09          21.90          R
