Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1969-08-13
Station:        094202         Petite rivière de la Baleine - sur le chenal Ancel                                                                                             
Bassin versant: 141 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 55° 41' 28" // -74° 6' 41"

Date de création du fichier: 2012-06-30 22:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
094202         1964/09/22          19.70          MC
094202         1964/09/23          20.00          MC
094202         1964/09/24          20.70          MC
094202         1964/09/25          22.20          MC
094202         1964/09/26          23.70          MC
094202         1964/09/27          24.50          MC
094202         1964/09/28          25.20          MC
094202         1964/09/29          25.80          MC
094202         1964/09/30          26.50          MC
094202         1964/10/01          27.20          MC
094202         1964/10/02          27.70          MC
094202         1964/10/03          28.10          MC
094202         1964/10/04          28.20          MC
094202         1964/10/05          28.90          MC
094202         1964/10/06          30.00          MC
094202         1964/10/07          30.30          MC
094202         1964/10/08          30.60          MC
094202         1964/10/09          30.60          MC
094202         1964/10/10          30.60          MC
094202         1964/10/11          30.60          MC
094202         1964/10/12          31.10          MC
094202         1964/10/13          31.10          MC
094202         1964/10/14          31.10          MC
094202         1964/10/15          31.10          MC
094202         1964/10/16          30.90          MC
094202         1964/10/17          30.60          MC
094202         1964/10/18          30.60          MC
094202         1964/10/19          30.60          MC
094202         1964/10/20          30.60          MC
094202         1964/10/21          30.30          MC
094202         1964/10/22          30.30          MC
094202         1964/10/23          30.00          MC
094202         1964/10/24          30.00          MC
094202         1964/10/25          30.00          MC
094202         1964/10/26          30.00          MC
094202         1964/10/27          30.00          MC
094202         1964/10/28          30.00          MC
094202         1964/10/29          30.00          MC
094202         1964/10/30          29.70          MC
094202         1964/10/31          28.30          MC
094202         1964/11/01          28.10          MC
094202         1964/11/02          27.80          MC
094202         1964/11/03          27.40          MC
094202         1964/11/04          27.40          MC
094202         1964/11/05          27.40          MC
094202         1964/11/06          27.00          MC
094202         1964/11/07          27.00          MC
094202         1964/11/08          27.00          MC
094202         1964/11/09          26.60          MC
094202         1964/11/10          26.60          MC
094202         1964/11/11          26.60          MC
094202         1964/11/12          26.20          MC
094202         1964/11/13          24.80          MC
094202         1964/11/14          23.60          MC
094202         1964/11/15          23.60          MC
094202         1964/11/16          23.60          MC
094202         1964/11/17          23.10          MC
094202         1964/11/18          23.00          MC
094202         1964/11/19          21.00          R
094202         1964/11/20          21.40          R
094202         1964/11/21          21.50          R
094202         1964/11/22          21.60          R
094202         1964/11/23          21.60          R
094202         1964/11/24          21.60          R
094202         1964/11/25          21.70          R
094202         1964/11/26          21.70          R
094202         1964/11/27          21.60          R
094202         1964/11/28          21.60          R
094202         1964/11/29          21.60          R
094202         1964/11/30          21.50          R
094202         1964/12/01          21.50          R
094202         1964/12/02          21.40          R
094202         1964/12/03          21.20          R
094202         1964/12/04          21.20          R
094202         1964/12/05          21.00          R
094202         1964/12/06          20.80          R
094202         1964/12/07          20.60          R
094202         1964/12/08          20.40          R
094202         1964/12/09          20.00          R
094202         1964/12/10          19.80          R
094202         1964/12/11          19.30          R
094202         1964/12/12          18.90          R
094202         1964/12/13          18.70          R
094202         1964/12/14          18.30          R
094202         1964/12/15          17.80          R
094202         1964/12/16          17.20          R
094202         1964/12/17          17.00          R
094202         1964/12/18          16.60          R
094202         1964/12/19          16.20          R
094202         1964/12/20          15.90          R
094202         1964/12/21          15.50          R
094202         1964/12/22          15.10          R
094202         1964/12/23          14.70          R
094202         1964/12/24          14.40          R
094202         1964/12/25          14.20          R
094202         1964/12/26          13.90          R
094202         1964/12/27          13.60          R
094202         1964/12/28          13.30          R
094202         1964/12/29          13.00          R
094202         1964/12/30          12.70          R
094202         1964/12/31          12.50          R
094202         1965/01/01          12.60          R
094202         1965/01/02          12.30          R
094202         1965/01/03          12.20          R
094202         1965/01/04          12.00          R
094202         1965/01/05          11.80          R
094202         1965/01/06          11.70          R
094202         1965/01/07          11.50          R
094202         1965/01/08          11.30          R
094202         1965/01/09          11.10          R
094202         1965/01/10          11.00          R
094202         1965/01/11          10.80          R
094202         1965/01/12          10.70          R
094202         1965/01/13          10.50          R
094202         1965/01/14          10.30          R
094202         1965/01/15          10.20          R
094202         1965/01/16          10.10          R
094202         1965/01/17          9.910          R
094202         1965/01/18          9.770          R
094202         1965/01/19          9.630          R
094202         1965/01/20          9.490          R
094202         1965/01/21          9.340          R
094202         1965/01/22          9.230          R
094202         1965/01/23          9.120          R
094202         1965/01/24          8.980          R
094202         1965/01/25          8.860          R
094202         1965/01/26          8.720          R
094202         1965/01/27          8.580          R
094202         1965/01/28          8.440          R
094202         1965/01/29          8.350          R
094202         1965/01/30          8.210          R
094202         1965/01/31          8.130          R
094202         1965/02/01          7.990          R
094202         1965/02/02          7.870          R
094202         1965/02/03          7.760          R
094202         1965/02/04          7.650          R
094202         1965/02/05          7.590          R
094202         1965/02/06          7.480          R
094202         1965/02/07          7.360          R
094202         1965/02/08          7.250          R
094202         1965/02/09          7.160          R
094202         1965/02/10          7.080          R
094202         1965/02/11          6.970          R
094202         1965/02/12          6.880          R
094202         1965/02/13          6.770          R
094202         1965/02/14          6.680          R
094202         1965/02/15          6.630          R
094202         1965/02/16          6.510          R
094202         1965/02/17          6.400          R
094202         1965/02/18          6.340          R
094202         1965/02/19          6.230          R
094202         1965/02/20          6.170          R
094202         1965/02/21          6.090          R
094202         1965/02/22          6.000          R
094202         1965/02/23          5.920          R
094202         1965/02/24          5.830          R
094202         1965/02/25          5.780          R
094202         1965/02/26          5.720          R
094202         1965/02/27          5.640          R
094202         1965/02/28          5.580          R
094202         1965/03/01          5.470          R
094202         1965/03/02          5.320          R
094202         1965/03/03          5.300          R
094202         1965/03/04          5.210          R
094202         1965/03/05          5.150          R
094202         1965/03/06          5.100          R
094202         1965/03/07          5.040          R
094202         1965/03/08          4.960          R
094202         1965/03/09          4.900          R
094202         1965/03/10          4.840          R
094202         1965/03/11          4.790          R
094202         1965/03/12          4.730          R
094202         1965/03/13          4.670          R
094202         1965/03/14          4.620          R
094202         1965/03/15          4.560          R
094202         1965/03/16          4.500          R
094202         1965/03/17          4.450          R
094202         1965/03/18          4.390          R
094202         1965/03/19          4.360          R
094202         1965/03/20          4.300          R
094202         1965/03/21          4.250          R
094202         1965/03/22          4.220          R
094202         1965/03/23          4.160          R
094202         1965/03/24          4.130          R
094202         1965/03/25          4.080          R
094202         1965/03/26          4.020          R
094202         1965/03/27          3.990          R
094202         1965/03/28          3.960          R
094202         1965/03/29          3.910          R
094202         1965/03/30          3.880          R
094202         1965/03/31          3.850          R
094202         1965/04/01          3.790          R
