Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-04-02
Station:        094204         Boutin - à 11,1 km en amont du chenal Quenet                                                                                                   
Bassin versant: 1220 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 55° 41' 42" // -75° 30' 15"

Date de création du fichier: 2012-06-30 22:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
094204         1963/06/12          67.70          MC
094204         1963/06/13          68.20          MC
094204         1963/06/14          65.40          MC
094204         1963/06/15          65.40          MC
094204         1963/06/16          64.60          MC
094204         1963/06/17          62.00          MC
094204         1963/06/18          60.00          MC
094204         1963/06/19          58.60          MC
094204         1963/06/20          55.20          MC
094204         1963/06/21          55.20          MC
094204         1963/06/22          53.50          MC
094204         1963/06/23          52.10          MC
094204         1963/06/24          50.40          MC
094204         1963/06/25          46.70          MC
094204         1963/06/26          46.40          MC
094204         1963/06/27          44.20          MC
094204         1963/06/28          43.90          MC
094204         1963/06/29          40.20          MC
094204         1963/06/30          40.20          MC
094204         1963/07/01          39.60          MC
094204         1963/07/02          37.70          MC
094204         1963/07/03          35.70          MC
094204         1963/07/04          34.00          MC
094204         1963/07/05          33.40          MC
094204         1963/07/06          31.40          MC
094204         1963/07/07          29.40          MC
094204         1963/07/08          29.20          MC
094204         1963/07/09          27.40          MC
094204         1963/07/10          27.80          MC
094204         1963/07/11          28.60          MC
094204         1963/07/12          29.70          MC
094204         1963/07/13          30.60          MC
094204         1963/07/14          29.70          MC
094204         1963/07/15          28.60          MC
094204         1963/07/16          28.90          MC
094204         1963/07/17          27.80          E
094204         1963/07/18          27.80          E
094204         1963/07/19          27.80          E
094204         1963/07/20          27.80          E
094204         1963/07/21          28.30          E
094204         1963/07/22          26.80          E
094204         1963/07/23          26.80          E
094204         1963/07/24          27.80          E
094204         1963/07/25          27.80          E
094204         1963/07/26          27.80          E
094204         1963/07/27          28.00          E
094204         1963/07/28          29.20          E
094204         1963/07/29          27.10          E
094204         1963/07/30          27.10          E
094204         1963/07/31          28.30          E
094204         1963/08/01          28.10          E
094204         1963/08/02          28.10          E
094204         1963/08/03          28.30          E
094204         1963/08/04          28.60          E
094204         1963/08/05          28.90          E
094204         1963/08/06          27.20          E
094204         1963/08/07          27.20          E
094204         1963/08/08          28.30          E
094204         1963/08/09          28.60          E
094204         1963/08/10          28.60          E
094204         1963/08/11          28.60          E
094204         1963/08/12          29.20          E
094204         1963/08/13          29.40          MC
094204         1963/08/14          29.40          MC
094204         1963/08/15          30.60          MC
094204         1963/08/16          30.60          MC
094204         1963/08/17          32.00          MC
