Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2003-07-15
Station:        094206         Petite rivière de la Baleine - à 6,8 km en amont du chenal Ancel                                                                               
Bassin versant: 10400 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 55° 41' 4" // -74° 20' 22"

Date de création du fichier: 2012-06-30 22:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
094206         1963/08/26          158.0          MC
094206         1963/08/27          158.0          MC
094206         1963/08/28          158.0          MC
094206         1963/08/29          158.0          MC
094206         1963/08/30          158.0          MC
094206         1963/08/31          158.0          MC
094206         1963/09/01          158.0          MC
094206         1963/09/02          158.0          MC
094206         1963/09/03          158.0          MC
094206         1963/09/04          151.0          MC
094206         1963/09/05          148.0          MC
094206         1963/09/06          145.0          MC
094206         1963/09/07          145.0          MC
094206         1963/09/08          145.0          MC
094206         1963/09/09          145.0          MC
094206         1963/09/10          145.0          MC
094206         1963/09/11          145.0          MC
094206         1963/09/12          145.0          MC
094206         1963/09/13          145.0          MC
094206         1963/09/14          145.0          MC
094206         1963/09/15          145.0          MC
094206         1963/09/16          146.0          MC
094206         1963/09/17          146.0          MC
094206         1963/09/18          146.0          MC
094206         1963/09/19          146.0          MC
094206         1963/09/20          146.0          MC
094206         1963/09/21          146.0          MC
094206         1963/09/22          147.0          MC
094206         1963/09/23          147.0          MC
094206         1963/09/24          147.0          MC
094206         1963/09/25          148.0          MC
094206         1963/09/26          148.0          MC
094206         1963/09/27          148.0          MC
094206         1963/09/28          148.0          MC
094206         1963/09/29          148.0          MC
094206         1963/09/30          148.0          MC
094206         1963/10/01          148.0          MC
094206         1963/10/02          148.0          MC
094206         1963/10/03          148.0          MC
094206         1963/10/04          148.0          MC
094206         1963/10/05          148.0          MC
094206         1963/10/06          148.0          MC
094206         1963/10/07          148.0          MC
094206         1963/10/08          148.0          MC
094206         1963/10/09          149.0          MC
094206         1963/10/10          148.0          MC
094206         1963/10/11          141.0          MC
094206         1963/10/12          141.0          MC
094206         1963/10/13          141.0          MC
094206         1963/10/14          141.0          MC
094206         1963/10/15          141.0          MC
094206         1963/10/16          133.0          MC
094206         1963/10/17          133.0          MC
094206         1963/10/18          133.0          MC
094206         1963/10/19          133.0          MC
094206         1963/10/20          133.0          MC
094206         1963/10/21          129.0          MC
094206         1963/10/22          129.0          MC
094206         1963/10/23          133.0          MC
094206         1963/10/24          133.0          MC
094206         1963/10/25          133.0          MC
094206         1963/10/26          133.0          MC
094206         1963/10/27          133.0          MC
094206         1963/10/28          131.0          MC
094206         1963/10/29          125.0          MC
094206         1963/10/30          120.0          MC
094206         1963/10/31          120.0          MC
094206         1963/11/01          120.0          MC
094206         1963/11/02          120.0          MC
094206         1963/11/03          120.0          MC
094206         1963/11/04          120.0          MC
094206         1963/11/05          120.0          MC
094206         1963/11/06          120.0          MC
094206         1963/11/07          120.0          MC
094206         1963/11/08          120.0          MC
094206         1963/11/09          120.0          MC
094206         1963/11/10          120.0          R
094206         1963/11/11          118.0          R
094206         1963/11/12          117.0          R
094206         1963/11/13          115.0          R
094206         1963/11/14          113.0          R
094206         1963/11/15          111.0          R
094206         1963/11/16          109.0          R
094206         1963/11/17          108.0          R
094206         1963/11/18          106.0          R
094206         1963/11/19          104.0          R
094206         1963/11/20          103.0          R
094206         1963/11/21          102.0          R
094206         1963/11/22          101.0          R
094206         1963/11/23          100.0          R
094206         1963/11/24          99.70          R
094206         1963/11/25          99.40          R
094206         1963/11/26          99.10          R
094206         1963/11/27          98.80          R
094206         1963/11/28          97.70          R
094206         1963/11/29          97.10          R
094206         1963/11/30          96.60          R
094206         1963/12/01          96.30          R
094206         1963/12/02          96.30          R
094206         1963/12/03          96.30          R
094206         1963/12/04          96.30          R
094206         1963/12/05          96.30          R
094206         1963/12/06          96.30          R
094206         1963/12/07          96.30          R
094206         1963/12/08          96.00          R
094206         1963/12/09          95.70          R
094206         1963/12/10          94.90          R
094206         1963/12/11          94.60          R
094206         1963/12/12          94.30          R
094206         1963/12/13          94.00          R
094206         1963/12/14          93.40          R
094206         1963/12/15          93.40          R
094206         1963/12/16          93.40          R
094206         1963/12/17          93.20          R
094206         1963/12/18          92.90          R
094206         1963/12/19          92.30          R
094206         1963/12/20          91.50          R
094206         1963/12/21          90.60          R
094206         1963/12/22          90.00          R
094206         1963/12/23          88.90          R
094206         1963/12/24          87.80          R
094206         1963/12/25          87.20          R
094206         1963/12/26          85.80          R
094206         1963/12/27          84.70          R
094206         1963/12/28          82.70          R
094206         1963/12/29          81.60          R
094206         1963/12/30          80.10          R
094206         1963/12/31          79.30          R
094206         1964/01/01          79.30          R
094206         1964/01/02          78.70          R
094206         1964/01/03          77.60          R
094206         1964/01/04          76.70          R
094206         1964/01/05          76.20          R
094206         1964/01/06          75.60          R
094206         1964/01/07          74.50          R
094206         1964/01/08          73.60          R
094206         1964/01/09          73.10          R
094206         1964/01/10          70.80          R
094206         1964/01/11          71.40          R
094206         1964/01/12          70.80          R
094206         1964/01/13          70.50          R
094206         1964/01/14          69.90          R
094206         1964/01/15          68.80          R
094206         1964/01/16          68.20          R
094206         1964/01/17          67.70          R
094206         1964/01/18          67.10          R
094206         1964/01/19          66.30          R
094206         1964/01/20          65.40          R
094206         1964/01/21          65.10          R
094206         1964/01/22          64.60          R
094206         1964/01/23          63.70          R
094206         1964/01/24          63.10          R
094206         1964/01/25          62.30          R
094206         1964/01/26          62.00          R
094206         1964/01/27          61.20          R
094206         1964/01/28          60.60          R
094206         1964/01/29          60.00          R
094206         1964/01/30          59.50          R
094206         1964/01/31          58.90          R
094206         1964/02/01          58.30          R
094206         1964/02/02          57.50          R
094206         1964/02/03          56.90          R
094206         1964/02/04          56.60          R
094206         1964/02/05          56.40          R
094206         1964/02/06          56.10          R
094206         1964/02/07          55.20          R
094206         1964/02/08          54.70          R
094206         1964/02/09          53.80          R
094206         1964/02/10          53.50          R
094206         1964/02/11          53.20          R
094206         1964/02/12          52.70          R
094206         1964/02/13          52.10          R
094206         1964/02/14          51.50          R
094206         1964/02/15          51.00          R
094206         1964/02/16          50.70          R
094206         1964/02/17          50.40          R
094206         1964/02/18          49.60          R
094206         1964/02/19          49.00          R
094206         1964/02/20          48.40          R
094206         1964/02/21          48.10          R
094206         1964/02/22          47.60          R
094206         1964/02/23          47.30          R
094206         1964/02/24          47.00          R
094206         1964/02/25          46.40          R
094206         1964/02/26          46.20          R
094206         1964/02/27          45.60          R
094206         1964/02/28          45.00          R
094206         1964/02/29          44.70          R
094206         1964/03/01          42.50          R
094206         1964/03/02          43.90          R
094206         1964/03/03          43.30          R
094206         1964/03/04          42.80          R
094206         1964/03/05          42.50          R
094206         1964/03/06          42.20          R
094206         1964/03/07          41.90          R
094206         1964/03/08          41.60          R
094206         1964/03/09          41.30          R
094206         1964/03/10          40.80          R
094206         1964/03/11          40.50          R
094206         1964/03/12          39.90          R
094206         1964/03/13          39.60          R
094206         1964/03/14          39.40          R
094206         1964/03/15          39.10          R
094206         1964/03/16          38.80          R
094206         1964/03/17          38.50          R
094206         1964/03/18          37.90          R
094206         1964/03/19          37.40          R
094206         1964/03/20          37.10          R
094206         1964/03/21          37.10          R
094206         1964/03/22          36.80          R
094206         1964/03/23          36.50          R
094206         1964/03/24          36.00          R
094206         1964/03/25          35.70          R
094206         1964/03/26          35.40          R
094206         1964/03/27          35.10          R
094206         1964/03/28          34.80          R
094206         1964/03/29          34.50          R
094206         1964/03/30          34.30          R
094206         1964/03/31          34.30          R
094206         1964/04/01          34.00          R
094206         1964/04/02          33.70          R
094206         1964/04/03          33.40          R
094206         1964/04/04          33.40          R
094206         1964/04/05          33.10          R
094206         1964/04/06          32.80          R
094206         1964/04/07          32.60          R
094206         1964/04/08          32.30          R
094206         1964/04/09          32.30          R
094206         1964/04/10          32.00          R
094206         1964/04/11          32.00          R
094206         1964/04/12          31.70          R
094206         1964/04/13          31.70          R
094206         1964/04/14          31.70          R
094206         1964/04/15          31.40          R
094206         1964/04/16          31.40          R
094206         1964/04/17          31.40          R
094206         1964/04/18          31.40          R
094206         1964/04/19          31.10          R
094206         1964/04/20          31.10          R
094206         1964/04/21          31.10          R
094206         1964/04/22          31.10          R
094206         1964/04/23          31.10          R
094206         1964/04/24          31.10          R
094206         1964/04/25          31.10          R
094206         1964/04/26          31.10          R
094206         1964/04/27          31.10          R
094206         1964/04/28          31.10          R
094206         1964/04/29          31.10          R
094206         1964/04/30          31.10          R
094206         1964/05/01          31.10          R
094206         1964/05/02          31.40          R
094206         1964/05/03          31.70          R
094206         1964/05/04          32.80          R
094206         1964/05/05          34.30          R
094206         1964/05/06          37.10          R
094206         1964/05/07          40.80          R
094206         1964/05/08          43.90          R
094206         1964/05/09          47.60          R
094206         1964/05/10          51.00          R
094206         1964/05/11          54.10          R
094206         1964/05/12          58.90          R
094206         1964/05/13          62.90          R
094206         1964/05/14          66.50          R
094206         1964/05/15          70.50          R
094206         1964/05/16          73.90          R
094206         1964/05/17          79.00          R
094206         1964/05/18          82.40          E
094206         1964/05/19          90.60          E
094206         1964/05/20          98.00          E
094206         1964/05/21          106.0          E
094206         1964/05/22          113.0          E
094206         1964/05/23          121.0          E
094206         1964/05/24          131.0          E
094206         1964/05/25          142.0          E
094206         1964/05/26          152.0          E
094206         1964/05/27          163.0          E
094206         1964/05/28          175.0          E
094206         1964/05/29          183.0          E
094206         1964/05/30          195.0          E
094206         1964/05/31          204.0          E
094206         1964/06/01          210.0          E
094206         1964/06/02          216.0          E
094206         1964/06/03          225.0          E
094206         1964/06/04          232.0          E
094206         1964/06/05          239.0          E
094206         1964/06/06          243.0          E
094206         1964/06/07          248.0          E
094206         1964/06/08          248.0          E
