Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2001-09-30
Station:        094207         Boutin - à la sortie des lacs Mollet                                                                                                           
Bassin versant: 10400 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 55° 34' 48" // -74° 31' 18"

Date de création du fichier: 2012-06-30 23:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
094207         1966/01/01          5.950          R
094207         1966/01/02          5.920          R
094207         1966/01/03          5.860          R
094207         1966/01/04          5.800          R
094207         1966/01/05          5.780          R
094207         1966/01/06          5.750          R
094207         1966/01/07          5.690          R
094207         1966/01/08          5.660          R
094207         1966/01/09          5.660          R
094207         1966/01/10          5.640          R
094207         1966/01/11          5.640          R
094207         1966/01/12          5.610          R
094207         1966/01/13          5.610          R
094207         1966/01/14          5.580          R
094207         1966/01/15          5.550          R
094207         1966/01/16          5.520          R
094207         1966/01/17          5.520          R
094207         1966/01/18          5.490          R
094207         1966/01/19          5.490          R
094207         1966/01/20          5.470          R
094207         1966/01/21          5.470          R
094207         1966/01/22          5.440          R
094207         1966/01/23          5.440          R
094207         1966/01/24          5.410          R
094207         1966/01/25          5.380          R
094207         1966/01/26          5.380          R
094207         1966/01/27          5.380          R
094207         1966/01/28          5.380          R
094207         1966/01/29          5.380          R
094207         1966/01/30          5.380          R
094207         1966/01/31          5.350          R
094207         1966/02/01          5.350          R
094207         1966/02/02          5.350          R
094207         1966/02/03          5.320          R
094207         1966/02/04          5.320          R
094207         1966/02/05          5.300          R
094207         1966/02/06          5.270          R
094207         1966/02/07          5.240          R
094207         1966/02/08          5.180          R
094207         1966/02/09          5.130          R
094207         1966/02/10          5.070          R
094207         1966/02/11          5.010          R
094207         1966/02/12          4.930          R
094207         1966/02/13          4.840          R
094207         1966/02/14          4.760          R
094207         1966/02/15          4.640          R
094207         1966/02/16          4.560          R
094207         1966/02/17          4.390          R
094207         1966/02/18          4.220          R
094207         1966/02/19          4.050          R
094207         1966/02/20          3.940          R
094207         1966/02/21          3.770          R
094207         1966/02/22          3.650          R
094207         1966/02/23          3.480          R
094207         1966/02/24          3.370          R
094207         1966/02/25          3.230          R
094207         1966/02/26          3.090          R
094207         1966/02/27          2.970          R
094207         1966/02/28          2.860          R
094207         1966/03/01          2.690          R
094207         1966/03/02          2.610          R
094207         1966/03/03          2.530          R
094207         1966/03/04          2.450          R
094207         1966/03/05          2.380          R
094207         1966/03/06          2.320          R
094207         1966/03/07          2.250          R
094207         1966/03/08          2.210          R
094207         1966/03/09          2.160          R
