Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1993-08-05
Station:        094502         À l'Eau Clair - à la sortie du lac à l'Eau Claire                                                                                              
Bassin versant: 3830 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 56° 10' 11" // -74° 23' 16"

Date de création du fichier: 2012-06-30 23:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
094502         1977/10/01          102.0          MC
094502         1977/10/02          101.0          MC
094502         1977/10/03          100.0          MC
094502         1977/10/04          99.00          MC
094502         1977/10/05          98.00          MC
094502         1977/10/06          97.00          MC
094502         1977/10/07          97.00          MC
094502         1977/10/08          96.00          MC
094502         1977/10/09          95.00          MC
094502         1977/10/10          95.00          MC
094502         1977/10/11          95.00          MC
094502         1977/10/12          95.00          MC
094502         1977/10/13          97.00          MC
094502         1977/10/14          96.00          MC
094502         1977/10/15          97.00          MC
094502         1977/10/16          97.00          MC
094502         1977/10/17          96.20          MC
094502         1977/10/18          96.00          MC
094502         1977/10/19          95.00          MC
094502         1977/10/20          95.00          MC
094502         1977/10/21          95.00          MC
094502         1977/10/22          94.00          MC
094502         1977/10/23          93.00          MC
094502         1977/10/24          97.00          MC
094502         1977/10/25          97.00          MC
094502         1977/10/26          98.00          MC
094502         1977/10/27          103.0          MC
094502         1977/10/28          105.0          MC
094502         1977/10/29          104.0          MC
094502         1977/10/30          102.0          MC
094502         1977/10/31          101.0          MC
094502         1977/11/01          102.0          MC
094502         1977/11/02          106.0          MC
094502         1977/11/03          110.0          MC
094502         1977/11/04          110.0          MC
094502         1977/11/05          110.0          MC
094502         1977/11/06          108.0          MC
094502         1977/11/07          106.0          MC
094502         1977/11/08          105.0          MC
094502         1977/11/09          105.0          MC
094502         1977/11/10          108.0          MC
094502         1977/11/11          111.0          MC
094502         1977/11/12          113.0          MC
094502         1977/11/13          110.0          MC
094502         1977/11/14          109.0          MC
094502         1977/11/15          108.0          MC
094502         1977/11/16          108.0          MC
094502         1977/11/17          107.0          MC
094502         1977/11/18          105.0          MC
094502         1977/11/19          103.0          MC
094502         1977/11/20          102.0          MC
094502         1977/11/21          100.0          MC
094502         1977/11/22          100.0          MC
094502         1977/11/23          98.00          R
094502         1977/11/24          97.00          R
094502         1977/11/25          96.80          R
094502         1977/11/26          95.80          R
094502         1977/11/27          95.00          R
094502         1977/11/28          94.80          R
094502         1977/11/29          93.80          R
094502         1977/11/30          93.00          R
094502         1977/12/01          92.00          R
094502         1977/12/02          91.00          R
094502         1977/12/03          90.80          R
094502         1977/12/04          90.00          R
094502         1977/12/05          90.00          R
094502         1977/12/06          89.00          R
094502         1977/12/07          88.80          R
094502         1977/12/08          88.00          R
094502         1977/12/09          87.80          R
094502         1977/12/10          87.00          R
094502         1977/12/11          86.70          R
094502         1977/12/12          86.00          R
094502         1977/12/13          85.80          R
094502         1977/12/14          85.00          R
094502         1977/12/15          84.60          R
094502         1977/12/16          84.00          R
094502         1977/12/17          83.80          R
094502         1977/12/18          83.00          R
094502         1977/12/19          82.80          R
094502         1977/12/20          82.00          R
094502         1977/12/21          81.00          R
094502         1977/12/22          80.50          R
094502         1977/12/23          80.00          R
094502         1977/12/24          80.00          R
094502         1977/12/25          79.90          R
094502         1977/12/26          79.00          R
094502         1977/12/27          79.00          R
094502         1977/12/28          78.50          R
094502         1977/12/29          78.00          R
094502         1977/12/30          77.80          R
094502         1977/12/31          77.70          R
094502         1978/01/01          77.00          R
094502         1978/01/02          76.50          R
094502         1978/01/03          76.10          R
094502         1978/01/04          76.00          R
094502         1978/01/05          75.80          R
094502         1978/01/06          75.20          R
094502         1978/01/07          75.00          R
094502         1978/01/08          74.80          R
094502         1978/01/09          74.20          R
094502         1978/01/10          74.00          R
094502         1978/01/11          73.80          R
094502         1978/01/12          73.00          R
094502         1978/01/13          72.80          R
094502         1978/01/14          72.10          R
094502         1978/01/15          72.00          R
094502         1978/01/16          71.80          R
094502         1978/01/17          71.50          R
094502         1978/01/18          71.00          R
094502         1978/01/19          70.70          R
094502         1978/01/20          70.00          R
094502         1978/01/21          70.00          R
094502         1978/01/22          70.00          R
094502         1978/01/23          70.00          R
094502         1978/01/24          69.00          R
094502         1978/01/25          69.00          R
094502         1978/01/26          69.00          R
094502         1978/01/27          68.80          R
094502         1978/01/28          68.50          R
094502         1978/01/29          68.00          R
094502         1978/01/30          68.00          R
094502         1978/01/31          67.80          R
094502         1978/02/01          67.50          R
094502         1978/02/02          67.00          R
094502         1978/02/03          66.80          R
094502         1978/02/04          66.70          R
094502         1978/02/05          66.50          R
094502         1978/02/06          66.00          R
094502         1978/02/07          66.00          R
094502         1978/02/08          66.00          R
094502         1978/02/09          65.90          R
094502         1978/02/10          65.80          R
