Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1993-08-03
Station:        094701         Du Nord - à 10,5 km de l'embouchure                                                                                                            
Bassin versant: 1410 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 56° 32' 5" // -76° 12' 50"

Date de création du fichier: 2012-06-30 23:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
094701         1978/06/18          44.30          J
094701         1978/06/19          46.60          MC
094701         1978/06/20          54.80          MC
094701         1978/06/21          56.70          MC
094701         1978/06/22          56.60          MC
094701         1978/06/23          57.40          MC
094701         1978/06/24          56.50          MC
094701         1978/06/25          56.20          MC
094701         1978/06/26          56.60          MC
094701         1978/06/27          54.00          MC
094701         1978/06/28          50.90          MC
094701         1978/06/29          45.70          MC
094701         1978/06/30          43.30          MC
094701         1978/07/01          41.00          MC
094701         1978/07/02          38.80          MC
094701         1978/07/03          37.00          MC
094701         1978/07/04          35.10          MC
094701         1978/07/05          39.00          MC
094701         1978/07/06          39.60          MC
094701         1978/07/07          37.80          MC
094701         1978/07/08          37.60          MC
094701         1978/07/09          36.60          MC
094701         1978/07/10          35.50          MC
094701         1978/07/11          35.60          MC
094701         1978/07/12          34.20          MC
094701         1978/07/13          33.90          MC
094701         1978/07/14          42.60          MC
094701         1978/07/15          45.70          MC
094701         1978/07/16          43.20          MC
094701         1978/07/17          39.70          MC
094701         1978/07/18          39.10          MC
094701         1978/07/19          38.00          MC
094701         1978/07/20          36.70          MC
094701         1978/07/21          35.70          MC
094701         1978/07/22          33.00          MC
094701         1978/07/23          32.70          MC
094701         1978/07/24          33.70          MC
094701         1978/07/25          38.50          MC
094701         1978/07/26          41.90          MC
094701         1978/07/27          41.30          MC
094701         1978/07/28          40.90          MC
094701         1978/07/29          40.30          MC
094701         1978/07/30          42.00          MC
094701         1978/07/31          44.20          MC
094701         1978/08/01          48.20          MC
094701         1978/08/02          51.10          J
094701         1978/08/03          53.60          MC
094701         1978/08/04          60.50          MC
094701         1978/08/05          64.30          MC
094701         1978/08/06          70.80          MC
094701         1978/08/07          70.20          MC
094701         1978/08/08          68.20          MC
094701         1978/08/09          67.90          MC
094701         1978/08/10          67.60          MC
094701         1978/08/11          68.50          MC
094701         1978/08/12          77.80          MC
094701         1978/08/13          103.0          MC
094701         1978/08/14          113.0          MC
094701         1978/08/15          116.0          MC
094701         1978/08/16          116.0          MC
094701         1978/08/17          118.0          MC
094701         1978/08/18          141.0          MC
094701         1978/08/19          148.0          MC
094701         1978/08/20          149.0          MC
094701         1978/08/21          151.0          MC
094701         1978/08/22          147.0          MC
094701         1978/08/23          135.0          MC
094701         1978/08/24          122.0          MC
094701         1978/08/25          110.0          MC
094701         1978/08/26          99.00          MC
094701         1978/08/27          88.90          MC
094701         1978/08/28          83.00          MC
094701         1978/08/29          80.80          MC
094701         1978/08/30          78.50          MC
094701         1978/08/31          76.20          MC
094701         1978/09/01          85.30          MC
094701         1978/09/02          84.10          MC
094701         1978/09/03          78.10          MC
094701         1978/09/04          74.10          MC
094701         1978/09/05          71.10          MC
094701         1978/09/06          69.60          MC
094701         1978/09/07          66.40          MC
094701         1978/09/08          63.00          MC
094701         1978/09/09          60.60          MC
094701         1978/09/10          58.00          MC
094701         1978/09/11          56.30          MC
094701         1978/09/12          53.70          MC
094701         1978/09/13          51.30          MC
094701         1978/09/14          48.50          MC
094701         1978/09/15          48.10          MC
094701         1978/09/16          45.60          MC
094701         1978/09/17          44.40          MC
094701         1978/09/18          42.30          MC
094701         1978/09/19          40.90          MC
094701         1978/09/20          40.00          MC
094701         1978/09/21          36.60          MC
094701         1978/09/22          42.80          MC
094701         1978/09/23          49.80          MC
094701         1978/09/24          51.80          MC
094701         1978/09/25          52.00          MC
094701         1978/09/26          51.50          MC
094701         1978/09/27          51.80          MC
094701         1978/09/28          52.10          MC
094701         1978/09/29          51.90          MC
094701         1978/09/30          51.50          MC
094701         1978/10/01          51.70          MC
094701         1978/10/02          51.60          MC
094701         1978/10/03          49.70          MC
094701         1978/10/04          48.60          MC
094701         1978/10/05          48.50          MC
094701         1978/10/06          52.70          MC
094701         1978/10/07          55.10          MC
094701         1978/10/08          55.00          MC
094701         1978/10/09          54.20          MC
094701         1978/10/10          54.00          MC
094701         1978/10/11          55.40          MC
094701         1978/10/12          58.80          MC
094701         1978/10/13          61.30          MC
094701         1978/10/14          59.40          MC
094701         1978/10/15          59.30          MC
094701         1978/10/16          56.40          MC
094701         1978/10/17          53.20          MC
094701         1978/10/18          54.30          MC
094701         1978/10/19          51.20          MC
094701         1978/10/20          52.20          MC
094701         1978/10/21          46.20          MC
094701         1978/10/22          46.70          MC
094701         1978/10/23          48.00          MC
094701         1978/10/24          47.70          MC
094701         1978/10/25          46.60          MC
094701         1978/10/26          44.80          MC
094701         1978/10/27          43.70          MC
094701         1978/10/28          39.40          MC
094701         1978/10/29          38.90          MC
094701         1978/10/30          39.60          MC
094701         1978/10/31          39.00          MC
