Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-06-25
Station:        095001         Nastapoca - à la sortie des lacs Saindon                                                                                                       
Bassin versant: 10400 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 55° 46' 33" // -73° 25' 13"

Date de création du fichier: 2012-06-30 23:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
095001         1975/06/12          95.10          MC
095001         1975/06/13          94.90          MC
095001         1975/06/14          94.30          MC
095001         1975/06/15          92.90          MC
095001         1975/06/16          92.90          MC
095001         1975/06/17          95.10          MC
095001         1975/06/18          94.60          MC
095001         1975/06/19          92.60          MC
095001         1975/06/20          87.20          MC
095001         1975/06/21          83.50          MC
095001         1975/06/22          79.30          MC
095001         1975/06/23          78.20          MC
095001         1975/06/24          74.20          MC
095001         1975/06/25          71.10          MC
095001         1975/06/26          70.20          MC
095001         1975/06/27          68.50          MC
095001         1975/06/28          66.80          MC
095001         1975/06/29          63.70          MC
095001         1975/06/30          61.40          MC
095001         1975/07/01          58.90          MC
095001         1975/07/02          56.10          MC
095001         1975/07/03          53.80          MC
095001         1975/07/04          53.00          MC
095001         1975/07/05          49.80          MC
095001         1975/07/06          48.40          MC
095001         1975/07/07          48.40          MC
095001         1975/07/08          46.20          MC
095001         1975/07/09          45.90          MC
095001         1975/07/10          43.00          MC
095001         1975/07/11          41.30          MC
095001         1975/07/12          38.20          MC
095001         1975/07/13          36.80          MC
095001         1975/07/14          37.90          MC
095001         1975/07/15          35.70          MC
095001         1975/07/16          35.40          MC
095001         1975/07/17          34.30          MC
095001         1975/07/18          33.70          MC
095001         1975/07/19          37.90          MC
095001         1975/07/20          44.20          MC
095001         1975/07/21          43.90          MC
095001         1975/07/22          45.00          MC
095001         1975/07/23          44.70          MC
095001         1975/07/24          45.90          MC
095001         1975/07/25          49.80          MC
095001         1975/07/26          51.00          MC
095001         1975/07/27          53.00          MC
095001         1975/07/28          55.20          MC
095001         1975/07/29          56.60          MC
095001         1975/07/30          58.00          MC
095001         1975/07/31          58.60          MC
095001         1975/08/01          59.50          MC
095001         1975/08/02          59.50          MC
095001         1975/08/03          57.50          MC
095001         1975/08/04          56.90          MC
095001         1975/08/05          57.50          MC
095001         1975/08/06          57.20          MC
095001         1975/08/07          58.30          MC
095001         1975/08/08          56.90          MC
095001         1975/08/09          57.80          MC
095001         1975/08/10          57.80          MC
095001         1975/08/11          56.60          MC
095001         1975/08/12          55.20          MC
095001         1975/08/13          54.70          MC
095001         1975/08/14          54.70          MC
095001         1975/08/15          51.30          MC
095001         1975/08/16          49.60          MC
095001         1975/08/17          49.80          MC
095001         1975/08/18          49.60          MC
095001         1975/08/19          54.10          MC
095001         1975/08/20          58.00          MC
095001         1975/08/21          58.30          MC
095001         1975/08/22          58.00          MC
095001         1975/08/23          57.80          MC
095001         1975/08/24          57.50          MC
095001         1975/08/25          56.90          MC
095001         1975/08/26          54.40          MC
095001         1975/08/27          49.30          MC
095001         1975/08/28          49.30          MC
095001         1975/08/29          48.70          MC
095001         1975/08/30          48.70          MC
095001         1975/08/31          47.30          MC
095001         1975/09/01          45.90          MC
095001         1975/09/02          45.60          MC
095001         1975/09/03          43.60          MC
095001         1975/09/04          42.50          MC
095001         1975/09/05          41.30          MC
095001         1975/09/06          39.60          MC
095001         1975/09/07          37.10          MC
095001         1975/09/08          35.70          MC
095001         1975/09/09          35.10          MC
095001         1975/09/10          33.10          MC
095001         1975/09/11          32.30          MC
095001         1975/09/12          29.40          MC
095001         1975/09/13          28.10          MC
095001         1975/09/14          26.60          MC
095001         1975/09/15          26.60          MC
095001         1975/09/16          25.60          J
095001         1975/09/17          23.70          MC
095001         1975/09/18          23.10          MC
095001         1975/09/19          22.10          MC
095001         1975/09/20          22.50          MC
095001         1975/09/21          22.50          MC
095001         1975/09/22          20.60          MC
095001         1975/09/23          18.80          MC
095001         1975/09/24          17.90          MC
095001         1975/09/25          16.80          MC
095001         1975/09/26          17.70          MC
095001         1975/09/27          17.20          MC
095001         1975/09/28          16.30          MC
095001         1975/09/29          15.50          MC
095001         1975/09/30          15.60          MC
095001         1975/10/01          14.80          MC
095001         1975/10/02          13.90          MC
095001         1975/10/03          14.10          MC
095001         1975/10/04          13.20          MC
095001         1975/10/05          13.20          MC
095001         1975/10/06          12.90          MC
095001         1975/10/07          12.30          MC
095001         1975/10/08          12.20          MC
095001         1975/10/09          12.00          MC
095001         1975/10/10          11.90          MC
095001         1975/10/11          12.60          MC
095001         1975/10/12          12.20          MC
095001         1975/10/13          11.90          MC
095001         1975/10/14          11.70          MC
095001         1975/10/15          11.30          MC
095001         1975/10/16          11.00          MC
095001         1975/10/17          11.00          MC
095001         1975/10/18          10.90          MC
095001         1975/10/19          11.00          MC
095001         1975/10/20          10.70          MC
095001         1975/10/21          10.60          MC
095001         1975/10/22          10.80          MC
095001         1975/10/23          10.30          MC
095001         1975/10/24          10.10          R
095001         1975/10/25          9.970          R
095001         1975/10/26          9.800          R
095001         1975/10/27          9.630          R
095001         1975/10/28          9.460          R
095001         1975/10/29          9.260          R
095001         1975/10/30          9.120          R
095001         1975/10/31          8.920          R
095001         1975/11/01          8.750          R
095001         1975/11/02          8.550          R
095001         1975/11/03          8.440          R
095001         1975/11/04          8.270          R
095001         1975/11/05          8.130          R
095001         1975/11/06          7.960          R
095001         1975/11/07          7.790          R
095001         1975/11/08          7.620          R
095001         1975/11/09          7.420          R
095001         1975/11/10          7.310          R
095001         1975/11/11          7.140          R
095001         1975/11/12          6.990          R
095001         1975/11/13          6.850          R
095001         1975/11/14          6.710          R
095001         1975/11/15          6.570          R
095001         1975/11/16          6.430          R
095001         1975/11/17          6.260          R
095001         1975/11/18          6.140          R
095001         1975/11/19          6.000          R
095001         1975/11/20          5.860          R
095001         1975/11/21          5.690          R
095001         1975/11/22          5.580          R
095001         1975/11/23          5.470          R
095001         1975/11/24          5.300          R
095001         1975/11/25          5.180          R
095001         1975/11/26          5.070          R
095001         1975/11/27          4.900          R
095001         1975/11/28          4.790          R
095001         1975/11/29          4.670          R
095001         1975/11/30          4.560          R
095001         1975/12/01          4.450          R
095001         1975/12/02          4.300          R
095001         1975/12/03          4.220          R
095001         1975/12/04          4.110          R
095001         1975/12/05          3.990          R
095001         1975/12/06          3.910          R
095001         1975/12/07          3.820          R
095001         1975/12/08          3.710          R
095001         1975/12/09          3.600          R
095001         1975/12/10          3.510          R
095001         1975/12/11          3.370          R
095001         1975/12/12          3.310          R
095001         1975/12/13          3.230          R
095001         1975/12/14          3.090          R
095001         1975/12/15          3.030          R
095001         1975/12/16          2.940          R
095001         1975/12/17          2.860          R
095001         1975/12/18          2.780          R
095001         1975/12/19          2.690          R
095001         1975/12/20          2.630          R
095001         1975/12/21          2.550          R
095001         1975/12/22          2.460          R
095001         1975/12/23          2.410          R
095001         1975/12/24          2.350          R
095001         1975/12/25          2.270          R
095001         1975/12/26          2.180          R
095001         1975/12/27          2.120          R
095001         1975/12/28          2.070          R
095001         1975/12/29          2.010          R
095001         1975/12/30          1.950          R
095001         1975/12/31          1.930          R
095001         1976/01/01          1.870          R
095001         1976/01/02          1.810          R
095001         1976/01/03          1.760          R
095001         1976/01/04          1.700          R
095001         1976/01/05          1.670          R
095001         1976/01/06          1.610          R
095001         1976/01/07          1.560          R
095001         1976/01/08          1.530          R
095001         1976/01/09          1.500          R
095001         1976/01/10          1.440          R
095001         1976/01/11          1.390          R
095001         1976/01/12          1.360          R
095001         1976/01/13          1.330          R
095001         1976/01/14          1.300          R
095001         1976/01/15          1.270          R
095001         1976/01/16          1.220          R
095001         1976/01/17          1.190          R
095001         1976/01/18          1.160          R
095001         1976/01/19          1.130          R
095001         1976/01/20          1.080          R
095001         1976/01/21          1.080          R
095001         1976/01/22          1.050          R
095001         1976/01/23          1.020          R
095001         1976/01/24          0.990          R
095001         1976/01/25          0.960          R
095001         1976/01/26          0.930          R
095001         1976/01/27          0.910          R
095001         1976/01/28          0.910          R
095001         1976/01/29          0.880          R
095001         1976/01/30          0.840          R
095001         1976/01/31          0.820          R
095001         1976/02/01          0.800          R
095001         1976/02/02          0.780          R
095001         1976/02/03          0.760          R
095001         1976/02/04          0.750          R
095001         1976/02/05          0.730          R
095001         1976/02/06          0.710          R
095001         1976/02/07          0.690          R
095001         1976/02/08          0.680          R
095001         1976/02/09          0.660          R
095001         1976/02/10          0.650          R
095001         1976/02/11          0.630          R
095001         1976/02/12          0.620          R
095001         1976/02/13          0.600          R
095001         1976/02/14          0.590          R
095001         1976/02/15          0.570          R
095001         1976/02/16          0.560          R
095001         1976/02/17          0.560          R
095001         1976/02/18          0.540          R
095001         1976/02/19          0.530          R
095001         1976/02/20          0.520          R
095001         1976/02/21          0.510          R
095001         1976/02/22          0.500          R
095001         1976/02/23          0.490          R
095001         1976/02/24          0.480          R
095001         1976/02/25          0.470          R
095001         1976/02/26          0.460          R
095001         1976/02/27          0.450          R
095001         1976/02/28          0.440          R
095001         1976/02/29          0.440          R
095001         1976/03/01          0.420          R
095001         1976/03/02          0.420          R
095001         1976/03/03          0.410          R
095001         1976/03/04          0.400          R
095001         1976/03/05          0.400          R
095001         1976/03/06          0.390          R
095001         1976/03/07          0.390          R
095001         1976/03/08          0.380          R
095001         1976/03/09          0.370          R
095001         1976/03/10          0.370          R
095001         1976/03/11          0.360          R
095001         1976/03/12          0.360          R
095001         1976/03/13          0.350          R
